id,sex,treatment
blk.s030.o.g,male,prolong
blk.s031.pu.d,female,prolong
blk.s032.g.w,female,m.n2
blk.s049.y.g,female,m.inc.d3
blk.s060.pu.w,female,m.inc.d3
blk.s061.pu.y,female,inc.d9
blk.y.l.s109,female,early
blk0.x,female,m.n2
blk11.x,female,bldg
blk12.x,male,n5
blk17.x,male,inc.d17
blk19.x,female,extend
blk21.x,female,hatch
blk4.x,female,n9
blk5.x,male,m.inc.d3
blu.o.x.ATLAS,female,control
blu10.w26.x,male,m.n2
blu103.x,female,hatch
blu104.w120.x,male,hatch
blu108.w40.o158,male,m.inc.d9
blu111.w113.x,male,inc.d3
blu113.w124.x,male,inc.d17
blu114.r38.w198,male,bldg
blu115.y150.x,female,prolong
blu119.w84.x,female,early
blu121.w91.x,male,inc.d17
blu124.w180.x,female,hatch
blu33.y88.x,male,bldg
blu36.w16,female,n9
blu37.r65.x,male,n5
blu38.g135.x,female,bldg
blu39.o26.x,female,inc.d3
blu41.y100.x,male,n5
blu44.y102,female,extend
blu47.y96.x,female,inc.d9
blu55.g51,female,n5
blu56.o53,female,m.inc.d3
blu63.g62,female,m.inc.d9
blu80.r97,female,early
blu81.r88,male,n9
blu84.x,male,extend
d.r.blk.s159,female,m.inc.d9
d.s008.y.blk,male,n5
d.s047.blk.o,male,n5
d.s110.g.blk,male,m.inc.d3
d.s112.blk.w,female,m.inc.d17
d.s177.blk.r,female,m.inc.d3
g.blk.s004.pk,female,lay
g.blk.s041.r,male,m.inc.d3
g.o.y.s037,male,m.inc.d17
g.s.blk.d,male,n9
g.s.blk.y,male,lay
g.s043.pu.blk,male,lay
g.s075.pk.pu,male,m.n2
g.s076.pk.r,female,m.n2
g.s078.blk.o,female,lay
g.s111.r.blk,male,early
g.s179.o.pk,male,early
g.s351.pk.w,male,extend
g.x.ATLAS,female,control
g.y.blk.s006,female,m.inc.d17
g.y.o.s,male,prolong
g104.w82.x,male,bldg
g114.w83.x,male,hatch
g130.y81.x,male,inc.d17
g137.r24.w5,male,early
g141.blu27.x,female,bldg
g142.r40.x,female,inc.d17
g143.blu32.x,male,inc.d17
g144.r54.x,female,m.inc.d3
g146.blu51,male,inc.d3
g17.w108.x,female,extend
g20.w106.x,male,inc.d3
g22.blu118,female,extend
g3.g119.w20,male,extend
g32.blu79,male,m.inc.d17
g34.x,male,m.n2
g38.x,male,prolong
g52.blu58,male,bldg
g53.y84,male,hatch
g6.w197.x,female,inc.d3
g63.blu65,female,m.inc.d17
g73.x,female,m.inc.d9
g75.x,female,inc.d9
g8.y197,male,extend
L.Blu13,male,control
L.G107,male,control
L.G118,female,control
L.R3,male,control
L.R8,male,control
l.s.o.blk,male,extend
l.s.w.d,female,m.n2
l.s024.y.g,male,m.inc.d17
l.s052.pk.r,female,prolong
l.s080.blk.r,male,prolong
l.s120.y.blk,female,bldg
l.s166.o.w,female,prolong
l.s280.g.blk,male,m.inc.d9
L.W3,male,control
L.W33,male,control
