"","V1","bird","sex","tissue","treatment","group","study"
"blk.s030.o.g_male_gonad_prolong","blk.s030.o.g_male_gonad_prolong","blk.s030.o.g","male","gonad","prolong","male.gonad.prolong","manipulation"
"blk.s030.o.g_male_hypothalamus_prolong","blk.s030.o.g_male_hypothalamus_prolong","blk.s030.o.g","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation"
"blk.s030.o.g_male_pituitary_prolong","blk.s030.o.g_male_pituitary_prolong","blk.s030.o.g","male","pituitary","prolong","male.pituitary.prolong","manipulation"
"blk.s031.pu.d_female_gonad_prolong","blk.s031.pu.d_female_gonad_prolong","blk.s031.pu.d","female","gonad","prolong","female.gonad.prolong","manipulation"
"blk.s031.pu.d_female_hypothalamus_prolong","blk.s031.pu.d_female_hypothalamus_prolong","blk.s031.pu.d","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"blk.s031.pu.d_female_pituitary_prolong","blk.s031.pu.d_female_pituitary_prolong","blk.s031.pu.d","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"blk.s032.g.w_female_gonad_m.hatch","blk.s032.g.w_female_gonad_m.hatch","blk.s032.g.w","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"blk.s032.g.w_female_hypothalamus_m.hatch","blk.s032.g.w_female_hypothalamus_m.hatch","blk.s032.g.w","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"blk.s032.g.w_female_pituitary_m.hatch","blk.s032.g.w_female_pituitary_m.hatch","blk.s032.g.w","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
"blk.s049.y.g_female_gonad_m.inc.d3","blk.s049.y.g_female_gonad_m.inc.d3","blk.s049.y.g","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"blk.s049.y.g_female_hypothalamus_m.inc.d3","blk.s049.y.g_female_hypothalamus_m.inc.d3","blk.s049.y.g","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"blk.s049.y.g_female_pituitary_m.inc.d3","blk.s049.y.g_female_pituitary_m.inc.d3","blk.s049.y.g","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"blk.s060.pu.w_female_gonad_m.inc.d3","blk.s060.pu.w_female_gonad_m.inc.d3","blk.s060.pu.w","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"blk.s060.pu.w_female_hypothalamus_m.inc.d3","blk.s060.pu.w_female_hypothalamus_m.inc.d3","blk.s060.pu.w","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","blk.s060.pu.w","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"blk.y.l.s109_female_gonad_m.inc.d8","blk.y.l.s109_female_gonad_m.inc.d8","blk.y.l.s109","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"blk.y.l.s109_female_hypothalamus_m.inc.d8","blk.y.l.s109_female_hypothalamus_m.inc.d8","blk.y.l.s109","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
