"","row.names","Name","geneid","entrezid"
"1","408082","EDNRB",408082,"NP_001001127.1"
"2","408183","CYP26A1",408183,"NP_001001129.1"
"3","374073","CFDP1",374073,"NP_001001189.1"
"4","407777","AvBD7",407777,"NP_001001194.1"
"5","407779","KRT5",407779,"NP_001001195.1"
"6","408034","HSD11B1L",408034,"NP_001001201.1"
"7","408036","EREG",408036,"NP_001001203.1"
"8","408251","ADCYAP1",408251,"NP_001001291.2"
"9","408035","EGF",408035,"NP_001001292.1"
"10","408027","IGFBP1",408027,"NP_001001294.1"
"11","403120","IFI6",403120,"NP_001001296.1"
"12","408024","PAH",408024,"NP_001001298.1"
"13","408032","BVES",408032,"NP_001001299.2"
"14","408025","TOP1MT",408025,"NP_001001300.1"
"15","408026","TPH2",408026,"NP_001001301.1"
"16","395102","POLH",395102,"NP_001001304.2"
"17","396195","SRSF2",396195,"NP_001001305.1"
"18","408038","LOC408038",408038,"NP_001001310.2"
"19","408039","KRT14",408039,"NP_001001311.2"
"20","408253","RP11-196G11.1",408253,"NP_001001328.1"
"21","395542","TEAD4",395542,"NP_001001337.1"
"22","373928","PPARG",373928,"NP_001001460.1"
"23","373964","MSTN",373964,"NP_001001461.1"
"24","374102","SDC2",374102,"NP_001001462.1"
"25","374115","ARNTL",374115,"NP_001001463.1"
"26","378791","RTN1",378791,"NP_001001466.1"
"27","395225","TOB1",395225,"NP_001001467.1"
"28","395226","IFRD1",395226,"NP_001001468.1"
"29","395708","LYG2",395708,"NP_001001470.1"
"30","396006","PTPRVP",396006,"NP_001001471.1"
"31","396093","NFKBIA",396093,"NP_001001472.2"
"32","414142","LEPRE1",414142,"NP_001001529.1"
"33","414143","LEPREL1",414143,"NP_001001530.1"
"34","414144","FUS",414144,"NP_001001531.1"
"35","414335","ST8SIA6",414335,"NP_001001603.1"
"36","414336","ST8SIA2",414336,"NP_001001604.1"
"37","414339","AvBD12",414339,"NP_001001607.2"
"38","414340","AvBD5",414340,"NP_001001608.2"
"39","414341","AvBD10",414341,"NP_001001609.1"
"40","414343","AvBD9",414343,"NP_001001611.1"
"41","414740","EIF1AD",414740,"NP_001001612.1"
"42","414741","CD74",414741,"NP_001001613.1"
"43","414743","TGFA",414743,"NP_001001614.1"
"44","374259","CACNB4",374259,"NP_001001733.1"
"45","414884","CCK",414884,"NP_001001741.1"
"46","414885","CCKBR",414885,"NP_001001742.1"
"47","373974","IRX4",373974,"NP_001001744.1"
"48","414795","VSIG1",414795,"NP_001001745.1"
"49","414796","ST8SIA3",414796,"NP_001001746.1"
"50","414798","CYB5A",414798,"NP_001001748.1"
"51","414832","CYP3A7",414832,"NP_001001751.1"
"52","414833","CYP2C45",414833,"NP_001001752.1"
"53","414834","CYP7A1",414834,"NP_001001753.1"
"54","414837","THBS2",414837,"NP_001001755.1"
"55","414838","CYP11A1",414838,"NP_001001756.1"
"56","414841","CYP2C8",414841,"NP_001001757.1"
"57","414842","CDH6",414842,"NP_001001758.1"
"58","414847","CDHR1",414847,"NP_001001759.1"
"59","414854","CYP19A1",414854,"NP_001001761.2"
"60","414870","SLC5A7",414870,"NP_001001763.1"
"61","414873","PDLIM3",414873,"NP_001001764.1"
"62","414879","UBA5",414879,"NP_001001765.1"
"63","414881","RNF114",414881,"NP_001001767.2"
"64","414891","SLC24A2",414891,"NP_001001772.1"
"65","414892","SLC24A1",414892,"NP_001001773.1"
"66","414895","GSTA",414895,"NP_001001776.1"
"67","414896","GSTA3",414896,"NP_001001777.1"
"68","414829","CMTM3",414829,"NP_001001778.2"
"69","414876","AvBD11",414876,"NP_001001779.1"
"70","414782","RPS13",414782,"NP_001001783.1"
"71","414803","THPO",414803,"NP_001001784.1"
"72","414780","XYLT2",414780,"NP_001001785.1"
"73","396057","STMN1",396057,"NP_001001858.1"
"74","415121","CYP4V2",415121,"NP_001001879.1"
"75","425056","CYP17A1",425056,"NP_001001901.1"
"76","432370","CSNK2A1",432370,"NP_001002242.1"
"77","416018","GATA2",416018,"NP_001003797.1"
"78","415400","CCNB2",415400,"NP_001004369.1"
"79","415490","RHCG",415490,"NP_001004370.1"
"80","415803","GCSH",415803,"NP_001004372.1"
"81","415809","PNAT3",415809,"NP_001004373.1"
"82","416650","HBZ",416650,"NP_001004374.1"
"83","416651","HBAD",416651,"NP_001004375.1"
"84","416652","HBAA",416652,"NP_001004376.1"
"85","416669","PAM16",416669,"NP_001004377.1"
"86","417044","GNB2L1",417044,"NP_001004378.1"
"87","417158","RPL7A",417158,"NP_001004379.1"
"88","417771","CAPZA2",417771,"NP_001004380.1"
"89","417890","EPYC",417890,"NP_001004382.1"
"90","418090","IGF1",418090,"NP_001004384.1"
"91","418308","EPHB6",418308,"NP_001004387.1"
"92","418486","CCT8",418486,"NP_001004389.2"
"93","419222","CDH4",419222,"NP_001004391.1"
"94","419243","COL20A1",419243,"NP_001004392.2"
"95","419263","STMN3",419263,"NP_001004393.1"
"96","419825","CNTN2",419825,"NP_001004395.1"
"97","419956","RNF113A",419956,"NP_001004396.1"
"98","420077","SF3A2",420077,"NP_001004397.1"
"99","420872","LY86",420872,"NP_001004399.1"
"100","420883","TUBB2B",420883,"NP_001004400.1"
"101","422743","PPAT",422743,"NP_001004401.1"
"102","422842","WDR1",422842,"NP_001004402.1"
