"bird","sex","treatment","nestmate","pair","c_BandDate"
"L.Blu13","male","control",NA,NA,NA
"L.G107","male","control",NA,NA,NA
"L.G118","female","control",NA,NA,NA
"L.R3","male","control",NA,NA,NA
"L.R8","male","control",NA,NA,NA
"L.W33","male","control",NA,NA,NA
"L.W3","male","control",NA,NA,NA
"L.W4","male","control",NA,NA,NA
"R.G106","female","control",NA,NA,NA
"R.R20","female","control",NA,NA,NA
"R.R9","female","control",NA,NA,NA
"R.W44","female","control",NA,NA,NA
"R.Y108.W29","male","control",NA,NA,NA
"blu.o.x.ATLAS","female","control",NA,NA,NA
"g.x.ATLAS","female","control",NA,NA,NA
"r.r.x.ATLAS.R2XR","female","control",NA,NA,NA
"r.r.x.ATLAS","female","control",NA,NA,NA
"r6.x","female","control",NA,NA,NA
"s.x.ATLAS","female","control",NA,NA,NA
"w191.r1","female","control",NA,NA,NA
"x.blk.blk.ATLAS","male","control",NA,NA,NA
"x.blu.o.ATLAS","male","control",NA,NA,NA
"x.g.ATLAS","male","control",NA,NA,NA
"x.g.g.ATLAS","female","control",NA,NA,NA
"x.g.g.ATLAS","male","control",NA,NA,NA
"x.g.g.g.ATLAS","male","control",NA,NA,NA
"x.y.s.ATLAS","male","control",NA,NA,NA
"blk11.x","female","bldg",NA,NA,NA
"blu114.r38.w198","male","bldg",NA,NA,NA
"blu33.y88.x","male","bldg",NA,NA,NA
"blu38.g135.x","female","bldg",NA,NA,NA
"g104.w82.x","male","bldg",NA,NA,NA
"g141.blu27.x","female","bldg",NA,NA,NA
"g52.blu58","male","bldg",NA,NA,NA
"l.s120.y.blk","female","bldg",NA,NA,NA
"o38.blu29.x","female","bldg",NA,NA,NA
"r.s056.g.o","female","bldg",NA,NA,NA
"r.s059.d.o","male","bldg",NA,NA,NA
"r83.g45","female","bldg",NA,NA,NA
"s.pu148.blk.r","male","bldg",NA,NA,NA
"s063.d.blk.l","female","bldg",NA,NA,NA
"s065.l.d.o","male","bldg",NA,NA,NA
"s066.l.d.r","male","bldg",NA,NA,NA
"s092.blk.r.o","female","bldg",NA,NA,NA
"x.o30.g134","male","bldg",NA,NA,NA
"x.r39.g10","female","bldg",NA,NA,NA
"x.r67.blu35","male","bldg",NA,NA,NA
"g.s.blk.y","male","lay","g.s.o.w",1303,"02/21/2018"
"g.blk.s004.pk","female","lay",NA,NA,NA
"g.s043.pu.blk","male","lay",NA,NA,NA
"g.s078.blk.o","female","lay",NA,NA,NA
"o.s.w.r","male","lay",NA,NA,NA
"pk.s238.blk.w","male","lay",NA,NA,NA
"pk.w.s141.o","male","lay",NA,NA,NA
"r.s005.pk.blk","male","lay",NA,NA,NA
"r.s116.blk.pu","male","lay",NA,NA,NA
"r190.o43.x","male","lay",NA,NA,NA
"s.o.pk","female","lay",NA,NA,NA
"s095.g.blk.o","female","lay",NA,NA,NA
"s136.d.w.o","female","lay",NA,NA,NA
"s142.o.pk.pu","female","lay",NA,NA,NA
"s150.w.g.blk","male","lay",NA,NA,NA
"s176.blk.pu.r","female","lay",NA,NA,NA
"s243.blk.pk.r","male","lay",NA,NA,NA
"x.blu6.y80","female","lay",NA,NA,NA
"x.w51","female","lay",NA,NA,NA
"y.s156.o.r","female","lay",NA,NA,NA
"g146.blu51","male","inc.d3","x.g111",316,"10/10/2016"
"blu111.w113.x","male","inc.d3","x.blu102.w105",379,"10/31/2016"
"x.blu102.w105","female","inc.d3","blu111.w113.x",379,"10/31/2016"
"g6.w197.x","female","inc.d3","o48.r197.x",392,"11/11/2016"
"o48.r197.x","male","inc.d3","g6.w197.x",392,"11/11/2016"
"g146.blu51","male","inc.d3","x.g111",422,"11/17/2016"
"g6.w197.x","female","inc.d3","o48.r197.x",483,"12/17/2016"
"o48.r197.x","male","inc.d3","g6.w197.x",483,"12/17/2016"
"blu39.o26.x","female","inc.d3",NA,NA,NA
"g20.w106.x","male","inc.d3",NA,NA,NA
"o156.w80.x","female","inc.d3",NA,NA,NA
"o165.w122.x","female","inc.d3",NA,NA,NA
"o173.w179.x","female","inc.d3",NA,NA,NA
"r27.w111.blu125","female","inc.d3",NA,NA,NA
"r73.g127.x","female","inc.d3",NA,NA,NA
"x.blu42.o28","male","inc.d3",NA,NA,NA
"x.g147.blu28","male","inc.d3",NA,NA,NA
"x.o163.w101","male","inc.d3",NA,NA,NA
"x.r33.w183","female","inc.d3",NA,NA,NA
"x.r64.g140","male","inc.d3",NA,NA,NA
"y13.x","female","inc.d3",NA,NA,NA
"y149.r52.x","male","inc.d3",NA,NA,NA
"y98.o50.x","male","inc.d3",NA,NA,NA
"blk5.x","male","m.inc.d3","g144.r54.x",425,"11/19/2016"
