"","Name","n"
"1","SSPO",57
"2","CEND1",6
"3","LOC101747901",6
"4","TIRAP",6
"5","AIP",5
"6","CCL5",5
"7","GINS3",5
"8","SORBS2",5
"9","TCF7L2",5
"10","ATG13",4
"11","BPTF",4
"12","DOCK3",4
"13","DTNA",4
"14","EIF4G3",4
"15","ELAVL2",4
"16","EPB41L2",4
"17","KIF21A",4
"18","LOC100858581",4
"19","LOC772071",4
"20","MBNL3",4
"21","MFF",4
"22","SORBS1",4
"23","TPM2",4
"24","AGAP3",3
"25","ARFIP1",3
"26","ARHGAP17",3
"27","BZRAP1",3
"28","C2CD5",3
"29","CACNA1C",3
"30","CACNA1D",3
"31","CACNA1E",3
"32","CAMK2D",3
"33","CEP170",3
"34","CLTCL1",3
"35","CREM",3
"36","DAPK2",3
"37","DCAF6",3
"38","DNAH12",3
"39","DPH1",3
"40","DST",3
"41","EPB41L3",3
"42","EPHA5",3
"43","ESPN",3
"44","FOXRED1",3
"45","GRIA1",3
"46","HMBS",3
"47","HOMER3",3
"48","KIAA1671",3
"49","KIF1B",3
"50","LCORL",3
"51","LMO7",3
"52","LOC101748375",3
"53","LOC415324",3
"54","LOC424028",3
"55","LPHN3",3
"56","LPO",3
"57","LRCH3",3
"58","LRRFIP1",3
"59","MACF1",3
"60","MAGI2",3
"61","MAP2",3
"62","MAP4",3
"63","MAP4K4",3
"64","MAP7",3
"65","MBNL2",3
"66","MICAL3",3
"67","MTMR1",3
"68","MZT2B",3
"69","NEBL",3
"70","NRG2",3
"71","NRXN3",3
"72","PCBP2",3
"73","PCDH15",3
"74","PCM1",3
"75","PDDC1",3
"76","PITPNM2",3
"77","PPFIBP1",3
"78","PPP1R9A",3
"79","PTPRD",3
"80","RASSF2",3
"81","RCOR3",3
"82","RIMS1",3
"83","SEC31A",3
"84","SMARCC1",3
"85","SPAG9",3
"86","SREK1",3
"87","STRBP",3
"88","TMEM220",3
"89","TRIM9",3
"90","WNK1",3
"91","WNK2",3
"92","ZFHX4",3
"93","ZIC4",3
"94","ABCB10",2
"95","ABCC3",2
"96","ABCC6",2
"97","ABCC9",2
"98","ABCG8",2
"99","ABI1",2
"100","ABI2",2
"101","ABLIM2",2
"102","ACCN2",2
"103","ACLY",2
"104","ACOX1",2
"105","ACOX2",2
"106","ACP1",2
"107","ACSM3",2
"108","ACTN1",2
"109","ADAM22",2
"110","ADAM23",2
"111","ADAMTS17",2
"112","ADAMTSL2",2
"113","ADAMTSL2L",2
"114","ADAMTSL5",2
"115","ADD1",2
"116","ADK",2
"117","AFF3",2
"118","AGBL4",2
"119","AGGF1",2
"120","AL021546.6",2
"121","ALG14",2
"122","AMMECR1L",2
"123","ANAPC16",2
"124","ANK1",2
"125","ANK2",2
"126","ANK3",2
"127","ANKRD22",2
"128","ANKS1A",2
"129","ANO4",2
"130","ANO9",2
"131","AP1AR",2
"132","AP3M2",2
"133","AP4S1",2
"134","APAF1",2
"135","APBB2",2
"136","ARHGEF6",2
"137","ARHGEF7",2
"138","ARID1B",2
"139","ARID4A",2
"140","ARL2BP",2
"141","ARPP21",2
"142","ARRDC2",2
"143","ASB3",2
"144","ASPH",2
"145","ASXL2",2
"146","ATF1",2
"147","ATF7IP",2
"148","ATN1",2
"149","ATP11C",2
"150","ATP13A3",2
"151","ATP2B4",2
"152","ATP6V0A1",2
"153","B3GALNT2",2
"154","B4GALT3",2
"155","BAIAP2",2
"156","BAZ1A",2
"157","BAZ2B",2
"158","BBS7",2
"159","BCAN",2
"160","BCLAF1",2
"161","BCOR",2
"162","BEND4",2
"163","BHLHA15",2
"164","BICC1",2
"165","BICD1",2
"166","BRAF",2
"167","BRAP",2
"168","BRCA1",2
"169","BRD1",2
"170","BRD9",2
"171","BRSK2",2
"172","BSG",2
"173","BX255923.2",2
"174","C10H15ORF40",2
"175","C10H15ORF58",2
"176","C12ORF75",2
"177","C14H16ORF52",2
"178","C14ORF80",2
"179","C17H9ORF9",2
"180","C1H3ORF38",2
"181","C4BPA",2
"182","C7ORF10",2
"183","C9ORF72",2
"184","CABIN1",2
"185","CACNA1B",2
"186","CACNB4",2
"187","CADM2",2
"188","CADM3",2
"189","CADPS",2
"190","CADPS2",2
"191","CALCA",2
"192","CAMK2G",2
"193","CASC4",2
"194","CASK",2
"195","CASP6",2
"196","CBLN2",2
"197","CBX6",2
"198","CCDC109B",2
"199","CCDC18",2
"200","CCDC67",2
"201","CCDC85C",2
"202","CCDC88A",2
"203","CCDC88C",2
"204","CCDC90B",2
"205","CCL1",2
"206","CCL4",2
"207","CCNDBP1",2
"208","CCP110",2
"209","CD300A",2
"210","CD320",2
"211","CD74",2
"212","CDC42",2
"213","CDC42BPA",2
"214","CDH4",2
"215","CECR1",2
"216","CELF5",2
"217","CERS3",2
"218","CHCHD3",2
"219","CHD5",2
"220","CHKA",2
"221","CHST10",2
"222","CIT",2
"223","CIZ1",2
"224","CLASP1",2
"225","CLCNKB",2
"226","CLEC16A",2
"227","CLIP1",2
"228","CLK1",2
"229","CLTA",2
"230","CLTB",2
"231","CNOT4",2
"232","CNOT6",2
"233","CNTN6",2
"234","COL16A1",2
"235","COL26A1",2
"236","COL4A3BP",2
"237","COL4A5",2
"238","COL5A1",2
"239","CPED1",2
"240","CPNE2",2
"241","CRCP",2
"242","CTIF",2
"243","CTNND2",2
"244","CXADR",2
"245","CYP2R1",2
"246","CYTH1",2
"247","DAB2IP",2
"248","DECR2",2
"249","DGKH",2
"250","DGUOK",2
"251","DIP2A",2
"252","DLG1",2
"253","DLG5",2
"254","DLGAP4",2
"255","DMBT1",2
"256","DMC1",2
"257","DNAJC6",2
"258","DNAL1",2
"259","DNM1",2
"260","DOCK10",2
"261","DOCK7",2
"262","DOCK8",2
"263","DOCK9",2
"264","DTNB",2
"265","DTX2",2
"266","DYNC1I1",2
