"gene","lfc","padj","logpadj","direction"
"RGS12",4.41407793889394,0.00739841011683686,2.1308615980622,"bldg"
"TIMM10B",2.50424143275142,0.0941516928231768,1.02617186707424,"bldg"
"TMEM173",2.3546105891258,0.00964551196116265,2.01567471607535,"bldg"
"BRS3",2.34192498740835,1.67724643473631e-06,5.7754031226156,"bldg"
"ADGRF4",2.23035736898287,0.016815573395087,1.77428831906737,"bldg"
"LYPD2",2.1274443026769,0.0328162593066856,1.48391092526503,"bldg"
"ZSWIM7",2.10293881061105,0.000174772638899704,3.75752655628381,"bldg"
"RAPSN",2.09247351008874,0.0284779167708781,1.54549178357462,"bldg"
"FGFBP3",2.04598559292801,0.00383432181923107,2.41631143907121,"bldg"
"FGF3",2.02596861217529,0.0316933917356176,1.4990312813764,"bldg"
"EVPL",2.01546705875114,0.0177146128700296,1.75166833417173,"bldg"
"ANGPTL3",1.94422699982957,0.000578815825001573,3.2374596036468,"bldg"
"F8A3",1.84647045838551,1.02595392868612e-08,7.988872141141,"bldg"
"CD8B",1.8400650925147,0.0703485844016697,1.15274463728722,"bldg"
"LOC107051332",1.83635825234711,1.70481436732938e-06,5.76832290326008,"bldg"
"TFAP2C",1.7905237281359,0.0123932428953409,1.90681503847671,"bldg"
"NEUROD6",1.7904422269695,0.000267354161888393,3.57291305087131,"bldg"
"PPFIBP1",1.77697587913215,0.0165804267420948,1.78040429589962,"bldg"
"EDAR",1.70329818246976,0.0973109459508031,1.0118383056858,"bldg"
"NLRC5",1.69597647985814,0.0946076900474736,1.02407356117277,"bldg"
"MASP1",1.69506930498146,0.0937944791917513,1.02782272374376,"bldg"
"ATP2B4",1.6649317092032,0.0154736686613004,1.81040670695558,"bldg"
"LOC100857777",1.66163373578761,0.0762306171110812,1.11787056446383,"bldg"
"TBR1",1.64632154694721,0.000412402707459633,3.38467849219813,"bldg"
"MID1",1.64196882334847,0.0658316951513647,1.18156496177857,"bldg"
"TMEM45B",1.6221497050288,0.0462761012658137,1.33464323723254,"bldg"
"PTPRG",1.60476098930113,0.0551856041137723,1.25817419888937,"bldg"
"PPP1R1B",1.59479261312262,0.00763197684495386,2.11736295593027,"bldg"
"LOC100857811",1.59447486059419,0.0952191747986204,1.02127558658718,"bldg"
"DSG4",1.57830762076463,0.0526445863750247,1.27864628218668,"bldg"
"SOX4",1.57572413527951,2.40705803080995e-06,5.61851343936488,"bldg"
"DKK1",1.56697140680634,0.0325538583282319,1.48739753086364,"bldg"
"ERBB2",1.54258793444698,0.0313949092343212,1.50314076819061,"bldg"
"LAMA5",1.53890438013551,0.0196832284961092,1.70590366591234,"bldg"
"LOC420300",1.53502384938723,0.0193349754989337,1.71365637392371,"bldg"
"KDM3B",1.53053603247706,0.0639897700888624,1.19388945022031,"bldg"
"TUBB4B",1.52781010494906,0.0960380993894578,1.01755644329263,"bldg"
"TMSB4X",1.52228453160647,0.000148282865387555,3.82890903034425,"bldg"
"RGS12",1.50375651837787,2.35982908975796e-05,4.62711944959889,"bldg"
"MACROD2",1.50366502980101,0.00573044640640952,2.2418115448234,"bldg"
"GPR112",1.49047659140838,0.0592450525799804,1.2273479107512,"bldg"
"FOXG1",1.48910919361258,0.000295879348474673,3.52888534628406,"bldg"
"NPY1R",1.48611138879191,3.88710615343362e-06,5.41037359900831,"bldg"
"LOC107056972",1.48568926089091,1.9288348618752e-05,4.71470495309555,"bldg"
"ESPL1",1.48135879210046,0.00378944458021237,2.42142444001229,"bldg"
"LOC107050337",1.44771157470078,0.0554248462914656,1.25629550263135,"bldg"
"TXK",1.42248022936216,0.0868622570935643,1.06116888979598,"bldg"
"MUSK",1.40407472237616,0.0851693041280396,1.06971690112347,"bldg"
"MAGI2",1.37668564451604,9.30549829776246e-05,4.03126036598574,"bldg"
"LAMC2",1.36639850809038,0.0675435601097565,1.17041605215079,"bldg"
"HESX1",1.36512431987355,0.0535793114820592,1.27100287156886,"bldg"
"LOC101748630",1.3535823359664,0.0100550474005007,1.99761587775472,"bldg"
"LOC101750437",1.35172217315819,3.42744229264173e-05,4.4650298486313,"bldg"
"LOC101750188",1.35154092698415,0.0127545363485352,1.8943353241912,"bldg"
