"gene","lfc","padj","logpadj","direction","tissue"
"COL10A1",9.35316616022136,9.16036120573753e-26,25.0380874011612,"bldg","gonads"
"LOC101749216",8.32456817397761,9.08424288252024e-16,15.0417112627033,"bldg","gonads"
"LOC107049904",8.2400971198022,9.72367248528519e-11,10.0121696775774,"bldg","gonads"
"WFDC2",7.33957655177732,1.08847721774574e-17,16.9631806564813,"bldg","gonads"
"LOC418356",7.28794672459428,3.59326356728888e-13,12.4445109259568,"bldg","gonads"
"LOC101747844",6.60507714205407,1.09916559125595e-16,15.9589368754097,"bldg","gonads"
"MSX2",6.01534679469961,2.72692777016945e-16,15.5643263653339,"bldg","gonads"
"DLX5",5.73375149372208,3.12797624480195e-18,17.5047365538189,"bldg","gonads"
"OCX36",5.4897985831272,1.23280671384278e-06,5.9091050091234,"bldg","gonads"
"SLC9A2",5.35249489760154,1.45881252430942e-14,13.8360005168039,"bldg","gonads"
"TFF2",5.22621806284668,6.62078604891647e-07,6.17909044614319,"bldg","gonads"
"SPINK5",5.06264099497019,7.36148535360086e-10,9.13303454764783,"bldg","gonads"
"IL20RB",4.86084903144415,3.23832707862288e-09,8.48967928860698,"bldg","gonads"
"GCM1",4.59819285687363,4.94244260459737e-06,5.30605836534285,"bldg","gonads"
"LOC107053409",4.49719865205103,1.00205823263986e-05,4.99910703956728,"bldg","gonads"
"LOC107051435",4.47537300094574,1.10708666660611e-16,15.9558183797035,"bldg","gonads"
"LOC107055918",4.42783360697893,0.000426246509305133,3.37033916458766,"bldg","gonads"
"DLX6",4.4012236681633,4.65062693943953e-14,13.3324884970056,"bldg","gonads"
"LOC416696",4.40012591379168,6.59461497396708e-19,18.1808105556237,"bldg","gonads"
"PI15",4.39928605735463,4.37163149639668e-08,7.35935645372748,"bldg","gonads"
"PTPN5",4.33966517696708,4.34445278342452e-05,4.3620649184341,"bldg","gonads"
"LOC107056149",4.30978757398969,7.82774699977661e-09,8.10636321959766,"bldg","gonads"
"SLC26A3",4.26543148179435,1.45960028221792e-09,8.83576606133529,"bldg","gonads"
"CA8",4.26147560596693,1.79156478557786e-17,16.7467674824963,"bldg","gonads"
"TUSC5",4.19245083650497,3.68226917541097e-06,5.433884467564,"bldg","gonads"
"TMEM45B",4.13993701204642,2.002926799405e-15,14.6983349224964,"bldg","gonads"
"PPIL6",4.09105171214614,6.20999993094411e-14,13.2069084046528,"bldg","gonads"
"OVCH2",4.0754935279612,1.80094719529972e-12,11.7444990207319,"bldg","gonads"
"ATP2B4",3.9156065656379,1.08700794558741e-11,10.9637672813855,"bldg","gonads"
"GAS2L2",3.88605019446809,6.99390590738626e-08,7.15528021477453,"bldg","gonads"
"ERMN",3.7853767693363,0.00176165087741995,2.75408015553418,"bldg","gonads"
"CCDC17",3.76231484182627,1.8471692362801e-07,6.73349331299747,"bldg","gonads"
"SEMA3G",3.74774722048158,3.12797624480195e-18,17.5047365538189,"bldg","gonads"
"PNOC",3.72783319460708,0.000706165094710103,3.15109375314143,"bldg","gonads"
"LOC101750448",3.67719963049483,2.5613387924918e-07,6.59153297288716,"bldg","gonads"
"RSPH14",3.66993414481005,4.09925606283731e-10,9.38729495233393,"bldg","gonads"
"FGFBP3",3.66908319904588,1.82517466273709e-10,9.73869556877832,"bldg","gonads"
"LOC107055116",3.61384337371374,4.25989821475285e-09,8.3706007777281,"bldg","gonads"
"IL13RA2",3.6101917228438,2.01086825749321e-14,13.6966163813764,"bldg","gonads"
"IQCG",3.60989591817157,0.00152153080137033,2.81771925150183,"bldg","gonads"
"LOC107052725",3.60673238002331,6.41135775666587e-08,7.19304998861138,"bldg","gonads"
"RPRM",3.5829050293207,3.20256523543213e-10,9.49450201502601,"bldg","gonads"
"RP11-166N6.1",3.53649690376246,9.36080122964957e-05,4.028686976612,"bldg","gonads"
"LOC771638",3.53573817810936,3.71139086209244e-10,9.43046330587458,"bldg","gonads"
"C20ORF27",3.52200724672947,4.10748528167144e-11,10.386423984095,"bldg","gonads"
"DCDC2",3.51889256496645,3.90606259191741e-16,15.4082608017275,"bldg","gonads"
"C7H21ORF58",3.51322458204338,1.7001887184739e-09,8.76950286989055,"bldg","gonads"
"AGBL2",3.49269326458693,1.69907897960655e-10,9.76978643301436,"bldg","gonads"
"DSG4",3.47149679689727,1.96853171767318e-07,6.70585758331243,"bldg","gonads"
"ADCY8",3.46080688342526,1.10833255731281e-10,9.95532990916013,"bldg","gonads"
"IQCA1",3.45444864796924,2.20818188250819e-15,14.6559651577017,"bldg","gonads"
"CCDC37",3.4371789516489,7.51792683481115e-10,9.12390190519741,"bldg","gonads"
"CDHR4",3.43195459369199,1.59719742569959e-07,6.79664139845601,"bldg","gonads"
"LOC107055647",3.42223170836896,7.97968239924148e-12,11.0980143937372,"bldg","gonads"
"SPTSSB",3.40879724887621,4.47249867799937e-07,6.34944977913122,"bldg","gonads"
"PACRG",3.38638418438947,4.95272137992329e-14,13.3051561029817,"bldg","gonads"
"CDC20B",3.38261217420311,6.62203383605677e-10,9.17900860449981,"bldg","gonads"
"HOXD11",3.34031716008042,0.0144070818989643,1.84142397501625,"bldg","gonads"
"LOC107052729",3.30819975145653,0.000170093623018915,3.76931196821936,"bldg","gonads"
"LOC100859524",3.26771066686091,1.06615468459392e-07,6.97217978049521,"bldg","gonads"
"ODF2L",3.2583066190303,0.000216870204029052,3.6638001119538,"bldg","gonads"
"CCDC67",3.24988007158987,3.15220886767393e-09,8.50138501355783,"bldg","gonads"
"LOC107055658",3.24857427331035,1.07153231415062e-08,7.96999472742599,"bldg","gonads"
"LOC107053416",3.22504183612238,1.07298285708897e-06,5.96940721664648,"bldg","gonads"
"SOX17",3.22173621574584,1.42859004695343e-09,8.84509237994874,"bldg","gonads"
"LOC428593",3.2157131145082,3.65508441810511e-05,4.43710258809221,"bldg","gonads"
"C14H16ORF52",3.1968645681602,3.53833602743227e-05,4.45120092554449,"bldg","gonads"
"CDHR3",3.19387713874172,2.78538377467168e-07,6.55511495857299,"bldg","gonads"
"SLC39A8",3.19273361261395,8.66943190899503e-08,7.06200936006381,"bldg","gonads"
"RP1",3.1910337290617,9.75603445482362e-05,4.01072667458285,"bldg","gonads"
"PDE6B",3.18911302339787,4.03963317996472e-08,7.39365806933245,"bldg","gonads"
"LOC100859272",3.18123229787246,3.03348612186221e-13,12.5180579876039,"bldg","gonads"
"DNAI2",3.18114500872087,3.58522841469712e-09,8.44548317023816,"bldg","gonads"
"TSPAN8",3.18043876286921,5.14599374838784e-08,7.28853074572814,"bldg","gonads"
"FAM154B",3.17420129753154,1.25669273691074e-08,7.90077089492843,"bldg","gonads"
"LOC101750488",3.16801957398762,0.00750690335900095,2.12453917503847,"bldg","gonads"
"GPR37",3.14745427651457,1.81104873737694e-12,11.7420698621713,"bldg","gonads"
