"gene","lfc","padj","logpadj","direction","tissue"
"TIMM10B",2.50576021579129,0.0914605483163558,1.03876619930288,"bldg","hypothalamus"
"TMEM173",2.35562438459934,0.00926245166163446,2.03327404547849,"bldg","hypothalamus"
"BRS3",2.34456151962101,1.60499871776417e-06,5.79452531021747,"bldg","hypothalamus"
"ADGRF4",2.23187019041101,0.0164846010440619,1.78292155907339,"bldg","hypothalamus"
"LYPD2",2.12770337342651,0.0317686535897656,1.49800119093068,"bldg","hypothalamus"
"RAPSN",2.09397423077367,0.0276101296911896,1.55893155337393,"bldg","hypothalamus"
"FGFBP3",2.04829244353264,0.00367537370906334,2.43469849561856,"bldg","hypothalamus"
"FGF3",2.02784024544981,0.0308072444337494,1.51134714558882,"bldg","hypothalamus"
"EVPL",2.01733219529953,0.0172061443974323,1.76431643673317,"bldg","hypothalamus"
"ANGPTL3",1.94593602996059,0.00055155730549743,3.25840935871174,"bldg","hypothalamus"
"F8A3",1.84780930350278,8.89384844725382e-09,8.0509102752786,"bldg","hypothalamus"
"CD8B",1.84156478905888,0.0687309518099141,1.1628476417896,"bldg","hypothalamus"
"LOC107051332",1.83865646240653,1.59468555621502e-06,5.79732493935509,"bldg","hypothalamus"
"TFAP2C",1.79304654434222,0.0119562669904345,1.9224043954747,"bldg","hypothalamus"
"NEUROD6",1.79169998133874,0.00026045929946414,3.58426013186208,"bldg","hypothalamus"
"EDAR",1.70546055244835,0.0950234855757646,1.02216904318058,"bldg","hypothalamus"
"NLRC5",1.69817100910522,0.0921815506833153,1.03535599042345,"bldg","hypothalamus"
"LOC100857777",1.66268292610567,0.0738176644339682,1.13183969985407,"bldg","hypothalamus"
"ATP2B4",1.66023767813715,0.0150625440841862,1.82210166901113,"bldg","hypothalamus"
"ATP2B4",1.66023767813715,0.0150625440841862,1.82210166901113,"bldg","hypothalamus"
"TBR1",1.64826827453931,0.000392588134243041,3.40606283084566,"bldg","hypothalamus"
"MID1",1.6430078315904,0.0637487194680952,1.19552853455715,"bldg","hypothalamus"
"TMEM45B",1.62399701977631,0.0447061857361217,1.34963238189709,"bldg","hypothalamus"
"PTPRG",1.60538372380245,0.0535101837426492,1.27156355774782,"bldg","hypothalamus"
"PPP1R1B",1.59869493160252,0.00732351134874239,2.13528064110772,"bldg","hypothalamus"
"LOC100857811",1.59616690447093,0.0932215077161669,1.03048387729362,"bldg","hypothalamus"
"DSG4",1.58059077231262,0.0511274823843516,1.29134559224322,"bldg","hypothalamus"
"SOX4",1.57775219326078,2.2474061392982e-06,5.64831843709688,"bldg","hypothalamus"
"DKK1",1.56900219974859,0.031643278981422,1.49971851980921,"bldg","hypothalamus"
"ERBB2",1.54493153263183,0.0303835334182358,1.51736172175666,"bldg","hypothalamus"
"LOC420300",1.53779866972188,0.0185473920929282,1.73171714692619,"bldg","hypothalamus"
"TUBB4B",1.52986250610674,0.0938179955388785,1.02771385017487,"bldg","hypothalamus"
"RGS12",1.52645198580941,1.83511206974446e-05,4.73633740836807,"bldg","hypothalamus"
"RGS12",1.52645198580941,1.83511206974446e-05,4.73633740836807,"bldg","hypothalamus"
"TMSB4X",1.52370839670793,0.00014069567511515,3.85171925226315,"bldg","hypothalamus"
"MACROD2",1.50513126165865,0.00557188795764555,2.2539976251744,"bldg","hypothalamus"
"FOXG1",1.49247314540145,0.00028264222340367,3.54876295918435,"bldg","hypothalamus"
