"gene","lfc","padj","logpadj","direction","tissue"
"TH",4.76608524623836,1.11747939564939e-05,4.95176047574705,"bldg","pituitary"
"LOC107050724",4.45112163021551,0.00059106913690262,3.22836171705582,"bldg","pituitary"
"ATP2B4",4.18346221522941,7.045976446874e-09,8.15205881290183,"bldg","pituitary"
"ATP2B4",4.18346221522941,7.045976446874e-09,8.15205881290183,"bldg","pituitary"
"TIMM10B",3.92825437857878,0.00228734183504249,2.64066892678856,"bldg","pituitary"
"LOC107055658",3.74978344499872,4.30244330520463e-07,6.36628484381249,"bldg","pituitary"
"DMB2",3.33967319938288,1.27718890639613e-07,6.89374486237803,"bldg","pituitary"
"TN",3.25893693254356,8.81642473670008e-07,6.05470749558374,"bldg","pituitary"
"ANXA5",3.24915926483368,2.09418893920883e-08,7.67898413853389,"bldg","pituitary"
"LOC107050646",2.85148751041723,9.21693191742857e-12,11.0354136204947,"bldg","pituitary"
"ECM1",2.80901055368176,5.59444587478816e-18,17.2522429235127,"bldg","pituitary"
"LOC101750437",2.80752410570028,4.6374316155082e-07,6.33372248152275,"bldg","pituitary"
"LOC107056903",2.70151919034643,7.52295912379671e-05,4.1236112979253,"bldg","pituitary"
"LOC107055647",2.61563296163428,7.1537787527042e-08,7.1454644955493,"bldg","pituitary"
"DIO3",2.60689308808243,0.00344819746106958,2.46240787225642,"bldg","pituitary"
"LOC101748081",2.56023342405397,5.21909746056667e-17,16.2824045931252,"bldg","pituitary"
"TUBB4B",2.55553782698464,0.0143901911140283,1.84193343822345,"bldg","pituitary"
"LOC100858002",2.46534805404684,0.0119307723386931,1.92333144136104,"bldg","pituitary"
"SLC6A11",2.44670151921066,0.0064154967237685,2.19276971247063,"bldg","pituitary"
"LOC107051332",2.44539949090556,7.59343144775192e-10,9.11956192343901,"bldg","pituitary"
"LOC422926",2.44074975682296,0.0025583143710507,2.5920460895588,"bldg","pituitary"
"LAMC3",2.4352269034813,9.10686231491971e-08,7.04063122939787,"bldg","pituitary"
"LOC101748630",2.42948879573738,0.000461815707240669,3.33553129997679,"bldg","pituitary"
"F8A3",2.42242285335351,1.03443594256615e-14,13.9852963978464,"bldg","pituitary"
"ABCA4",2.37681723535637,2.51919530561566e-05,4.59873816165506,"bldg","pituitary"
"EMID1",2.35642226530104,7.21242469617715e-09,8.14191870821479,"bldg","pituitary"
"CD6",2.30258456511378,0.0311675374158694,1.5062975104902,"bldg","pituitary"
"LOC107054221",2.28750079692174,3.11295855880624e-05,4.50682666081494,"bldg","pituitary"
"LOC107049580",2.27862259877804,5.74068376136842e-10,9.2410363765735,"bldg","pituitary"
"LOC107055116",2.25745754221037,0.000393781909545507,3.40474423935337,"bldg","pituitary"
"OTOL1",2.22919178503305,0.00130734785409856,2.88360884163482,"bldg","pituitary"
"LOC100859302",2.22908473801526,0.00676384068276156,2.16980663043745,"bldg","pituitary"
"LOC100859602",2.20777637091428,0.00296493465925165,2.5279848731055,"bldg","pituitary"
"C17ORF89",2.15199208697087,0.000904683949797297,3.04350311453165,"bldg","pituitary"
"FAM110A",2.13047837164831,0.00391929194498891,2.40679238506098,"bldg","pituitary"
"ADO",2.09337185280816,7.57935476376352e-08,7.12036776461392,"bldg","pituitary"
"ADSSL1",2.08787620256197,6.08259451919285e-07,6.21591113371733,"bldg","pituitary"
"ANGPTL3",2.08452700858796,3.53032281189966e-07,6.45218558100968,"bldg","pituitary"
"CCDC142",2.065431333391,2.55488002819811e-10,9.59262948860749,"bldg","pituitary"
"LOC107050880",2.06243698330767,0.00371881467484673,2.4295954639365,"bldg","pituitary"
"CCDC102B",2.05718477158858,7.65709304653031e-06,5.11593607546723,"bldg","pituitary"
"BDNF",2.04110561962596,0.0166750929723205,1.77793173598693,"bldg","pituitary"
"GPR50",2.03776315030838,0.0106938879173755,1.97086437205169,"bldg","pituitary"
"FCN2",2.02876951967596,0.000339202304674747,3.46954120563665,"bldg","pituitary"
"TCTN3",2.01997637939434,0.0168538411980097,1.77330110244949,"bldg","pituitary"
"GSG1",1.99816812872187,0.0350654763796149,1.45512025664734,"bldg","pituitary"
"RUNX3",1.97514826285378,0.0489217793829971,1.31049775518925,"bldg","pituitary"
"HSPBP1",1.9597928780499,7.68634710885894e-10,9.1142800070616,"bldg","pituitary"
"LOC101751307",1.94419724778006,6.40446031923475e-08,7.19351746080661,"bldg","pituitary"
"PAGR1",1.9432396863494,3.51388239699307e-14,13.4542127776135,"bldg","pituitary"
"LOC107050672",1.92996334642034,3.1425475704853e-08,7.50271813943583,"bldg","pituitary"
"LOC107054321",1.92692849483168,0.000207299453305198,3.68340184323585,"bldg","pituitary"
"CD93",1.92270786333975,3.68062666949162e-05,4.43407823134503,"bldg","pituitary"
"TUT1",1.91684297842087,2.83197169362094e-05,4.54791109185998,"bldg","pituitary"
"SCO2",1.90739531913681,2.0430238109596e-07,6.68972657173853,"bldg","pituitary"
"SH2D1A",1.90494165642621,0.0377143267693494,1.42349364037986,"bldg","pituitary"
"LOC107056399",1.87674116856591,0.0101975475821169,1.99150425957276,"bldg","pituitary"
"TRIL",1.87573125850193,8.39195089755331e-08,7.07613706592318,"bldg","pituitary"
"HSPG2",1.86134855035038,7.32742450446434e-09,8.13504864746659,"bldg","pituitary"
"LOC107052033",1.85763142925554,6.89875170680602e-13,12.1612294854788,"bldg","pituitary"
"JAK3",1.84897118665401,0.0110525846937536,1.95653614849728,"bldg","pituitary"
"LOC107050660",1.84789702526539,5.24426472614648e-05,4.28031539360232,"bldg","pituitary"
"LOC107050482",1.84769169003859,1.8079796868083e-05,4.74280645326144,"bldg","pituitary"
"IGFBP5",1.84471485750912,3.3403966681309e-13,12.476201958173,"bldg","pituitary"
