"gene","lfc","padj","logpadj","direction","tissue"
"LGALS1",2.97072203158405,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"BTC",2.34251238190018,0.00077170519839278,3.11254857422757,"inc.d3","pituitary"
"SGK2",2.20365285972461,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"LOC100857380",1.72454715558374,0.03749930402912,1.42597679251542,"inc.d3","pituitary"
"FDX1L",1.6630463995857,0.0180627321069186,1.74321655915993,"inc.d3","pituitary"
"SLC12A4",1.65358077671892,0.0241062289520134,1.61787072298733,"inc.d3","pituitary"
"KRT14",1.2027856178691,0.0695793815601692,1.15751943569478,"inc.d3","pituitary"
"CSRP1",1.01194052847645,0.0147709578133214,1.83059134222677,"inc.d3","pituitary"
"AGR2",0.992404627559602,0.0933966695805382,1.02966860994317,"inc.d3","pituitary"
"ALDH1A2",0.982037267095045,0.0194943816531485,1.71009053574578,"inc.d3","pituitary"
"GNRHR",0.979056912675352,0.0233195645647822,1.6322795632131,"inc.d3","pituitary"
"PDIA3",0.915862514467221,0.00077170519839278,3.11254857422757,"inc.d3","pituitary"
"SSR2",0.855182210738625,0.00166267610405435,2.77919234484073,"inc.d3","pituitary"
"NPC2",0.849490786418892,0.0233195645647822,1.6322795632131,"inc.d3","pituitary"
"CLEC3B",0.844816520093182,0.0157877814464261,1.80167889426462,"inc.d3","pituitary"
"FAAH2",0.839467051466955,0.00986781078188153,2.00577918682444,"inc.d3","pituitary"
"KANK1",0.832867434686878,0.0734923616060073,1.13375779676271,"inc.d3","pituitary"
"LOC101747652",0.823452985787225,0.0819852184844366,1.08626444163229,"inc.d3","pituitary"
"CGA",0.805371772184948,0.0139834109433985,1.85438687914759,"inc.d3","pituitary"
"MANF",0.792921570390382,0.00677836170932041,2.16887525990547,"inc.d3","pituitary"
"LOC771758",0.77513234133659,0.0782503218889889,1.10651386727258,"inc.d3","pituitary"
"RPS11",0.770957404931921,0.0897835582601999,1.04680318683649,"inc.d3","pituitary"
"RPL35A",0.767290492811945,0.0496865500011718,1.30376115756057,"inc.d3","pituitary"
"SERF2",0.76028256267903,0.0321746817350488,1.49248574034885,"inc.d3","pituitary"
"CRELD2",0.746271508886581,0.0139834109433985,1.85438687914759,"inc.d3","pituitary"
"HPSE",0.733100038553688,0.0597774183990385,1.22346284472099,"inc.d3","pituitary"
"NKIRAS1",0.717424558509991,0.00991645998705664,2.00364333615925,"inc.d3","pituitary"
"PACRG",0.706729892494065,0.0180627321069186,1.74321655915993,"inc.d3","pituitary"
"RPS17",0.70572423141659,0.00186933149218051,2.72831367750869,"inc.d3","pituitary"
"HSD17B10",0.696044016980615,0.03749930402912,1.42597679251542,"inc.d3","pituitary"
"SDF2L1",0.693324378451963,0.0111820204706902,1.95147971702282,"inc.d3","pituitary"
"CORO7",0.686611489153355,0.0986200752334934,1.00603467049806,"inc.d3","pituitary"
"SPCS2",0.684658485879487,0.00186933149218051,2.72831367750869,"inc.d3","pituitary"
"TRIAP1",0.678723217297128,0.0194943816531485,1.71009053574578,"inc.d3","pituitary"
"GADL1",0.678293137153263,0.0782503218889889,1.10651386727258,"inc.d3","pituitary"
"LOC107054051",0.67761246440205,0.0823193946514283,1.08449783188643,"inc.d3","pituitary"
"DYL1",0.664088862650743,0.0100172275932279,1.99925245886447,"inc.d3","pituitary"
"RBM8A",0.6583671601522,0.0804742429837924,1.09434310000436,"inc.d3","pituitary"
"RGCC",0.657310414538248,0.0823193946514283,1.08449783188643,"inc.d3","pituitary"
"PLVAP",0.655202651877971,0.0453894632141774,1.3430449532893,"inc.d3","pituitary"
"LSM1",0.653123859871309,0.0282416517432325,1.54910990669978,"inc.d3","pituitary"
"RPL24",0.653088321795535,0.0139834109433985,1.85438687914759,"inc.d3","pituitary"
"RBP5",0.638198767286977,0.0671878808562144,1.17270905658799,"inc.d3","pituitary"
"MDK",0.636905330933196,0.0157877814464261,1.80167889426462,"inc.d3","pituitary"
"SEC61G",0.630123339130643,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"UQCR10",0.629921405454964,0.0616936757890278,1.20975935315798,"inc.d3","pituitary"
"REEP6",0.628974859973583,0.0531664535443499,1.27436230822988,"inc.d3","pituitary"
"GCSH",0.618067765498712,0.0289652075920387,1.53812335458927,"inc.d3","pituitary"
"NDUFB10",0.611253307321311,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"CCDC86",0.60775760265716,0.0672262637341675,1.17246102506424,"inc.d3","pituitary"
"HSPA5",0.603290129088065,0.0241062289520134,1.61787072298733,"inc.d3","pituitary"
"S100A11",0.601401670302806,0.0695793815601692,1.15751943569478,"inc.d3","pituitary"
"NDUFA6",0.601199450281345,0.0616936757890278,1.20975935315798,"inc.d3","pituitary"
"OSTC",0.595985048228591,0.0180627321069186,1.74321655915993,"inc.d3","pituitary"
"MRPL54",0.595666922053428,0.0265739532350121,1.57554383360472,"inc.d3","pituitary"
"NDUFC2",0.591804841035799,0.0157877814464261,1.80167889426462,"inc.d3","pituitary"
"RPS16",0.591104607876946,0.0139834109433985,1.85438687914759,"inc.d3","pituitary"
"SNRPF",0.584660875548267,0.0216740482902288,1.66405996335009,"inc.d3","pituitary"
"SNRPD2",0.584624987740066,0.0216740482902288,1.66405996335009,"inc.d3","pituitary"
"RPS21",0.574752232168877,0.0734923616060073,1.13375779676271,"inc.d3","pituitary"
"HIGD2A",0.571168669562022,0.0406424086501736,1.39102056173591,"inc.d3","pituitary"
"SUPT4H1",0.564999941438553,0.0245189036658465,1.61049895269024,"inc.d3","pituitary"
"EARS2",0.556607348993707,0.0499980212240419,1.30104718343368,"inc.d3","pituitary"
"LOC107051220",0.555335171148338,0.0970695352678453,1.01291704960832,"inc.d3","pituitary"
"YRDC",0.552975830346667,0.00892428083922274,2.04942677131003,"inc.d3","pituitary"
"HSP90B1",0.550629683915087,0.0229403064131334,1.63940078553483,"inc.d3","pituitary"
"C28H19ORF10",0.545129584811713,0.00522433466438518,2.28196901047716,"inc.d3","pituitary"
"ECHS1",0.545076828704336,0.0616936757890278,1.20975935315798,"inc.d3","pituitary"
"RPL38",0.544938164065454,0.0351246497790184,1.45438799733022,"inc.d3","pituitary"
"COX4I1",0.544707105703112,0.0421832299219504,1.37486016988872,"inc.d3","pituitary"
"RPL22",0.544702582878284,0.0203334904440712,1.69178806403367,"inc.d3","pituitary"
"RPL34",0.543195627015617,0.0416433107261587,1.38045475051248,"inc.d3","pituitary"
"RPL11",0.540099356866852,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"EFR3A",0.537532908796458,0.0499980212240419,1.30104718343368,"inc.d3","pituitary"
"PDIA6",0.536894280594559,0.00895497625442256,2.04793556141595,"inc.d3","pituitary"
"PBDC1",0.531629826545127,0.0837238526177827,1.07715079547732,"inc.d3","pituitary"
"RPSA",0.530469869472498,0.00077170519839278,3.11254857422757,"inc.d3","pituitary"
"LOC107057057",0.529676152217654,0.098031223153308,1.00863557855742,"inc.d3","pituitary"
"XBP1",0.523984205483022,0.0147709578133214,1.83059134222677,"inc.d3","pituitary"
"NDUFA8",0.522726334126981,0.0324191098295583,1.48919891426907,"inc.d3","pituitary"
"RPL32",0.521764175728607,0.0657408234178593,1.18216486058915,"inc.d3","pituitary"
"RPL30",0.519052517304459,0.0668421389102015,1.17494966138135,"inc.d3","pituitary"
"SLC35B1",0.516918366009582,0.00991645998705664,2.00364333615925,"inc.d3","pituitary"
"C1QTNF4",0.512910985645318,0.0819852184844366,1.08626444163229,"inc.d3","pituitary"
"RPS13",0.510914669300287,0.0806509154563813,1.09339069863586,"inc.d3","pituitary"
"SUMF2",0.510809062252691,0.0241062289520134,1.61787072298733,"inc.d3","pituitary"
"SELK",0.506124567749843,0.0981215876129471,1.00823543349904,"inc.d3","pituitary"
"TMPRSS13",0.505376552636497,0.0749407218923157,1.12528212773089,"inc.d3","pituitary"
"UFC1",0.50470271640635,0.0837238526177827,1.07715079547732,"inc.d3","pituitary"
"PPIL1",0.501214223759928,0.0505664355776678,1.29613765865751,"inc.d3","pituitary"
"HTR1F",0.499631500077392,0.0933966695805382,1.02966860994317,"inc.d3","pituitary"
"RPS14",0.497543461367234,0.0986200752334934,1.00603467049806,"inc.d3","pituitary"
"RPS8",0.497409441759171,0.016929269606573,1.77136177861154,"inc.d3","pituitary"
"COMMD4",0.495403740111294,0.0289652075920387,1.53812335458927,"inc.d3","pituitary"
"RPL7",0.495272564284608,0.0241062289520134,1.61787072298733,"inc.d3","pituitary"
"LOC107050492",0.492382185287274,0.0226492492249658,1.64494618936234,"inc.d3","pituitary"
"MRPS26",0.490276103643319,0.0695793815601692,1.15751943569478,"inc.d3","pituitary"
"SSR3",0.490155149437708,0.0293279567000626,1.53271819357586,"inc.d3","pituitary"
"FUCA1",0.48966636604672,0.0500039392273559,1.30099578131767,"inc.d3","pituitary"
"SPCS3",0.489212411930422,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"TMEM254",0.489207569062116,0.0823193946514283,1.08449783188643,"inc.d3","pituitary"
"ENY2",0.488046322905591,0.0837238526177827,1.07715079547732,"inc.d3","pituitary"
"FICD",0.486637431610594,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"LURAP1",0.485749702878592,0.0281242955352683,1.55091834706644,"inc.d3","pituitary"
"NABP1",0.482966325354937,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"AK1",0.48292363648472,0.0332230790323196,1.47856012068717,"inc.d3","pituitary"
"NIP7",0.482845528540727,0.0671878808562144,1.17270905658799,"inc.d3","pituitary"
"MRPL14",0.482830428286969,0.040221392425909,1.39554289862189,"inc.d3","pituitary"
"HM13",0.482299649993824,0.00522433466438518,2.28196901047716,"inc.d3","pituitary"
"AIMP1",0.481837342241902,0.0251450360840897,1.59954773681339,"inc.d3","pituitary"
"PRELID1",0.481282603095514,0.0233195645647822,1.6322795632131,"inc.d3","pituitary"
"RPL39",0.477513444386955,0.054610791594823,1.26272152822967,"inc.d3","pituitary"
"RPS3",0.477429339926681,0.0379018289579264,1.42133983258681,"inc.d3","pituitary"
"RPLP0",0.476617214138097,0.0429992565667425,1.36653905306582,"inc.d3","pituitary"
"COX17",0.476190086790648,0.0975239621845873,1.01088866259941,"inc.d3","pituitary"
"P4HB",0.475993877401398,0.00677836170932041,2.16887525990547,"inc.d3","pituitary"
"MRPL21",0.472792746852177,0.0483169899958949,1.31590012879278,"inc.d3","pituitary"
"FBXO2",0.47236715936899,0.0157877814464261,1.80167889426462,"inc.d3","pituitary"
"RPL10A",0.471835352484771,0.0631263554262835,1.19978928375905,"inc.d3","pituitary"
"DPM2",0.470945871473942,0.0216740482902288,1.66405996335009,"inc.d3","pituitary"
"DERL2",0.46985153072355,0.00264191586008014,2.57808101794208,"inc.d3","pituitary"
"SSBP1",0.469324402465441,0.0803280115199825,1.09513298364767,"inc.d3","pituitary"
"RPS25",0.461295455258225,0.0772138349072788,1.11230487731229,"inc.d3","pituitary"
"ABHD6",0.457997813216971,0.0180627321069186,1.74321655915993,"inc.d3","pituitary"
"MXRA7",0.456800472371277,0.0803280115199825,1.09513298364767,"inc.d3","pituitary"
"MXRA7",0.456800472371277,0.0803280115199825,1.09513298364767,"inc.d3","pituitary"
"TMEM258",0.454495192662225,0.0616936757890278,1.20975935315798,"inc.d3","pituitary"
"RPS27L",0.453561915760107,0.0926057097316975,1.03336223547224,"inc.d3","pituitary"
"CFDP1",0.442661666202639,0.0421832299219504,1.37486016988872,"inc.d3","pituitary"
"MCFD2",0.440954296190526,0.0728051514361837,1.13783789045129,"inc.d3","pituitary"
"MTCH2",0.43520321323769,0.0721380796759527,1.14183542283326,"inc.d3","pituitary"
"RPL35",0.43502194590706,0.0415588105500908,1.38133689082911,"inc.d3","pituitary"
"RPS7",0.434805127723096,0.0165908742802888,1.78013072759224,"inc.d3","pituitary"
"LHPP",0.432351785044325,0.054610791594823,1.26272152822967,"inc.d3","pituitary"
"RPS29",0.430717026588762,0.098031223153308,1.00863557855742,"inc.d3","pituitary"
"OAZ1",0.428755553766366,0.0986200752334934,1.00603467049806,"inc.d3","pituitary"
"RPS2",0.424031677480488,0.0233195645647822,1.6322795632131,"inc.d3","pituitary"
"HMGN1",0.423398570807935,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"ATP5G3",0.422827545983619,0.0180627321069186,1.74321655915993,"inc.d3","pituitary"
"SOD1",0.417916480322424,0.0951250534565374,1.02170508616489,"inc.d3","pituitary"
"HRSP12",0.417900790262176,0.0406424086501736,1.39102056173591,"inc.d3","pituitary"
"RPL15",0.416029553966756,0.0820611829937744,1.085862226536,"inc.d3","pituitary"
"AP000304.12",0.413334763321403,0.0734923616060073,1.13375779676271,"inc.d3","pituitary"
"NECAP2",0.411526884490224,0.0811072134162324,1.09094051930854,"inc.d3","pituitary"
"PRDX4",0.409965310838669,0.0378230077694806,1.42224393805712,"inc.d3","pituitary"
"DNAJB11",0.404947938757845,0.03749930402912,1.42597679251542,"inc.d3","pituitary"
"CISD3",0.404947261217447,0.0644266191252744,1.19093465825108,"inc.d3","pituitary"
"PARK7",0.404214843859477,0.0785593227808969,1.10480226903204,"inc.d3","pituitary"
"DNTTIP1",0.401906515960556,0.0984343430935744,1.00685335264739,"inc.d3","pituitary"
"NDUFB9",0.400472170042971,0.0629324220709031,1.2011255533028,"inc.d3","pituitary"
"RPL5",0.392975658090423,0.066005816851007,1.18041778998877,"inc.d3","pituitary"
"PSMD7",0.392718022182464,0.068983794613835,1.16125291993495,"inc.d3","pituitary"
"SOD2",0.391944086807689,0.0289191942417147,1.53881381169742,"inc.d3","pituitary"
"RPL7A",0.389695057946506,0.0107350097733233,1.96919755583896,"inc.d3","pituitary"
"TPI1",0.389508359836667,0.0604662547857314,1.2184869302904,"inc.d3","pituitary"
"ITPA",0.388876560640491,0.0248840152117329,1.60407954184272,"inc.d3","pituitary"
"DPH6",0.386268117975763,0.0225439060910326,1.64697083332944,"inc.d3","pituitary"
"LOC107050681",0.386215593003001,0.0897835582601999,1.04680318683649,"inc.d3","pituitary"
"MRPL28",0.38536239913359,0.0611997190637142,1.21325057147141,"inc.d3","pituitary"
"OAZ2",0.385089742125065,0.0408657330254043,1.38864070655717,"inc.d3","pituitary"
"MRPL20",0.384474929502285,0.0631263554262835,1.19978928375905,"inc.d3","pituitary"
"RITA1",0.378066575271751,0.0806509154563813,1.09339069863586,"inc.d3","pituitary"
"NAA20",0.37752127195972,0.0926057097316975,1.03336223547224,"inc.d3","pituitary"
"POLR3D",0.376376578655656,0.0804554436814826,1.09444456584902,"inc.d3","pituitary"
"RPS3A",0.376204344841484,0.03749930402912,1.42597679251542,"inc.d3","pituitary"
"ATP5H",0.375126844330379,0.0943994227017827,1.02503066161503,"inc.d3","pituitary"
"MRPL27",0.373433740000548,0.0289652075920387,1.53812335458927,"inc.d3","pituitary"
"EMC8",0.373237348014781,0.0695793815601692,1.15751943569478,"inc.d3","pituitary"
"EMC3",0.371607330538478,0.0459990025466382,1.33725158556164,"inc.d3","pituitary"
