"","sex","tissue","treatment","gene","samples","counts"
"1","female","pituitary","control","ACOT12","L.G118_female_pituitary_control.NYNO",6.00727064366464
"2","female","pituitary","control","ACOT12","R.G106_female_pituitary_control",6.18692308018799
"3","female","pituitary","control","ACOT12","R.R20_female_pituitary_control",6.13820174923643
"4","female","pituitary","control","ACOT12","R.R9_female_pituitary_control.NYNO",7.47857622017017
"5","female","pituitary","control","ACOT12","R.W44_female_pituitary_control.NYNO",5.91967401772525
"6","female","pituitary","prolong","ACOT12","blk.s031.pu.d_female_pituitary_prolong",5.85764228263311
"7","female","pituitary","m.hatch","ACOT12","blk.s032.g.w_female_pituitary_m.hatch",6.25300844554556
"8","female","pituitary","m.inc.d3","ACOT12","blk.s049.y.g_female_pituitary_m.inc.d3",5.73406523338285
"9","female","pituitary","m.inc.d3","ACOT12","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO",5.52478377917721
"10","female","pituitary","inc.d9","ACOT12","blk.s061.pu.y_female_pituitary_inc.d9",5.09617484266786
"11","female","pituitary","m.inc.d8","ACOT12","blk.y.l.s109_female_pituitary_m.inc.d8",5.59543720425843
"12","female","pituitary","m.n2","ACOT12","blk0.x_female_pituitary_m.n2",5.09617484266786
"13","female","pituitary","bldg","ACOT12","blk11.x_female_pituitary_bldg",5.09617484266786
"14","female","pituitary","extend","ACOT12","blk19.x_female_pituitary_extend",6.15172008637122
"15","female","pituitary","hatch","ACOT12","blk21.x_female_pituitary_hatch",6.31130822002257
"16","female","pituitary","n9","ACOT12","blk4.x_female_pituitary_n9",5.09617484266786
"17","female","pituitary","control","ACOT12","blu.o.x.ATLAS_female_pituitary_control",6.0792176570004
"18","female","pituitary","hatch","ACOT12","blu103.x_female_pituitary_hatch.NYNO",5.98124025750245
"19","female","pituitary","inc.prolong","ACOT12","blu115.y150.x_female_pituitary_inc.prolong",6.39062860247019
"20","female","pituitary","m.inc.d8","ACOT12","blu119.w84.x_female_pituitary_m.inc.d8",6.06802091436974
"21","female","pituitary","hatch","ACOT12","blu124.w180.x_female_pituitary_hatch",6.32328905932503
"22","female","pituitary","n9","ACOT12","blu36.w16_female_pituitary_n9",5.09617484266786
"23","female","pituitary","bldg","ACOT12","blu38.g135.x_female_pituitary_bldg",5.09617484266786
"24","female","pituitary","inc.d3","ACOT12","blu39.o26.x_female_pituitary_inc.d3.NYNO",5.42498740147813
"25","female","pituitary","extend","ACOT12","blu44.y102_female_pituitary_extend",5.09617484266786
"26","female","pituitary","inc.d9","ACOT12","blu47.y96.x_female_pituitary_inc.d9",5.09617484266786
"27","female","pituitary","n5","ACOT12","blu55.g51_female_pituitary_n5",6.01028190604094
"28","female","pituitary","m.inc.d3","ACOT12","blu56.o53_female_pituitary_m.inc.d3",5.67889006651947
"29","female","pituitary","m.inc.d9","ACOT12","blu63.g62_female_pituitary_m.inc.d9",6.1323040984759
"30","female","pituitary","m.inc.d8","ACOT12","blu80.r97_female_pituitary_m.inc.d8",5.09617484266786
"31","female","pituitary","m.inc.d9","ACOT12","d.r.blk.s159_female_pituitary_m.inc.d9",5.63248811320595
"32","female","pituitary","m.inc.d17","ACOT12","d.s112.blk.w_female_pituitary_m.inc.d17",5.09617484266786
"33","female","pituitary","m.inc.d3","ACOT12","d.s177.blk.r_female_pituitary_m.inc.d3",5.09617484266786
"34","female","pituitary","lay","ACOT12","g.blk.s004.pk_female_pituitary_lay",5.57732996422955
"35","female","pituitary","m.hatch","ACOT12","g.s076.pk.r_female_pituitary_m.hatch",5.51068384628979
"36","female","pituitary","lay","ACOT12","g.s078.blk.o_female_pituitary_lay",6.04038936252782
"37","female","pituitary","m.inc.d17","ACOT12","g.y.blk.s006_female_pituitary_m.inc.d17",5.7326094245676
"38","female","pituitary","bldg","ACOT12","g141.blu27.x_female_pituitary_bldg",5.8543435174887
"39","female","pituitary","inc.d17","ACOT12","g142.r40.x_female_pituitary_inc.d17",5.68046585313499
"40","female","pituitary","m.inc.d3","ACOT12","g144.r54.x_female_pituitary_m.inc.d3",5.65665567047648
"41","female","pituitary","extend","ACOT12","g17.w108.x_female_pituitary_extend",6.21105499461439
"42","female","pituitary","extend","ACOT12","g22.blu118_female_pituitary_extend",6.42272431168293
"43","female","pituitary","inc.d3","ACOT12","g6.w197.x_female_pituitary_inc.d3",5.69824403848268
"44","female","pituitary","m.inc.d17","ACOT12","g63.blu65_female_pituitary_m.inc.d17",6.03364058702935
"45","female","pituitary","m.inc.d9","ACOT12","g73.x_female_pituitary_m.inc.d9",5.97285943451424
"46","female","pituitary","inc.d9","ACOT12","g75.x_female_pituitary_inc.d9",5.4535170792347
"47","female","pituitary","m.hatch","ACOT12","l.s.w.d_female_pituitary_m.hatch",5.09617484266786
"48","female","pituitary","prolong","ACOT12","l.s052.pk.r_female_pituitary_prolong",5.89220923695409
"49","female","pituitary","bldg","ACOT12","l.s120.y.blk_female_pituitary_bldg",5.50149500939916
"50","female","pituitary","prolong","ACOT12","l.s166.o.w_female_pituitary_prolong",5.89798799753912
"51","female","pituitary","m.inc.d17","ACOT12","o.s084.w.blk_female_pituitary_m.inc.d17",5.42831162587679
"52","female","pituitary","inc.d3","ACOT12","o156.w80.x_female_pituitary_inc.d3",5.63867288230742
"53","female","pituitary","inc.d3","ACOT12","o165.w122.x_female_pituitary_inc.d3.NYNO",5.09617484266786
"54","female","pituitary","m.inc.d17","ACOT12","o169.r28.x_female_pituitary_m.inc.d17",5.09617484266786
"55","female","pituitary","hatch","ACOT12","o172.w115.x_female_pituitary_hatch.NYNO",5.09617484266786
"56","female","pituitary","inc.d3","ACOT12","o173.w179.x_female_pituitary_inc.d3",6.08272208864241
"57","female","pituitary","inc.d17","ACOT12","o35.r51.x_female_pituitary_inc.d17",5.09617484266786
"58","female","pituitary","m.inc.d9","ACOT12","o36.r62.x_female_pituitary_m.inc.d9",5.92154181512262
"59","female","pituitary","bldg","ACOT12","o38.blu29.x_female_pituitary_bldg",5.09617484266786
"60","female","pituitary","m.inc.d9","ACOT12","o45.g128.x_female_pituitary_m.inc.d9",5.09617484266786
"61","female","pituitary","inc.d17","ACOT12","o52.blu53_female_pituitary_inc.d17",6.61141659574463
"62","female","pituitary","inc.d9","ACOT12","o73.x_female_pituitary_inc.d9",5.09617484266786
"63","female","pituitary","m.inc.d8","ACOT12","p.g.blk.s040_female_pituitary_m.inc.d8",5.80578147843016
"64","female","pituitary","m.inc.d17","ACOT12","pk.s011.o.y_female_pituitary_m.inc.d17",5.09617484266786
"65","female","pituitary","m.hatch","ACOT12","pk.s054.d.g_female_pituitary_m.hatch",5.81105230498423
"66","female","pituitary","m.inc.d8","ACOT12","pk.s055.d.l_female_pituitary_m.inc.d8",5.63072528422868
"67","female","pituitary","control","ACOT12","r.r.x.ATLAS.R2XR_female_pituitary_control",6.15012415387978
"68","female","pituitary","control","ACOT12","r.r.x.ATLAS_female_pituitary_control",5.99072281943382
"69","female","pituitary","m.inc.d3","ACOT12","r.s035.y.blk_female_pituitary_m.inc.d3",5.65426975155515
"70","female","pituitary","bldg","ACOT12","r.s056.g.o_female_pituitary_bldg",6.41552459125972
"71","female","pituitary","extend","ACOT12","r.s131.o.d_female_pituitary_extend",5.95694153196575
"72","female","pituitary","n9","ACOT12","r.s171.l.w_female_pituitary_n9",5.40802800753388
"73","female","pituitary","hatch","ACOT12","r183.o22_female_pituitary_hatch",6.36823677845445
"74","female","pituitary","prolong","ACOT12","r194.x_female_pituitary_prolong",6.1466682212096
"75","female","pituitary","inc.d3","ACOT12","r27.w111.blu125_female_pituitary_inc.d3",5.09617484266786
"76","female","pituitary","inc.d9","ACOT12","r30.w112.r46_female_pituitary_inc.d9",5.09617484266786
"77","female","pituitary","inc.d9","ACOT12","r36.w184.x_female_pituitary_inc.d9",5.09617484266786
"78","female","pituitary","inc.d17","ACOT12","r49.w189.x_female_pituitary_inc.d17",6.30104638224195
"79","female","pituitary","control","ACOT12","r6.x_female_pituitary_control",5.09617484266786
"80","female","pituitary","inc.d3","ACOT12","r73.g127.x_female_pituitary_inc.d3",5.09617484266786
"81","female","pituitary","bldg","ACOT12","r83.g45_female_pituitary_bldg",5.09617484266786
"82","female","pituitary","n9","ACOT12","r95.blu99_female_pituitary_n9",5.09617484266786
"83","female","pituitary","lay","ACOT12","s.o.pk_female_pituitary_lay",5.86826530541059
"84","female","pituitary","prolong","ACOT12","s.pu.pk_female_pituitary_prolong",5.09617484266786
"85","female","pituitary","control","ACOT12","s.x.ATLAS_female_pituitary_control",6.3383412542527
"86","female","pituitary","m.inc.d8","ACOT12","s002.x_female_pituitary_m.inc.d8",5.09617484266786
"87","female","pituitary","m.inc.d17","ACOT12","s038.g.d.blk_female_pituitary_m.inc.d17",5.09617484266786
"88","female","pituitary","bldg","ACOT12","s063.d.blk.l_female_pituitary_bldg",6.24614114348525
"89","female","pituitary","m.inc.d3","ACOT12","s069.pk.pu.g_female_pituitary_m.inc.d3",5.89870619010275
"90","female","pituitary","extend","ACOT12","s089.blk.pk.pu_female_pituitary_extend",6.37691049048398
"91","female","pituitary","m.inc.d8","ACOT12","s091.blk.r.g_female_pituitary_m.inc.d8",5.89658867947706
"92","female","pituitary","bldg","ACOT12","s092.blk.r.o_female_pituitary_bldg",5.94098821997157
"93","female","pituitary","m.inc.d3","ACOT12","s093.blk.y.d_female_pituitary_m.inc.d3",5.65141726442461
"94","female","pituitary","lay","ACOT12","s095.g.blk.o_female_pituitary_lay",5.85289250760777
"95","female","pituitary","m.inc.d17","ACOT12","s100.l.pk.blk_female_pituitary_m.inc.d17",5.48439411134035
"96","female","pituitary","m.inc.d3","ACOT12","s103.y.pk.blk_female_pituitary_m.inc.d3",5.76444860351751
"97","female","pituitary","lay","ACOT12","s136.d.w.o_female_pituitary_lay",5.09617484266786
"98","female","pituitary","extend","ACOT12","s137.g.blk.y_female_pituitary_extend",5.77882302410128
"99","female","pituitary","lay","ACOT12","s142.o.pk.pu_female_pituitary_lay",5.79514966804493
