"","sex","tissue","treatment","gene","samples","counts"
"1","female","hypothalamus","control","ADRA2A","L.G118_female_hypothalamus_control.NYNO",8.95265245948185
"2","female","hypothalamus","control","ADRA2A","R.G106_female_hypothalamus_control",8.81338484659013
"3","female","hypothalamus","control","ADRA2A","R.R20_female_hypothalamus_control.NYNO",9.18092589396404
"4","female","hypothalamus","control","ADRA2A","R.R9_female_hypothalamus_control",8.72044024269788
"5","female","hypothalamus","control","ADRA2A","R.W44_female_hypothalamus_control",9.23468708387412
"6","female","hypothalamus","prolong","ADRA2A","blk.s031.pu.d_female_hypothalamus_prolong",9.12547783930177
"7","female","hypothalamus","m.hatch","ADRA2A","blk.s032.g.w_female_hypothalamus_m.hatch",9.00087915764579
"8","female","hypothalamus","m.inc.d3","ADRA2A","blk.s049.y.g_female_hypothalamus_m.inc.d3",9.14449468457331
"9","female","hypothalamus","m.inc.d3","ADRA2A","blk.s060.pu.w_female_hypothalamus_m.inc.d3",9.06147008909827
"10","female","hypothalamus","inc.d9","ADRA2A","blk.s061.pu.y_female_hypothalamus_inc.d9",9.11190597822459
"11","female","hypothalamus","m.inc.d8","ADRA2A","blk.y.l.s109_female_hypothalamus_m.inc.d8",9.23333041624929
"12","female","hypothalamus","m.n2","ADRA2A","blk0.x_female_hypothalamus_m.n2",9.11407537984817
"13","female","hypothalamus","bldg","ADRA2A","blk11.x_female_hypothalamus_bldg",9.38267397677102
"14","female","hypothalamus","extend","ADRA2A","blk19.x_female_hypothalamus_extend",8.95547506568031
"15","female","hypothalamus","hatch","ADRA2A","blk21.x_female_hypothalamus_hatch",8.4672649921333
"16","female","hypothalamus","n9","ADRA2A","blk4.x_female_hypothalamus_n9",9.37706420646052
"17","female","hypothalamus","control","ADRA2A","blu.o.x.ATLAS_female_hypothalamus_control",8.84079847592244
"18","female","hypothalamus","hatch","ADRA2A","blu103.x_female_hypothalamus_hatch",9.15818062682846
"19","female","hypothalamus","inc.prolong","ADRA2A","blu115.y150.x_female_hypothalamus_inc.prolong",9.10071048415887
"20","female","hypothalamus","m.inc.d8","ADRA2A","blu119.w84.x_female_hypothalamus_m.inc.d8",9.21085544028392
"21","female","hypothalamus","hatch","ADRA2A","blu124.w180.x_female_hypothalamus_hatch",9.16750069592463
"22","female","hypothalamus","n9","ADRA2A","blu36.w16_female_hypothalamus_n9",9.31645342631073
"23","female","hypothalamus","bldg","ADRA2A","blu38.g135.x_female_hypothalamus_bldg",9.07120751624445
"24","female","hypothalamus","inc.d3","ADRA2A","blu39.o26.x_female_hypothalamus_inc.d3.NYNO",8.72039934986397
"25","female","hypothalamus","extend","ADRA2A","blu44.y102_female_hypothalamus_extend",9.30996423706612
"26","female","hypothalamus","inc.d9","ADRA2A","blu47.y96.x_female_hypothalamus_inc.d9",9.18272951543273
"27","female","hypothalamus","n5","ADRA2A","blu55.g51_female_hypothalamus_n5",9.08079268655406
"28","female","hypothalamus","m.inc.d3","ADRA2A","blu56.o53_female_hypothalamus_m.inc.d3",8.99821682183578
"29","female","hypothalamus","m.inc.d9","ADRA2A","blu63.g62_female_hypothalamus_m.inc.d9",8.76657547755758
"30","female","hypothalamus","m.inc.d8","ADRA2A","blu80.r97_female_hypothalamus_m.inc.d8",9.12806725856559
"31","female","hypothalamus","m.inc.d9","ADRA2A","d.r.blk.s159_female_hypothalamus_m.inc.d9",9.18489767451173
"32","female","hypothalamus","m.inc.d17","ADRA2A","d.s112.blk.w_female_hypothalamus_m.inc.d17",8.96586384136507
"33","female","hypothalamus","m.inc.d3","ADRA2A","d.s177.blk.r_female_hypothalamus_m.inc.d3",9.17631610373881
"34","female","hypothalamus","lay","ADRA2A","g.blk.s004.pk_female_hypothalamus_lay",8.93591799055398
"35","female","hypothalamus","m.hatch","ADRA2A","g.s076.pk.r_female_hypothalamus_m.hatch",8.92605604163916
"36","female","hypothalamus","lay","ADRA2A","g.s078.blk.o_female_hypothalamus_lay",9.20971524977204
"37","female","hypothalamus","m.inc.d17","ADRA2A","g.y.blk.s006_female_hypothalamus_m.inc.d17",8.93957224157259
"38","female","hypothalamus","bldg","ADRA2A","g141.blu27.x_female_hypothalamus_bldg",9.01428502710566
