"gene","counts","sex","tissue","treatment","extint","samples"
"ADRA2A",6.82981426828691,"male","gonads","control","reference","L.Blu13_male_gonad_control.NYNO"
"ADRA2A",6.37317892064243,"male","gonads","control","reference","L.G107_male_gonad_control"
"ADRA2A",6.08351327691067,"male","gonads","control","reference","L.R3_male_gonad_control.NYNO"
"ADRA2A",6.53776489397426,"male","gonads","control","reference","L.R8_male_gonad_control"
"ADRA2A",5.71460892768307,"male","gonads","control","reference","L.W33_male_gonad_control"
"ADRA2A",5.76938988136094,"male","gonads","control","reference","L.W3_male_gonad_control.NYNO"
"ADRA2A",6.06148591864224,"male","gonads","control","reference","L.W4_male_gonad_control.NYNO"
"ADRA2A",6.25340130348095,"male","gonads","control","reference","R.Y108.W29_male_gonad_control"
"ADRA2A",6.4818641369443,"male","gonads","prolong","eggs","blk.s030.o.g_male_gonad_prolong"
"ADRA2A",6.52061177522775,"male","gonads","n5","chicks","blk12.x_male_gonad_n5"
"ADRA2A",6.48267364521027,"male","gonads","inc.d17","eggs","blk17.x_male_gonad_inc.d17"
"ADRA2A",6.08287573824871,"male","gonads","m.inc.d3","loss","blk5.x_male_gonad_m.inc.d3"
"ADRA2A",6.47498548016082,"male","gonads","m.n2","loss","blu10.w26.x_male_gonad_m.hatch"
"ADRA2A",6.8219570158363,"male","gonads","hatch","chicks","blu104.w120.x_male_gonad_hatch"
"ADRA2A",6.12769442270753,"male","gonads","inc.d9","eggs","blu108.w40.o158_male_gonad_inc.d9"
"ADRA2A",5.78090776374438,"male","gonads","inc.d3","eggs","blu111.w113.x_male_gonad_inc.d3"
"ADRA2A",6.64652928436151,"male","gonads","inc.d17","eggs","blu113.w124.x_male_gonad_inc.d17"
"ADRA2A",6.08893642837744,"male","gonads","bldg","reference","blu114.r38.w198_male_gonad_bldg"
"ADRA2A",5.65693250336104,"male","gonads","inc.d17","eggs","blu121.w91.x_male_gonad_inc.d17"
"ADRA2A",6.41392284429033,"male","gonads","bldg","reference","blu33.y88.x_male_gonad_bldg"
"ADRA2A",7.18111186937043,"male","gonads","n5","chicks","blu37.r65.x_male_gonad_n5"
"ADRA2A",6.11678368562969,"male","gonads","n5","chicks","blu41.y100.x_male_gonad_n5"
"ADRA2A",6.50582140183586,"male","gonads","n9","chicks","blu81.r88_male_gonad_n9"
"ADRA2A",6.23685977181074,"male","gonads","m.n2","loss","blu84.x_male_gonad_extend.hatch"
"ADRA2A",6.70023036761349,"male","gonads","n5","chicks","d.s008.y.blk_male_gonad_n5"
"ADRA2A",6.30815064809533,"male","gonads","n5","chicks","d.s047.blk.o_male_gonad_n5"
"ADRA2A",7.06586339068747,"male","gonads","m.inc.d3","loss","d.s110.g.blk_male_gonad_m.inc.d3"
"ADRA2A",6.13280910265071,"male","gonads","m.inc.d3","loss","g.blk.s041.r_male_gonad_m.inc.d3"
"ADRA2A",6.61378085547097,"male","gonads","m.inc.d17","loss","g.o.y.s037_male_gonad_m.inc.d17"
"ADRA2A",6.56203540181202,"male","gonads","n9","chicks","g.s.blk.d_male_gonad_n9"
"ADRA2A",6.72613385569306,"male","gonads","lay","eggs","g.s.blk.y_male_gonad_lay"
"ADRA2A",6.55221857949032,"male","gonads","lay","eggs","g.s043.pu.blk_male_gonad_lay"
"ADRA2A",6.27275862215177,"male","gonads","m.n2","loss","g.s075.pk.pu_male_gonad_m.hatch"
"ADRA2A",7.20817025606193,"male","gonads","early","chicks","g.s111.r.blk_male_gonad_m.inc.d8"
"ADRA2A",6.60081619769715,"male","gonads","early","chicks","g.s179.o.pk_male_gonad_m.inc.d8"
"ADRA2A",6.59303945623132,"male","gonads","extend","chicks","g.s351.pk.w_male_gonad_extend"
"ADRA2A",6.34175960253335,"male","gonads","prolong","eggs","g.y.o.s_male_gonad_prolong"
"ADRA2A",5.99388776614216,"male","gonads","bldg","reference","g104.w82.x_male_gonad_bldg"
"ADRA2A",6.12785435613322,"male","gonads","hatch","chicks","g114.w83.x_male_gonad_hatch.NYNO"
"ADRA2A",6.49977015276947,"male","gonads","inc.d17","eggs","g130.y81.x_male_gonad_inc.d17"
"ADRA2A",6.12993934710855,"male","gonads","early","chicks","g137.r24.w5_male_gonad_m.inc.d8"
"ADRA2A",6.5447241082581,"male","gonads","inc.d17","eggs","g143.blu32.x_male_gonad_inc.d17"
"ADRA2A",6.14627247837427,"male","gonads","inc.d3","eggs","g146.blu51_male_gonad_inc.d3"
"ADRA2A",6.41578863376248,"male","gonads","inc.d3","eggs","g20.w106.x_male_gonad_inc.d3"
"ADRA2A",6.10215891939977,"male","gonads","extend","chicks","g3.g119.w20_male_gonad_extend"
"ADRA2A",6.20562572286381,"male","gonads","m.inc.d17","loss","g32.blu79_male_gonad_m.inc.d17"
"ADRA2A",6.45812507406519,"male","gonads","m.n2","loss","g34.x_male_gonad_m.hatch.NYNO"
"ADRA2A",6.48909762419779,"male","gonads","prolong","eggs","g38.x_male_gonad_inc.prolong"
"ADRA2A",6.31626206734931,"male","gonads","bldg","reference","g52.blu58_male_gonad_bldg"
"ADRA2A",6.02527834424171,"male","gonads","hatch","chicks","g53.y84_male_gonad_hatch"
"ADRA2A",6.16839447751702,"male","gonads","extend","chicks","g8.y197_male_gonad_extend"
"ADRA2A",6.22029010619083,"male","gonads","extend","chicks","l.s.o.blk_male_gonad_extend"
"ADRA2A",6.02952415649945,"male","gonads","m.inc.d17","loss","l.s024.y.g_male_gonad_m.inc.d17"
"ADRA2A",6.39303483087083,"male","gonads","prolong","eggs","l.s080.blk.r_male_gonad_prolong"
"ADRA2A",6.48005567116104,"male","gonads","m.inc.d9","loss","l.s280.g.blk_male_gonad_m.inc.d9"
"ADRA2A",6.50675992061538,"male","gonads","m.inc.d9","loss","o.d.s009_male_gonad_m.inc.d9"
"ADRA2A",6.20823840996832,"male","gonads","lay","eggs","o.s.w.r_male_gonad_lay"
"ADRA2A",6.44628148218747,"male","gonads","m.inc.d3","loss","o.s010.r.blk_male_gonad_m.inc.d3"
"ADRA2A",6.22970004449276,"male","gonads","prolong","eggs","o114.blu9_male_gonad_inc.prolong"
"ADRA2A",6.1186493004163,"male","gonads","n5","chicks","o152.o120.w42_male_gonad_n5"
"ADRA2A",6.36455165423827,"male","gonads","m.n2","loss","o3.x_male_gonad_m.n2"
"ADRA2A",6.9700709117686,"male","gonads","hatch","chicks","o39.y77.x_male_gonad_hatch"
"ADRA2A",6.80557728873711,"male","gonads","hatch","chicks","o44.blu26.x_male_gonad_hatch"
"ADRA2A",6.42371003761822,"male","gonads","inc.d3","eggs","o48.r197.x_male_gonad_inc.d3"
"ADRA2A",6.61207804566452,"male","gonads","inc.d9","eggs","o49.x_male_gonad_inc.d9"
"ADRA2A",6.31956782256269,"male","gonads","inc.d9","eggs","o57.g59_male_gonad_inc.d9"
"ADRA2A",6.41809788656857,"male","gonads","m.inc.d17","loss","o59.blu64_male_gonad_m.inc.d17"
"ADRA2A",8.3727118339878,"male","gonads","prolong","eggs","pk.s.d.g_male_gonad_prolong"
"ADRA2A",6.90361761058463,"male","gonads","lay","eggs","pk.s238.blk.w_male_gonad_lay"
"ADRA2A",6.17171915303914,"male","gonads","lay","eggs","pk.w.s141.o_male_gonad_lay"
"ADRA2A",6.34607467685197,"male","gonads","early","chicks","pu.blk.s102.y_male_gonad_m.inc.d8"
"ADRA2A",6.64118250882098,"male","gonads","lay","eggs","r.s005.pk.blk_male_gonad_lay"
"ADRA2A",6.53639923647648,"male","gonads","extend","chicks","r.s057.g.pk_male_gonad_extend"
"ADRA2A",5.99751692316696,"male","gonads","early","chicks","r.s058.d.l_male_gonad_m.inc.d8"
"ADRA2A",6.14280903905659,"male","gonads","bldg","reference","r.s059.d.o_male_gonad_bldg"
"ADRA2A",6.3679492294612,"male","gonads","extend","chicks","r.s086.l.blk_male_gonad_extend"
"ADRA2A",6.20523023561051,"male","gonads","lay","eggs","r.s116.blk.pu_male_gonad_lay"
"ADRA2A",6.60724750515185,"male","gonads","extend","chicks","r.s172.l.y_male_gonad_extend"
"ADRA2A",6.34033264577161,"male","gonads","n9","chicks","r.y.s007.blk_male_gonad_n9"
"ADRA2A",6.44763095385393,"male","gonads","inc.d17","eggs","r176.blu54_male_gonad_inc.d17"
"ADRA2A",5.8124585339268,"male","gonads","lay","eggs","r190.o43.x_male_gonad_lay"
"ADRA2A",6.23387080508233,"male","gonads","n9","chicks","r195.x_male_gonad_n9"
"ADRA2A",6.68625482694183,"male","gonads","m.inc.d9","loss","r196.x_male_gonad_m.inc.d9"
"ADRA2A",6.60764568488866,"male","gonads","n9","chicks","r37.w100.x_male_gonad_n9"
"ADRA2A",6.25486820478998,"male","gonads","early","chicks","r4.x_male_gonad_m.inc.d8"
"ADRA2A",6.22802858569486,"male","gonads","hatch","chicks","r41.w99.x_male_gonad_hatch"
"ADRA2A",6.57445636254618,"male","gonads","inc.d9","eggs","r45.X_male_gonad_inc.d9"
"ADRA2A",6.15796961005139,"male","gonads","hatch","chicks","r72.y83.x_male_gonad_hatch"
"ADRA2A",6.50757672008895,"male","gonads","prolong","eggs","r81.x_male_gonad_inc.prolong"
"ADRA2A",6.78921720983047,"male","gonads","m.inc.d9","loss","r84.x_male_gonad_m.inc.d9"
"ADRA2A",6.54054890277663,"male","gonads","m.inc.d9","loss","r85.g39_male_gonad_m.inc.d9.NYNO"
"ADRA2A",6.70289387379307,"male","gonads","prolong","eggs","r90.x_male_gonad_inc.prolong"
"ADRA2A",6.31235986099742,"male","gonads","bldg","reference","s.pu148.blk.r_male_gonad_bldg"
"ADRA2A",6.95370622749052,"male","gonads","early","chicks","s044.blk.d.r_male_gonad_m.inc.d8"
"ADRA2A",6.21245402747814,"male","gonads","m.n2","loss","s062.d.blk.g_male_gonad_m.hatch"
"ADRA2A",6.33057629572093,"male","gonads","m.inc.d17","loss","s064.g.blk.pu_male_gonad_m.inc.d17"
"ADRA2A",6.33508190428439,"male","gonads","bldg","reference","s065.l.d.o_male_gonad_bldg"
"ADRA2A",6.58142956688632,"male","gonads","bldg","reference","s066.l.d.r_male_gonad_bldg"
"ADRA2A",6.36554756182914,"male","gonads","early","chicks","s067.o.l.y_male_gonad_m.inc.d8"
"ADRA2A",5.98333621219424,"male","gonads","m.inc.d3","loss","s071.pu.g.pk_male_gonad_m.inc.d3"
"ADRA2A",6.96828688862198,"male","gonads","m.n2","loss","s090.blk.pk.w_male_gonad_m.hatch"
