"","gene","counts","sex","tissue","treatment","extint","samples"
"1","ADRA2A",9.2432793543151,"male","hypothalamus","control","reference","L.Blu13_male_hypothalamus_control.NYNO"
"2","ADRA2A",8.57574118248208,"male","hypothalamus","control","reference","L.G107_male_hypothalamus_control"
"3","ADRA2A",8.84262882970453,"male","hypothalamus","control","reference","L.R3_male_hypothalamus_control"
"4","ADRA2A",8.37872172340962,"male","hypothalamus","control","reference","L.R8_male_hypothalamus_control"
"5","ADRA2A",8.89464691131973,"male","hypothalamus","control","reference","L.W33_male_hypothalamus_control.NYNO"
"6","ADRA2A",9.06230502215797,"male","hypothalamus","control","reference","L.W3_male_hypothalamus_control"
"7","ADRA2A",9.07562761529104,"male","hypothalamus","control","reference","L.W4_male_hypothalamus_control"
"8","ADRA2A",8.75687066770348,"male","hypothalamus","control","reference","R.Y108.W29_male_hypothalamus_control.NYNO"
"9","ADRA2A",8.67120176285414,"male","hypothalamus","prolong","eggs","blk.s030.o.g_male_hypothalamus_prolong"
"10","ADRA2A",9.03919828170547,"male","hypothalamus","n5","chicks","blk12.x_male_hypothalamus_n5.NYNO"
"11","ADRA2A",9.10726791845627,"male","hypothalamus","inc.d17","eggs","blk17.x_male_hypothalamus_inc.d17"
"12","ADRA2A",8.65653470922141,"male","hypothalamus","m.inc.d3","loss","blk5.x_male_hypothalamus_m.inc.d3"
"13","ADRA2A",8.96850344047628,"male","hypothalamus","m.n2","loss","blu10.w26.x_male_hypothalamus_m.hatch"
"14","ADRA2A",8.79588023722693,"male","hypothalamus","hatch","chicks","blu104.w120.x_male_hypothalamus_hatch"
"15","ADRA2A",8.94487862163183,"male","hypothalamus","inc.d9","eggs","blu108.w40.o158_male_hypothalamus_inc.d9"
"16","ADRA2A",8.78106355328345,"male","hypothalamus","inc.d3","eggs","blu111.w113.x_male_hypothalamus_inc.d3"
"17","ADRA2A",8.82243141534266,"male","hypothalamus","inc.d17","eggs","blu113.w124.x_male_hypothalamus_inc.d17"
"18","ADRA2A",8.20249671365628,"male","hypothalamus","bldg","reference","blu114.r38.w198_male_hypothalamus_bldg"
"19","ADRA2A",9.08330111517238,"male","hypothalamus","inc.d17","eggs","blu121.w91.x_male_hypothalamus_inc.d17"
"20","ADRA2A",9.05265630830835,"male","hypothalamus","bldg","reference","blu33.y88.x_male_hypothalamus_bldg"
"21","ADRA2A",8.85007216195142,"male","hypothalamus","n5","chicks","blu37.r65.x_male_hypothalamus_n5"
"22","ADRA2A",8.58445796851485,"male","hypothalamus","n5","chicks","blu41.y100.x_male_hypothalamus_n5.NYNO"
"23","ADRA2A",8.98015442790803,"male","hypothalamus","n9","chicks","blu81.r88_male_hypothalamus_n9"
"24","ADRA2A",8.76567979235092,"male","hypothalamus","m.n2","loss","blu84.x_male_hypothalamus_extend.hatch"
"25","ADRA2A",8.99152041423206,"male","hypothalamus","n5","chicks","d.s008.y.blk_male_hypothalamus_n5"
"26","ADRA2A",9.03200248619302,"male","hypothalamus","n5","chicks","d.s047.blk.o_male_hypothalamus_n5"
"27","ADRA2A",9.12816107476753,"male","hypothalamus","m.inc.d3","loss","d.s110.g.blk_male_hypothalamus_m.inc.d3"
"28","ADRA2A",8.7057376915761,"male","hypothalamus","m.inc.d3","loss","g.blk.s041.r_male_hypothalamus_m.inc.d3"
"29","ADRA2A",8.95211835697063,"male","hypothalamus","m.inc.d17","loss","g.o.y.s037_male_hypothalamus_m.inc.d17"
"30","ADRA2A",9.16928366185681,"male","hypothalamus","n9","chicks","g.s.blk.d_male_hypothalamus_n9"
"31","ADRA2A",8.75044649273879,"male","hypothalamus","lay","eggs","g.s.blk.y_male_hypothalamus_lay"
"32","ADRA2A",9.09412009405306,"male","hypothalamus","lay","eggs","g.s043.pu.blk_male_hypothalamus_lay"
"33","ADRA2A",8.67968540610816,"male","hypothalamus","m.n2","loss","g.s075.pk.pu_male_hypothalamus_m.hatch"
"34","ADRA2A",8.69839649662559,"male","hypothalamus","early","chicks","g.s111.r.blk_male_hypothalamus_m.inc.d8"
"35","ADRA2A",8.74711447193644,"male","hypothalamus","early","chicks","g.s179.o.pk_male_hypothalamus_m.inc.d8"
"36","ADRA2A",8.81572381041759,"male","hypothalamus","extend","chicks","g.s351.pk.w_male_hypothalamus_extend"
"37","ADRA2A",9.01581968697341,"male","hypothalamus","prolong","eggs","g.y.o.s_male_hypothalamus_prolong"
"38","ADRA2A",8.84897920988525,"male","hypothalamus","bldg","reference","g104.w82.x_male_hypothalamus_bldg"
"39","ADRA2A",9.08305938007514,"male","hypothalamus","hatch","chicks","g114.w83.x_male_hypothalamus_hatch"
"40","ADRA2A",9.03951708408315,"male","hypothalamus","inc.d17","eggs","g130.y81.x_male_hypothalamus_inc.d17"
"41","ADRA2A",9.1560918654931,"male","hypothalamus","early","chicks","g137.r24.w5_male_hypothalamus_m.inc.d8"
"42","ADRA2A",9.16231484868984,"male","hypothalamus","inc.d17","eggs","g143.blu32.x_male_hypothalamus_inc.d17"
"43","ADRA2A",8.99523926620432,"male","hypothalamus","inc.d3","eggs","g146.blu51_male_hypothalamus_inc.d3.NYNO"
"44","ADRA2A",8.61792315390267,"male","hypothalamus","inc.d3","eggs","g20.w106.x_male_hypothalamus_inc.d3"
"45","ADRA2A",8.96808752869675,"male","hypothalamus","extend","chicks","g3.g119.w20_male_hypothalamus_extend"
"46","ADRA2A",8.82839662351874,"male","hypothalamus","m.inc.d17","loss","g32.blu79_male_hypothalamus_m.inc.d17"
"47","ADRA2A",8.85359798566448,"male","hypothalamus","m.n2","loss","g34.x_male_hypothalamus_m.hatch"
"48","ADRA2A",9.18364391324738,"male","hypothalamus","prolong","eggs","g38.x_male_hypothalamus_inc.prolong"
"49","ADRA2A",9.21684878446077,"male","hypothalamus","bldg","reference","g52.blu58_male_hypothalamus_bldg"
"50","ADRA2A",8.86754078145787,"male","hypothalamus","hatch","chicks","g53.y84_male_hypothalamus_hatch"
"51","ADRA2A",8.88121656984406,"male","hypothalamus","extend","chicks","g8.y197_male_hypothalamus_extend"
"52","ADRA2A",9.01593577171904,"male","hypothalamus","extend","chicks","l.s.o.blk_male_hypothalamus_extend"
"53","ADRA2A",9.0650933970736,"male","hypothalamus","m.inc.d17","loss","l.s024.y.g_male_hypothalamus_m.inc.d17"
"54","ADRA2A",9.07117516372994,"male","hypothalamus","prolong","eggs","l.s080.blk.r_male_hypothalamus_prolong"
"55","ADRA2A",8.923107102666,"male","hypothalamus","m.inc.d9","loss","l.s280.g.blk_male_hypothalamus_m.inc.d9"
"56","ADRA2A",8.77775740037331,"male","hypothalamus","m.inc.d9","loss","o.d.s009_male_hypothalamus_m.inc.d9.NYNO"
"57","ADRA2A",9.05006499990535,"male","hypothalamus","lay","eggs","o.s.w.r_male_hypothalamus_lay"
"58","ADRA2A",8.98685834005355,"male","hypothalamus","m.inc.d3","loss","o.s010.r.blk_male_hypothalamus_m.inc.d3"
"59","ADRA2A",9.1344716011021,"male","hypothalamus","prolong","eggs","o114.blu9_male_hypothalamus_inc.prolong"
"60","ADRA2A",8.97182111222281,"male","hypothalamus","n5","chicks","o152.o120.w42_male_hypothalamus_n5"
"61","ADRA2A",8.90471892947527,"male","hypothalamus","m.n2","loss","o3.x_male_hypothalamus_m.n2"
"62","ADRA2A",9.13476260874401,"male","hypothalamus","hatch","chicks","o39.y77.x_male_hypothalamus_hatch"
"63","ADRA2A",9.05370859197157,"male","hypothalamus","hatch","chicks","o44.blu26.x_male_hypothalamus_hatch"
"64","ADRA2A",8.66881912576324,"male","hypothalamus","inc.d3","eggs","o48.r197.x_male_hypothalamus_inc.d3"
"65","ADRA2A",8.74220341155877,"male","hypothalamus","inc.d9","eggs","o49.x_male_hypothalamus_inc.d9"
"66","ADRA2A",8.76295199237935,"male","hypothalamus","inc.d9","eggs","o57.g59_male_hypothalamus_inc.d9"
"67","ADRA2A",8.79295130892757,"male","hypothalamus","m.inc.d17","loss","o59.blu64_male_hypothalamus_m.inc.d17"
"68","ADRA2A",8.89754327140709,"male","hypothalamus","prolong","eggs","pk.s.d.g_male_hypothalamus_prolong"
"69","ADRA2A",9.07718726834944,"male","hypothalamus","lay","eggs","pk.s238.blk.w_male_hypothalamus_lay"
"70","ADRA2A",8.5471061786823,"male","hypothalamus","lay","eggs","pk.w.s141.o_male_hypothalamus_lay"
"71","ADRA2A",8.78723014145037,"male","hypothalamus","early","chicks","pu.blk.s102.y_male_hypothalamus_m.inc.d8"
"72","ADRA2A",8.83567088964985,"male","hypothalamus","m.n2","loss","pu.s.o.r_male_hypothalamus_m.hatch"
"73","ADRA2A",8.962554195696,"male","hypothalamus","lay","eggs","r.s005.pk.blk_male_hypothalamus_lay"
"74","ADRA2A",8.80184174866734,"male","hypothalamus","extend","chicks","r.s057.g.pk_male_hypothalamus_extend"
"75","ADRA2A",8.91613480159004,"male","hypothalamus","early","chicks","r.s058.d.l_male_hypothalamus_m.inc.d8"
"76","ADRA2A",8.81393413036592,"male","hypothalamus","bldg","reference","r.s059.d.o_male_hypothalamus_bldg"
"77","ADRA2A",8.93076243891521,"male","hypothalamus","extend","chicks","r.s086.l.blk_male_hypothalamus_extend"
"78","ADRA2A",8.99383420673998,"male","hypothalamus","lay","eggs","r.s116.blk.pu_male_hypothalamus_lay"
"79","ADRA2A",9.14940939316142,"male","hypothalamus","extend","chicks","r.s172.l.y_male_hypothalamus_extend"
