"","gene","counts","sex","tissue","treatment","extint","samples"
"1","ADRA2A",9.43971945185947,"male","pituitary","control","reference","L.Blu13_male_pituitary_control.NYNO"
"2","ADRA2A",8.99318890536762,"male","pituitary","control","reference","L.G107_male_pituitary_control"
"3","ADRA2A",9.74081026965399,"male","pituitary","control","reference","L.R3_male_pituitary_control.NYNO"
"4","ADRA2A",8.55413790566145,"male","pituitary","control","reference","L.R8_male_pituitary_control"
"5","ADRA2A",8.41080224601141,"male","pituitary","control","reference","L.W33_male_pituitary_control"
"6","ADRA2A",8.58069651269898,"male","pituitary","control","reference","L.W3_male_pituitary_control"
"7","ADRA2A",9.5259509270133,"male","pituitary","control","reference","L.W4_male_pituitary_control"
"8","ADRA2A",9.36584644335153,"male","pituitary","control","reference","R.Y108.W29_male_pituitary_control"
"9","ADRA2A",9.53243706681501,"male","pituitary","prolong","eggs","blk.s030.o.g_male_pituitary_prolong"
"10","ADRA2A",8.75245801194595,"male","pituitary","n5","chicks","blk12.x_male_pituitary_n5"
"11","ADRA2A",9.17761832250816,"male","pituitary","inc.d17","eggs","blk17.x_male_pituitary_inc.d17"
"12","ADRA2A",9.07586502969095,"male","pituitary","m.inc.d3","loss","blk5.x_male_pituitary_m.inc.d3"
"13","ADRA2A",9.5874692838196,"male","pituitary","m.n2","loss","blu10.w26.x_male_pituitary_m.hatch"
"14","ADRA2A",9.30248550353195,"male","pituitary","hatch","chicks","blu104.w120.x_male_pituitary_hatch.NYNO"
"15","ADRA2A",9.72870385449923,"male","pituitary","inc.d9","eggs","blu108.w40.o158_male_pituitary_inc.d9"
"16","ADRA2A",9.78291813722999,"male","pituitary","inc.d3","eggs","blu111.w113.x_male_pituitary_inc.d3"
"17","ADRA2A",9.248524828552,"male","pituitary","inc.d17","eggs","blu113.w124.x_male_pituitary_inc.d17.NYNO"
"18","ADRA2A",8.62705645732783,"male","pituitary","bldg","reference","blu114.r38.w198_male_pituitary_bldg"
"19","ADRA2A",9.59898784627344,"male","pituitary","inc.d17","eggs","blu121.w91.x_male_pituitary_inc.d17"
"20","ADRA2A",9.63340236904272,"male","pituitary","bldg","reference","blu33.y88.x_male_pituitary_bldg"
"21","ADRA2A",9.45771466790735,"male","pituitary","n5","chicks","blu37.r65.x_male_pituitary_n5"
"22","ADRA2A",9.12387339820791,"male","pituitary","n5","chicks","blu41.y100.x_male_pituitary_n5"
"23","ADRA2A",9.08674303533999,"male","pituitary","n9","chicks","blu81.r88_male_pituitary_n9"
"24","ADRA2A",9.11914557909056,"male","pituitary","m.n2","loss","blu84.x_male_pituitary_extend.hatch"
"25","ADRA2A",9.04736018405332,"male","pituitary","n5","chicks","d.s008.y.blk_male_pituitary_n5"
"26","ADRA2A",9.0396219155846,"male","pituitary","n5","chicks","d.s047.blk.o_male_pituitary_n5"
"27","ADRA2A",9.59144610760941,"male","pituitary","m.inc.d3","loss","d.s110.g.blk_male_pituitary_m.inc.d3"
"28","ADRA2A",9.13875101614236,"male","pituitary","m.inc.d3","loss","g.blk.s041.r_male_pituitary_m.inc.d3"
"29","ADRA2A",8.84018326315064,"male","pituitary","m.inc.d17","loss","g.o.y.s037_male_pituitary_m.inc.d17"
"30","ADRA2A",8.9622805375899,"male","pituitary","n9","chicks","g.s.blk.d_male_pituitary_n9"
"31","ADRA2A",9.16256157441073,"male","pituitary","lay","eggs","g.s.blk.y_male_pituitary_lay"
"32","ADRA2A",9.27128040604621,"male","pituitary","lay","eggs","g.s043.pu.blk_male_pituitary_lay"
"33","ADRA2A",9.37589166030514,"male","pituitary","m.n2","loss","g.s075.pk.pu_male_pituitary_m.hatch"
"34","ADRA2A",10.2253830865447,"male","pituitary","early","chicks","g.s111.r.blk_male_pituitary_m.inc.d8"
"35","ADRA2A",9.60201552393236,"male","pituitary","early","chicks","g.s179.o.pk_male_pituitary_m.inc.d8"
"36","ADRA2A",8.88303222422113,"male","pituitary","extend","chicks","g.s351.pk.w_male_pituitary_extend"
"37","ADRA2A",9.18060539364716,"male","pituitary","prolong","eggs","g.y.o.s_male_pituitary_prolong"
"38","ADRA2A",9.83174741672117,"male","pituitary","bldg","reference","g104.w82.x_male_pituitary_bldg"
"39","ADRA2A",9.54512625130039,"male","pituitary","hatch","chicks","g114.w83.x_male_pituitary_hatch.NYNO"
"40","ADRA2A",9.2555002680442,"male","pituitary","inc.d17","eggs","g130.y81.x_male_pituitary_inc.d17"
"41","ADRA2A",9.07582979482556,"male","pituitary","early","chicks","g137.r24.w5_male_pituitary_m.inc.d8"
"42","ADRA2A",9.18831799069896,"male","pituitary","inc.d17","eggs","g143.blu32.x_male_pituitary_inc.d17"
"43","ADRA2A",8.95676678059703,"male","pituitary","inc.d3","eggs","g146.blu51_male_pituitary_inc.d3"
"44","ADRA2A",9.51732817486004,"male","pituitary","inc.d3","eggs","g20.w106.x_male_pituitary_inc.d3"
"45","ADRA2A",8.43444970059512,"male","pituitary","extend","chicks","g3.g119.w20_male_pituitary_extend"
"46","ADRA2A",9.31141434230026,"male","pituitary","m.inc.d17","loss","g32.blu79_male_pituitary_m.inc.d17"
"47","ADRA2A",8.88867054295158,"male","pituitary","m.n2","loss","g34.x_male_pituitary_m.hatch"
"48","ADRA2A",10.1257328885895,"male","pituitary","prolong","eggs","g38.x_male_pituitary_inc.prolong"
