"V1","sex","treatment","sextissue","hypothesis"
"L.Blu13_male_gonad_control.NYNO","male","control","male_gonad","anticipation"
"L.G107_male_gonad_control","male","control","male_gonad","anticipation"
"L.G118_female_gonad_control","female","control","female_gonad","anticipation"
"L.R3_male_gonad_control.NYNO","male","control","male_gonad","anticipation"
"L.R8_male_gonad_control","male","control","male_gonad","anticipation"
"L.W33_male_gonad_control","male","control","male_gonad","anticipation"
"L.W3_male_gonad_control.NYNO","male","control","male_gonad","anticipation"
"L.W4_male_gonad_control.NYNO","male","control","male_gonad","anticipation"
"R.G106_female_gonad_control","female","control","female_gonad","anticipation"
"R.R20_female_gonad_control","female","control","female_gonad","anticipation"
"R.R9_female_gonad_control","female","control","female_gonad","anticipation"
"R.W44_female_gonad_control","female","control","female_gonad","anticipation"
"R.Y108.W29_male_gonad_control","male","control","male_gonad","anticipation"
"blk.s061.pu.y_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"blk11.x_female_gonad_bldg","female","bldg","female_gonad","anticipation"
"blk12.x_male_gonad_n5","male","n5","male_gonad","hatchling.care"
"blk17.x_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"blk21.x_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"blk4.x_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"blu.o.x.ATLAS_female_gonad_control","female","control","female_gonad","anticipation"
"blu103.x_female_gonad_hatch.NYNO","female","hatch","female_gonad","hatchling.care"
"blu104.w120.x_male_gonad_hatch","male","hatch","male_gonad","hatchling.care"
"blu108.w40.o158_male_gonad_inc.d9","male","inc.d9","male_gonad","incubation"
"blu111.w113.x_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
"blu113.w124.x_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"blu114.r38.w198_male_gonad_bldg","male","bldg","male_gonad","anticipation"
"blu121.w91.x_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"blu124.w180.x_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"blu33.y88.x_male_gonad_bldg","male","bldg","male_gonad","anticipation"
"blu36.w16_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"blu37.r65.x_male_gonad_n5","male","n5","male_gonad","hatchling.care"
"blu38.g135.x_female_gonad_bldg","female","bldg","female_gonad","anticipation"
"blu39.o26.x_female_gonad_inc.d3","female","inc.d3","female_gonad","incubation"
"blu41.y100.x_male_gonad_n5","male","n5","male_gonad","hatchling.care"
"blu47.y96.x_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"blu55.g51_female_gonad_n5","female","n5","female_gonad","hatchling.care"
"blu81.r88_male_gonad_n9","male","n9","male_gonad","hatchling.care"
"d.s008.y.blk_male_gonad_n5","male","n5","male_gonad","hatchling.care"
"d.s047.blk.o_male_gonad_n5","male","n5","male_gonad","hatchling.care"
"g.blk.s004.pk_female_gonad_lay","female","lay","female_gonad","incubation"
