"V1","sex","treatment","sextissue","hypothesis"
"L.Blu13_male_pituitary_control.NYNO","male","control","male_pituitary","anticipation"
"L.G107_male_pituitary_control","male","control","male_pituitary","anticipation"
"L.G118_female_pituitary_control.NYNO","female","control","female_pituitary","anticipation"
"L.R3_male_pituitary_control.NYNO","male","control","male_pituitary","anticipation"
"L.R8_male_pituitary_control","male","control","male_pituitary","anticipation"
"L.W33_male_pituitary_control","male","control","male_pituitary","anticipation"
"L.W3_male_pituitary_control","male","control","male_pituitary","anticipation"
"L.W4_male_pituitary_control","male","control","male_pituitary","anticipation"
"R.G106_female_pituitary_control","female","control","female_pituitary","anticipation"
"R.R20_female_pituitary_control","female","control","female_pituitary","anticipation"
"R.R9_female_pituitary_control.NYNO","female","control","female_pituitary","anticipation"
"R.W44_female_pituitary_control.NYNO","female","control","female_pituitary","anticipation"
"R.Y108.W29_male_pituitary_control","male","control","male_pituitary","anticipation"
"blk.s061.pu.y_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"blk11.x_female_pituitary_bldg","female","bldg","female_pituitary","anticipation"
"blk12.x_male_pituitary_n5","male","n5","male_pituitary","hatchling.care"
"blk17.x_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"blk21.x_female_pituitary_hatch","female","hatch","female_pituitary","hatchling.care"
"blk4.x_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"blu.o.x.ATLAS_female_pituitary_control","female","control","female_pituitary","anticipation"
"blu103.x_female_pituitary_hatch.NYNO","female","hatch","female_pituitary","hatchling.care"
"blu104.w120.x_male_pituitary_hatch.NYNO","male","hatch","male_pituitary","hatchling.care"
"blu108.w40.o158_male_pituitary_inc.d9","male","inc.d9","male_pituitary","incubation"
"blu111.w113.x_male_pituitary_inc.d3","male","inc.d3","male_pituitary","incubation"
"blu113.w124.x_male_pituitary_inc.d17.NYNO","male","inc.d17","male_pituitary","incubation"
"blu114.r38.w198_male_pituitary_bldg","male","bldg","male_pituitary","anticipation"
"blu121.w91.x_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"blu124.w180.x_female_pituitary_hatch","female","hatch","female_pituitary","hatchling.care"
"blu33.y88.x_male_pituitary_bldg","male","bldg","male_pituitary","anticipation"
"blu36.w16_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"blu37.r65.x_male_pituitary_n5","male","n5","male_pituitary","hatchling.care"
"blu38.g135.x_female_pituitary_bldg","female","bldg","female_pituitary","anticipation"
"blu39.o26.x_female_pituitary_inc.d3.NYNO","female","inc.d3","female_pituitary","incubation"
"blu41.y100.x_male_pituitary_n5","male","n5","male_pituitary","hatchling.care"
"blu47.y96.x_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"blu55.g51_female_pituitary_n5","female","n5","female_pituitary","hatchling.care"
"blu81.r88_male_pituitary_n9","male","n9","male_pituitary","hatchling.care"
"d.s008.y.blk_male_pituitary_n5","male","n5","male_pituitary","hatchling.care"
"d.s047.blk.o_male_pituitary_n5","male","n5","male_pituitary","hatchling.care"
"g.blk.s004.pk_female_pituitary_lay","female","lay","female_pituitary","incubation"
"g.s.blk.d_male_pituitary_n9","male","n9","male_pituitary","hatchling.care"
"g.s.blk.y_male_pituitary_lay","male","lay","male_pituitary","incubation"
"g.s043.pu.blk_male_pituitary_lay","male","lay","male_pituitary","incubation"
"g.s078.blk.o_female_pituitary_lay","female","lay","female_pituitary","incubation"
"g104.w82.x_male_pituitary_bldg","male","bldg","male_pituitary","anticipation"
"g114.w83.x_male_pituitary_hatch.NYNO","male","hatch","male_pituitary","hatchling.care"
"g130.y81.x_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"g141.blu27.x_female_pituitary_bldg","female","bldg","female_pituitary","anticipation"
"g142.r40.x_female_pituitary_inc.d17","female","inc.d17","female_pituitary","incubation"
"g143.blu32.x_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"g146.blu51_male_pituitary_inc.d3","male","inc.d3","male_pituitary","incubation"
"g20.w106.x_male_pituitary_inc.d3","male","inc.d3","male_pituitary","incubation"
"g52.blu58_male_pituitary_bldg","male","bldg","male_pituitary","anticipation"
"g53.y84_male_pituitary_hatch","male","hatch","male_pituitary","hatchling.care"
"g6.w197.x_female_pituitary_inc.d3","female","inc.d3","female_pituitary","incubation"
"g75.x_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"l.s120.y.blk_female_pituitary_bldg","female","bldg","female_pituitary","anticipation"
"o.s.w.r_male_pituitary_lay","male","lay","male_pituitary","incubation"
"o152.o120.w42_male_pituitary_n5","male","n5","male_pituitary","hatchling.care"
