"net$unmergedColors","entrezid","row.names","Name","geneid"
"yellow","XP_421005.2",423072,"ABCC8",423072
"yellow","XP_015147044.1",418200,"ABCC9",418200
"yellow","XP_015155300.1",420090,"ACSBG2",420090
"yellow","XP_015149563.1",416324,"ACSL6",416324
"yellow","XP_417874.2",419733,"ADAMTS15",419733
"yellow","XP_015153616.1",769222,"ADAMTS8",769222
"yellow","NP_001104544.1",374087,"ADARB1",374087
"yellow","XP_418563.4",420461,"ADARB2",420461
"yellow","XP_418698.1",420596,"AGR2",420596
"yellow","NP_001034359.2",417733,"ALG12",417733
"yellow","XP_003640838.2",420998,"ALG2",420998
"yellow","XP_417093.2",418898,"ALG5",418898
"yellow","XP_425656.3",428097,"ALG8",428097
"yellow","NP_001186479.1",417810,"AMIGO2",417810
"yellow","NP_001025179.1",424807,"AP1S3",424807
"yellow","XP_015136362.1",426725,"AQP11",426725
"yellow","XP_015141171.1",428790,"ARAP2",428790
"yellow","NP_001026028.1",419241,"ARFGAP1",419241
"yellow","XP_015128701.1",418625,"ASB9",418625
"yellow","XP_015147083.1",424898,"ATP13A3",424898
"yellow","NP_989749.1",386581,"ATP4B",386581
"yellow","XP_001231894.1",769122,"B3GALT2",769122
"yellow","XP_015141103.1",422711,"BANK1",422711
"yellow","NP_001026417.1",424010,"BARD1",424010
"yellow","XP_015131873.1",422667,"BBS12",422667
"yellow","NP_001186607.1",420563,"BET1",420563
"yellow","XP_015152953.1",107054980,"BOLA3",107054980
"yellow","XP_422275.1",424433,"BRINP2",424433
"yellow","NP_989734.2",378922,"BUB1B",378922
"yellow","XP_015150278.1",426994,"C14H16ORF88",426994
"yellow","XP_417232.1",419040,"C1H12ORF5",419040
"yellow","NP_001006342.1",420161,"C28H19ORF10",420161
"yellow","XP_004939333.1",420542,"C2H7ORF63",420542
"yellow","XP_004939943.2",426416,"C2H8ORF46",426416
"yellow","XP_003640504.2",418364,"C3ORF17",418364
"yellow","XP_015131826.1",428770,"C4H4ORF21",428770
"yellow","XP_414763.2",416455,"C7ORF50",416455
