"","bird","sex","tissue","treatment","group"
"L.Blu13_male_gonad_control.NYNO",45,2,1,2,29
"L.Blu13_male_hypothalamus_control.NYNO",45,2,2,2,38
"L.Blu13_male_pituitary_control.NYNO",45,2,3,2,47
"L.G107_male_gonad_control",46,2,1,2,29
"L.G107_male_hypothalamus_control",46,2,2,2,38
"L.G107_male_pituitary_control",46,2,3,2,47
"L.G118_female_gonad_control",47,1,1,2,2
"L.G118_female_hypothalamus_control.NYNO",47,1,2,2,11
"L.G118_female_pituitary_control.NYNO",47,1,3,2,20
"L.R3_male_gonad_control.NYNO",48,2,1,2,29
"L.R3_male_hypothalamus_control",48,2,2,2,38
"L.R3_male_pituitary_control.NYNO",48,2,3,2,47
"L.R8_male_gonad_control",49,2,1,2,29
"L.R8_male_hypothalamus_control",49,2,2,2,38
"L.R8_male_pituitary_control",49,2,3,2,47
"L.W33_male_gonad_control",52,2,1,2,29
"L.W33_male_hypothalamus_control.NYNO",52,2,2,2,38
"L.W33_male_pituitary_control",52,2,3,2,47
"L.W3_male_gonad_control.NYNO",51,2,1,2,29
"L.W3_male_hypothalamus_control",51,2,2,2,38
"L.W3_male_pituitary_control",51,2,3,2,47
"L.W4_male_gonad_control.NYNO",53,2,1,2,29
"L.W4_male_hypothalamus_control",53,2,2,2,38
"L.W4_male_pituitary_control",53,2,3,2,47
"R.G106_female_gonad_control",71,1,1,2,2
"R.G106_female_hypothalamus_control",71,1,2,2,11
"R.G106_female_pituitary_control",71,1,3,2,20
"R.R20_female_gonad_control",74,1,1,2,2
"R.R20_female_hypothalamus_control.NYNO",74,1,2,2,11
"R.R20_female_pituitary_control",74,1,3,2,20
"R.R9_female_gonad_control",75,1,1,2,2
"R.R9_female_hypothalamus_control",75,1,2,2,11
"R.R9_female_pituitary_control.NYNO",75,1,3,2,20
"R.W44_female_gonad_control",81,1,1,2,2
"R.W44_female_hypothalamus_control",81,1,2,2,11
"R.W44_female_pituitary_control.NYNO",81,1,3,2,20
"R.Y108.W29_male_gonad_control",83,2,1,2,29
"R.Y108.W29_male_hypothalamus_control.NYNO",83,2,2,2,38
"R.Y108.W29_male_pituitary_control",83,2,3,2,47
"blk.s061.pu.y_female_gonad_inc.d9",1,1,1,6,6
