"net$colors","gene"
"turquoise","A2ML1"
"turquoise","A2ML2"
"greenyellow","A2ML3"
"turquoise","A2ML4"
"turquoise","A4GALT"
"turquoise","AAAS"
"turquoise","AACS"
"turquoise","AADACL4"
"turquoise","AADAT"
"turquoise","AAED1"
"turquoise","AAGAB"
"turquoise","AAK1"
"turquoise","AAMDC"
"turquoise","AAMP"
"grey","AANAT"
"turquoise","AAR2"
"turquoise","AARS"
"turquoise","AARS2"
"turquoise","AARSD1"
"turquoise","AASDHPPT"
"turquoise","AASS"
"turquoise","AATF"
"turquoise","AATK"
"turquoise","ABAT"
"turquoise","ABCA1"
"brown","ABCA12"
"turquoise","ABCA13"
"turquoise","ABCA2"
"turquoise","ABCA3"
"grey","ABCA4"
"turquoise","ABCA5"
"turquoise","ABCB10"
"turquoise","ABCB11"
"turquoise","ABCB1LA"
"turquoise","ABCB1LB"
"grey","ABCB5"
"turquoise","ABCB6"
"turquoise","ABCB7"
"turquoise","ABCB8"
"turquoise","ABCB9"
"turquoise","ABCC1"
"turquoise","ABCC10"
"turquoise","ABCC13"
"turquoise","ABCC2"
"turquoise","ABCC3"
"turquoise","ABCC4"
"turquoise","ABCC5"
"turquoise","ABCC6"
"turquoise","ABCC8"
"turquoise","ABCC9"
"turquoise","ABCD2"
"turquoise","ABCD3"
"turquoise","ABCD4"
"turquoise","ABCE1"
"turquoise","ABCF2"
"turquoise","ABCF3"
"turquoise","ABCG1"
"turquoise","ABCG2"
"turquoise","ABCG4"
"turquoise","ABCG5"
"turquoise","ABCG8"
"turquoise","ABHD10"
"turquoise","ABHD11"
"turquoise","ABHD12"
"turquoise","ABHD12B"
"turquoise","ABHD13"
"turquoise","ABHD14A"
"turquoise","ABHD16A"
"turquoise","ABHD17A"
"turquoise","ABHD17B"
"turquoise","ABHD17C"
"turquoise","ABHD2"
"turquoise","ABHD3"
"turquoise","ABHD5"
"turquoise","ABHD6"
"turquoise","ABHD8"
"turquoise","ABI1"
"turquoise","ABI2"
"turquoise","ABI3BP"
"turquoise","ABL1"
"turquoise","ABL2"
"turquoise","ABLIM1"
"turquoise","ABLIM2"
"turquoise","ABLIM3"
"turquoise","ABR"
"yellow","ABRA"
"turquoise","ABRACL"
"turquoise","ABTB1"
"turquoise","ABTB2"
"turquoise","AC004754.3"
"turquoise","AC005943.2"
"turquoise","AC006538.4"
"turquoise","AC024592.12"
"turquoise","AC025048.1"
"turquoise","AC025263.3"
"turquoise","AC104534.3"
"turquoise","AC113404.1"
"turquoise","ACAA1"
"turquoise","ACAA2"
"turquoise","ACACA"
"turquoise","ACAD10"
"turquoise","ACAD11"
"turquoise","ACAD9"
"turquoise","ACADL"
"turquoise","ACADS"
"turquoise","ACADSB"
"turquoise","ACAN"
"turquoise","ACAP2"
"turquoise","ACAP3"
"turquoise","ACAT1"
"turquoise","ACAT2"
"turquoise","ACBD3"
"turquoise","ACBD4"
"turquoise","ACBD5"
"turquoise","ACBD6"
"brown","ACBD7"
"turquoise","ACCN2"
"turquoise","ACCS"
"turquoise","ACD"
"brown","ACE"
"pink","ACE2"
"grey","ACER1"
"turquoise","ACER2"
"turquoise","ACER3"
"turquoise","ACHE"
"turquoise","ACKR2"
"tan","ACKR4"
"turquoise","ACLY"
"turquoise","ACMSD"
"turquoise","ACN9"
"turquoise","ACO1"
"turquoise","ACO2"
"turquoise","ACOT11"
"turquoise","ACOT12"
"turquoise","ACOT13"
"turquoise","ACOT4"
"turquoise","ACOT7"
"turquoise","ACOT8"
"turquoise","ACOT9"
"turquoise","ACOX1"
"turquoise","ACOX2"
"turquoise","ACOX3"
"turquoise","ACP1"
"turquoise","ACP2"
"turquoise","ACP5"
"turquoise","ACP6"
"turquoise","ACPL2"
"turquoise","ACPP"
"turquoise","ACR"
"turquoise","ACRBP"
"turquoise","ACRC"
"greenyellow","ACSBG1"
"turquoise","ACSBG2"
"turquoise","ACSF2"
"turquoise","ACSF3"
"turquoise","ACSL1"
"magenta","ACSL3"
"turquoise","ACSL4"
"turquoise","ACSL5"
"turquoise","ACSL6"
"turquoise","ACSM3"
"turquoise","ACSM4"
"turquoise","ACSM5"
"turquoise","ACSS1"
"turquoise","ACSS2"
"turquoise","ACSS3"
"turquoise","ACTA2"
"turquoise","ACTL6A"
"green","ACTN1"
"yellow","ACTN2"
"turquoise","ACTN4"
"turquoise","ACTR10"
"turquoise","ACTR1A"
"turquoise","ACTR2"
"turquoise","ACTR3"
"turquoise","ACTR5"
"turquoise","ACTR6"
"turquoise","ACTR8"
"turquoise","ACVR1"
"turquoise","ACVR1B"
"turquoise","ACVR2A"
"turquoise","ACVR2B"
"turquoise","ACVRL1"
"turquoise","ACY1"
"turquoise","ACYP1"
"turquoise","ACYP2"
"turquoise","ADA"
"purple","ADAD1"
"turquoise","ADAL"
"turquoise","ADAM10"
"black","ADAM11"
"turquoise","ADAM12"
"purple","ADAM15"
"turquoise","ADAM17"
"turquoise","ADAM19"
"turquoise","ADAM20"
"turquoise","ADAM22"
"magenta","ADAM23"
"blue","ADAM33"
"turquoise","ADAM5"
"turquoise","ADAM9"
"turquoise","ADAMTS1"
"turquoise","ADAMTS13"
"turquoise","ADAMTS15"
"turquoise","ADAMTS17"
"turquoise","ADAMTS18"
"turquoise","ADAMTS19"
"turquoise","ADAMTS2"
"turquoise","ADAMTS3"
"turquoise","ADAMTS5"
"turquoise","ADAMTS6"
"turquoise","ADAMTS7"
"turquoise","ADAMTS8"
"turquoise","ADAMTS9"
"turquoise","ADAMTSL1"
"grey","ADAMTSL2"
"turquoise","ADAMTSL2L"
"turquoise","ADAMTSL3"
"turquoise","ADAMTSL5"
"turquoise","ADAP1"
"blue","ADAP2"
"turquoise","ADAR"
"turquoise","ADARB1"
"turquoise","ADARB2"
"turquoise","ADAT1"
"turquoise","ADAT2"
"turquoise","ADCK1"
"turquoise","ADCK2"
"turquoise","ADCK3"
"turquoise","ADCY1"
"turquoise","ADCY3"
"turquoise","ADCY5"
"turquoise","ADCY7"
"turquoise","ADCY8"
"turquoise","ADCY9"
"black","ADCYAP1"
"black","ADCYAP1R1"
"turquoise","ADD1"
"turquoise","ADD2"
"turquoise","ADD3"
"turquoise","ADGB"
"turquoise","ADGRD1"
"pink","ADGRD2"
"turquoise","ADGRF4"
"turquoise","ADGRF5"
"grey","ADGRG3"
"turquoise","ADGRL4"
"turquoise","ADGRV1"
"turquoise","ADH1C"
"turquoise","ADH5"
"turquoise","ADHFE1"
"turquoise","ADI1"
"yellow","ADIPOQ"
"turquoise","ADIPOR1"
"turquoise","ADIPOR2"
"grey","ADIRF"
"turquoise","ADK"
"turquoise","ADM"
"turquoise","ADMP"
"turquoise","ADNP"
