"sample","sex","treatment","PRL"
"L.Blu13_male_pituitary_control.NYNO","male","control",16.7579152362856
"L.G107_male_pituitary_control","male","control",17.8734667728998
"L.G118_female_pituitary_control.NYNO","female","control",17.9112117639384
"L.R3_male_pituitary_control.NYNO","male","control",16.510797997672
"L.R8_male_pituitary_control","male","control",17.3066301676716
"L.W33_male_pituitary_control","male","control",19.9321092154204
"L.W3_male_pituitary_control","male","control",17.6524999531665
"L.W4_male_pituitary_control","male","control",17.0083724398083
"R.G106_female_pituitary_control","female","control",16.9987666542287
"R.R20_female_pituitary_control","female","control",18.607484382339
"R.R9_female_pituitary_control.NYNO","female","control",16.8425409059011
"R.W44_female_pituitary_control.NYNO","female","control",18.6662056348535
"R.Y108.W29_male_pituitary_control","male","control",17.7975327480297
"blk.s061.pu.y_female_pituitary_inc.d9","female","inc.d9",17.5846475930153
"blk11.x_female_pituitary_bldg","female","bldg",17.651798599282
"blk12.x_male_pituitary_n5","male","n5",20.212801766198
"blk17.x_male_pituitary_inc.d17","male","inc.d17",20.1399003802594
"blk21.x_female_pituitary_hatch","female","hatch",20.4694038587906
"blk4.x_female_pituitary_n9","female","n9",19.267837562655
"blu.o.x.ATLAS_female_pituitary_control","female","control",20.9436569287451
"blu103.x_female_pituitary_hatch.NYNO","female","hatch",20.0083685043446
"blu104.w120.x_male_pituitary_hatch.NYNO","male","hatch",21.2370294365215
"blu108.w40.o158_male_pituitary_inc.d9","male","inc.d9",17.0851334328483
"blu111.w113.x_male_pituitary_inc.d3","male","inc.d3",14.5587819607707
"blu113.w124.x_male_pituitary_inc.d17.NYNO","male","inc.d17",20.238085847334
"blu114.r38.w198_male_pituitary_bldg","male","bldg",16.5000726312442
"blu121.w91.x_male_pituitary_inc.d17","male","inc.d17",20.5271853781881
"blu124.w180.x_female_pituitary_hatch","female","hatch",20.7458894639403
"blu33.y88.x_male_pituitary_bldg","male","bldg",17.1909723549431
"blu36.w16_female_pituitary_n9","female","n9",18.7642177498408
"blu37.r65.x_male_pituitary_n5","male","n5",20.0498401543139
"blu38.g135.x_female_pituitary_bldg","female","bldg",16.9842158930307
"blu39.o26.x_female_pituitary_inc.d3.NYNO","female","inc.d3",17.5749906118255
"blu41.y100.x_male_pituitary_n5","male","n5",20.1322326677864
"blu47.y96.x_female_pituitary_inc.d9","female","inc.d9",17.7869200819976
"blu55.g51_female_pituitary_n5","female","n5",20.0406673949156
"blu81.r88_male_pituitary_n9","male","n9",19.6288788999326
"d.s008.y.blk_male_pituitary_n5","male","n5",20.0083793367515
"d.s047.blk.o_male_pituitary_n5","male","n5",19.7110521101099
"g.blk.s004.pk_female_pituitary_lay","female","lay",17.2605135266028
"g.s.blk.d_male_pituitary_n9","male","n9",19.0115908526923
"g.s.blk.y_male_pituitary_lay","male","lay",17.5895508983325
"g.s043.pu.blk_male_pituitary_lay","male","lay",17.3896036364963
"g.s078.blk.o_female_pituitary_lay","female","lay",16.5532989933273
"g104.w82.x_male_pituitary_bldg","male","bldg",16.4303858393681
"g114.w83.x_male_pituitary_hatch.NYNO","male","hatch",19.208365634667
"g130.y81.x_male_pituitary_inc.d17","male","inc.d17",20.132360496794
"g141.blu27.x_female_pituitary_bldg","female","bldg",16.4029851483669
"g142.r40.x_female_pituitary_inc.d17","female","inc.d17",20.1531739872976
"g143.blu32.x_male_pituitary_inc.d17","male","inc.d17",17.3080892315866
"g146.blu51_male_pituitary_inc.d3","male","inc.d3",16.6974611231547
"g20.w106.x_male_pituitary_inc.d3","male","inc.d3",17.7271236094604
"g52.blu58_male_pituitary_bldg","male","bldg",16.9249911609145
"g53.y84_male_pituitary_hatch","male","hatch",20.4409056063889
"g6.w197.x_female_pituitary_inc.d3","female","inc.d3",18.0772389220155
"g75.x_female_pituitary_inc.d9","female","inc.d9",17.3232046146981
"l.s120.y.blk_female_pituitary_bldg","female","bldg",15.988838112718
"o.s.w.r_male_pituitary_lay","male","lay",17.6142790860805
"o152.o120.w42_male_pituitary_n5","male","n5",19.5727416221504
"o156.w80.x_female_pituitary_inc.d3","female","inc.d3",17.717671219743
"o165.w122.x_female_pituitary_inc.d3.NYNO","female","inc.d3",17.5191102526302
"o172.w115.x_female_pituitary_hatch.NYNO","female","hatch",20.9931195320979
"o173.w179.x_female_pituitary_inc.d3","female","inc.d3",17.9362520527684
"o35.r51.x_female_pituitary_inc.d17","female","inc.d17",19.46890821041
"o38.blu29.x_female_pituitary_bldg","female","bldg",17.2980199234505
"o39.y77.x_male_pituitary_hatch","male","hatch",20.4092175496708
"o44.blu26.x_male_pituitary_hatch","male","hatch",20.2817082484876
"o48.r197.x_male_pituitary_inc.d3","male","inc.d3",17.488358619768
"o49.x_male_pituitary_inc.d9","male","inc.d9",18.202451451456
"o52.blu53_female_pituitary_inc.d17","female","inc.d17",20.243804149549
"o57.g59_male_pituitary_inc.d9","male","inc.d9",17.9791877159813
"o73.x_female_pituitary_inc.d9","female","inc.d9",17.9042683024314
"pk.s238.blk.w_male_pituitary_lay","male","lay",17.4308748483818
"pk.w.s141.o_male_pituitary_lay","male","lay",17.5012268652366
"r.r.x.ATLAS.R2XR_female_pituitary_control","female","control",18.8425563721787
"r.r.x.ATLAS_female_pituitary_control","female","control",19.0552868783698
"r.s005.pk.blk_male_pituitary_lay","male","lay",15.5971383098871
"r.s056.g.o_female_pituitary_bldg","female","bldg",17.353891626286
"r.s059.d.o_male_pituitary_bldg","male","bldg",16.7928437386392
"r.s116.blk.pu_male_pituitary_lay","male","lay",16.208946007438
"r.s171.l.w_female_pituitary_n9","female","n9",19.2865422423417
"r.y.s007.blk_male_pituitary_n9","male","n9",19.1090290388283
"r176.blu54_male_pituitary_inc.d17","male","inc.d17",19.6363024662855
"r183.o22_female_pituitary_hatch","female","hatch",19.8794485390973
"r190.o43.x_male_pituitary_lay","male","lay",17.2605113266307
