"","bird","sex","tissue","treatment","group","SOCS5","SOCS1","SOCS4","SOCS2","CISH"
"L.Blu13_male_hypothalamus_control.NYNO","L.Blu13","male","hypothalamus","control","male.hypothalamus.control",92,1,7,6,26
"L.G107_male_hypothalamus_control","L.G107","male","hypothalamus","control","male.hypothalamus.control",196,6,18,16,88
"L.G118_female_hypothalamus_control.NYNO","L.G118","female","hypothalamus","control","female.hypothalamus.control",138,1,11,10,0
"L.R3_male_hypothalamus_control","L.R3","male","hypothalamus","control","male.hypothalamus.control",333,5,34,17,92
"L.R8_male_hypothalamus_control","L.R8","male","hypothalamus","control","male.hypothalamus.control",23,1,4,3,7
"L.W33_male_hypothalamus_control.NYNO","L.W33","male","hypothalamus","control","male.hypothalamus.control",325,1,23,22,79
"L.W3_male_hypothalamus_control","L.W3","male","hypothalamus","control","male.hypothalamus.control",44,0,1,2,1
"L.W4_male_hypothalamus_control","L.W4","male","hypothalamus","control","male.hypothalamus.control",303,7,63,19,28
"R.G106_female_hypothalamus_control","R.G106","female","hypothalamus","control","female.hypothalamus.control",820,10,76,65,113
"R.R20_female_hypothalamus_control.NYNO","R.R20","female","hypothalamus","control","female.hypothalamus.control",112,4,28,6,33
"R.R9_female_hypothalamus_control","R.R9","female","hypothalamus","control","female.hypothalamus.control",871,12,82,46,138
"R.W44_female_hypothalamus_control","R.W44","female","hypothalamus","control","female.hypothalamus.control",673,22,149,40,198
"R.Y108.W29_male_hypothalamus_control.NYNO","R.Y108.W29","male","hypothalamus","control","male.hypothalamus.control",154,2,21,10,9
"blk.s061.pu.y_female_hypothalamus_inc.d9","blk.s061.pu.y","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9",1423,16,178,68,168
"blk11.x_female_hypothalamus_bldg","blk11.x","female","hypothalamus","bldg","female.hypothalamus.bldg",1022,23,98,44,174
"blk12.x_male_hypothalamus_n5.NYNO","blk12.x","male","hypothalamus","n5","male.hypothalamus.n5",939,21,95,51,262
"blk17.x_male_hypothalamus_inc.d17","blk17.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17",1167,26,106,95,214
"blk21.x_female_hypothalamus_hatch","blk21.x","female","hypothalamus","hatch","female.hypothalamus.hatch",1226,0,141,38,97
"blk4.x_female_hypothalamus_n9","blk4.x","female","hypothalamus","n9","female.hypothalamus.n9",650,28,127,86,153
"blu.o.x.ATLAS_female_hypothalamus_control","blu.o.x.ATLAS","female","hypothalamus","control","female.hypothalamus.control",46,2,10,25,4
"blu103.x_female_hypothalamus_hatch","blu103.x","female","hypothalamus","hatch","female.hypothalamus.hatch",1525,21,122,92,150
"blu104.w120.x_male_hypothalamus_hatch","blu104.w120.x","male","hypothalamus","hatch","male.hypothalamus.hatch",1578,27,171,55,428
"blu108.w40.o158_male_hypothalamus_inc.d9","blu108.w40.o158","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9",1334,12,102,46,269
"blu111.w113.x_male_hypothalamus_inc.d3","blu111.w113.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3",769,14,82,55,238
"blu113.w124.x_male_hypothalamus_inc.d17","blu113.w124.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17",1516,34,138,56,161
"blu114.r38.w198_male_hypothalamus_bldg","blu114.r38.w198","male","hypothalamus","bldg","male.hypothalamus.bldg",861,18,96,27,69
"blu121.w91.x_male_hypothalamus_inc.d17","blu121.w91.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17",879,24,144,28,331
"blu124.w180.x_female_hypothalamus_hatch","blu124.w180.x","female","hypothalamus","hatch","female.hypothalamus.hatch",1175,29,148,53,208
"blu33.y88.x_male_hypothalamus_bldg","blu33.y88.x","male","hypothalamus","bldg","male.hypothalamus.bldg",815,13,102,19,122
"blu36.w16_female_hypothalamus_n9","blu36.w16","female","hypothalamus","n9","female.hypothalamus.n9",657,12,105,95,171
"blu37.r65.x_male_hypothalamus_n5","blu37.r65.x","male","hypothalamus","n5","male.hypothalamus.n5",1247,17,118,36,272
"blu38.g135.x_female_hypothalamus_bldg","blu38.g135.x","female","hypothalamus","bldg","female.hypothalamus.bldg",990,20,94,55,216
"blu39.o26.x_female_hypothalamus_inc.d3.NYNO","blu39.o26.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3",960,12,107,37,136
"blu41.y100.x_male_hypothalamus_n5.NYNO","blu41.y100.x","male","hypothalamus","n5","male.hypothalamus.n5",913,20,80,45,127
"blu47.y96.x_female_hypothalamus_inc.d9","blu47.y96.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9",345,8,51,26,69
"blu55.g51_female_hypothalamus_n5","blu55.g51","female","hypothalamus","n5","female.hypothalamus.n5",1520,16,189,141,476
"blu81.r88_male_hypothalamus_n9","blu81.r88","male","hypothalamus","n9","male.hypothalamus.n9",1157,28,152,98,280
"d.s008.y.blk_male_hypothalamus_n5","d.s008.y.blk","male","hypothalamus","n5","male.hypothalamus.n5",1628,27,138,108,433
"d.s047.blk.o_male_hypothalamus_n5","d.s047.blk.o","male","hypothalamus","n5","male.hypothalamus.n5",1479,16,117,40,203
"g.blk.s004.pk_female_hypothalamus_lay","g.blk.s004.pk","female","hypothalamus","lay","female.hypothalamus.lay",1271,14,164,105,145
"g.s.blk.d_male_hypothalamus_n9","g.s.blk.d","male","hypothalamus","n9","male.hypothalamus.n9",590,8,59,50,147
"g.s.blk.y_male_hypothalamus_lay","g.s.blk.y","male","hypothalamus","lay","male.hypothalamus.lay",765,26,104,24,79
"g.s043.pu.blk_male_hypothalamus_lay","g.s043.pu.blk","male","hypothalamus","lay","male.hypothalamus.lay",797,15,95,33,178
"g.s078.blk.o_female_hypothalamus_lay","g.s078.blk.o","female","hypothalamus","lay","female.hypothalamus.lay",759,17,73,51,244
"g104.w82.x_male_hypothalamus_bldg","g104.w82.x","male","hypothalamus","bldg","male.hypothalamus.bldg",372,9,65,16,80
"g114.w83.x_male_hypothalamus_hatch","g114.w83.x","male","hypothalamus","hatch","male.hypothalamus.hatch",1182,12,95,40,198
