"timepoint","treatment","sex","meanPRL","meanBRCA1"
1,"control","female",18.5,7.53
1,"control","male",17.9,7.46
2,"bldg","female",17,7.38
2,"bldg","male",17,7.35
3,"lay","female",17.3,7.27
3,"lay","male",17.4,7.33
4,"inc.d3","female",17.9,7.37
4,"inc.d3","male",16.8,7.35
5,"inc.d9","female",18,7.37
5,"inc.d9","male",17.9,7.32
6,"inc.d17","female",20.4,8
6,"inc.d17","male",19.8,7.85
7,"hatch","female",20.8,7.8
7,"hatch","male",20.7,7.8
8,"n5","female",19.8,7.43
8,"n5","male",20.2,7.71
9,"n9","female",19,7.44
9,"n9","male",19.1,7.37
