"","V1","bird","sex","tissue","treatment","group","study","BRCA1","PRL","study2"
"1","L.Blu13_male_pituitary_control.NYNO","L.Blu13","male","pituitary","control","male.pituitary.control","charcterization",7.60968630080517,17.0335687350916,"charcterization"
"2","L.G107_male_pituitary_control","L.G107","male","pituitary","control","male.pituitary.control","charcterization",7.34199918073518,18.1458463352522,"charcterization"
"3","L.G118_female_pituitary_control.NYNO","L.G118","female","pituitary","control","female.pituitary.control","charcterization",7.40506842847175,18.1809440813639,"charcterization"
"4","L.R3_male_pituitary_control.NYNO","L.R3","male","pituitary","control","male.pituitary.control","charcterization",7.4756056752783,16.7858476182767,"charcterization"
"5","L.R8_male_pituitary_control","L.R8","male","pituitary","control","male.pituitary.control","charcterization",7.54881783804345,17.5822471362484,"charcterization"
"6","L.W33_male_pituitary_control","L.W33","male","pituitary","control","male.pituitary.control","charcterization",7.33706489664582,20.2096874107855,"charcterization"
"7","L.W3_male_pituitary_control","L.W3","male","pituitary","control","male.pituitary.control","charcterization",7.482487315689,17.9180365354594,"charcterization"
"8","L.W4_male_pituitary_control","L.W4","male","pituitary","control","male.pituitary.control","charcterization",7.3534921407425,17.2796549056695,"charcterization"
"9","R.G106_female_pituitary_control","R.G106","female","pituitary","control","female.pituitary.control","charcterization",7.56718938739285,17.2700051274098,"charcterization"
"10","R.R20_female_pituitary_control","R.R20","female","pituitary","control","female.pituitary.control","charcterization",7.66130464737762,18.8827060846899,"charcterization"
"11","R.R9_female_pituitary_control.NYNO","R.R9","female","pituitary","control","female.pituitary.control","charcterization",7.49080678711886,17.1122272493139,"charcterization"
"12","R.W44_female_pituitary_control.NYNO","R.W44","female","pituitary","control","female.pituitary.control","charcterization",7.6650534578765,18.9413616845827,"charcterization"
"13","R.Y108.W29_male_pituitary_control","R.Y108.W29","male","pituitary","control","male.pituitary.control","charcterization",7.36754156218278,18.0703965984596,"charcterization"
