"gene","padj","logpadj","lfc","tissue","direction"
"CDK3",3.98364850041778e-30,29.3997189887884,12.9185720124228,"gonads","lay"
"C8H1ORF111",3.46975995722676e-19,18.4597005692604,11.0477788703664,"gonads","lay"
"LOC101748962",3.46975995722676e-19,18.4597005692604,9.87517047755972,"gonads","lay"
"LOC107053414",4.84744521680558e-09,8.314487090382,9.81042721222735,"gonads","lay"
"LOC101752063",4.21796615357292e-17,16.3748969095125,9.04051846590285,"gonads","lay"
"LOC107056226",3.67977662614368e-12,11.4341785435486,8.36439909912422,"gonads","lay"
"C20H20ORF195",4.23894141754596e-10,9.37274258536911,8.11279892172915,"gonads","lay"
"LOC101751993",1.10923804634784e-06,5.95497524274045,6.01865011049933,"gonads","lay"
"MUC",0.000126766368337324,3.89699595136651,5.81905178537169,"gonads","lay"
"OVSTL",3.84412695182734e-17,16.415202278244,5.41641053047929,"gonads","lay"
"OTOP2",0.0674950394013575,1.1707281447954,4.53878357145701,"gonads","lay"
"LOC425470",0.00234162891128125,2.63048192845759,4.39145183856919,"gonads","lay"
"AOC1",2.73246172233668e-07,6.56344591314565,4.34095015053302,"gonads","lay"
"ETNPPL",5.96002961623527e-07,6.22475158218332,4.22969462773931,"gonads","lay"
"GKN2",6.78445216577546e-06,5.16848521520931,4.02028620529377,"gonads","lay"
"CA4",3.92203081994069e-07,6.40648899789986,3.46553385755601,"gonads","lay"
"LOC107049904",0.0319435593522413,1.4956166936793,3.4237985973537,"gonads","lay"
"LOC101747255",0.00848278770689,2.07146140166271,3.40935802840588,"gonads","lay"
"GAL3ST2",1.74259875704518e-05,4.7588026000739,3.39657609037877,"gonads","lay"
"LOC107054772",0.00245087483490317,2.61067886740924,3.32794059225832,"gonads","lay"
"LOC107049005",0.0382116216642561,1.41780453088282,3.30186934233172,"gonads","lay"
"SFTPA1",0.0455516228145932,1.34149614631187,3.19637689871991,"gonads","lay"
"NEU4",0.00405957930270054,2.39151897035935,3.11262324965109,"gonads","lay"
"OCX36",0.0154735990149794,1.81040866170087,3.11038101783683,"gonads","lay"
"C5H14ORF166B",0.0237390259513989,1.62453710478375,2.98840751664934,"gonads","lay"
"ODF1",0.0468109613979778,1.32965243929236,2.92983346244355,"gonads","lay"
"SLC5A8",8.89468664648851e-07,6.0508693471976,2.92412462374948,"gonads","lay"
"IL1R2",0.00493188904529867,2.3069867024649,2.89485577218898,"gonads","lay"
"LOC417800",0.0508813647215442,1.29344124871406,2.88423997445693,"gonads","lay"
"GPA33",0.0717718887018911,1.14404562500892,2.81543989348541,"gonads","lay"
"LOC107049720",0.00866400268359592,2.06228142186395,2.76165505483925,"gonads","lay"
"ZNRF4",0.0371340114708605,1.43022813276803,2.7043405050205,"gonads","lay"
"OLFM4",0.00442457769615563,2.35412817422752,2.62720838848834,"gonads","lay"
"LOC101748683",0.0656770063230777,1.18258665136667,2.62602137327304,"gonads","lay"
"SERPINB2",5.61623563049684e-05,4.2505546795681,2.57397740742362,"gonads","lay"
"NTNG2",6.53818705236504e-07,6.18454265875597,2.41970376292162,"gonads","lay"
"SLC14A2",0.00401142677737529,2.39670113078844,2.33212086408114,"gonads","lay"
"FMR1NB",0.0717718887018911,1.14404562500892,2.30990470357407,"gonads","lay"
"VNN1",7.45583599931188e-07,6.12750365341389,2.1580446580073,"gonads","lay"
"LOC107052588",0.00992506479869197,2.00326664913689,2.13407664852081,"gonads","lay"
"MOGAT2",0.0628023288466652,1.20202425138218,2.12462872979114,"gonads","lay"
"CALB1",0.0025873689255438,2.58714164205866,2.11004339507636,"gonads","lay"
"LOC423629",0.0452936600815201,1.34396258351264,2.00498891021051,"gonads","lay"
"SPP1",0.0590465425108742,1.22880552755784,2.00381059762591,"gonads","lay"
"FGG",0.00347651599317577,2.45885576836897,1.97889983936429,"gonads","lay"
"A2ML1",0.0101090369470288,1.99529021617092,1.97836573936948,"gonads","lay"
"LRFN2",0.0601642222054038,1.22066169342431,1.97448955655293,"gonads","lay"
"PTPRQ",0.000122589939747295,3.91154516841063,1.93039406505329,"gonads","lay"
"SOX2",0.000186973937236435,3.72821892663595,1.91440989076205,"gonads","lay"
"CAPN8",0.0558634358252834,1.25287235696166,1.89069715943299,"gonads","lay"
"GREM1",0.00114195406432603,2.94235136545178,1.87678945980185,"gonads","lay"
"SLC32A1",0.0972374930413094,1.01216624658272,1.8326877064939,"gonads","lay"
"MMP13",0.0752529428507911,1.12347651182888,1.8028137399565,"gonads","lay"
"LOC100857341",0.0259395598513282,1.58603739740233,1.79028109098383,"gonads","lay"
"ROS1",0.0502192853537404,1.29912947181297,1.72626908132176,"gonads","lay"
"AVDL",0.0816302893144174,1.08814866426951,1.71878391215591,"gonads","lay"
"LOC101750842",0.082119784757033,1.08555219762287,1.69614720192523,"gonads","lay"
"ATF3",2.66239120572241e-06,5.57472812992683,1.69593522637642,"gonads","lay"
"FAM83C",6.99260127611911e-06,5.15536123488262,1.68103555965777,"gonads","lay"
"LOC107056420",0.0173852590708612,1.75981883318279,1.6624142922965,"gonads","lay"
"GNA14",0.0130091775596815,1.88575015867149,1.6549503828259,"gonads","lay"
"LOC427933",0.0693548845185908,1.15892294706699,1.62515610726357,"gonads","lay"
"IL1RL1",0.00324811323476048,2.48836883892149,1.62440970922808,"gonads","lay"
"LOC427656",0.00885595219875719,2.05276473628832,1.59768492389737,"gonads","lay"
"GHRHR",0.0764056482782002,1.11687453507113,1.58795807099613,"gonads","lay"
"BMF",0.000626467428374218,3.20310150415119,1.56060486227206,"gonads","lay"
"LOC100859916",0.00779235952220879,2.10833101828173,1.48750322935291,"gonads","lay"
"EDNRB",0.000570476510820793,3.24376223280743,1.44387625337679,"gonads","lay"
"CEMIP",0.00855282418709446,2.06789045528989,1.44310527826106,"gonads","lay"
"MILR1",0.00952495256938679,2.02113717826703,1.43164510495082,"gonads","lay"
"LOXL2",0.000292970564861242,3.533176011593,1.43060595861426,"gonads","lay"
"SLC34A2",0.00216948499470018,2.66364334933355,1.40863608975946,"gonads","lay"
"SGK1",2.34969854067889e-07,6.62898785284221,1.40102519578426,"gonads","lay"
"NEB",0.0010665601434846,2.97201464959381,1.3978316402567,"gonads","lay"
"LOC771085",0.025437142955737,1.59453166929081,1.39458219277466,"gonads","lay"
"OTOGL",1.28586471903104e-05,4.89080471949013,1.38248344575005,"gonads","lay"
"C18H17ORF67",0.0738470154393026,1.13166705220625,1.37882986248327,"gonads","lay"
"TNFRSF11A",0.0147237089831321,1.83198277505238,1.37521784887021,"gonads","lay"
"LOC101752024",0.0635799263457755,1.1966799795298,1.34688488623381,"gonads","lay"
"NTN4L",0.0117405409155769,1.93031189361323,1.34241469925951,"gonads","lay"
"GUCY1A2",0.0064366639713134,2.19133916280106,1.33755942732716,"gonads","lay"
"TFAP2A",0.0150855296370483,1.82143943759973,1.32887684740629,"gonads","lay"
"GPNMB",0.0145250664042784,1.83788187346804,1.31839603075927,"gonads","lay"
"RBP7",0.0512626565553886,1.29019889137356,1.31558455071156,"gonads","lay"
"FOXC1",0.00490531323684237,2.3093332548103,1.30189555475979,"gonads","lay"
"OSMR",0.0282152091188522,1.54951672658029,1.28690404504642,"gonads","lay"
"LPIN1",0.00895541548085962,2.04791426052864,1.28650887842612,"gonads","lay"
"SQSTM1",2.89165538106967e-13,12.5388534662246,1.27490285810303,"gonads","lay"
"CBS",6.38706160313896e-07,6.19469889505631,1.27150579077625,"gonads","lay"
"CMBL",0.0904720217114186,1.04348570471698,1.26871000252371,"gonads","lay"
"DHODH",0.0293790445300196,1.53196233251062,1.26623847035024,"gonads","lay"
"LOC101748113",0.0801077645374374,1.09632538738223,1.26369958777345,"gonads","lay"
"LOC107057502",0.0990873128541334,1.00398194904826,1.24310063333268,"gonads","lay"
"ST6GALNAC1",0.000126313783014926,3.89854925783158,1.22067313519138,"gonads","lay"
"TMEM136-1",0.0511924795748072,1.29079383431816,1.21722253932343,"gonads","lay"
"SH3GL2",0.0152349931421018,1.8171577369351,1.20488647688552,"gonads","lay"
"PLTP",0.00674790653775252,2.17083094126066,1.19879809142488,"gonads","lay"
"LOC107051813",0.0444480102720314,1.35214767557607,1.18910006157607,"gonads","lay"
"LCAT",0.00832972197659377,2.07936949391689,1.18893767324515,"gonads","lay"
"SLCO2A1",0.0524711335917218,1.28007955315803,1.17810958426694,"gonads","lay"
"AGT",0.075445431313302,1.12236705430453,1.17636139646235,"gonads","lay"
"MT4",0.0321848498998042,1.49234851194557,1.15920189379993,"gonads","lay"
"KCNE3",0.051891122145598,1.28490693758467,1.1376266476501,"gonads","lay"
"TLR15",0.0407815880579606,1.38953586655737,1.12671209882361,"gonads","lay"
"ZNF750",0.0850587034975076,1.0702812412807,1.12296314387628,"gonads","lay"
"ERBB3",0.0269799833560806,1.56895832257978,1.11557181041527,"gonads","lay"
"NR1D1",0.00133386553364108,2.8748879492359,1.09592789783575,"gonads","lay"
"FOXI1",0.0184006491037474,1.73516685649028,1.09112430752175,"gonads","lay"
"ARRDC2",0.00168984349634979,2.77215351539758,1.08945391227031,"gonads","lay"
"APCDD1L",8.2207795119469e-05,4.08508699977307,1.08179120012722,"gonads","lay"
"BHMT",0.0193650268855599,1.71298189572194,1.07341838870492,"gonads","lay"
"LACC1",0.0361813450362914,1.44151529234128,1.06429601251085,"gonads","lay"
"ST6GALNAC2",0.0199180604043593,1.7007529549031,1.06269030911647,"gonads","lay"
"LHX1",0.0950952468270876,1.02184118998536,1.04925957414314,"gonads","lay"
"IL1R1",0.00477260385911528,2.32124461192332,1.04360728334272,"gonads","lay"
"KAT6A",0.028479181233287,1.54547250067341,1.04176450223208,"gonads","lay"
"C7",0.0373578895664329,1.42761766604851,1.03542868645239,"gonads","lay"
"GPR146",0.0295130990605674,1.52998518446016,1.03451701080798,"gonads","lay"
"SVEP1",0.0215722079104929,1.66610540268275,1.02645706992328,"gonads","lay"
"RP11-295K3.1",0.0075017909394504,2.12483504297231,1.02158849659074,"gonads","lay"
"MAMDC2",0.00243898398978343,2.61279105051511,1.02072286240796,"gonads","lay"
"GPD1L2",0.0257242985060432,1.5896564594852,1.00853606135091,"gonads","lay"
"LOC101751203",0.00216948499470018,2.66364334933355,0.990706963586057,"gonads","lay"
"EDN1",0.0952025604694389,1.02135137112398,0.978318794959175,"gonads","lay"
"ADGRD1",0.00873307993686042,2.05883256457776,0.976716817270182,"gonads","lay"
"ABI3BP",0.060734382903591,1.21656537683626,0.972447764626782,"gonads","lay"
"FN1",0.0199180604043593,1.7007529549031,0.972374911660255,"gonads","lay"
"SLC4A7",0.0491332082012713,1.30862487725294,0.962680694930032,"gonads","lay"
"SLC38A11",0.0632577926426279,1.19888596670186,0.961583918172377,"gonads","lay"
"HPS5",0.0137707971100794,1.86104092027397,0.948155922997943,"gonads","lay"
"SERTAD4",0.0204652598098942,1.68898273754267,0.947671338065115,"gonads","lay"
"AK4",0.00537989554548618,2.26922615638925,0.945968589793879,"gonads","lay"
"KCNK2",0.0447026618389464,1.3496666158491,0.936270213670677,"gonads","lay"
"SLC24A4",0.0281586796346978,1.55038771319501,0.931777441401715,"gonads","lay"
"PPP1R17",0.018430522356751,1.73446235585853,0.922662451450662,"gonads","lay"
"HVCN1",0.0025873689255438,2.58714164205866,0.91981962324591,"gonads","lay"
"KLF7",0.000136457059675285,3.86500399096727,0.916948691415479,"gonads","lay"
"LOC427665",0.0300879390331798,1.52160755959032,0.908362511910817,"gonads","lay"
"RAB43",0.0207106213999075,1.68380687037249,0.902834292705459,"gonads","lay"
"KLF15",0.00161137658801313,2.79280295059055,0.90082657039868,"gonads","lay"
"PM20D2",0.00035429842262049,3.45063078119418,0.899539669411527,"gonads","lay"
"UBAP2L",0.0676001139664462,1.17005257188444,0.899527695610562,"gonads","lay"
"EFHB",0.0316367115358292,1.49980866537871,0.89740700143953,"gonads","lay"
"ABCA1",0.000771636048939496,3.11258749138353,0.889668265869313,"gonads","lay"
"MAFB",0.0405962774952311,1.39151378754099,0.88609049402793,"gonads","lay"
