"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015156708.1",2.00663266289388e-17,16.6975321228187,10.1363711385686,"gonads","n5",107056226,"LOC107056226",107056226,"LOC107056226"
"XP_015143194.1",4.9958175368907e-12,11.3013934318208,8.17620787423344,"gonads","n5",428893,"C5H14ORF166B",428893,"C5H14ORF166B"
"XP_420100.2",0.000350643632701098,3.45513404299901,6.7634911668569,"gonads","n5",422097,"WFIKKN2",422097,"WFIKKN2"
"XP_015128840.1",0.000541929322889182,3.26605734940387,6.12331901253463,"gonads","n5",107049626,"SFTPC",107049626,"SFTPC"
"NP_990325.1",0.00268313129256088,2.5713580756547,5.65010717936393,"gonads","n5",395843,"SIX6",395843,"SIX6"
"XP_015142236.1",0.00535759353362528,2.27103023824549,4.36624022861686,"gonads","n5",414878,"MUC6",414878,"MUC6"
"XP_417373.1",0.00813289628708661,2.08975476590632,4.09298816606767,"gonads","n5",419195,"PKIG",419195,"PKIG"
"NP_001026628.1",0.0279497861516192,1.55362151062289,3.40096103891142,"gonads","n5",427535,"AGRP",427535,"AGRP"
"NP_989747.1",1.90471315785847e-05,4.72017041806655,3.31813222822883,"gonads","n5",386578,"CHRNA3",386578,"CHRNA3"
"XP_015138862.1",0.0239874299909887,1.62001627977379,2.53300789652363,"gonads","n5",428545,"ASB3",428545,"ASB3"
"NP_990635.1",0.0175286054133884,1.75625263526745,2.53087908440316,"gonads","n5",396241,"TF",396241,"TF"
"XP_004947241.2",0.0136953693561706,1.86342625058171,2.14442988635754,"gonads","n5",101750367,"LOC101750367",101750367,"LOC101750367"
"XP_416822.2",0.038344473306492,1.41629722325242,2.07661970258609,"gonads","n5",418623,"ACE2",418623,"ACE2"
"XP_015146973.1",0.0389865999717807,1.40908463805849,1.82909191905404,"gonads","n5",424939,"PRSS56",424939,"PRSS56"
"XP_015140193.1",0.0389865999717807,1.40908463805849,1.80502210371974,"gonads","n5",771973,"HTR1E",771973,"HTR1E"
"XP_417739.2",0.0213912993061558,1.66976283560817,1.79441030890047,"gonads","n5",419592,"C23H1ORF63",419592,"C23H1ORF63"
"XP_001234906.1",0.0222304299932784,1.65305213685558,1.68386298967978,"gonads","n5",771649,"LYPD6",771649,"LYPD6"
"XP_420169.3",0.0536678389728225,1.27028589196979,1.49978359514067,"gonads","n5",422172,"FDX1L",422172,"FDX1L"
"XP_001232135.3",0.0162941280824527,1.78796887417465,1.45940124815443,"gonads","n5",768965,"MARCH3",768965,"MARCH3"
"XP_015153171.1",0.057661209135192,1.23911625485041,1.41054802842426,"gonads","n5",418420,"TAGLN3",418420,"TAGLN3"
"XP_422391.2",0.00364283288911696,2.43856075107458,1.39775970031536,"gonads","n5",424555,"AK5",424555,"AK5"
"XP_015152075.1",0.0536678389728225,1.27028589196979,1.38372968453232,"gonads","n5",419297,"SSPO",419297,"SSPO"
"NP_990544.1",0.0911314759473932,1.04033159592186,1.15391381641536,"gonads","n5",396135,"MST1",396135,"MST1"
"XP_015134688.1",0.0725886410346882,1.1391313341472,1.12236880834818,"gonads","n5",100859696,"LOC100859696",100859696,"LOC100859696"
"XP_015155348.1",0.0043622260879277,2.36029182931328,1.0982331717064,"gonads","n5",420075,"RP11-330H6.5",420075,"RP11-330H6.5"
"XP_015128524.1",0.00379986526037967,2.42023180278084,0.975017811976625,"gonads","n5",101750514,"LOC101750514",101750514,"LOC101750514"
"XP_426719.2",0.0410179972517178,1.38702554834994,0.910723198172227,"gonads","n5",429164,"SIAH2",429164,"SIAH2"
"XP_015154059.1",0.0263591150925199,1.57906917362607,0.870026987138699,"gonads","n5",395291,"ROBO2",395291,"ROBO2"
"NP_990126.1",0.0057300427237059,2.24184213988243,0.734844335306685,"gonads","n5",395576,"DACH2",395576,"DACH2"
