"gene","padj","logpadj","lfc","tissue","direction"
"IQCG",1.41328866788173e-84,83.8497691233149,19.8317147313935,"gonads","male"
"C12ORF50",5.06146904738786e-75,74.2957234146665,12.3473512007468,"gonads","male"
"LOC107056226",3.39228980741719e-62,61.469507052528,11.961110034225,"gonads","male"
"C3H2ORF70",5.51433945807591e-43,42.2585065026061,11.2954776709182,"gonads","male"
"C5H14ORF166B",4.72476547977283e-63,62.3256197434231,10.9741529491985,"gonads","male"
"LOC101752063",2.33218716500598e-48,47.6322365990813,10.9356405484103,"gonads","male"
"C19ORF71",2.47916211252792e-48,47.6056950737669,10.8405615523881,"gonads","male"
"C5H11ORF91",1.09519708396834e-55,54.9605077212091,10.8148995121776,"gonads","male"
"LOC101751993",1.26813203501416e-50,49.8968355263496,10.7728919552614,"gonads","male"
"CAPZA3",8.06004447784454e-72,71.0936625616156,10.5718799878507,"gonads","male"
"LOC101750588",1.52816735208473e-53,52.815829082863,10.4734543406203,"gonads","male"
"LOC100857794",7.23543723154438e-53,52.1405352196922,10.4326331554656,"gonads","male"
"FAM229A",4.44574395799232e-45,44.3520555530705,10.3952713505671,"gonads","male"
"LOC101750451",1.92673167658436e-52,51.7151787625073,10.3493725773355,"gonads","male"
"LOC101747255",1.40936250334632e-70,69.8509772872636,10.2795037809163,"gonads","male"
"LOC107054074",1.52374228778459e-46,45.8170884794907,10.2745086181013,"gonads","male"
"RAD21L1",2.18129815478529e-33,32.6612849680169,10.176199595428,"gonads","male"
"HK3",1.08032123632878e-96,95.9664470867159,10.1513175601382,"gonads","male"
"C20H20ORF195",2.5101450000675e-51,50.6003011905069,10.0913969647707,"gonads","male"
"LOC101748683",1.61089272731024e-59,58.7929333791887,10.0686278145222,"gonads","male"
"DNAJB8",2.71208920997557e-64,63.5666960291254,10.0500824801456,"gonads","male"
"SLC28A3",1.23877413225655e-96,95.9070078720394,9.98890745241172,"gonads","male"
"TPPP2",1.14548211176097e-93,92.9410116885123,9.93722102782687,"gonads","male"
"ZNRF4",3.32560751313605e-69,68.4781290073526,9.86669886372546,"gonads","male"
"LOC100859381",2.8445129727554e-57,56.5459920812377,9.79153218713214,"gonads","male"
"PLCZ1",8.03748382164919e-71,70.094879888242,9.67833930793854,"gonads","male"
"PKIG",4.41318313616548e-33,32.3552480500339,9.67324322515319,"gonads","male"
"TSSK3",3.24373536940885e-75,74.4889545836512,9.64252513521513,"gonads","male"
"ODF1",1.70229690054138e-49,48.7689646915948,9.62167164619096,"gonads","male"
"LOC101747521",2.30572009632042e-63,62.6371934151687,9.6091941361535,"gonads","male"
"C7ORF72",5.70246414536848e-59,58.2439374366989,9.53322560788565,"gonads","male"
"LOC422928",2.09781437978206e-37,36.6782329419779,9.49730674379608,"gonads","male"
"CCDC63",9.01761469696993e-74,73.0449083250901,9.4922423175541,"gonads","male"
"SYCE2",9.53265863556452e-39,38.0207859587816,9.48376394657014,"gonads","male"
"C6ORF163",2.77684559903598e-51,50.5564482676573,9.48209406903135,"gonads","male"
"PDC",6.83774422469379e-54,53.165087148623,9.46520695391927,"gonads","male"
"C8H1ORF111",5.31537085358819e-46,45.2744664293442,9.38295441035415,"gonads","male"
"C1ORF158",2.27788704437474e-62,61.6424678154725,9.38079457679532,"gonads","male"
"KLHL10",1.02657605533602e-86,85.9886088697818,9.32209437848456,"gonads","male"
"C17ORF64",1.82653378772825e-66,65.7383722896781,9.24948143872355,"gonads","male"
"SDR42E2",3.79275444093112e-67,66.4210452744606,9.2172363027322,"gonads","male"
"LOC101751469",9.76714484584236e-65,64.010232371687,9.14513338101836,"gonads","male"
"LOC101747625",1.09084992768833e-48,47.9622349928213,9.12095669049083,"gonads","male"
"FBXO39",3.61374536923688e-80,79.4420424518391,9.10058872225693,"gonads","male"
"PFN3",6.81713102795923e-77,76.1663983586093,9.09590208401731,"gonads","male"
"DCST1",1.45272729953697e-64,63.8378159021655,9.09053371478976,"gonads","male"
"TEX33",3.41322673834987e-94,93.4668348608736,9.05390767550119,"gonads","male"
"NKX1-2",1.74094602964723e-37,36.7592146920588,9.03363997272074,"gonads","male"
"CCDC122",8.09541413659689e-49,48.0917609291665,9.02016858584703,"gonads","male"
"FAM221A",3.85368282596189e-65,64.4141240324421,9.01396071118529,"gonads","male"
"LOC100858845",1.99497694528694e-51,50.7000621188206,8.97960853292251,"gonads","male"
"NME8",2.36508069191757e-63,62.6261540373969,8.96992031879184,"gonads","male"
"NOX5",1.59864599447329e-31,30.7962476961462,8.89505294833351,"gonads","male"
"CCDC178",1.93021365698432e-53,52.7143946159075,8.84536597301975,"gonads","male"
"STMND1",3.55343957699614e-106,105.449351064941,8.83971275946245,"gonads","male"
"FAM46D",2.93156267248431e-103,102.532900816805,8.8251380009772,"gonads","male"
"LOC101748326",2.38219223079902e-67,66.623023196083,8.80888660619098,"gonads","male"
"C4H4ORF45",9.88557383135951e-60,59.004998115975,8.80681986932185,"gonads","male"
"FAM71BL",1.75255108354696e-63,62.7563293143147,8.80564844723458,"gonads","male"
"LOC101748962",3.75938656513566e-43,42.4248830149423,8.74774985031289,"gonads","male"
"LOC425470",4.2561489959347e-39,38.3709831770054,8.72599859179256,"gonads","male"
"TAGAP",4.30417496058768e-100,99.3661100833283,8.68939840690855,"gonads","male"
"FMR1NB",3.75238002972846e-68,67.4256931840307,8.66684283772539,"gonads","male"
"LOC107054772",9.46797109169892e-41,40.0237430767606,8.66062649236595,"gonads","male"
"DLEU7",1.85814825168649e-35,34.7309196389318,8.64210109446126,"gonads","male"
