"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_422733.3",2.58133985841925e-265,264.588154812613,41.1505482662481,"gonads","m.n2",424923,"IQCG",424923,"IQCG"
"XP_003642467.1",2.46183160902865e-56,55.6087416564294,15.7779476142324,"gonads","m.n2",776097,"FBXO39",776097,"FBXO39"
"XP_015142231.1",3.33074929108611e-20,19.4774580558695,14.8224031614362,"gonads","m.n2",107053414,"LOC107053414",107053414,"LOC107053414"
"XP_004949397.1",8.89536717254933e-16,15.050836120911,9.04929181853564,"gonads","m.n2",101748962,"LOC101748962",101748962,"LOC101748962"
"XP_004939006.1",1.02931183064203e-12,11.9874530355278,8.64207235567448,"gonads","m.n2",101750559,"DLEU7",101750559,"DLEU7"
"XP_004943209.1",1.38968643493103e-11,10.8570831817183,8.06609868853191,"gonads","m.n2",424370,"C8H1ORF111",424370,"C8H1ORF111"
"XP_015140560.1",1.84493850973767e-08,7.7340181039367,7.1397049642452,"gonads","m.n2",101752063,"LOC101752063",101752063,"LOC101752063"
"XP_004936326.1",5.2065635922004e-08,7.28344882283171,7.09021951916532,"gonads","m.n2",422928,"LOC422928",422928,"LOC422928"
"XP_004947891.1",9.35917787277239e-08,7.02876229880459,6.8901676844411,"gonads","m.n2",101752220,"FAM229A",101752220,"FAM229A"
"NP_001265047.1",7.84231444993796e-09,8.10555574796606,6.75324788677273,"gonads","m.n2",427929,"CAPZA3",427929,"CAPZA3"
"XP_417439.2",0.00010134107100164,3.99421451027187,5.88849469083627,"gonads","m.n2",419266,"C20H20ORF195",419266,"C20H20ORF195"
"XP_416128.2",6.48529220597029e-05,4.18807045125584,5.28882191781498,"gonads","m.n2",417885,"C12ORF50",417885,"C12ORF50"
"XP_015153980.1",0.00130830444450227,2.88329118324229,4.55201653029949,"gonads","m.n2",101750588,"LOC101750588",101750588,"LOC101750588"
"NP_998742.1",0.0256804992070577,1.59039653820586,4.23233458644274,"gonads","m.n2",404755,"THRSP",404755,"THRSP"
"NP_989665.1",0.000582460192791579,3.23473375037354,4.03074426745237,"gonads","m.n2",374241,"PI15",374241,"PI15"
"NP_001120911.1",0.0238749006634332,1.62205842671438,3.69666133327616,"gonads","m.n2",415487,"PLIN1",415487,"PLIN1"
