"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015140694.1",4.27262247622021e-26,25.3693054792253,12.4019262973021,"gonads","m.inc.d3",422006,"C3H2ORF70",422006,"C3H2ORF70"
"XP_417439.2",3.73899257913228e-22,21.4272453967995,10.2993798292932,"gonads","m.inc.d3",419266,"C20H20ORF195",419266,"C20H20ORF195"
"XP_004939006.1",1.93893419526151e-14,13.7124369300238,9.17738891761018,"gonads","m.inc.d3",101750559,"DLEU7",101750559,"DLEU7"
"XP_015142231.1",7.07167450297981e-05,4.15047773736334,7.77404156833486,"gonads","m.inc.d3",107053414,"LOC107053414",107053414,"LOC107053414"
"XP_001231377.2",4.23895527788935e-09,8.37274116533042,6.81622773982306,"gonads","m.inc.d3",768497,"C5H11ORF91",768497,"C5H11ORF91"
"XP_430256.4",4.37888558534433e-05,4.35863640221659,5.92791152603544,"gonads","m.inc.d3",425470,"LOC425470",425470,"LOC425470"
"XP_015128840.1",0.0184338357274284,1.73438428703106,4.20174851421074,"gonads","m.inc.d3",107049626,"SFTPC",107049626,"SFTPC"
"NP_989665.1",0.00241041514913941,2.61790815184292,3.98114812318649,"gonads","m.inc.d3",374241,"PI15",374241,"PI15"
"NP_001265047.1",0.00475778933938306,2.32259479112786,3.67028443968027,"gonads","m.inc.d3",427929,"CAPZA3",427929,"CAPZA3"
"XP_004948543.1",0.00396342549075638,2.40192930178432,3.21055325997547,"gonads","m.inc.d3",101747521,"LOC101747521",101747521,"LOC101747521"
"XP_015131280.1",0.0193774565752669,1.71270322768858,3.13846767759301,"gonads","m.inc.d3",107049112,"LOC107049112",107049112,"LOC107049112"
"XP_004943631.1",0.0395694988372819,1.40263945020355,2.82313518054966,"gonads","m.inc.d3",771731,"RP11-166N6.1",771731,"RP11-166N6.1"
"NP_001017412.1",0.0280984006022722,1.55131840000155,2.75398780476413,"gonads","m.inc.d3",425801,"CD1C",425801,"CD1C"
"NP_001264850.1",0.0202322080953805,1.69395671676909,2.74439014919184,"gonads","m.inc.d3",422748,"NMU",422748,"NMU"
"XP_419976.3",0.0225407972677846,1.64703072702656,2.70470218667626,"gonads","m.inc.d3",421965,"LOC421965",421965,"LOC421965"
"NP_001098788.1",0.00613341005503385,2.21229799916619,2.65796018063952,"gonads","m.inc.d3",423974,"OPNVA",423974,"OPNVA"
"XP_004935091.1",0.0974414068127892,1.01125645452831,2.51308588013256,"gonads","m.inc.d3",419896,"SCUBE3",419896,"SCUBE3"
"NP_990281.1",0.00850540209669837,2.07030515009969,2.47812992822393,"gonads","m.inc.d3",395793,"TBX19",395793,"TBX19"
"XP_015129674.1",0.0878386348187758,1.05631442261256,2.45156035355772,"gonads","m.inc.d3",101752155,"LOC101752155",101752155,"LOC101752155"
"NP_001001611.1",0.0679072785702913,1.16808367382699,2.39813944802898,"gonads","m.inc.d3",414343,"AvBD9",414343,"AvBD9"
"XP_015132931.1",0.0339235983730392,1.46949808711494,2.2868317697145,"gonads","m.inc.d3",427400,"LOC427400",427400,"LOC427400"
"XP_004941676.1",0.0635537257599847,1.19685898437713,2.22681796912883,"gonads","m.inc.d3",101747844,"LOC101747844",101747844,"LOC101747844"
"NP_001161155.1",0.0610653349271745,1.21420525656828,2.13375539468054,"gonads","m.inc.d3",373926,"FGB",373926,"FGB"
"XP_004938199.1",0.0864454126327151,1.06325804832596,2.05330362652845,"gonads","m.inc.d3",418307,"TRPV6",418307,"TRPV6"
"XP_015131420.1",0.043350362137278,1.3630072701932,2.04253894530345,"gonads","m.inc.d3",101750842,"LOC101750842",101750842,"LOC101750842"
"XP_004947622.1",0.027867949546972,1.55489498439739,1.99893614002531,"gonads","m.inc.d3",770277,"LOC770277",770277,"LOC770277"
"XP_416822.2",0.0264711641085792,1.57722695953675,1.97339456423624,"gonads","m.inc.d3",418623,"ACE2",418623,"ACE2"
"XP_015135659.1",0.0795760321399965,1.09921771965892,1.96374825250746,"gonads","m.inc.d3",431602,"PTPRD",431602,"PTPRD"
"NP_001001195.1",0.0828835133827622,1.08153184772425,1.90581910475997,"gonads","m.inc.d3",407779,"KRT5",407779,"KRT5"
"NP_990592.2",7.86422118599384e-07,6.10434428020826,1.8983470774339,"gonads","m.inc.d3",396197,"ALB",396197,"ALB"
"XP_001232414.2",0.000117552638450525,3.92976761875814,1.89612930733926,"gonads","m.inc.d3",769188,"FAM161A",769188,"FAM161A"
"XP_015132669.1",0.0970428023172203,1.01303667078397,1.89010185792845,"gonads","m.inc.d3",424755,"AMMECR1L",424755,"AMMECR1L"
"XP_015132560.1",0.0599260667542448,1.22238422627456,1.87634531876187,"gonads","m.inc.d3",424835,"TRPM2",424835,"TRPM2"
"XP_004947241.2",0.027867949546972,1.55489498439739,1.86845116464278,"gonads","m.inc.d3",101750367,"LOC101750367",101750367,"LOC101750367"
"XP_015130529.1",0.0204629595956949,1.68903155326686,1.86548598860569,"gonads","m.inc.d3",107051435,"LOC107051435",107051435,"LOC107051435"
"NP_990241.1",0.0263542818269895,1.57914881412272,1.85711029566487,"gonads","m.inc.d3",395735,"OTC",395735,"OTC"
"XP_415893.1",0.0369710904356484,1.43213774003546,1.84931267977863,"gonads","m.inc.d3",417647,"CA4",417647,"CA4"
"NP_001304665.1",0.0121177859400131,1.9165767235586,1.84196635159089,"gonads","m.inc.d3",419753,"TMEM136-1",419753,"TMEM136-1"
"XP_015148288.1",0.0848618889327194,1.07128730554222,1.8407054954858,"gonads","m.inc.d3",101752068,"LOC101752068",101752068,"LOC101752068"
"XP_004949517.1",0.00402210626914464,2.39554645897712,1.79830350664526,"gonads","m.inc.d3",100859132,"RASGRF2",100859132,"RASGRF2"
"XP_015146973.1",0.0368774989131044,1.43323854111816,1.78725701982064,"gonads","m.inc.d3",424939,"PRSS56",424939,"PRSS56"
"NP_001291983.1",0.0155149207001646,1.80925043983934,1.72280080213888,"gonads","m.inc.d3",427955,"GAP43",427955,"GAP43"
"XP_015145655.1",0.0800232662415107,1.09678372636723,1.70149329842474,"gonads","m.inc.d3",107053895,"RPRM",107053895,"RPRM"
"XP_425164.3",0.0371065067164263,1.43054992911092,1.63707271596789,"gonads","m.inc.d3",427591,"FAM107A",427591,"FAM107A"
"NP_990814.2",0.0244848885877456,1.61110186778778,1.63339861526784,"gonads","m.inc.d3",396476,"APOV1",396476,"APOV1"
"XP_417587.4",0.0313896410549521,1.50321365049126,1.60207426773553,"gonads","m.inc.d3",419426,"TTLL10",419426,"TTLL10"
"XP_003641583.2",0.0933982240342825,1.02966138179393,1.55219420145064,"gonads","m.inc.d3",100857573,"LOC100857573",100857573,"LOC100857573"
"XP_015134764.1",0.0895400340093341,1.04798274499766,1.54837777042441,"gonads","m.inc.d3",374169,"CACNA1B",374169,"CACNA1B"
"NP_990519.2",0.0104387269505336,1.98135246226001,1.53349597048971,"gonads","m.inc.d3",396105,"SOX2",396105,"SOX2"
"XP_015135165.1",0.0714329144023565,1.14610163066727,1.53074606922064,"gonads","m.inc.d3",101748065,"LOC101748065",101748065,"LOC101748065"
"XP_015153680.1",0.043350362137278,1.3630072701932,1.52705698173546,"gonads","m.inc.d3",395766,"USP2",395766,"USP2"
"XP_004944754.2",0.0219622724572841,1.65832272503258,1.52076894671491,"gonads","m.inc.d3",416102,"CHL1",416102,"CHL1"
"XP_015145197.1",0.0126489467205994,1.89794563673926,1.46060845802669,"gonads","m.inc.d3",429030,"MYO10L",429030,"MYO10L"
"XP_015140894.1",0.0565787023110761,1.24734701774156,1.44237709779028,"gonads","m.inc.d3",395204,"PCM1",395204,"PCM1"
"XP_004947317.1",0.00241041514913941,2.61790815184292,1.42858853225217,"gonads","m.inc.d3",419347,"KCNG1",419347,"KCNG1"
"XP_015141315.1",0.0269774921785394,1.56899842470278,1.42629249640583,"gonads","m.inc.d3",100859647,"CCDC96",100859647,"CCDC96"
"NP_990745.1",0.0871002497269112,1.05998059981594,1.40831564791727,"gonads","m.inc.d3",396383,"ISL1",396383,"ISL1"
"XP_420062.3",0.000907394613581972,3.04220380309355,1.39255205989427,"gonads","m.inc.d3",422057,"RCAN2",422057,"RCAN2"
"XP_004938998.2",0.0184338357274284,1.73438428703106,1.39008690956343,"gonads","m.inc.d3",419085,"MYO7A",419085,"MYO7A"
"NP_001152843.1",0.0141493084465276,1.84926478594863,1.34862492773263,"gonads","m.inc.d3",427538,"HYDIN",427538,"HYDIN"
"XP_015130404.1",0.0672203657601664,1.17249912877238,1.33866012184591,"gonads","m.inc.d3",107051288,"LOC107051288",107051288,"LOC107051288"
"XP_422226.3",0.060600050451798,1.21752701426724,1.32576284542523,"gonads","m.inc.d3",424381,"PHGDH",424381,"PHGDH"
"XP_015137292.1",0.0777378190724575,1.10936764762659,1.31944640476993,"gonads","m.inc.d3",428440,"C3ORF48",428440,"C3ORF48"
"XP_004949073.1",0.00304948926730482,2.51577289080554,1.31862554847837,"gonads","m.inc.d3",431576,"ZBTB7C",431576,"ZBTB7C"
"NP_001257745.1",0.0269774921785394,1.56899842470278,1.29981923176403,"gonads","m.inc.d3",428083,"GJB2",428083,"GJB2"
"XP_415585.4",0.0721381972284768,1.14183471512976,1.27780528166495,"gonads","m.inc.d3",417314,"DNAH9",417314,"DNAH9"
"NP_001292032.1",0.0540634512401199,1.26709623376312,1.27763369058888,"gonads","m.inc.d3",429286,"USP13",429286,"USP13"
"XP_015130260.1",0.0219622724572841,1.65832272503258,1.24317658475834,"gonads","m.inc.d3",428025,"HS6ST3",428025,"HS6ST3"
