"gene","padj","logpadj","lfc","tissue","direction"
"LOC101748962",5.19680459522596e-29,28.2842636127539,11.3433522372655,"gonads","inc.d17"
"LOC107053414",2.63009926384465e-05,4.58002786028345,7.14043753852505,"gonads","inc.d17"
"LOC101750451",2.13264102218597e-07,6.67108224122388,6.17766915109896,"gonads","inc.d17"
"LOC101747625",4.02286992576457e-06,5.39546400954555,5.78322894381237,"gonads","inc.d17"
"LOC100859449",2.53804784093863e-05,4.59550019592932,5.6445348172703,"gonads","inc.d17"
"GPA33",3.31438356885692e-05,4.47959723273066,4.95610074047173,"gonads","inc.d17"
"OVALX",0.0501919872707002,1.29936560878869,4.72516734568378,"gonads","inc.d17"
"CLDN34",0.000141875817718504,3.84809162234661,4.72419406194338,"gonads","inc.d17"
"SFTPC",0.00102985801880799,2.98722264509921,4.61622740483749,"gonads","inc.d17"
"SULT1C3",0.000111835472347511,3.95142042362893,4.26715324919583,"gonads","inc.d17"
"LOC418356",0.00108648352122853,2.96397685626825,4.10952155942713,"gonads","inc.d17"
"PKIG",0.0007891355027039,3.10284841754611,3.92903321026567,"gonads","inc.d17"
"AVPR2",0.000119036105289263,3.92432129113164,3.82304476245236,"gonads","inc.d17"
"LOC107057165",0.0016515363122832,2.78211187304683,3.48819380144883,"gonads","inc.d17"
"MUC13",2.2788215817982e-05,4.64228967616837,3.30218727199941,"gonads","inc.d17"
"LOC770996",0.00866967377113606,2.06199724416866,3.288147278331,"gonads","inc.d17"
"LOC421740",0.00281913302496049,2.54988443081756,3.05970849422448,"gonads","inc.d17"
"LOC107050953",0.00907940018029874,2.04194284167616,2.63979017922748,"gonads","inc.d17"
"CYP2W1",0.000967097407224084,3.01452978104686,2.51842637866319,"gonads","inc.d17"
"GAL3ST2",0.00387235089050257,2.41202529627468,2.36750154779661,"gonads","inc.d17"
"DRD5",0.000397539653785603,3.40061954484061,2.33031362898241,"gonads","inc.d17"
"XG",0.0395436041388943,1.40292375013868,2.24014079931886,"gonads","inc.d17"
"COL10A1",0.085830271199805,1.06635951522303,2.23511397465035,"gonads","inc.d17"
"EGFL6",0.0267849049870449,1.57210988984275,2.1872933099685,"gonads","inc.d17"
"LOC418544",0.0366139678509895,1.43635320413092,2.16309163202993,"gonads","inc.d17"
"GSTA3",0.0399809328579412,1.39814707689299,2.07366162106918,"gonads","inc.d17"
"SLC24A1",0.0719377697719972,1.14304303038641,2.06024021985009,"gonads","inc.d17"
"NOXO1",0.0055205888012071,2.25801459990158,2.0469679265274,"gonads","inc.d17"
"C1ORF146",0.014264951096375,1.84572971286852,2.02641308625485,"gonads","inc.d17"
"ANXA13",0.0101721642753506,1.99258663480166,1.99465969770856,"gonads","inc.d17"
"ADAM15",0.0125724530493259,1.90057997753696,1.98430153104679,"gonads","inc.d17"
"LOC101749876",0.0366166078374286,1.4363218912119,1.89649321279992,"gonads","inc.d17"
"OVSTL",0.0194650882758194,1.7107436223792,1.88773358285707,"gonads","inc.d17"
"RPE65",0.0597725214585414,1.22349842339614,1.88546278420361,"gonads","inc.d17"
"LOC100857343",0.0311438965018201,1.50662705254584,1.84570856040034,"gonads","inc.d17"
"OTX2",0.0551351124737692,1.25857173514267,1.84004952194075,"gonads","inc.d17"
"MARCH4",0.0581148737119903,1.23571270161393,1.8262004741161,"gonads","inc.d17"
"POPDC3",0.00310509361391895,2.50792530196226,1.82403880991748,"gonads","inc.d17"
"LGALS2",0.0201210588997876,1.69634916764028,1.81731194601763,"gonads","inc.d17"
"IFI6",0.0202215087726236,1.69418644384,1.81171208094576,"gonads","inc.d17"
"STMN2",0.0904627531366624,1.04353019910319,1.81123093548042,"gonads","inc.d17"
"SPTSSB",0.0372065419208167,1.42938069263627,1.79966929960483,"gonads","inc.d17"
"CLRN3",0.0558831808800242,1.25271888173958,1.79187372375147,"gonads","inc.d17"
"CAPN8",0.0764889015997398,1.11640157561316,1.76486424592581,"gonads","inc.d17"
"FOXG1",0.00376535804571719,2.4241937206888,1.74137997984453,"gonads","inc.d17"
"LOC101750367",0.0399809328579412,1.39814707689299,1.6310591941229,"gonads","inc.d17"
"C11ORF34",0.0758153384056141,1.12024292219074,1.62020526421039,"gonads","inc.d17"
"CHRNB3",0.0379537534705968,1.42074526770105,1.62005574834091,"gonads","inc.d17"
"GTF2A1L",0.0751997536111713,1.12378358235362,1.61910932339457,"gonads","inc.d17"
"UCN3",0.0909159899924729,1.0413597278365,1.5880843455096,"gonads","inc.d17"
"VIL1",0.0916151034093965,1.03803292385777,1.57125983067017,"gonads","inc.d17"
"MUC2",0.0978174015385968,1.00958387813749,1.56331098014199,"gonads","inc.d17"
"MARCH11",0.0182668274149315,1.73833687442267,1.55882188932146,"gonads","inc.d17"
"MEP1B",0.0483421398240273,1.31567412982412,1.54891313213141,"gonads","inc.d17"
"MEP1A",0.000663829503151409,3.17794344977146,1.54640838724941,"gonads","inc.d17"
"FGF19",0.0843422949401221,1.07395458607819,1.53387223816118,"gonads","inc.d17"
"LOC101751171",0.000194582369566418,3.71089651220172,1.51278165626597,"gonads","inc.d17"
"PTGES3",0.0419144960851162,1.37763575075706,1.51130933438239,"gonads","inc.d17"
"VSX1",0.0547308822883923,1.26176755076318,1.49748818007167,"gonads","inc.d17"
"LOC420209",0.0334201529092392,1.47599156738437,1.48915437152005,"gonads","inc.d17"
"NTS",0.000199259957609644,3.70057996640932,1.48850967427544,"gonads","inc.d17"
"MYBPC1",0.0914834342724357,1.03865754041889,1.48002789639052,"gonads","inc.d17"
"SLC32A1",0.0729121731385408,1.13719995747702,1.47388264594916,"gonads","inc.d17"
"GSTT1L",0.0942416233834364,1.02575724144072,1.46359243146006,"gonads","inc.d17"
"ISL1",0.0538500263092833,1.2688140801845,1.45234498511057,"gonads","inc.d17"
"MSANTD1",0.0798005407867789,1.09799416554253,1.44261290844922,"gonads","inc.d17"
"DCT",0.00776865596651134,2.10965411077662,1.41835041892627,"gonads","inc.d17"
"LOC100857468",0.099554962194687,1.00193708822259,1.4178167304422,"gonads","inc.d17"
"CYP3A7",0.0529014668304991,1.27653228585593,1.40146175519071,"gonads","inc.d17"
"RBPJL",0.0303029490845198,1.51851510388023,1.39853887561757,"gonads","inc.d17"
"LOC408038",0.0564324707264817,1.24847093503233,1.39665761377852,"gonads","inc.d17"
"MFSD2B",0.0294251098300683,1.53128190746486,1.38708050301941,"gonads","inc.d17"
"ANXA10",0.0587992525851872,1.23062819433529,1.35754927796557,"gonads","inc.d17"
