"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"NP_001263315.1",0.00757344126802617,2.12070673818586,7.76393712306584,"gonads","hatch",420898,"OVALX",420898,"OVALX"
"XP_430256.4",0.000412645012959439,3.38442339920915,5.30825394515453,"gonads","hatch",425470,"LOC425470",425470,"LOC425470"
"XP_015149381.1",8.26309285083098e-06,5.08285736713016,5.04046923275885,"gonads","hatch",101749216,"LOC101749216",101749216,"LOC101749216"
"NP_001004370.1",9.79609424227247e-06,5.00894704544381,4.79625776371097,"gonads","hatch",415490,"RHCG",415490,"RHCG"
"XP_015142180.1",0.00241799436096323,2.616544716298,4.67438334023768,"gonads","hatch",107053409,"LOC107053409",107053409,"LOC107053409"
"XP_416743.1",0.00241799436096323,2.616544716298,4.52195750608483,"gonads","hatch",418534,"TFF2",418534,"TFF2"
"XP_015128840.1",0.0303321023035878,1.51809748790212,4.37008889365,"gonads","hatch",107049626,"SFTPC",107049626,"SFTPC"
"XP_015142236.1",0.00576854958848477,2.23893336966938,4.2088472620453,"gonads","hatch",414878,"MUC6",414878,"MUC6"
"XP_004937899.1",0.00689584985309142,2.16141220319897,4.07264499396683,"gonads","hatch",427915,"SPIC",427915,"SPIC"
"XP_003640502.1",0.00271169525712463,2.56675911848698,4.02396339394177,"gonads","hatch",418356,"LOC418356",418356,"LOC418356"
"XP_015132733.1",0.0167271784688785,1.77657730941051,3.87490278477495,"gonads","hatch",395923,"CD72",395923,"CD72"
"XP_416656.1",0.0182846936260298,1.73791231219984,3.77302539067234,"gonads","hatch",418445,"GPA33",418445,"GPA33"
"NP_001025783.2",0.022516564953946,1.64749786316945,3.38462643953498,"gonads","hatch",416235,"SPINK5",416235,"SPINK5"
"NP_990769.1",0.0662659245876094,1.17870973807855,3.25554614605353,"gonads","hatch",396419,"FOXRED1",396419,"FOXRED1"
"XP_015143897.1",0.000120840075619492,3.91778901162519,2.97543929363741,"gonads","hatch",425107,"LGALS2",425107,"LGALS2"
"XP_414847.4",0.00153515529011085,2.81384768648839,2.65374187781203,"gonads","hatch",416546,"NOXO1",416546,"NOXO1"
"NP_989769.1",0.00590525395422626,2.22876142090439,2.35687728251353,"gonads","hatch",395082,"CCL20",395082,"CCL20"
"NP_989747.1",0.0662659245876094,1.17870973807855,2.10920971661461,"gonads","hatch",386578,"CHRNA3",386578,"CHRNA3"
"XP_015156300.1",0.0397948523913107,1.4001731018618,1.93807881835542,"gonads","hatch",107055658,"LOC107055658",107055658,"LOC107055658"
"XP_001231727.1",0.00576854958848477,2.23893336966938,1.88347432503455,"gonads","hatch",769026,"CPLX4",769026,"CPLX4"
"XP_422553.2",0.0368070757050413,1.43406868555831,1.83481590592151,"gonads","hatch",424729,"CYP2J2L1",424729,"CYP2J2L1"
"XP_015132863.1",0.0975196438409031,1.01090789350753,1.82550654375577,"gonads","hatch",426169,"CDC20B",426169,"CDC20B"
"NP_990378.1",0.0133909818396328,1.87318757893258,1.69144020216843,"gonads","hatch",395916,"NME2",395916,"NME2"
"NP_001026709.1",0.0468554451596058,1.32923993166296,1.67920375436186,"gonads","hatch",428767,"ANXA5",428767,"ANXA5"
"NP_989812.1",0.0015119643454527,2.82045845007537,1.64382787716481,"gonads","hatch",395140,"HS2ST1",395140,"HS2ST1"
"XP_422192.1",0.0792451958865804,1.10102705672144,1.47475624360603,"gonads","hatch",424349,"ATP6V1G3",424349,"ATP6V1G3"
"NP_990411.1",0.0372210099439091,1.42921184702696,1.18401409023546,"gonads","hatch",395963,"CAPN2",395963,"CAPN2"
"NP_006921.2",0.0368070757050413,1.43406868555831,0.762492869237815,"gonads","hatch",807637,"COX3",807637,"COX3"
"NP_001007968.1",0.0613552792294025,1.21214806306644,0.692797603740761,"gonads","hatch",425416,"RPL30",425416,"RPL30"
"NP_001004379.1",0.01557319275767,1.80762234087498,0.633301062546256,"gonads","hatch",417158,"RPL7A",417158,"RPL7A"
