"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015128155.1",0.0890223948577832,1.05050072661685,4.22575275132776,"hypothalamus","extend",107049005,"LOC107049005",107049005,"LOC107049005"
"NP_001026426.2",0.00116243809050316,2.93463016761549,3.78051040331217,"hypothalamus","extend",424187,"DPP4",424187,"DPP4"
"XP_015152528.1",0.0492887315757394,1.30725235808275,2.92217067541321,"hypothalamus","extend",769267,"LOC769267",769267,"LOC769267"
"XP_015153872.1",0.0707635691471481,1.15019027042285,2.78014543948394,"hypothalamus","extend",101751279,"LOC101751279",101751279,"LOC101751279"
"XP_417042.3",0.0801259585947001,1.09622676171776,2.5954584606091,"hypothalamus","extend",418847,"ERICH6B",418847,"ERICH6B"
"XP_003643035.3",0.0175730989057801,1.75515164664311,2.59122562030496,"hypothalamus","extend",100858556,"DMRT2",100858556,"DMRT2"
"XP_015140078.1",0.000744980429898934,3.12785513570612,2.56063740340714,"hypothalamus","extend",107053099,"MCHR2",107053099,"MCHR2"
"XP_015132107.1",0.0111906063885502,1.95114637959623,2.50712411527711,"hypothalamus","extend",422511,"LOC422511",422511,"LOC422511"
"XP_015154550.1",0.0921189015868965,1.03565124914456,2.44214347341038,"hypothalamus","extend",419843,"SRGAP2",419843,"SRGAP2"
"XP_004948119.1",0.0312037781806826,1.50579281804307,2.38879665603123,"hypothalamus","extend",428244,"KCNJ14",428244,"KCNJ14"
"XP_015151029.1",0.00539909096636909,2.26767935527384,2.36342450891218,"hypothalamus","extend",422095,"SPAG9",422095,"SPAG9"
"XP_015130465.1",0.000232859855720939,3.63290537596343,2.34803815474296,"hypothalamus","extend",417742,"HDAC10",417742,"HDAC10"
"XP_004949635.1",0.00219365184741129,2.65883229779411,2.34409686151206,"hypothalamus","extend",101752041,"LRRC19",101752041,"LRRC19"
"XP_015154931.1",0.0627445166021618,1.20242422225296,2.28711645525039,"hypothalamus","extend",771865,"HOXB9",771865,"HOXB9"
"XP_001232076.2",0.0720096799535029,1.14260911929347,2.26579441305145,"hypothalamus","extend",768915,"SPO11",768915,"SPO11"
"XP_001234070.3",0.00652535902141563,2.18539558870535,2.20892290790337,"hypothalamus","extend",770747,"FAM83F",770747,"FAM83F"
