"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015144656.1",0.0946711198188041,1.02378248579325,24.9684445744295,"hypothalamus","m.inc.d8",424019,"MLPH",424019,"MLPH"
"NP_001026426.2",0.00200068594652963,2.698821078477,3.71002941572637,"hypothalamus","m.inc.d8",424187,"DPP4",424187,"DPP4"
"XP_015158199.1",0.0677375545305705,1.16917048636056,3.26891911225954,"hypothalamus","m.inc.d8",107057630,"LOC107057630",107057630,"LOC107057630"
"NP_001264655.1",0.048066859773091,1.31815424957441,3.08888514980748,"hypothalamus","m.inc.d8",396003,"PSMB5",396003,"PSMB5"
"XP_417840.1",0.00134164341245354,2.87236289741749,2.85057587977353,"hypothalamus","m.inc.d8",419692,"IL22RA1",419692,"IL22RA1"
"XP_015140078.1",0.000434054855957749,3.36245538077719,2.81191466323218,"hypothalamus","m.inc.d8",107053099,"MCHR2",107053099,"MCHR2"
"XP_015132097.1",0.0114834964494942,1.93992585954028,2.58199351418225,"hypothalamus","m.inc.d8",422515,"FAM13A",422515,"FAM13A"
"XP_418982.1",0.0020651167293546,2.68505539510598,2.43863754509543,"hypothalamus","m.inc.d8",420896,"SERPINB2",420896,"SERPINB2"
"NP_001186062.1",0.00217191191849836,2.66315779146155,2.24538076053998,"hypothalamus","m.inc.d8",415768,"SLC7A9",415768,"SLC7A9"
"XP_015130465.1",0.000736844638287999,3.13262407231319,2.22044201896793,"hypothalamus","m.inc.d8",417742,"HDAC10",417742,"HDAC10"
"XP_004949635.1",0.00732563956929422,2.13515445298206,2.1412431874413,"hypothalamus","m.inc.d8",101752041,"LRRC19",101752041,"LRRC19"
"XP_015130118.1",0.0255993716716083,1.59177069417652,2.13972210083602,"hypothalamus","m.inc.d8",107050961,"LOC107050961",107050961,"LOC107050961"
"XP_001231711.1",0.000295301419033721,3.52973446608256,2.06324638355555,"hypothalamus","m.inc.d8",769274,"UCN3",769274,"UCN3"
"XP_015151029.1",0.0203389400150448,1.6916716845309,2.02368231046186,"hypothalamus","m.inc.d8",422095,"SPAG9",422095,"SPAG9"
"NP_001073208.1",0.00190709573091813,2.71962750602794,2.00773325745049,"hypothalamus","m.inc.d8",769174,"LOC769174",769174,"LOC769174"
"XP_425492.3",0.000924604182235332,3.03404414646184,2.00424343329192,"hypothalamus","m.inc.d8",427919,"BICD1",427919,"BICD1"
"NP_001104729.1",0.000381730220252825,3.41824345710744,1.95886855278844,"hypothalamus","m.inc.d8",419487,"NPPC",419487,"NPPC"
