"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"NP_001026426.2",0.000482323627213283,3.31666146311021,4.08459524740004,"hypothalamus","prolong",424187,"DPP4",424187,"DPP4"
"XP_003643035.3",0.00190614863955033,2.7198432365311,3.39609060708064,"hypothalamus","prolong",100858556,"DMRT2",100858556,"DMRT2"
"XP_004947539.2",0.00559622684725215,2.25210468937087,2.81336289707343,"hypothalamus","prolong",101751836,"RNF186",101751836,"RNF186"
"XP_015142233.1",0.0768386943685114,1.11442002321389,2.58205311553311,"hypothalamus","prolong",404528,"MUC",404528,"MUC"
"XP_015150911.1",0.0147375423401418,1.8315749341911,2.52022457752745,"hypothalamus","prolong",418355,"LOC418355",418355,"LOC418355"
"XP_015154931.1",0.0515161542211028,1.28805656534727,2.46991634605033,"hypothalamus","prolong",771865,"HOXB9",771865,"HOXB9"
"XP_015138246.1",0.0966131953677446,1.01496355387401,2.3972606435456,"hypothalamus","prolong",107049079,"DNAJC5B",107049079,"DNAJC5B"
"XP_015132097.1",0.0227559690261458,1.64290466603553,2.32148071232793,"hypothalamus","prolong",422515,"FAM13A",422515,"FAM13A"
"XP_004938696.1",1.34017497590906e-05,4.87283849558237,2.236931816493,"hypothalamus","prolong",418815,"LMO7",418815,"LMO7"
"XP_015154411.1",0.0341604079289146,1.46647695179396,2.21579146531292,"hypothalamus","prolong",419844,"RASSF5",419844,"RASSF5"
"XP_015132107.1",0.038808197394381,1.41107652937683,2.20003473433017,"hypothalamus","prolong",422511,"LOC422511",422511,"LOC422511"
"XP_004934726.1",0.00220867627106051,2.65586793464693,2.18578753573422,"hypothalamus","prolong",418604,"KLHL34",418604,"KLHL34"
"XP_015140078.1",0.00636738861541079,2.19603864340173,2.17493272603888,"hypothalamus","prolong",107053099,"MCHR2",107053099,"MCHR2"
"XP_015135870.1",0.0512786900142716,1.2900630780064,2.17027733584861,"hypothalamus","prolong",427469,"ERCC6L2",427469,"ERCC6L2"
"XP_004939185.2",0.026025930968267,1.58459372648026,2.15528045500085,"hypothalamus","prolong",101750288,"LOC101750288",101750288,"LOC101750288"
"XP_015155066.1",0.00730901626453674,2.13614107169234,2.0752394978944,"hypothalamus","prolong",395373,"ACLY",395373,"ACLY"
"XP_015130465.1",0.0012318796199314,2.90943172963416,2.05941505118053,"hypothalamus","prolong",417742,"HDAC10",417742,"HDAC10"
"XP_003642663.2",0.0648999590643463,1.18775557713082,2.05904123324392,"hypothalamus","prolong",100859406,"ANKK1",100859406,"ANKK1"
"XP_015132045.1",0.0584467032646322,1.23323998055616,1.97812481238572,"hypothalamus","prolong",101750337,"HELT",101750337,"HELT"
"NP_989717.1",0.0381945574213604,1.41799851798542,1.97311705009482,"hypothalamus","prolong",378902,"LOC378902",378902,"LOC378902"
"XP_015156488.1",0.0864770437116319,1.06309916551255,1.92160256823154,"hypothalamus","prolong",427988,"TMPRSS3",427988,"TMPRSS3"
"NP_001006590.1",0.00957587056264261,2.01882173293477,1.9182564245156,"hypothalamus","prolong",429040,"WNT10A",429040,"WNT10A"
"XP_015146362.1",0.0505752390459473,1.29606205584158,1.9173056278204,"hypothalamus","prolong",101747367,"LOC101747367",101747367,"LOC101747367"
"XP_415707.4",0.0993877797202441,1.00266701123978,1.8839498291851,"hypothalamus","prolong",417459,"LOC417459",417459,"LOC417459"
"NP_989439.1",0.00186072098481174,2.7303187444626,1.87794596789709,"hypothalamus","prolong",373897,"MUSK",373897,"MUSK"
"XP_015151029.1",0.0360443058706045,1.44316333356028,1.83824296202757,"hypothalamus","prolong",422095,"SPAG9",422095,"SPAG9"
"XP_418412.4",0.000951255177539466,3.02170296641511,1.83501218151514,"hypothalamus","prolong",420300,"LOC420300",420300,"LOC420300"
"XP_015137368.1",0.000185112567233563,3.73256409613138,1.82724134224486,"hypothalamus","prolong",417869,"NAV3",417869,"NAV3"
"XP_015150036.1",0.0275500240969026,1.55987801695204,1.82317700102755,"hypothalamus","prolong",416615,"C14H16ORF52",416615,"C14H16ORF52"
"NP_001073208.1",0.00434661003470514,2.36184932170764,1.81227980425041,"hypothalamus","prolong",769174,"LOC769174",769174,"LOC769174"
"NP_990728.1",0.000934352740775992,3.02948913613413,1.80127948297994,"hypothalamus","prolong",396362,"IAPP",396362,"IAPP"
"XP_418982.1",0.0295244080730737,1.52981880068057,1.79772618639661,"hypothalamus","prolong",420896,"SERPINB2",420896,"SERPINB2"
"XP_004949635.1",0.0319596794607512,1.49539758508787,1.79122012700619,"hypothalamus","prolong",101752041,"LRRC19",101752041,"LRRC19"
"XP_015147168.1",9.08370761045921e-05,4.0417368534492,1.78331139297722,"hypothalamus","prolong",418197,"C2CD5",418197,"C2CD5"
"XP_003642880.1",0.00117713923711103,2.92917216389188,1.77643094738276,"hypothalamus","prolong",772158,"LOC772158",772158,"LOC772158"
"XP_428089.4",0.000354370755629611,3.45054212536493,1.76296357905934,"hypothalamus","prolong",430532,"CNTNAP4",430532,"CNTNAP4"
"XP_015155029.1",0.00223241678031127,2.65122472170044,1.74067115985658,"hypothalamus","prolong",426639,"PPP1R1B",426639,"PPP1R1B"
"XP_425492.3",0.00403915952359801,2.39370899435409,1.73715816054142,"hypothalamus","prolong",427919,"BICD1",427919,"BICD1"
"XP_015146330.1",0.0684459027429806,1.16465254416071,1.73619530778311,"hypothalamus","prolong",424526,"COL24A1",424526,"COL24A1"
"XP_004942011.1",0.00316724877587973,2.49931782303524,1.73313649987277,"hypothalamus","prolong",423614,"SYT15",423614,"SYT15"
"XP_015144354.1",0.00606348930858174,2.21727738386094,1.71844878371902,"hypothalamus","prolong",101751656,"FGFBP3",101751656,"FGFBP3"
