"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015156300.1",0.0621204152201566,1.20676565005842,1.8624073342151,"hypothalamus","m.inc.d3",107055658,"LOC107055658",107055658,"LOC107055658"
"XP_418412.4",0.0259262930212144,1.58625957484345,1.68292747575981,"hypothalamus","m.inc.d3",420300,"LOC420300",420300,"LOC420300"
"NP_001026709.1",0.049768358788738,1.30304668074979,1.59290873667861,"hypothalamus","m.inc.d3",428767,"ANXA5",428767,"ANXA5"
"XP_419087.2",0.00226814705948585,2.64432879058482,1.33203079160335,"hypothalamus","m.inc.d3",421001,"SCGN",421001,"SCGN"
"XP_015128804.1",0.019368365513159,1.7129070276323,1.21950749672677,"hypothalamus","m.inc.d3",107049603,"LOC107049603",107049603,"LOC107049603"
"NP_989467.2",0.000548490119397873,3.26083119147967,1.21618962368374,"hypothalamus","m.inc.d3",373931,"EGR1",373931,"EGR1"
"XP_015147017.1",0.0693096269003679,1.15920643899084,1.14260471698864,"hypothalamus","m.inc.d3",424953,"EIF4G1",424953,"EIF4G1"
"XP_015129004.1",0.0127185832769235,1.89556126205875,1.13353530773133,"hypothalamus","m.inc.d3",100857380,"LOC100857380",100857380,"LOC100857380"
"NP_001010842.2",0.034117181303879,1.46702685660001,1.10035705637308,"hypothalamus","m.inc.d3",428310,"HSP25",428310,"HSP25"
"XP_015133278.1",0.0310049671658187,1.50856872423354,1.09713882173038,"hypothalamus","m.inc.d3",418705,"AFF3",418705,"AFF3"
"XP_001233954.1",0.0380165090066584,1.42002776618583,1.08697511005154,"hypothalamus","m.inc.d3",771678,"GUCY1A2",771678,"GUCY1A2"
"XP_004938514.1",0.0380165090066584,1.42002776618583,1.06708391955821,"hypothalamus","m.inc.d3",101748456,"LOC101748456",101748456,"LOC101748456"
"XP_015128670.1",0.0280587212265236,1.55193212578519,1.06672091111705,"hypothalamus","m.inc.d3",102725543,"EGR3",102725543,"EGR3"
"XP_015137891.1",0.0176466813474929,1.75333695645102,1.01682882083565,"hypothalamus","m.inc.d3",420996,"NR4A3",420996,"NR4A3"
"XP_015152637.1",1.75564213282133e-05,4.75556400527509,0.993579461630182,"hypothalamus","m.inc.d3",419443,"TMEM201",419443,"TMEM201"
"XP_015142346.1",0.0380165090066584,1.42002776618583,0.976958125817597,"hypothalamus","m.inc.d3",425201,"RTN4RL2",425201,"RTN4RL2"
"XP_015140429.1",0.079598632800094,1.09909439171552,0.94272989755957,"hypothalamus","m.inc.d3",421913,"SNTG2",421913,"SNTG2"
"XP_004945098.1",0.0949673482209247,1.02242568865824,0.930559001804031,"hypothalamus","m.inc.d3",416346,"SH3RF2",416346,"SH3RF2"
"XP_015137204.1",0.0949673482209247,1.02242568865824,0.926852783452663,"hypothalamus","m.inc.d3",107052520,"LOC107052520",107052520,"LOC107052520"
"XP_004938728.1",0.0547700490682637,1.26145686998838,0.913218906569977,"hypothalamus","m.inc.d3",769506,"DGKH",769506,"DGKH"
"NP_001264829.1",0.0611790647955885,1.21339716607674,0.889937633399,"hypothalamus","m.inc.d3",425213,"GRP",425213,"GRP"
"NP_001001759.1",0.0607081709079917,1.21675285189946,0.881559004616082,"hypothalamus","m.inc.d3",414847,"CDHR1",414847,"CDHR1"
"NP_001012837.1",0.0862675364594648,1.06415260392499,0.867072566430045,"hypothalamus","m.inc.d3",418353,"ZDHHC23",418353,"ZDHHC23"
"XP_015143973.1",0.0127185832769235,1.89556126205875,0.858292863098983,"hypothalamus","m.inc.d3",423749,"SORBS1",423749,"SORBS1"
"XP_004940504.1",0.0968869904519361,1.01373453413856,0.825420839735171,"hypothalamus","m.inc.d3",421873,"COL19A1",421873,"COL19A1"
"XP_428882.1",0.0447465054545695,1.34924087590243,0.823937528730514,"hypothalamus","m.inc.d3",431331,"SSPO",431331,"SSPO"
"XP_001232796.2",0.0841810288453152,1.07478577068692,0.822868423245582,"hypothalamus","m.inc.d3",769512,"LOC769512",769512,"LOC769512"
"XP_418883.4",0.0909731138114424,1.0410869400811,0.813348478241113,"hypothalamus","m.inc.d3",420788,"ADCY1",420788,"ADCY1"
"XP_015144845.1",0.0213064692741715,1.67148851189004,0.81303081661252,"hypothalamus","m.inc.d3",417965,"GRIN2B",417965,"GRIN2B"
"XP_015133277.1",0.0420998840440072,1.37571910034289,0.811821201740185,"hypothalamus","m.inc.d3",418705,"AFF3",418705,"AFF3"
"XP_424835.3",0.0437883826335615,1.3586410956001,0.79557792180496,"hypothalamus","m.inc.d3",427253,"GDA",427253,"GDA"
"XP_015133368.1",0.0206675429839102,1.68471115046295,0.787125800740159,"hypothalamus","m.inc.d3",101749060,"LOC101749060",101749060,"LOC101749060"
"XP_001232407.2",0.0988487954497828,1.00502861853746,0.781225296218912,"hypothalamus","m.inc.d3",769178,"METTL21EP",769178,"METTL21EP"
"XP_015131307.1",0.0640699343580637,1.19334572095812,0.76932961024857,"hypothalamus","m.inc.d3",395093,"PHACTR1",395093,"PHACTR1"
"NP_989647.3",0.0957654266718448,1.01879125204545,0.767434654309955,"hypothalamus","m.inc.d3",374212,"ADORA1",374212,"ADORA1"
"XP_004942875.1",0.0783639418871448,1.10588372611302,0.760912931717475,"hypothalamus","m.inc.d3",429028,"FIGN",429028,"FIGN"
