"gene","padj","logpadj","lfc","tissue","direction"
"ABCB5",8.40830788655691e-05,4.07529139415101,5.56673343546325,"hypothalamus","hatch"
"RBP4B",0.0157629392505953,1.8023627981856,4.57139387568906,"hypothalamus","hatch"
"OVALY",0.0487578037931775,1.3119558646202,4.41874427070033,"hypothalamus","hatch"
"NPVF",3.48519367743554e-06,5.45777308250017,4.3490967197993,"hypothalamus","hatch"
"PITX2",5.38813399558363e-06,5.2685616125001,4.33832099351585,"hypothalamus","hatch"
"SHOX",0.00153292514808242,2.81447905099587,4.2791466644586,"hypothalamus","hatch"
"PDC",0.0180984216139479,1.74235929884589,4.27581416690011,"hypothalamus","hatch"
"NR5A1",0.000249218905972943,3.60341901478864,4.25197776327163,"hypothalamus","hatch"
"PMCH",0.000153395784730467,3.8141865745034,3.70309343537523,"hypothalamus","hatch"
"LOC101752063",0.0326079348550708,1.48667670531693,3.40307241920433,"hypothalamus","hatch"
"KLHL40",0.00738410274512533,2.13170226900672,3.38130264705633,"hypothalamus","hatch"
"NIPAL4",0.000146891494408863,3.83300335082813,3.32826202416473,"hypothalamus","hatch"
"POMC",0.00427248050237834,2.36931991052152,3.23930715760467,"hypothalamus","hatch"
"THL",0.0367320974666935,1.43495427197589,3.21495883461776,"hypothalamus","hatch"
"CALCA",3.32113942367769e-06,5.47871289204303,3.16699637963339,"hypothalamus","hatch"
"STX3",0.00860847459250197,2.06507379799471,3.13751132144024,"hypothalamus","hatch"
"IRX5",0.00409541893619026,2.38770166597447,3.07183550896206,"hypothalamus","hatch"
"TSPAN1",0.0236533725986584,1.62610692695321,3.03895178947594,"hypothalamus","hatch"
"LOC101748683",0.0400437459113263,1.39746530300778,2.99061773529328,"hypothalamus","hatch"
"PRDM13",0.00434518192031478,2.3619920361693,2.83420879181996,"hypothalamus","hatch"
"LOC107054855",5.38813399558363e-06,5.2685616125001,2.71429076557274,"hypothalamus","hatch"
"LHX3",0.0216122760355772,1.6652994942162,2.68793645284608,"hypothalamus","hatch"
"SHOX2",8.65241365617331e-06,5.06286272590665,2.68206501644195,"hypothalamus","hatch"
"BAIAP2L2",0.0235770238850043,1.6275110165392,2.67708478305544,"hypothalamus","hatch"
"BSX",0.000360335453580853,3.44329300532947,2.67196043073456,"hypothalamus","hatch"
"LOC107056859",0.0805731163689457,1.09380983859422,2.50711244602763,"hypothalamus","hatch"
"CCL17",0.0437348669717016,1.35917219012966,2.43971715167809,"hypothalamus","hatch"
"ARHGAP36",0.0221386691047582,1.65484849085715,2.36960676245141,"hypothalamus","hatch"
"IRX2",2.78475966431241e-06,5.55521228019109,2.36108056428588,"hypothalamus","hatch"
"LOC101747522",0.0704407105317995,1.15217627197672,2.32410490846039,"hypothalamus","hatch"
"SH3BGR",0.0593356110642585,1.22668458072,2.28412432749056,"hypothalamus","hatch"
"IRF5",0.0830514253880884,1.08065290947545,2.2728918609756,"hypothalamus","hatch"
"C11ORF31",0.010346407937237,1.98521040226578,2.26792899115522,"hypothalamus","hatch"
"LOC100858260",0.0161238500195113,1.79253125021147,2.26561172403442,"hypothalamus","hatch"
"CAPN2",8.060337411201e-08,7.09364677795227,2.24265711435536,"hypothalamus","hatch"
"QRFP",0.0379269986568768,1.42105152371772,2.22782090872519,"hypothalamus","hatch"
"HHLA1",0.0343527718896562,1.46403821441772,2.18755015069577,"hypothalamus","hatch"
"LRRC32",0.000126012707363849,3.89958565758299,2.18424888368213,"hypothalamus","hatch"
"PAX7",0.0628972386183176,1.20136842099594,2.17575465667492,"hypothalamus","hatch"
