"gene","padj","logpadj","lfc","tissue","direction"
"CMYA5",1.45779984805139e-12,11.8363020993746,5.50106591219262,"pituitary","male"
"TH",2.35074887161867e-07,6.62879376368477,5.0752959160875,"pituitary","male"
"MYBPC1",3.12478295063004e-12,11.5051801436375,4.64948564605242,"pituitary","male"
"PRR33",0.00176796622945894,2.75252603485445,4.37750441562765,"pituitary","male"
"ATP12A",3.38562702927785e-09,8.47036088676112,4.27298366991982,"pituitary","male"
"CKM",4.50952875220005e-05,4.34586883972122,4.21446177470975,"pituitary","male"
"FHL1",1.97600231694641e-10,9.70421255051942,3.87469052946099,"pituitary","male"
"LOC107048991",0.0504345723195792,1.2972716575964,3.82366251544196,"pituitary","male"
"LOC100857116",0.0117434346981165,1.93020486286036,3.71122954861997,"pituitary","male"
"HSPB1",1.54457447024422e-08,7.81119114774683,3.69436236973235,"pituitary","male"
"MYH7B",1.18961595209583e-05,4.92459322079684,3.56200457352101,"pituitary","male"
"TMEM182",0.000316464335074193,3.49967522704706,3.55682854573794,"pituitary","male"
"MYOZ1",1.31500750514065e-09,8.88107176851881,3.52209876188409,"pituitary","male"
"PNLIPRP3",0.0876513807599587,1.05724123813599,3.46745500232995,"pituitary","male"
"CASQ2",3.40989890548985e-14,13.4672584965027,3.44661989625035,"pituitary","male"
"MYOT",1.59052207916614e-10,9.79846029776475,3.42853056624062,"pituitary","male"
"KLHL40",0.0146448624765841,1.83431470223032,3.34017013511904,"pituitary","male"
"DUPD1",9.45394216491879e-06,5.02438705884857,3.32376790884581,"pituitary","male"
"FSD2",0.000932842043231851,3.03019188847258,3.19876572947883,"pituitary","male"
"LOC101749269",0.00208112162709576,2.68170253755244,3.15947553632678,"pituitary","male"
"MYOM1",1.21131603990881e-06,5.91674253193404,3.15213567693724,"pituitary","male"
"MYLK2",0.0624921668487896,1.20417441637664,3.09310591842697,"pituitary","male"
"TIMM10B",0.0523073367385996,1.2814373917901,3.05698226306187,"pituitary","male"
"LOC772158",0.0784340096116786,1.10549558292799,3.05212592557404,"pituitary","male"
"G0S2",8.58646628081983e-06,5.06618553122013,3.04601216109665,"pituitary","male"
"LMOD2",0.0661799227516935,1.17927374410474,3.00035709253757,"pituitary","male"
"HSPB7",0.0505507213483316,1.29627264273639,2.96911064563897,"pituitary","male"
"TRIM63",0.0046209056551091,2.33527289836807,2.96169523502047,"pituitary","male"
"SCEL",0.00386482688195675,2.41286995475853,2.87292323845705,"pituitary","male"
"LOC101749216",0.0295385974111015,1.52961013025226,2.77795254666825,"pituitary","male"
"TBX15",0.056188629205023,1.25035156295682,2.76049652473053,"pituitary","male"
"SULT6B1",3.595499538546e-05,4.44424076264893,2.75256963773042,"pituitary","male"
"LOC101750711",0.0024409092414919,2.61244836833047,2.74551057392269,"pituitary","male"
"TNNI1",0.000177928742294401,3.74975389108644,2.70745871715068,"pituitary","male"
"RP5-966M1.6",0.000872191447650284,3.05938817615434,2.68371283011723,"pituitary","male"
"LOC101748402",2.57574125648334e-05,4.58909776573978,2.67439577404934,"pituitary","male"
"TEAD3",0.0563033710968087,1.24946560150901,2.63993983468379,"pituitary","male"
"A2ML4",6.70029278703963e-05,4.17390621923687,2.59311828227002,"pituitary","male"
"LRP6",0.0200244130119506,1.69844020580089,2.50931527954417,"pituitary","male"
"MYOM2",3.29136560149589e-07,6.48262387404308,2.48465438624841,"pituitary","male"
"MYOZ2",0.00562393272051966,2.24995988345086,2.44192060490108,"pituitary","male"
"ADPRHL1",0.0691377812199723,1.16028456201352,2.37720801867982,"pituitary","male"
"NEB",1.05646378369959e-09,8.97614538626809,2.33118154417354,"pituitary","male"
"VPS13C",2.09299155625723e-06,5.6792325237293,2.32178427750133,"pituitary","male"
"LOC100858002",0.0242089060693264,1.61602483463051,2.30761281174788,"pituitary","male"
"DISP1",0.0784824205382348,1.10522761100288,2.27813666748528,"pituitary","male"
