"gene","padj","logpadj","lfc","tissue","direction"
"LOC107057630",0.0119870521715744,1.92128760447588,4.10670040429356,"pituitary","extend"
"ANKDD1B",0.031332290951887,1.50400784924891,3.25528739731321,"pituitary","extend"
"VIP",0.0844552388266485,1.07337340562006,3.05246449047784,"pituitary","extend"
"SEBOX",0.00945613022543473,2.02428655551969,2.54980104528176,"pituitary","extend"
"CARTPT",0.0726832872861848,1.13856543884934,2.28485081653684,"pituitary","extend"
"NPTX1",0.0132944488318051,1.87632966316638,2.16063996840543,"pituitary","extend"
"GHRH",0.0505232305400441,1.29650888771175,1.91380780162779,"pituitary","extend"
"MTUS2",0.00997628178417845,2.00103129253017,1.51232674178858,"pituitary","extend"
"CHRM2",0.021357287314091,1.67045390985212,1.36160199168038,"pituitary","extend"
"MUC2",0.00683964462430273,2.16496646285793,1.32303089086845,"pituitary","extend"
"CHODL",0.0314741566145068,1.50204589847421,1.3049155394749,"pituitary","extend"
"SCRT2",0.0229078048403044,1.64001652545132,1.24000759518794,"pituitary","extend"
"LRRC31",0.0891932880968281,1.0496678255811,1.19002877065269,"pituitary","extend"
"C1ORF95",0.0361341104797857,1.44208263192357,1.10330875566021,"pituitary","extend"
"LOC101749307",0.0389169640055447,1.40986104731087,1.10183633828314,"pituitary","extend"
"SCT",0.0528789660251166,1.276717045466,1.08978030017402,"pituitary","extend"
"TRPM3",0.0372628037944639,1.42872447024891,1.07190498317662,"pituitary","extend"
"RELN",0.0738103255198188,1.13188287933408,1.03878391393672,"pituitary","extend"
"DOC2B",0.0126470732572615,1.89800996581489,1.00639868014032,"pituitary","extend"
"KIRREL3",0.0370241819660207,1.43151452825761,0.99179635274277,"pituitary","extend"
"IGDCC3",0.0295605478644649,1.52928752114632,0.975784987347774,"pituitary","extend"
"TMEM26",0.0845760479727452,1.07275261221027,0.971735381037373,"pituitary","extend"
"PLXNA4B",0.00168495290562719,2.77341223313808,0.960722796094786,"pituitary","extend"
"SLC8A2",0.058360443704612,1.23388141489832,0.934927404115889,"pituitary","extend"
"LOC101748568",0.0173596623629808,1.76045872589457,0.927444644870682,"pituitary","extend"
"LOC768579",0.00178339994330757,2.74875125149993,0.927082977918336,"pituitary","extend"
"RPH3A",0.0311145022133282,1.50703714270246,0.920476741802467,"pituitary","extend"
"LOC107050961",0.0882457998479078,1.05430595615301,0.910826054705809,"pituitary","extend"
"EIF1AD",0.0609680773906822,1.21489750010327,0.90651380744524,"pituitary","extend"
"MAP2K6",0.0020638491292355,2.68532205352513,0.901621508908835,"pituitary","extend"
"KIAA1024",0.0259254336844503,1.58627396993648,0.896597237370361,"pituitary","extend"
"HUNK",0.00563852986629325,2.24883411484352,0.879203360013665,"pituitary","extend"
"C3H2orf71",0.0755687401544249,1.12165781806993,0.865863587347335,"pituitary","extend"
"FBXO39",0.051950191150172,1.28441285012197,0.862569211692081,"pituitary","extend"
"SMARCA4",0.0356743764955881,1.44764360859571,0.861663508499232,"pituitary","extend"
"SLC5A1",0.0678769838343301,1.16827746413294,0.855650458626605,"pituitary","extend"
"CLSTN3",0.00361435229956242,2.44196951799009,0.853903292456562,"pituitary","extend"
"SDK1",0.00170269960600218,2.76886196446426,0.849488018225303,"pituitary","extend"
"LOC107055786",0.0263214058192356,1.57969091888666,0.826095644156015,"pituitary","extend"
"EPHA10",0.0483924787474402,1.31522213199833,0.82468605588393,"pituitary","extend"
"ZNF469",0.0882142599863529,1.05446120474572,0.79854922213967,"pituitary","extend"
"TRIM36",0.0769372137914263,1.11386354530915,0.792183335631755,"pituitary","extend"
"GABRG3",0.0388966271012182,1.41008805663928,0.785353212523881,"pituitary","extend"
"LNX1",0.0730054979180727,1.13664443267994,0.781646091612143,"pituitary","extend"
"CPA6",0.0938445666429556,1.02759086683902,0.779526795754504,"pituitary","extend"
"LOC107051165",0.0259254336844503,1.58627396993648,0.770954017136164,"pituitary","extend"
"COL26A1",0.0494280588303996,1.30602644508848,0.765605502555067,"pituitary","extend"
"WDR66",0.0449829069901694,1.3469524820041,0.752478546147311,"pituitary","extend"
"CCDC108",0.00122275252947935,2.91266143009099,0.745348393512262,"pituitary","extend"
"AGTR1",0.0669701738387332,1.17411857373659,0.737114932718094,"pituitary","extend"
"LOC101751874",0.0795829137252136,1.09918016431483,0.736564930653868,"pituitary","extend"
"SLITRK3",0.0145628033575229,1.8367550147543,0.725352112971121,"pituitary","extend"
"PKD1",0.0040211522907567,2.39564947880387,0.71959291223339,"pituitary","extend"
"TBX19",0.0362471994322225,1.44072554269622,0.71861731126824,"pituitary","extend"
