"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"NP_990826.1",1.10499452935385e-12,11.9566398720941,5.54363795171773,"pituitary","m.n2",396491,"LGALS1",396491,"LGALS1"
"NP_990136.1",4.44340719764725e-06,5.35228388581653,5.38707899833363,"pituitary","m.n2",395592,"TH",395592,"TH"
"XP_004935914.1",0.000762828889720012,3.11757286779121,5.14056319050929,"pituitary","m.n2",422007,"OTOF",422007,"OTOF"
"NP_001001741.1",0.00813537175850039,2.08962259650999,4.55862156132065,"pituitary","m.n2",414884,"CCK",414884,"CCK"
"NP_990798.1",2.64100069053759e-05,4.57823148523888,4.42485858381107,"pituitary","m.n2",396454,"RBP4B",396454,"RBP4B"
"XP_415813.4",2.36836802646369e-06,5.62555081063011,4.01435186464729,"pituitary","m.n2",417567,"SEBOX",417567,"SEBOX"
"XP_015141529.1",1.19559250966798e-06,5.92241681445917,3.83347337579196,"pituitary","m.n2",416696,"LOC416696",416696,"LOC416696"
"NP_001264308.1",0.000104296779064347,3.98172910342563,3.42860758539915,"pituitary","m.n2",423898,"HABP2",423898,"HABP2"
"NP_001170780.1",0.0437385094272797,1.35913602144785,3.28430608148385,"pituitary","m.n2",396323,"VIP",396323,"VIP"
"XP_015145601.1",2.11294755976309e-09,8.67511128136138,3.25639012799072,"pituitary","m.n2",769191,"ASIC4",769191,"ASIC4"
"NP_001019754.1",9.43734107169118e-05,4.02515034898063,3.22891003792672,"pituitary","m.n2",427907,"SSTR3",427907,"SSTR3"
"XP_426087.2",0.0101691898861036,1.99271364314495,3.0607499026752,"pituitary","m.n2",428533,"OPRK1",428533,"OPRK1"
"XP_015145596.1",1.17279920192601e-05,4.93077633823437,2.94539244526602,"pituitary","m.n2",429032,"LOC429032",429032,"LOC429032"
"NP_001289129.1",0.00077531005297547,3.1105245847607,2.9329892064517,"pituitary","m.n2",768752,"ADIRF",768752,"ADIRF"
"NP_001116120.1",0.00122842476592273,2.91065143645303,2.70074845079661,"pituitary","m.n2",395939,"DIO3",395939,"DIO3"
"XP_416013.3",0.0582102528695959,1.23500051410403,2.54138443207445,"pituitary","m.n2",417769,"WNT2",417769,"WNT2"
"XP_003643145.1",0.0342314342051665,1.46557490470842,2.48849397790718,"pituitary","m.n2",100858488,"CARTPT",100858488,"CARTPT"
"XP_420139.4",0.0191627750619323,1.71754159824209,2.45234550030377,"pituitary","m.n2",422137,"XPNPEP2",422137,"XPNPEP2"
"NP_989651.1",0.0330209124624075,1.48121093010674,2.41680118827987,"pituitary","m.n2",374216,"GUCA1A",374216,"GUCA1A"
"XP_015128670.1",0.00555107662920736,2.25562277745787,2.39482060724435,"pituitary","m.n2",102725543,"EGR3",102725543,"EGR3"
"NP_996862.1",0.0586203220514298,1.231951799941,2.3796327070234,"pituitary","m.n2",404296,"GRIN1",404296,"GRIN1"
"NP_990115.1",0.0413726329556257,1.38328683971089,2.37434494446617,"pituitary","m.n2",395562,"WNT11",395562,"WNT11"
"NP_990392.1",0.000122901340989764,3.91044337845384,2.37420511899,"pituitary","m.n2",395935,"VTN",395935,"VTN"
"XP_001235110.4",0.000487643713163311,3.31189737045585,2.36721050019501,"pituitary","m.n2",771894,"TMEM114",771894,"TMEM114"
"XP_015158025.1",0.0094357520141026,2.02522348155521,2.3272225781739,"pituitary","m.n2",100859605,"LOC100859605",100859605,"LOC100859605"
"XP_426021.3",0.087690267732913,1.05704860394788,2.31675619645426,"pituitary","m.n2",428461,"NME8",428461,"NME8"
"NP_001278710.1",3.6007352553979e-06,5.44360880902209,2.2346066507203,"pituitary","m.n2",417513,"RASA4",417513,"RASA4"
"XP_004935823.1",4.46380107353883e-13,12.3502951676971,2.16946134816421,"pituitary","m.n2",421944,"GREB1",421944,"GREB1"
"NP_990152.1",0.000105725602979671,3.97581982928348,2.12491528865673,"pituitary","m.n2",395615,"SHH",395615,"SHH"
"XP_004942928.2",2.02727226725866e-06,5.69308792065704,2.10030660513746,"pituitary","m.n2",424214,"LOC424214",424214,"LOC424214"
"XP_015143544.1",0.0029407514806562,2.53154167564256,2.08418280392099,"pituitary","m.n2",423635,"SRRL",423635,"SRRL"
"XP_015128804.1",0.0338294612538581,1.47070491845026,2.06935061566737,"pituitary","m.n2",107049603,"LOC107049603",107049603,"LOC107049603"
"XP_015136153.1",0.028953214097624,1.53830321821005,2.06281213451156,"pituitary","m.n2",431626,"ANKRD34B",431626,"ANKRD34B"
"XP_015143864.1",1.02513731862879e-11,10.9892179563367,2.01515464730142,"pituitary","m.n2",418041,"CARD10",418041,"CARD10"
"XP_015152667.1",2.49674306173777e-10,9.60262614832184,2.00514906903967,"pituitary","m.n2",771735,"LOC771735",771735,"LOC771735"
"XP_015136991.1",0.0596600621416746,1.22431629861438,2.00257032763107,"pituitary","m.n2",420716,"LOC420716",420716,"LOC420716"
"XP_004945844.1",1.5322199417952e-14,13.8146788896303,1.99343895612909,"pituitary","m.n2",417260,"NSMF",417260,"NSMF"
"XP_015134656.1",0.0159836008476469,1.79632537445273,1.99158868878785,"pituitary","m.n2",415666,"RLTPR",415666,"RLTPR"
"NP_990865.2",2.2104108825344e-06,5.65552698992062,1.94883958562925,"pituitary","m.n2",396548,"COL6A3",396548,"COL6A3"
"XP_001231315.2",0.000883346512244967,3.05386890136485,1.94559513784648,"pituitary","m.n2",768430,"CLUL1",768430,"CLUL1"
"XP_420081.4",0.0218595794045238,1.66035819847285,1.91939282867844,"pituitary","m.n2",422078,"NPTX1",422078,"NPTX1"
"NP_001026630.1",2.06526458553466e-06,5.68502430203333,1.91004395746216,"pituitary","m.n2",427549,"CEBPA",427549,"CEBPA"
"XP_015134175.1",0.000282746393167543,3.54860292641108,1.90825706795602,"pituitary","m.n2",418923,"MTUS2",418923,"MTUS2"
"NP_001138861.1",0.0545088948145679,1.2635326233438,1.87945251121572,"pituitary","m.n2",423117,"GAL",423117,"GAL"
"XP_015147209.1",0.00180937372015361,2.74247172178718,1.8743843094609,"pituitary","m.n2",424994,"LRRC31",424994,"LRRC31"
"NP_001020004.1",8.15850274242952e-05,4.08838953614376,1.86355681868894,"pituitary","m.n2",423015,"SCT",423015,"SCT"
"XP_004949112.1",3.17233023099076e-11,10.4986216101211,1.85969523081091,"pituitary","m.n2",395475,"KANK1",395475,"KANK1"
"XP_004944342.1",1.22724022421231e-06,5.9110704186598,1.84199496738102,"pituitary","m.n2",101748749,"ZNF469",101748749,"ZNF469"
"XP_415814.4",4.79077277254491e-05,4.31959442734059,1.83772838296961,"pituitary","m.n2",417568,"SARM1",417568,"SARM1"
"NP_001012833.1",0.000788577869054866,3.10315541529503,1.82768603350698,"pituitary","m.n2",418043,"CYTH4",418043,"CYTH4"
"XP_015152260.1",0.00930344871779373,2.03135603193325,1.82669927475983,"pituitary","m.n2",419166,"SGK2",419166,"SGK2"
"XP_015133623.1",0.0300694344295012,1.52187474038823,1.82292192784083,"pituitary","m.n2",421297,"ALK",421297,"ALK"
"NP_001279001.1",0.00569546859059378,2.24447053884787,1.80626155026714,"pituitary","m.n2",431304,"AQP2",431304,"AQP2"
"XP_001233763.1",0.060314056338116,1.21958146267445,1.78417286268298,"pituitary","m.n2",770429,"LOC770429",770429,"LOC770429"
"NP_001139605.1",0.0990367578385747,1.00420358556814,1.76722687328395,"pituitary","m.n2",425805,"NGFR",425805,"NGFR"
"XP_004944245.2",4.07520405244064e-05,4.38985064051166,1.7459081422311,"pituitary","m.n2",415743,"NETO2",415743,"NETO2"
"XP_015137540.1",0.00321533091704945,2.49277432350094,1.74482604911544,"pituitary","m.n2",395395,"GAD2",395395,"GAD2"
"XP_015137212.1",4.77922133397729e-12,11.3206428560875,1.73929763297825,"pituitary","m.n2",428455,"MYRIP",428455,"MYRIP"
"NP_001108554.1",2.05146402728064e-06,5.68793609404705,1.73635490229803,"pituitary","m.n2",427339,"LPAR1",427339,"LPAR1"
"XP_015131019.1",2.58434532117874e-12,11.5876494562101,1.72285845106528,"pituitary","m.n2",416887,"WSCD2",416887,"WSCD2"
"XP_015151838.1",2.82758243353927e-05,4.54858472507293,1.72020420100854,"pituitary","m.n2",419168,"ARHGAP40",419168,"ARHGAP40"
"XP_004946612.1",0.0041241615901056,2.38466432682297,1.71117503751883,"pituitary","m.n2",427829,"KIF12",427829,"KIF12"
"NP_001264696.1",0.00418070622979628,2.37875034841725,1.7047748746117,"pituitary","m.n2",418790,"CLDN10",418790,"CLDN10"
"XP_001233248.2",0.00173513049896198,2.76066785640754,1.69734447946314,"pituitary","m.n2",769933,"SLC27A6",769933,"SLC27A6"
"XP_004947089.1",0.0762664634081181,1.1176663920399,1.69138977906032,"pituitary","m.n2",100859257,"P2RY11",100859257,"P2RY11"
"XP_015151531.1",0.000959236410118693,3.01807434490762,1.65834938157374,"pituitary","m.n2",427826,"LOC427826",427826,"LOC427826"
"XP_004935815.1",0.00124231228381906,2.9057692205105,1.61867529212735,"pituitary","m.n2",421939,"ATP6V1C2",421939,"ATP6V1C2"
"XP_015150098.1",1.54342009667548e-12,11.8115158491564,1.58994078313727,"pituitary","m.n2",427681,"TMEM8A",427681,"TMEM8A"
"NP_001264421.1",0.013345471113739,1.87466609040508,1.56723382348968,"pituitary","m.n2",423433,"SERPINA4",423433,"SERPINA4"
"XP_001232283.3",0.0020897422085858,2.67990728532145,1.55633567834707,"pituitary","m.n2",769085,"LACTBL1",769085,"LACTBL1"
"XP_015132204.1",0.0236389971956766,1.62637095087122,1.54918587548862,"pituitary","m.n2",422460,"HHIP",422460,"HHIP"
