"gene","padj","logpadj","lfc","tissue","direction"
"CCK",0.0317483631121131,1.49827866122878,4.12511888926362,"pituitary","n5"
"CARTPT",0.00158738389530112,2.79931803011413,3.64884380844067,"pituitary","n5"
"LOC100859605",2.92848835405458e-05,4.53335649872494,3.59942160467326,"pituitary","n5"
"LOC107057630",0.0659368451948473,1.18087183588935,3.21977699636941,"pituitary","n5"
"GLRA2",0.0976615527266289,1.01027637512412,3.17722190766653,"pituitary","n5"
"LGALS1",0.000381541651649612,3.41845804461817,3.12563926112452,"pituitary","n5"
"ANKDD1B",0.0499066669442904,1.30184143386136,3.1040546863964,"pituitary","n5"
"NPTX1",0.00245101147220197,2.61065465598483,2.55476701919271,"pituitary","n5"
"LOC101750367",0.00109510567482758,2.96054397052241,2.30423833460872,"pituitary","n5"
"SSTR3",0.0344906274879133,1.46229890444214,2.1123983787369,"pituitary","n5"
"SGK2",0.00733447966442167,2.13463069121212,1.98963749204574,"pituitary","n5"
"TTR",0.0570269798836898,1.2439196277938,1.95641306261435,"pituitary","n5"
"AQP2",0.00481031713126555,2.31782629081566,1.95003558336698,"pituitary","n5"
"GRIN1",0.0940066170019257,1.02684157590794,1.94645209349729,"pituitary","n5"
"LOC429032",0.0170880279173363,1.76730805512818,1.88284558311335,"pituitary","n5"
"ADCYAP1",0.0728437774396563,1.13760754120411,1.86437342221626,"pituitary","n5"
"DIO3",0.0767463868910373,1.11494206132597,1.77391155149085,"pituitary","n5"
"CACNG2",0.0867125781011743,1.06191790132743,1.66416477657156,"pituitary","n5"
"COL21A1",0.0587609272509746,1.2309113596346,1.60658013227058,"pituitary","n5"
"MTUS2",0.0104889803088633,1.97926672989595,1.51954096358435,"pituitary","n5"
"GHRH-LR",0.00347229503642789,2.4593833804861,1.5148025804861,"pituitary","n5"
"LOC107056399",0.0436083033424871,1.36043080998627,1.44756660509599,"pituitary","n5"
"ASIC4",0.0356512189779842,1.44792561626481,1.44433373702284,"pituitary","n5"
