"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"NP_001007986.1",7.34714768541535e-06,5.13388123029087,15.1408255007191,"pituitary","prolong",429199,"HMX3",429199,"HMX3"
"XP_003642039.1",4.06615211298616e-07,6.39081637862596,13.2635100323123,"pituitary","prolong",100859224,"LOC100859224",100859224,"LOC100859224"
"NP_990071.1",0.00511426190052877,2.29121703558969,6.97026386864059,"pituitary","prolong",395493,"NCAN",395493,"NCAN"
"XP_015140594.1",0.0670262253043592,1.17375523794847,5.95086374868356,"pituitary","prolong",422019,"PNOC",422019,"PNOC"
"XP_003643006.2",0.00355992703169152,2.44855890372895,5.71050542742133,"pituitary","prolong",427214,"CRHBP",427214,"CRHBP"
"XP_015153903.1",0.0165768541270831,1.78049788421271,5.48727068223479,"pituitary","prolong",425976,"BCAN",425976,"BCAN"
"XP_015141617.1",0.00200809244983458,2.69721629674178,5.08053393900999,"pituitary","prolong",422966,"C5H11ORF9",422966,"C5H11ORF9"
"XP_015142759.1",0.0584276688368026,1.23338144094473,4.97615153961999,"pituitary","prolong",395322,"NKX2-1",395322,"NKX2-1"
"XP_003643145.1",0.000252287852350486,3.5981036602401,4.67318166284504,"pituitary","prolong",100858488,"CARTPT",100858488,"CARTPT"
"XP_015133687.1",0.0280561487057994,1.55197194523259,4.59394119873371,"pituitary","prolong",396214,"PLP1",396214,"PLP1"
"XP_418091.2",0.0556325067601301,1.25467137062606,4.49174824732637,"pituitary","prolong",419969,"GFAP",419969,"GFAP"
"NP_990804.1",0.0354351680340488,1.45056550346724,4.44753795294886,"pituitary","prolong",396464,"NPY",396464,"NPY"
"XP_015139166.1",0.0680112127762658,1.16741948074353,4.34411649528379,"pituitary","prolong",421385,"MRPS10",421385,"MRPS10"
"NP_001001741.1",0.04449102355371,1.35172760282434,4.06688500224123,"pituitary","prolong",414884,"CCK",414884,"CCK"
"XP_015152259.1",0.0405467336870088,1.39204412539471,4.05577361411103,"pituitary","prolong",419167,"SLC32A1",419167,"SLC32A1"
"NP_001026685.1",0.0254589574347456,1.59415938503459,3.9108136322274,"pituitary","prolong",428485,"MC4R",428485,"MC4R"
"NP_001170780.1",0.0468826604931855,1.32898775098475,3.75676273480828,"pituitary","prolong",396323,"VIP",396323,"VIP"
"XP_004939375.1",0.0356441137344779,1.44801217923998,3.71632452198283,"pituitary","prolong",420573,"TAC1",420573,"TAC1"
"NP_990838.1",0.00828006568120394,2.08196621818235,3.56244493305175,"pituitary","prolong",396507,"CKM",396507,"CKM"
"NP_001026697.1",0.0859947723220837,1.06552794899688,3.46568557236954,"pituitary","prolong",428612,"OLIG2",428612,"OLIG2"
"NP_990621.1",0.000131050195234982,3.8825623277169,3.3951705661512,"pituitary","prolong",396227,"HSPB1",396227,"HSPB1"
"NP_001264342.1",0.0402942189952776,1.39475725754485,3.1723657178858,"pituitary","prolong",420219,"NECAB1",420219,"NECAB1"
"XP_015143471.1",0.098770084243418,1.00537457581086,3.06309652092128,"pituitary","prolong",423610,"LDB3",423610,"LDB3"
"NP_990050.1",0.0199663748011247,1.69970078073707,2.94693921524171,"pituitary","prolong",395466,"CSPG5",395466,"CSPG5"
"XP_004934896.1",0.000259715727507058,3.58550175016772,2.88109272030117,"pituitary","prolong",421161,"TNNI1",421161,"TNNI1"
"XP_015129966.1",0.0477629407707702,1.32090894148506,2.65132523786288,"pituitary","prolong",100857799,"KCNJ10",100857799,"KCNJ10"
"XP_414302.2",0.0254589574347456,1.59415938503459,2.64186536798027,"pituitary","prolong",415959,"SLC6A11",415959,"SLC6A11"
"XP_015149030.1",0.0554594483262087,1.25602445481,2.61403745419787,"pituitary","prolong",427606,"NRG2",427606,"NRG2"
"XP_015152280.1",0.0114072402554313,1.9428194113931,2.58019541422966,"pituitary","prolong",395279,"MYH7B",395279,"MYH7B"
"XP_015143153.1",0.00837092050879172,2.07722678216116,2.54236155106287,"pituitary","prolong",418099,"MYBPC1",418099,"MYBPC1"
"XP_422478.1",0.0465965524842619,1.33164621404922,2.31505180301116,"pituitary","prolong",424644,"FAM159A",424644,"FAM159A"
"XP_424765.4",0.0142569977953931,1.8459719175532,2.23403235634424,"pituitary","prolong",427177,"CMYA5",427177,"CMYA5"
"NP_001289071.1",0.0701089142394117,1.15422675865453,2.17501045065463,"pituitary","prolong",424038,"S100B",424038,"S100B"
"XP_421909.1",0.00115429198434397,2.93768432016663,2.07883801138744,"pituitary","prolong",424053,"C7H2ORF66",424053,"C7H2ORF66"
"XP_001234114.2",0.0300387398480931,1.52231829032628,1.97440838448959,"pituitary","prolong",770787,"FHL1",770787,"FHL1"
"XP_015157102.1",0.0354351680340488,1.45056550346724,1.94580105796878,"pituitary","prolong",101748402,"LOC101748402",101748402,"LOC101748402"
"NP_001304756.1",0.0936784802038378,1.02836016367055,1.79346821488016,"pituitary","prolong",421088,"AQP4",421088,"AQP4"
"XP_015142823.1",0.0883478528257994,1.05380400096467,1.78463154724154,"pituitary","prolong",427918,"WEE2",427918,"WEE2"
"XP_015141634.1",0.0490312057089953,1.30952742704089,1.74957341537265,"pituitary","prolong",396186,"BDNF",396186,"BDNF"
"NP_999838.1",0.095511042692062,1.01994641372536,1.68598647580011,"pituitary","prolong",408049,"CDH10",408049,"CDH10"
"XP_015136655.1",0.0742597821740888,1.12924632902219,1.58952166213823,"pituitary","prolong",396097,"MAP4",396097,"MAP4"
"XP_004949774.1",0.0916764601294026,1.03774216431154,1.56409800374129,"pituitary","prolong",426873,"ATF1",426873,"ATF1"
"NP_990850.1",0.00305229368273705,2.51537368216672,1.54353383568298,"pituitary","prolong",396528,"ATP2A1",396528,"ATP2A1"
"XP_015145352.1",0.00794281044494365,2.10002580175846,1.51790868153628,"pituitary","prolong",374027,"NEB",374027,"NEB"
"NP_001107181.1",0.00126378803771091,2.8983257597338,1.43894270239665,"pituitary","prolong",417310,"MYH1C",417310,"MYH1C"
"NP_001289041.1",0.0745050881889369,1.12781406689036,1.40546157083473,"pituitary","prolong",425008,"SPTSSB",425008,"SPTSSB"
"XP_015139401.1",0.0647959520083587,1.18845212492178,1.29813826019673,"pituitary","prolong",101748950,"SHANK3",101748950,"SHANK3"
"XP_015131123.1",0.068360044369862,1.16519766406745,1.29399471993655,"pituitary","prolong",416801,"MMP17",416801,"MMP17"
"XP_015151776.1",0.0582121425398782,1.23498641589941,1.27799952354594,"pituitary","prolong",419119,"DLGAP4",419119,"DLGAP4"
"XP_015143432.1",0.0197137667239275,1.70523038682541,1.26827623402853,"pituitary","prolong",423563,"MDGA2",423563,"MDGA2"
"XP_015147447.1",0.0685428754518899,1.16403768037458,1.24563324379623,"pituitary","prolong",427523,"GLDN",427523,"GLDN"
"XP_004946137.1",0.068360044369862,1.16519766406745,1.20969174508005,"pituitary","prolong",417326,"TEKT3",417326,"TEKT3"
"NP_001292052.1",0.0504325692598536,1.29728890638074,1.20857622042587,"pituitary","prolong",427850,"RELN",427850,"RELN"
"NP_001180568.1",0.081271095289592,1.09006388722612,1.19027304205653,"pituitary","prolong",424186,"FAP",424186,"FAP"
"XP_421782.3",0.0892777013484981,1.04925700013269,1.15270292081566,"pituitary","prolong",423921,"SLC18A2",423921,"SLC18A2"
"NP_989812.1",0.0720738927508266,1.14222202082182,1.14332831081098,"pituitary","prolong",395140,"HS2ST1",395140,"HS2ST1"
"XP_015150978.1",0.0223763683816209,1.65021039679794,1.05980542162456,"pituitary","prolong",422101,"MYCBPAP",422101,"MYCBPAP"
"NP_989613.1",0.0354351680340488,1.45056550346724,1.05618127123183,"pituitary","prolong",374150,"ID4",374150,"ID4"
"XP_004944342.1",0.0365397613962225,1.43723429290691,1.03327556034963,"pituitary","prolong",101748749,"ZNF469",101748749,"ZNF469"
"XP_015150736.1",0.00828006568120394,2.08196621818235,0.985409590360666,"pituitary","prolong",427797,"ARHGAP44",427797,"ARHGAP44"
"XP_015152071.1",0.0647959520083587,1.18845212492178,0.983238871332765,"pituitary","prolong",419300,"WFDC2",419300,"WFDC2"
"XP_429498.1",0.0959596836645937,1.01791119237311,0.930277487770682,"pituitary","prolong",417345,"LOC417345",417345,"LOC417345"
"NP_990390.1",0.0384063428676207,1.41559704529587,0.929591335369759,"pituitary","prolong",395932,"SMARCA4",395932,"SMARCA4"
"XP_015132578.1",0.0649985392088425,1.18709640367511,0.921799066865225,"pituitary","prolong",424849,"KIF1A",424849,"KIF1A"
"NP_001005427.1",0.0142569977953931,1.8459719175532,0.921495050910271,"pituitary","prolong",374137,"MEOX2",374137,"MEOX2"
"XP_015139196.1",0.0354351680340488,1.45056550346724,0.905049002518797,"pituitary","prolong",421431,"MDGA1",421431,"MDGA1"
"XP_015152147.1",0.0392006256065881,1.40670700197646,0.904159353825718,"pituitary","prolong",428148,"LAMA5",428148,"LAMA5"
"XP_004942409.2",0.088457633809205,1.05326468193849,0.903463011852744,"pituitary","prolong",101748342,"FAM196A",101748342,"FAM196A"
"XP_015128714.1",0.0625353203460272,1.20387462107739,0.885249429661945,"pituitary","prolong",395532,"COL1A1",395532,"COL1A1"
"XP_015130431.1",0.0874965917333938,1.05800886378007,0.871108794656366,"pituitary","prolong",107051325,"LOC107051325",107051325,"LOC107051325"
"XP_015145730.1",0.0428639409157912,1.36790790237257,0.870033283516167,"pituitary","prolong",396213,"TNR",396213,"TNR"
"NP_990777.1",0.00731042794768029,2.13605719898249,0.836566970322,"pituitary","prolong",396430,"TPM2",396430,"TPM2"
"XP_415281.4",0.00696281290101764,2.1572152746718,0.82694686024356,"pituitary","prolong",416989,"SRRM4",416989,"SRRM4"
"XP_015156498.1",0.0654255268096299,1.18425277171301,0.811624636486505,"pituitary","prolong",101748568,"LOC101748568",101748568,"LOC101748568"
"NP_990358.1",0.0633530363620075,1.1982325655688,0.80369535342921,"pituitary","prolong",395883,"TMOD1",395883,"TMOD1"
"XP_426629.2",0.0554594483262087,1.25602445481,0.802687522283429,"pituitary","prolong",429073,"ZBTB37",429073,"ZBTB37"
"XP_004937975.2",0.0209788422392278,1.67821848291981,0.773719918393329,"pituitary","prolong",418146,"IQSEC3",418146,"IQSEC3"
"XP_015130003.1",0.0365871227519725,1.43667174252416,0.771672021226077,"pituitary","prolong",107050804,"LOC107050804",107050804,"LOC107050804"
"XP_015152954.1",0.0100960792226024,1.99584725023504,0.771635611390242,"pituitary","prolong",425829,"TET3",425829,"TET3"
"XP_015140304.1",0.0764597665696545,1.11656703220851,0.769418152040334,"pituitary","prolong",417936,"CNOT4",417936,"CNOT4"
