"gene","padj","logpadj","lfc","tissue","direction"
"ETNPPL",0.00528193072249118,2.27720729927395,6.32092047850739,"pituitary","m.inc.d8"
"HAPLN2",0.0975616871277018,1.01072069806807,6.17289799128197,"pituitary","m.inc.d8"
"LOC100859449",0.062764181052496,1.20228813347984,5.4231477600761,"pituitary","m.inc.d8"
"GFAP",0.0467999723665893,1.32975440335838,5.34873844540112,"pituitary","m.inc.d8"
"NPY6R",0.0206366812660088,1.68536014346666,4.67202917612784,"pituitary","m.inc.d8"
"SLC13A3",0.00959942271970164,2.01775488333401,4.49362311165743,"pituitary","m.inc.d8"
"APOH",0.044694318443802,1.34974768101418,4.46464472982685,"pituitary","m.inc.d8"
"SLC38A4",0.0863836884795208,1.06356825604098,3.80886006822504,"pituitary","m.inc.d8"
"PRLH",0.044694318443802,1.34974768101418,3.727160224968,"pituitary","m.inc.d8"
"LOC769726",0.0142668627459861,1.84567151685734,3.72241016990641,"pituitary","m.inc.d8"
"SOX10",0.065518942273089,1.18363312236896,3.44779712037863,"pituitary","m.inc.d8"
"LOC101748788",0.044694318443802,1.34974768101418,3.38109757282245,"pituitary","m.inc.d8"
"APOD",0.0844672471821553,1.07331165939947,2.72954347065439,"pituitary","m.inc.d8"
"LOC421584",0.0863836884795208,1.06356825604098,2.4120544384711,"pituitary","m.inc.d8"
"NINJ2",0.089857775189844,1.04644433841087,2.21329129205331,"pituitary","m.inc.d8"
"ITIH2",0.0863836884795208,1.06356825604098,2.16346323746994,"pituitary","m.inc.d8"
"PDE6H",0.0365631983762244,1.43695582124263,1.8214728392762,"pituitary","m.inc.d8"
"PHEX",0.044629907824342,1.35037401012163,1.77859387764561,"pituitary","m.inc.d8"
"GLDN",0.0365631983762244,1.43695582124263,1.62210392470206,"pituitary","m.inc.d8"
"TULP1",0.0304730914035956,1.51608348567164,1.50514981221075,"pituitary","m.inc.d8"
"WIPF2",0.089857775189844,1.04644433841087,0.472686638853651,"pituitary","m.inc.d8"
"SORL1",0.0365631983762244,1.43695582124263,0.393273208945837,"pituitary","m.inc.d8"
"EP300",0.0939918997463067,1.02690957243289,0.326782644352625,"pituitary","m.inc.d8"
"KANSL1",0.0900585909280559,1.04547485236484,0.325233375703488,"pituitary","m.inc.d8"
"SEC16A",0.044694318443802,1.34974768101418,0.31050607395234,"pituitary","m.inc.d8"
"STK38L",0.0923537838932636,1.03454530606782,0.307065118051338,"pituitary","m.inc.d8"
"RAD50",0.0994661377001302,1.00232474551547,0.26001233083071,"pituitary","m.inc.d8"
"RNF169",0.089857775189844,1.04644433841087,0.227678508621442,"pituitary","m.inc.d8"
"SCAF4",0.089857775189844,1.04644433841087,0.184331510492874,"pituitary","m.inc.d8"
"ATG16L1",0.044694318443802,1.34974768101418,-0.163522094930849,"pituitary","inc.d9"
"SEPT2L",0.0365631983762244,1.43695582124263,-0.251506417163388,"pituitary","inc.d9"
"TAF12",0.0273465306109884,1.56309776373923,-0.260104492180538,"pituitary","inc.d9"
"PSMC6",0.0467999723665893,1.32975440335838,-0.260829349177841,"pituitary","inc.d9"
"TCEANC2",0.044629907824342,1.35037401012163,-0.268164770511978,"pituitary","inc.d9"
"IP6K2",0.00959942271970164,2.01775488333401,-0.275083931195162,"pituitary","inc.d9"
"HMGN3",0.0866371710341675,1.06229573718039,-0.276796264883274,"pituitary","inc.d9"
"BBS10",0.0923537838932636,1.03454530606782,-0.278474082766441,"pituitary","inc.d9"
"ZNF622",0.0639834723051583,1.19393219497948,-0.280697585904208,"pituitary","inc.d9"
"C2H7ORF25",0.0638629742480559,1.19475085921594,-0.28595883182951,"pituitary","inc.d9"
"ING4",0.0142668627459861,1.84567151685734,-0.294279142594895,"pituitary","inc.d9"
"PSMA2",0.055132239146327,1.2585943686826,-0.299047833524547,"pituitary","inc.d9"
"CCT8",0.0303306838992596,1.51811779706401,-0.299695973994482,"pituitary","inc.d9"
"SNRPD3",0.06630023887795,1.17848490684125,-0.311187204284838,"pituitary","inc.d9"
"LOC422214",0.0365631983762244,1.43695582124263,-0.311197378211003,"pituitary","inc.d9"
"RPS7",0.062764181052496,1.20228813347984,-0.311944175675093,"pituitary","inc.d9"
"ZMAT2",0.0358461960426141,1.44555692438545,-0.313632293139248,"pituitary","inc.d9"
"CDK7",0.0863836884795208,1.06356825604098,-0.31628579984685,"pituitary","inc.d9"
"WDR61",0.024179865076368,1.61654612683142,-0.317749478098596,"pituitary","inc.d9"
"MAGOH2",0.0551353334550258,1.25856999449603,-0.324707474030258,"pituitary","inc.d9"
"MCTS1",0.0866371710341675,1.06229573718039,-0.325852378982243,"pituitary","inc.d9"
"NDUFAF1",0.0975616871277018,1.01072069806807,-0.333160649066944,"pituitary","inc.d9"
"EXOSC7",0.0733742738036952,1.13445618400135,-0.336297461129988,"pituitary","inc.d9"
"LOC422895",0.0733742738036952,1.13445618400135,-0.337412889752388,"pituitary","inc.d9"
"RPL3",0.0938678211301105,1.02748326290704,-0.340144713614311,"pituitary","inc.d9"
"MRPS17",0.0863836884795208,1.06356825604098,-0.348783378028175,"pituitary","inc.d9"
"IMP3",0.065518942273089,1.18363312236896,-0.352114564332133,"pituitary","inc.d9"
"PRR5",0.0863836884795208,1.06356825604098,-0.352460089513977,"pituitary","inc.d9"
"MRPS22",0.0863836884795208,1.06356825604098,-0.353382251445686,"pituitary","inc.d9"
"UNC50",0.044694318443802,1.34974768101418,-0.355670291412823,"pituitary","inc.d9"
"ATP5G3",0.0365631983762244,1.43695582124263,-0.356155018681288,"pituitary","inc.d9"
"LOC107054816",0.044629907824342,1.35037401012163,-0.360545325999886,"pituitary","inc.d9"
"SNRPB2",0.0303306838992596,1.51811779706401,-0.365355236152147,"pituitary","inc.d9"
"LOC107049346",0.0365631983762244,1.43695582124263,-0.370866337532821,"pituitary","inc.d9"
"RNF7",0.044629907824342,1.35037401012163,-0.372188434124233,"pituitary","inc.d9"
"DNAJA4",0.0551353334550258,1.25856999449603,-0.372554498758127,"pituitary","inc.d9"
"MED18",0.062764181052496,1.20228813347984,-0.373711065135039,"pituitary","inc.d9"
"C14ORF2",0.0863836884795208,1.06356825604098,-0.37538884358769,"pituitary","inc.d9"
"FBP1",0.0975616871277018,1.01072069806807,-0.377224400863419,"pituitary","inc.d9"
"MRPL33",0.0733742738036952,1.13445618400135,-0.380057287391381,"pituitary","inc.d9"
"RPL5",0.044629907824342,1.35037401012163,-0.380729034668072,"pituitary","inc.d9"
"DYNLT1",0.0365631983762244,1.43695582124263,-0.384748811242697,"pituitary","inc.d9"
"RPL7",0.0863836884795208,1.06356825604098,-0.391887146981212,"pituitary","inc.d9"
"STARD4",0.037239132891946,1.42900044005985,-0.395502232045683,"pituitary","inc.d9"
"LOC107051857",0.0570997972238809,1.24336543404322,-0.398346780382119,"pituitary","inc.d9"
"WDYHV1",0.0733742738036952,1.13445618400135,-0.401059629907825,"pituitary","inc.d9"
"ASCC1",0.030727613092294,1.51247117424107,-0.401256240591264,"pituitary","inc.d9"
"TIMM22",0.062764181052496,1.20228813347984,-0.405148831572346,"pituitary","inc.d9"
"ATP5J",0.055132239146327,1.2585943686826,-0.407268244428403,"pituitary","inc.d9"
"TOMM7",0.0733742738036952,1.13445618400135,-0.41732007065257,"pituitary","inc.d9"
"XRCC4",0.0956741440313613,1.01920541459204,-0.422551347005929,"pituitary","inc.d9"
"AMACR",0.0365631983762244,1.43695582124263,-0.426173821512009,"pituitary","inc.d9"
"AIMP1",0.0273465306109884,1.56309776373923,-0.4302536033713,"pituitary","inc.d9"
"LOC107050492",0.0556111527955506,1.25483810208985,-0.435951801127509,"pituitary","inc.d9"
"ZNHIT3",0.0570997972238809,1.24336543404322,-0.439555246548831,"pituitary","inc.d9"
"MED10",0.0273465306109884,1.56309776373923,-0.442080555124129,"pituitary","inc.d9"
"RPS16",0.0863836884795208,1.06356825604098,-0.462588931624824,"pituitary","inc.d9"
"MRPL14",0.0142668627459861,1.84567151685734,-0.472467477563479,"pituitary","inc.d9"
"COX4I1",0.0863836884795208,1.06356825604098,-0.474336568992743,"pituitary","inc.d9"
"EEF1B2",0.0273465306109884,1.56309776373923,-0.487197126512382,"pituitary","inc.d9"
"ENY2",0.044694318443802,1.34974768101418,-0.496549173402145,"pituitary","inc.d9"
"RPL39",0.0365631983762244,1.43695582124263,-0.497160405210726,"pituitary","inc.d9"
"TXNL4A",0.00528193072249118,2.27720729927395,-0.500098817402941,"pituitary","inc.d9"
"RPL30",0.0365631983762244,1.43695582124263,-0.501676283480989,"pituitary","inc.d9"
"HELQ",0.06630023887795,1.17848490684125,-0.504899136141362,"pituitary","inc.d9"
"LSM8",0.0733742738036952,1.13445618400135,-0.507893500676125,"pituitary","inc.d9"
"RPL34",0.0303306838992596,1.51811779706401,-0.513501812159586,"pituitary","inc.d9"
"NDUFS4",0.00528193072249118,2.27720729927395,-0.535609875865098,"pituitary","inc.d9"
"PFDN1",0.0925132964663229,1.0337958438344,-0.543511857156596,"pituitary","inc.d9"
"RPRD1A",0.0365631983762244,1.43695582124263,-0.577865099159807,"pituitary","inc.d9"
"ZMAT5",0.065518942273089,1.18363312236896,-0.595742893474817,"pituitary","inc.d9"
"MGST1",0.0863836884795208,1.06356825604098,-0.599005304185719,"pituitary","inc.d9"
"TRIAP1",0.0570997972238809,1.24336543404322,-0.617730030861615,"pituitary","inc.d9"
"SSNA1",0.0687353968959585,1.16281955525992,-0.657666883996772,"pituitary","inc.d9"
"ZMYM6NB",0.089857775189844,1.04644433841087,-0.683137563918739,"pituitary","inc.d9"
"LOC107052389",0.00528193072249118,2.27720729927395,-0.743164280205875,"pituitary","inc.d9"
"CAPN2",0.0863836884795208,1.06356825604098,-0.754826596278046,"pituitary","inc.d9"
"RPS28",0.0619021831232532,1.20829403431327,-0.848596653696897,"pituitary","inc.d9"
"SYNE2",0.0986423907838203,1.00593641034138,-1.16001381086359,"pituitary","inc.d9"
"ATP2B4",0.0863836884795208,1.06356825604098,-1.61745791052617,"pituitary","inc.d9"
"HNRPK",0.0638629742480559,1.19475085921594,-1.63634406906939,"pituitary","inc.d9"
"LOC107055658",0.0863836884795208,1.06356825604098,-1.69374227411233,"pituitary","inc.d9"
"ANXA5",0.0142668627459861,1.84567151685734,-1.84631475382517,"pituitary","inc.d9"
"SLC9A3",0.0551353334550258,1.25856999449603,-3.54996170780624,"pituitary","inc.d9"
"RHCG",0.0638629742480559,1.19475085921594,-4.13102388272477,"pituitary","inc.d9"
"BSX",1.16176841483058e-07,6.93488043492749,-12.6086258994221,"pituitary","inc.d9"
