"gene","padj","logpadj","lfc","tissue","direction"
"SEBOX",0.00680921920034836,2.16690268491853,2.89280993919245,"pituitary","n9"
"VTN",0.00358396508820673,2.44563622949904,2.34033086728847,"pituitary","n9"
"RASA4",6.42044646429155e-05,4.19243477095974,2.25065913093398,"pituitary","n9"
"CITED4",3.17496013231036e-05,4.49826172373463,1.9890602986469,"pituitary","n9"
"CYTH4",0.0394463674674173,1.40399298387388,1.60408204728304,"pituitary","n9"
"SARM1",0.0394463674674173,1.40399298387388,1.4611737798477,"pituitary","n9"
"LOC424214",0.00727893813342735,2.1379319718448,1.45329001944603,"pituitary","n9"
"GREB1",0.00303775200924496,2.51744768320941,1.24167826313246,"pituitary","n9"
"CARD10",0.00330294417945661,2.48109876592676,1.21313153474449,"pituitary","n9"
"CMKLR1",0.0510097830916671,1.29234652321048,1.2112073005317,"pituitary","n9"
"NSMF",0.0112373107028892,1.94933761106589,0.976548677686377,"pituitary","n9"
"TRIM65",0.0895149954541561,1.04810420605298,0.950841141410843,"pituitary","n9"
"KANK1",0.0676584389388911,1.16967802676747,0.920888612866292,"pituitary","n9"
"MYRIP",0.0293851222945818,1.53187249750526,0.901512304733352,"pituitary","n9"
"ITPR3",0.0510097830916671,1.29234652321048,0.804923997737199,"pituitary","n9"
"AREG",0.0549178179366533,1.26028672702336,0.783553721391635,"pituitary","n9"
"DDX10",0.0394463674674173,1.40399298387388,0.765079049564267,"pituitary","n9"
"AKR1B1",0.0578924163801704,1.23737832297296,0.757520989785925,"pituitary","n9"
"ANOS1",0.0919856363817453,1.03627998273227,0.711460690724501,"pituitary","n9"
"TMEM8A",0.0984866037414685,1.00662283870869,0.704120459707152,"pituitary","n9"
"INSIG1",0.00727893813342735,2.1379319718448,0.658178752628899,"pituitary","n9"
"LOC421975",0.000532185909562979,3.27393662824396,0.635583181119,"pituitary","n9"
"NSDHL",0.0510097830916671,1.29234652321048,0.572495559978337,"pituitary","n9"
"SPTY2D1",0.00106870208540663,2.9711433431503,0.522954296518978,"pituitary","n9"
"MTUS1",0.0578924163801704,1.23737832297296,0.455690285343737,"pituitary","n9"
"PIK3IP1",0.0919856363817453,1.03627998273227,0.407549195395357,"pituitary","n9"
"USP4",0.0922849262472035,1.0348692305264,0.176779052521169,"pituitary","n9"
"KLF10",0.0690296066023757,1.16096460163566,-0.417600909521792,"pituitary","n5"
"FAP",0.0959671998590699,1.01787717690089,-1.56658402161927,"pituitary","n5"
"ANGPTL4",0.00680921920034836,2.16690268491853,-1.63534299914357,"pituitary","n5"
"KPNA2",0.0675321388137992,1.1704894954994,-1.94226224451,"pituitary","n5"
"LOC101750367",0.000532185909562979,3.27393662824396,-2.75225676006342,"pituitary","n5"
"LOC100859605",0.00332764512112436,2.47786299552896,-3.12749394894337,"pituitary","n5"
