"gene","padj","logpadj","lfc","sextissue","direction"
"LOC107053414",0.000475732108818741,3.32263753554205,9.72023639202836,"female_gonad","lay"
"MUC",0.0027177958771701,2.56578316450846,5.82290140527274,"female_gonad","lay"
"OVSTL",9.57860361140377e-10,9.01869779865257,5.45327858953221,"female_gonad","lay"
"AOC1",0.00275427130751207,2.55999328210671,4.4134487532568,"female_gonad","lay"
"ETNPPL",4.76330210251127e-05,4.32209187339227,4.2540998706122,"female_gonad","lay"
"GKN2",0.0162937188796424,1.78797978097206,3.98846185002992,"female_gonad","lay"
"COL10A1",0.0429299253662741,1.36723986654137,3.68677776017276,"female_gonad","lay"
"CA4",0.000389275121919819,3.40974335060545,3.47223826948421,"female_gonad","lay"
"GAL3ST2",0.0116184561596487,1.93485157641124,3.37432888029497,"female_gonad","lay"
"NEU4",0.00897607475528189,2.04691353914593,3.1232362324351,"female_gonad","lay"
"IL1R2",0.0346834054086993,1.45987826766646,2.93211553109739,"female_gonad","lay"
"SLC5A8",0.0020774636624759,2.68246656384913,2.92083915571541,"female_gonad","lay"
"LOC417800",0.0998698115845407,1.00056576946753,2.88936125832924,"female_gonad","lay"
"LOC107049720",0.0989437656137918,1.00461156522542,2.75080863666018,"female_gonad","lay"
"OLFM4",0.0554057649872451,1.25644504444325,2.62429769021373,"female_gonad","lay"
"SERPINB2",0.00494347685114116,2.30596749517734,2.57526822590323,"female_gonad","lay"
"NTNG2",0.000136458448146977,3.86499957197621,2.44102316046262,"female_gonad","lay"
"SLC14A2",0.0854368836357523,1.06835460119192,2.34423460724077,"female_gonad","lay"
"VNN1",0.000151122636342872,3.82067047872853,2.16548374274991,"female_gonad","lay"
"CALB1",0.0350186794424864,1.45570023522729,2.1317471667719,"female_gonad","lay"
"LOC107052588",0.0108825401454809,1.96326972206363,2.11815042132825,"female_gonad","lay"
"LOC423629",0.0196852094699744,1.70585995952907,2.01197811148145,"female_gonad","lay"
"FGG",0.0312285321130384,1.50544842916045,1.97648734808589,"female_gonad","lay"
"PTPRQ",0.00625102844598308,2.20404852478855,1.93633385592756,"female_gonad","lay"
"SOX2",0.0105066707766156,1.97853487601689,1.92355465505099,"female_gonad","lay"
"CAPN8",0.0534775046017936,1.2718288662372,1.89905751348126,"female_gonad","lay"
"GREM1",0.0312285321130384,1.50544842916045,1.87560285114407,"female_gonad","lay"
"LOXL2",0.000151122636342872,3.82067047872853,1.72684159181318,"female_gonad","lay"
"FAM83C",0.00382307792619646,2.41758684962099,1.69733062140331,"female_gonad","lay"
"ATF3",0.000261309092952118,3.58284547756613,1.67316446422374,"female_gonad","lay"
"GNA14",0.0406323670939094,1.39112787651981,1.642709015508,"female_gonad","lay"
"IL1RL1",0.00596214635857178,2.22459736712594,1.63285198690139,"female_gonad","lay"
"LOC427656",0.0189804830729367,1.72169273852406,1.60186359195646,"female_gonad","lay"
"BMF",0.01176481947559,1.92941473243667,1.57312992523985,"female_gonad","lay"
"LOC100859916",0.0842169040900074,1.07460072778561,1.47594305158548,"female_gonad","lay"
"CEMIP",0.0337130115329832,1.47220245086856,1.45081400590828,"female_gonad","lay"
"EDNRB",0.0017105393250237,2.76686693700393,1.4500514932515,"female_gonad","lay"
"MILR1",0.0840110402274342,1.07566363780962,1.43845132452272,"female_gonad","lay"
"SLC34A2",0.0584671224919049,1.23308827980115,1.4206635709732,"female_gonad","lay"
"NEB",0.0325808241898425,1.48703793363791,1.41724336363654,"female_gonad","lay"
"SGK1",0.000261309092952118,3.58284547756613,1.40617982312476,"female_gonad","lay"
"OTOGL",0.0023050535502993,2.63731898076052,1.39159565641859,"female_gonad","lay"
"TNFRSF11A",0.049267072470858,1.30744324343903,1.36270773303208,"female_gonad","lay"
"TFAP2A",0.0894085722923923,1.04862084003176,1.35650872166409,"female_gonad","lay"
"GUCY1A2",0.0251521445951804,1.59942497895221,1.35148215948486,"female_gonad","lay"
"NTN4L",0.0651342515570618,1.18619057286985,1.34056411853781,"female_gonad","lay"
"GPNMB",0.0645255834416403,1.19026805986678,1.3250778883719,"female_gonad","lay"
"FOXC1",0.028440998389769,1.54605516224758,1.30615989044339,"female_gonad","lay"
"OSMR",0.0288783997150917,1.5394268766897,1.28875646442178,"female_gonad","lay"
"DHODH",0.0998698115845407,1.00056576946753,1.27570374873263,"female_gonad","lay"
"LPIN1",0.0818243737568459,1.0871173098817,1.27228144529809,"female_gonad","lay"
"CBS",0.00181472179846053,2.74118994399101,1.27029541321495,"female_gonad","lay"
"SQSTM1",4.50541759773035e-07,6.34626494897244,1.26468028777714,"female_gonad","lay"
"ST6GALNAC1",0.00596214635857178,2.22459736712594,1.23267039404665,"female_gonad","lay"
"PLTP",0.0645255834416403,1.19026805986678,1.2038842859848,"female_gonad","lay"
"LCAT",0.0430821336153542,1.36570279668257,1.19612893577932,"female_gonad","lay"
"LOC107051813",0.062365257172847,1.20505728243567,1.19003268790111,"female_gonad","lay"
"MT4",0.0942730220456736,1.02561257081479,1.16649543046605,"female_gonad","lay"
"TLR15",0.0942730220456736,1.02561257081479,1.14024785311773,"female_gonad","lay"
"ERBB3",0.0824176905849557,1.08397955894831,1.10783767154916,"female_gonad","lay"
"BHMT",0.0842169040900074,1.07460072778561,1.105405503178,"female_gonad","lay"
"NR1D1",0.00165762697361433,2.780513194852,1.09111290136023,"female_gonad","lay"
"ARRDC2",0.0113407304329085,1.9453589725361,1.09057110818794,"female_gonad","lay"
"APCDD1L",0.00181472179846053,2.74118994399101,1.08288569681313,"female_gonad","lay"
"ST6GALNAC2",0.0176261938004676,1.75384145910832,1.06274031877436,"female_gonad","lay"
"IL1R1",0.0140632591134577,1.85191402135253,1.05166841234794,"female_gonad","lay"
"SVEP1",0.0607599944384309,1.2163822745617,1.03933068489174,"female_gonad","lay"
"MAMDC2",0.0288472197624189,1.53989603692847,1.02182030832244,"female_gonad","lay"
"GPD1L2",0.0465708831459756,1.33188552625479,1.01270406954981,"female_gonad","lay"
"LOC101751203",0.0149738913178026,1.82466532335503,0.994476203380988,"female_gonad","lay"
"SEMA6A",0.0942244395773826,1.02583643694202,0.988564548391426,"female_gonad","lay"
"ADGRD1",0.0509479841145318,1.29287299527395,0.986491350954264,"female_gonad","lay"
"FN1",0.054101583005134,1.26679002730865,0.977593543441762,"female_gonad","lay"
"SERTAD4",0.0364146343524669,1.43872404653638,0.952927288869865,"female_gonad","lay"
"AK4",0.0646541023487166,1.18940391361597,0.949975193505733,"female_gonad","lay"
"KCNK2",0.0345927101998886,1.46101541142456,0.935112519973036,"female_gonad","lay"
"PPP1R17",0.0673262307640691,1.17181569867905,0.93204332298465,"female_gonad","lay"
"HVCN1",0.0691361085493596,1.16029506915436,0.930326628432425,"female_gonad","lay"
"KLF7",0.0309423436978028,1.50944679417661,0.925804236464321,"female_gonad","lay"
"LOC427665",0.0614808735958134,1.21125997013869,0.906525977875314,"female_gonad","lay"
"EFHB",0.0888280512820474,1.05144986537879,0.903533372793694,"female_gonad","lay"
"UBAP2L",0.0831082570239556,1.08035582577309,0.901280033349783,"female_gonad","lay"
"RAB43",0.0415452179374797,1.3814789584716,0.900707722217332,"female_gonad","lay"
"KLF15",0.0314462567246588,1.50243104435479,0.894905282166931,"female_gonad","lay"
"ABCA1",0.00494347685114116,2.30596749517734,0.893809132503582,"female_gonad","lay"
"TOX3",0.0831082570239556,1.08035582577309,0.891739214832844,"female_gonad","lay"
"PM20D2",0.0346834054086993,1.45987826766646,0.885357321013728,"female_gonad","lay"
"SLC43A2",0.0131711461674128,1.88037643061728,0.87232988440655,"female_gonad","lay"
"SALL3",0.0179692466809466,1.7454701292998,0.867534943875037,"female_gonad","lay"
"HTRA1",0.0406323670939094,1.39112787651981,0.860858493443829,"female_gonad","lay"
"OSTN",0.0784461091018855,1.10542859238918,0.849276056320302,"female_gonad","lay"
"FHL1",0.0885044302094658,1.05303498955789,0.84789052708789,"female_gonad","lay"
"NFKBIZ",0.0854368836357523,1.06835460119192,0.843772777107471,"female_gonad","lay"
"GNS",0.0998698115845407,1.00056576946753,0.837452403839198,"female_gonad","lay"
"FILIP1L",0.0632131906282457,1.19919228850043,0.826707679453163,"female_gonad","lay"
"GFPT1",0.00494347685114116,2.30596749517734,0.81909860336513,"female_gonad","lay"
"LIPA",0.0303510871911788,1.51782574766375,0.817917353928874,"female_gonad","lay"
"NDRG1",0.0423226160415415,1.37342749557372,0.799485010144985,"female_gonad","lay"
"GAB1",0.00174282977975411,2.75874502787767,0.797176575681018,"female_gonad","lay"
"TXNIP",0.0131711461674128,1.88037643061728,0.795125972606595,"female_gonad","lay"
"IVNS1ABP",0.0303926087681732,1.51723202038745,0.786870355616646,"female_gonad","lay"
"PCMTD1",0.0189804830729367,1.72169273852406,0.784446418869887,"female_gonad","lay"
"CYBRD1",0.0912110217170568,1.03995267941629,0.777857862163216,"female_gonad","lay"
"EVA1A",0.0854368836357523,1.06835460119192,0.776732216212644,"female_gonad","lay"
"GLUL",0.0303926147686705,1.51723193464349,0.776520606887031,"female_gonad","lay"
"HHIPL1",0.0989406311281511,1.00462532366055,0.776389476613412,"female_gonad","lay"
"MOCOS",0.071501073426457,1.14568743820329,0.771081827553836,"female_gonad","lay"
"HEPH",0.0583716123013262,1.23379831073475,0.767699208876282,"female_gonad","lay"
"C10ORF10",0.0312285321130384,1.50544842916045,0.758970989870652,"female_gonad","lay"
"CBX7",0.0190544156939073,1.72000436438342,0.757374895947888,"female_gonad","lay"
"CFLAR",0.0312760472391721,1.50478813958565,0.756512817976583,"female_gonad","lay"
"CAPNS2",0.0895394680715348,1.04798548996467,0.751617701053646,"female_gonad","lay"
"BTG1",0.0337130115329832,1.47220245086856,0.74799253910984,"female_gonad","lay"
"TMEM123",0.0312285321130384,1.50544842916045,0.740681765403,"female_gonad","lay"
"SMPDL3A",0.0810732519385315,1.09112240659744,0.739385484698726,"female_gonad","lay"
"DHRS3",0.0157211135168984,1.80351669639345,0.723883400752648,"female_gonad","lay"
"STARD9",0.0314462567246588,1.50243104435479,0.721354983438974,"female_gonad","lay"
