"gene","padj","logpadj","lfc","sextissue","direction"
"CCK",0.0718536759010408,1.14355100925972,4.1234013967313,"female_pituitary","n5"
"LOC107057630",0.0606959989234757,1.21683993664678,3.23927737586879,"female_pituitary","n5"
"LGALS1",0.00538796491638704,2.26857524083864,3.12443304896467,"female_pituitary","n5"
"NPTX1",0.00182294367977524,2.73922674875625,2.56031126939878,"female_pituitary","n5"
"LOC100859605",0.0190990532173387,1.71898816116467,2.41284132528984,"female_pituitary","n5"
"LOC101750367",0.0125345064210234,1.90189276285026,2.28777478910617,"female_pituitary","n5"
"SSTR3",0.0519923022851509,1.28406095102961,2.10974580382176,"female_pituitary","n5"
"SGK2",0.0264008273387259,1.57838246316754,1.98827225969062,"female_pituitary","n5"
"TTR",0.0490005228174773,1.30979928618508,1.95724062031548,"female_pituitary","n5"
"AQP2",0.00993260087942222,2.00293701538371,1.95291838523484,"female_pituitary","n5"
"LOC429032",0.0496422082464833,1.30414890791602,1.87320538557409,"female_pituitary","n5"
"P2RY11",0.0682111000516066,1.16614494647398,1.86753425810254,"female_pituitary","n5"
"MTUS2",0.00941723330037806,2.02607667033513,1.51727412704991,"female_pituitary","n5"
"GHRH-LR",0.00194750419471176,2.71052159823141,1.505277503497,"female_pituitary","n5"
"LOC107056399",0.0678100313403651,1.1687060549012,1.44489396200665,"female_pituitary","n5"
"ASIC4",0.0638418368921443,1.1948946257199,1.44422186321872,"female_pituitary","n5"
"COL28A1",0.0702234472681102,1.15351785483691,1.38579884759988,"female_pituitary","n5"
"SCT",0.0422869545686985,1.37379359084351,1.34974490083922,"female_pituitary","n5"
"CEBPA",0.0305484497502782,1.51501082411153,1.28615946372626,"female_pituitary","n5"
"AVPR2",0.00442078766758769,2.35450034395174,1.27509689754474,"female_pituitary","n5"
"RXRG",0.00695780673962675,2.15752763840523,1.25390939506841,"female_pituitary","n5"
"KCNIP1",0.0565590532264193,1.2474978690482,1.21740226520171,"female_pituitary","n5"
"VIL1",0.069437673164841,1.1584048406628,1.2013977024127,"female_pituitary","n5"
"KIF21B",0.00557227276183913,2.25396763308399,1.19557216081782,"female_pituitary","n5"
"ZNF469",0.0267525441844564,1.57263490998933,1.15251615173763,"female_pituitary","n5"
"LOC427547",0.0688340697277496,1.16219655257246,1.14017545844642,"female_pituitary","n5"
"LOC101748192",0.0946553416243245,1.02385487274603,1.12625221498961,"female_pituitary","n5"
"FAP",0.0780692062450788,1.10752023622561,1.11400467584317,"female_pituitary","n5"
"MAP2K6",0.00117319427900778,2.93063006349016,1.06943637804122,"female_pituitary","n5"
"SSTR2",0.00967089499743926,2.0145333320739,1.06055647681039,"female_pituitary","n5"
"KIAA1024",0.00968291147223587,2.0139940387442,1.04306088715995,"female_pituitary","n5"
"PLXNA4B",0.00909375177785386,2.04125690442821,1.01076848483165,"female_pituitary","n5"
"DOC2B",0.00305958512759192,2.5143374588167,1.00324275096315,"female_pituitary","n5"
"KANK1",0.00827700196674624,2.08212694160592,0.996527370278326,"female_pituitary","n5"
"AEBP1",0.0505128527332612,1.29659810384305,0.994782225150492,"female_pituitary","n5"
"LHX6",0.0527748578137426,1.27757292809686,0.963392029575002,"female_pituitary","n5"
"LOC107055786",0.0571694962054633,1.2428356349005,0.945717143705365,"female_pituitary","n5"
"FBXO39",0.0723137647440194,1.14077902796975,0.929869637179863,"female_pituitary","n5"
"FOLR1",0.0539026192983302,1.26839013056146,0.920129679501228,"female_pituitary","n5"
"TMPRSS3",0.0482586061489804,1.31642522595289,0.913117978855675,"female_pituitary","n5"
"COL6A3",0.0977803901847563,1.00974823405164,0.911567814000754,"female_pituitary","n5"
"WSCD2",0.0065253182935143,2.18539829935436,0.911255323006447,"female_pituitary","n5"
"FEV",0.00652131619580036,2.18566474186245,0.904937133378502,"female_pituitary","n5"
"ZDHHC22",0.00229232573454722,2.63972367000961,0.898706707109266,"female_pituitary","n5"
"GABRG3",0.0345138958831544,1.46200601535182,0.881583088674575,"female_pituitary","n5"
"C26H6ORF132",0.060727263174202,1.216616291002,0.861896119734099,"female_pituitary","n5"
"HYDIN",0.000850014151418989,3.0705738438951,0.853160793740527,"female_pituitary","n5"
"RIT2",0.0165465301794471,1.78129306423931,0.848419265559511,"female_pituitary","n5"
"PLCD4",0.0384049997675747,1.41561223318138,0.847591686326095,"female_pituitary","n5"
"SYT9",0.0115383929844653,1.93785467355275,0.845309693501379,"female_pituitary","n5"
"LOC107050646",0.0780222217548054,1.10778168691177,0.842537775350688,"female_pituitary","n5"
"LOC101748568",0.0887703622029467,1.0517320080974,0.838761505859508,"female_pituitary","n5"
"COL8A2",0.0937409121713843,1.02807082477494,0.834946350346219,"female_pituitary","n5"
"CHGB",0.00429321025246595,2.3672178421868,0.828789420300248,"female_pituitary","n5"
"PTPRF",0.00307902642195611,2.51158658428274,0.826166095473826,"female_pituitary","n5"
"ZFPM1",0.0766721302118434,1.11536247040234,0.820752939755776,"female_pituitary","n5"
"LOC417372",0.0282308318939942,1.54927632406179,0.816199936307602,"female_pituitary","n5"
"HUNK",0.0110132301171358,1.95808528626821,0.814393919083193,"female_pituitary","n5"
"PLXNA1",0.00561903028925127,2.25033862684455,0.800628884488428,"female_pituitary","n5"
"WDR66",0.0165580299879293,1.78099133520002,0.799896291239849,"female_pituitary","n5"
