"gene","padj","logpadj","lfc","sextissue","direction"
"LOC101749216",5.05632221868313e-07,6.29616525803716,3.97309163798082,"female_gonads","chicks"
"CRISP2",0.0217799392704165,1.6619433355334,3.71152591591227,"female_gonads","chicks"
"COL10A1",5.37175703098847e-05,4.26988363905755,3.37611830336027,"female_gonads","chicks"
"OvoDA1",0.0202994872867271,1.69251493111916,3.07264645778341,"female_gonads","chicks"
"LOC107056420",7.18267691752629e-12,11.1437136680357,3.06079127668377,"female_gonads","chicks"
"RBP",0.000320785825767104,3.49378482968691,2.89864167226074,"female_gonads","chicks"
"SPINK7",0.0229008837157623,1.64014775846911,2.86597322404651,"female_gonads","chicks"
"CDC20B",4.72969856625262e-06,5.32516653689108,2.61997387566092,"female_gonads","chicks"
"LOC418356",0.050712709185349,1.29488318785838,2.4454324901368,"female_gonads","chicks"
"CA8",6.05723255967844e-06,5.21772575183675,2.21707663130415,"female_gonads","chicks"
"ZNF609",0.0252535917394929,1.59767684480437,2.20379092338521,"female_gonads","chicks"
"SPINK5",0.0104878145406768,1.97931500101599,2.18641080719109,"female_gonads","chicks"
"AGRP",0.0338058083827026,1.47100867452007,2.15200779686839,"female_gonads","chicks"
"AvBD11",0.0281558539610108,1.55043129606474,2.12600083715225,"female_gonads","chicks"
"GHRH-LR",5.37078997747232e-07,6.26996183019911,2.09505407651257,"female_gonads","chicks"
"LOC101749151",0.000132234103311615,3.87865652541003,1.86624996198859,"female_gonads","chicks"
"FOXN4",1.2179085392139e-08,7.91438532451606,1.85238428302985,"female_gonads","chicks"
"ERMN",0.0905581453019122,1.04307248073833,1.84342475753747,"female_gonads","chicks"
"GCM1",0.0539173171691106,1.26827172566484,1.78931527783896,"female_gonads","chicks"
"FXYD2",0.0263594659986547,1.57906339211242,1.68967495638557,"female_gonads","chicks"
"IL20RB",0.0539173171691106,1.26827172566484,1.68437651290683,"female_gonads","chicks"
"LOC101750121",0.0159991696263747,1.79590255709668,1.59001270140076,"female_gonads","chicks"
"REG4",0.0614700997653609,1.21133608202294,1.57780112149582,"female_gonads","chicks"
"PNOC",0.0440938450118454,1.35562202876228,1.56786093717283,"female_gonads","chicks"
"SLC9A2",0.0665156160475319,1.1770763822593,1.53680734316088,"female_gonads","chicks"
"TEKT5",0.0036899324305573,2.43298158649806,1.52880329547465,"female_gonads","chicks"
"LOC428250",0.0270387773421233,1.56801295051052,1.50541109921995,"female_gonads","chicks"
"MUC13",0.0109928144484508,1.95889110257668,1.40526616973698,"female_gonads","chicks"
"CA4",0.0391561575543399,1.40719993267133,1.38260818263945,"female_gonads","chicks"
"SLC10A4",0.0036899324305573,2.43298158649806,1.3802667761955,"female_gonads","chicks"
"RASL10A",0.0563663991020501,1.24897970866147,1.37051565453511,"female_gonads","chicks"
"GPX2",0.0700719325187801,1.15445590490304,1.31834237822448,"female_gonads","chicks"
"TMEM45B",0.0208708826406626,1.68045918400289,1.30900365852578,"female_gonads","chicks"
"SPAG8",0.0655966349788454,1.18311843878901,1.30562428886708,"female_gonads","chicks"
"LOC428451",0.0527591034275381,1.27770259333381,1.29052121909719,"female_gonads","chicks"
"SLC26A7",0.0875996627788071,1.0574975656765,1.28808486216187,"female_gonads","chicks"
"PFN3",0.0866184826103734,1.06238942854561,1.28705576961834,"female_gonads","chicks"
"SPDEF",0.0240761041522927,1.6184137866021,1.24543341993839,"female_gonads","chicks"
"SOX17",0.0134808933103119,1.87028132835821,1.22497386686601,"female_gonads","chicks"
"TLDC2",0.0494331300343342,1.30598188976981,1.22112732691906,"female_gonads","chicks"
"HSD11B2L",0.00761102742640479,2.11855671307177,1.20664137009179,"female_gonads","chicks"
"FEV",0.00619923103500731,2.20766217791539,1.20606610833048,"female_gonads","chicks"
"CKMT1A",0.0195485366525295,1.70888574709255,1.20433682975311,"female_gonads","chicks"
"LOC101750367",0.087369252353366,1.05864138066911,1.18033090221817,"female_gonads","chicks"
"MUC2",0.0902164116410124,1.04471445096364,1.15609770830746,"female_gonads","chicks"
"NWD2",0.00105182247064443,2.97805755535881,1.14731948258508,"female_gonads","chicks"
"SI",0.0959091253476224,1.01814006958037,1.11551687058483,"female_gonads","chicks"
"SIGIRR",0.0399634404245879,1.39833713072892,1.11504631176443,"female_gonads","chicks"
"RIMBP2",0.0103040798630157,1.98699078391937,1.0952504446586,"female_gonads","chicks"
"CALML4",0.0866184826103734,1.06238942854561,1.06990609610711,"female_gonads","chicks"
"ADORA1",0.0860536968774963,1.06523046759081,1.03146554595601,"female_gonads","chicks"
"CHST4",0.0951817306356479,1.0214464029342,1.02550982824372,"female_gonads","chicks"
