"gene","padj","logpadj","lfc","sextissue","direction"
"LOC422442",0.0726054231272349,1.13903093926863,1.84371461814369,"male_hypothalamus","chicks"
"SRRL",0.0635742526862675,1.1967187362429,1.54537194551018,"male_hypothalamus","chicks"
"CYP2D6",0.0855616496666402,1.06772085062912,1.51661249095452,"male_hypothalamus","chicks"
"RBP1",0.0699200556180237,1.15539823491325,1.11450691025447,"male_hypothalamus","chicks"
"CD274",0.068757201541131,1.16268180766819,0.824834473309646,"male_hypothalamus","chicks"
"MEI4",0.0816216734854319,1.0881945051516,0.757834934220875,"male_hypothalamus","chicks"
"CA7",0.0781520246456566,1.10705976644778,0.7514603353624,"male_hypothalamus","chicks"
"BET3L",0.081265315257626,1.09009477551731,0.716896918120448,"male_hypothalamus","chicks"
"BVES",0.0784898548211226,1.10518647420939,0.710538383913053,"male_hypothalamus","chicks"
"LOC424998",0.0795192635671857,1.09952765062016,0.696346811864491,"male_hypothalamus","chicks"
"COL19A1",0.0884739101535731,1.05318477841867,0.675737099449265,"male_hypothalamus","chicks"
"PSTK",0.068757201541131,1.16268180766819,0.672784498587741,"male_hypothalamus","chicks"
"NR4A3",0.084404748123376,1.07363312178927,0.627964007148159,"male_hypothalamus","chicks"
"FKBP5",0.00239994267023706,2.61979913257884,0.624638693106668,"male_hypothalamus","chicks"
"FILIP1L",0.0742220884104671,1.12946682993359,0.588206263619046,"male_hypothalamus","chicks"
"USPL1",0.0908843309362249,1.04151098558456,0.581446501106843,"male_hypothalamus","chicks"
"SSTR5",0.068757201541131,1.16268180766819,0.553324056797395,"male_hypothalamus","chicks"
"ALS2CL",0.0384530690274286,1.41506899244288,0.545216679730423,"male_hypothalamus","chicks"
"SLC24A2",0.0781520246456566,1.10705976644778,0.542185103202193,"male_hypothalamus","chicks"
"MICU2",0.0908843309362249,1.04151098558456,0.529986205251466,"male_hypothalamus","chicks"
"GALNT15",0.082657547451073,1.08271748490318,0.510775598199608,"male_hypothalamus","chicks"
"NEXN",0.0742220884104671,1.12946682993359,0.480551513766338,"male_hypothalamus","chicks"
