"gene","padj","logpadj","lfc","sextissue","direction"
"HAPLN4",0.0705269462809508,1.1516449200976,0.906537458111163,"male_hypothalamus","hi"
"GBX2",0.0926876902477812,1.0329779402077,0.874010643008953,"male_hypothalamus","hi"
"SCN4B",0.0536307800171522,1.27058588652227,0.831422845710287,"male_hypothalamus","hi"
"RPRM",0.0486819452778232,1.31263207615797,0.817805320962711,"male_hypothalamus","hi"
"SYT2",0.0656934115831447,1.18247818381253,0.792466058457588,"male_hypothalamus","hi"
"SLC3A2",0.0904964451693746,1.04336848017211,0.788154379536497,"male_hypothalamus","hi"
"PCP4L1",0.0904964451693746,1.04336848017211,0.783619849215861,"male_hypothalamus","hi"
"SRXN1",0.0536307800171522,1.27058588652227,0.761430015919129,"male_hypothalamus","hi"
"GVIN1",0.0655452315533755,1.18345889795383,0.726315686633331,"male_hypothalamus","hi"
"WNT11",0.0626311821593236,1.20320939094238,0.71188522100006,"male_hypothalamus","hi"
"APOBEC2",0.0996469159764733,1.00153613795824,0.709320508490648,"male_hypothalamus","hi"
"LOC107051305",0.0728389789424447,1.13763615077896,0.685134221364029,"male_hypothalamus","hi"
"LOC107051048",0.0452542438152159,1.34434068763869,0.657597125319315,"male_hypothalamus","hi"
"RNF157",0.0474368908425697,1.32388378368607,0.653558342715063,"male_hypothalamus","hi"
"LOC417253",0.0654878457873785,1.18383929538646,0.645893267825357,"male_hypothalamus","hi"
"LOC768671",0.0608345611623358,1.2158496204371,0.629034907408241,"male_hypothalamus","hi"
"CAPN2",0.0705269462809508,1.1516449200976,0.625088777541342,"male_hypothalamus","hi"
"FIBP",0.0564408170908477,1.24840670761298,0.607621539553524,"male_hypothalamus","hi"
"MYL6",0.0905232503467009,1.04323986056913,0.595694283235404,"male_hypothalamus","hi"
"BLEC3",0.0796555729408173,1.09878383426615,0.588713691753006,"male_hypothalamus","hi"
"TMEM88B",0.0905561242828698,1.04308217315428,0.588425151920096,"male_hypothalamus","hi"
"RADIL",0.0478724740952082,1.31991412718421,0.587494828142773,"male_hypothalamus","hi"
"KCNK9",0.0796555729408173,1.09878383426615,0.572303945331863,"male_hypothalamus","hi"
"ANGPT4",0.0536307800171522,1.27058588652227,0.558663096838725,"male_hypothalamus","hi"
"LOC107050638",0.0835376365172621,1.07811781614333,0.547945632953156,"male_hypothalamus","hi"
"LOC107051429",0.0272422469287523,1.56475707486078,0.546928121736547,"male_hypothalamus","hi"
"LOC107050828",0.0728389789424447,1.13763615077896,0.540273847464627,"male_hypothalamus","hi"
"LOC107049991",0.0486819452778232,1.31263207615797,0.53203155551128,"male_hypothalamus","hi"
"KCNJ10",0.0536307800171522,1.27058588652227,0.510985731513239,"male_hypothalamus","hi"
"VAMP1",0.0897949973022576,1.04674785826081,0.509295406313197,"male_hypothalamus","hi"
"LOC107051380",0.0705269462809508,1.1516449200976,0.508329720143552,"male_hypothalamus","hi"
"ADPRHL",0.0905232503467009,1.04323986056913,0.508196521781966,"male_hypothalamus","hi"
"MET",0.0904964451693746,1.04336848017211,0.50690394040918,"male_hypothalamus","hi"
"IRF8",0.0536307800171522,1.27058588652227,0.505717091438574,"male_hypothalamus","hi"
"SLC45A3",0.0926876902477812,1.0329779402077,0.505193749742281,"male_hypothalamus","hi"
"SERPING1",0.0991737569645262,1.00360323422997,0.503133944820293,"male_hypothalamus","hi"
"ANKRD24",0.0730513312908583,1.13637186505473,0.50190797003608,"male_hypothalamus","hi"
"RP11-195F19.29",0.0700104832943312,1.15483692432868,0.500458784402557,"male_hypothalamus","hi"
"TMEM125",0.0912787294234922,1.03963041381559,0.497286595535178,"male_hypothalamus","hi"
"MOGS",0.0626316296792754,1.20320628777964,0.488894655689721,"male_hypothalamus","hi"
"C5H11ORF9",0.0996469159764733,1.00153613795824,0.488339605733512,"male_hypothalamus","hi"
"LOC100859599",0.0924513529475023,1.0340867289252,0.486760102985419,"male_hypothalamus","hi"
"PDLIM4",0.0865410092859395,1.06277804414124,0.485761552163358,"male_hypothalamus","hi"
"FNDC4",0.0705269462809508,1.1516449200976,0.469676607594146,"male_hypothalamus","hi"
"DAK",0.0992500431811259,1.00326929561451,0.468540498620811,"male_hypothalamus","hi"
"NEFH",0.0904964451693746,1.04336848017211,0.465597869058953,"male_hypothalamus","hi"
"TOM1L1",0.0899617525282913,1.04594209274338,0.46461596660779,"male_hypothalamus","hi"
"SLC6A9",0.065864889475908,1.18134603260397,0.460086765255866,"male_hypothalamus","hi"
"TRPM2",0.0996742122180552,1.00141718812811,0.458639352791624,"male_hypothalamus","hi"
"PLEKHG3",0.0730513312908583,1.13637186505473,0.455231335583621,"male_hypothalamus","hi"
"DUSP15",0.0633690692825455,1.19812267142018,0.453790358726701,"male_hypothalamus","hi"
"COX14",0.0971267973615334,1.01266093136247,0.44491068005019,"male_hypothalamus","hi"
"FADS6",0.0655452315533755,1.18345889795383,0.443702739641834,"male_hypothalamus","hi"
"ESYT1",0.0608345611623358,1.2158496204371,0.437334866432742,"male_hypothalamus","hi"
"CSDC2",0.0305789157668271,1.51457791738125,0.435959785681464,"male_hypothalamus","hi"
"ARHGEF37",0.0709303321589779,1.14916800639321,0.434480037303461,"male_hypothalamus","hi"
"HAGHL",0.0305789157668271,1.51457791738125,0.434475313948249,"male_hypothalamus","hi"
"TAL1",0.0716424816742878,1.14482937873057,0.430447602390254,"male_hypothalamus","hi"
"SFRP5",0.0821786958698951,1.08524075503086,0.424999963092479,"male_hypothalamus","hi"
"SPTB",0.0626316296792754,1.20320628777964,0.424134514026576,"male_hypothalamus","hi"
"CAPN5",0.0994567826508287,1.00236559396355,0.423578401603441,"male_hypothalamus","hi"
"CANT1",0.0640853042137088,1.19324154974201,0.421337460402419,"male_hypothalamus","hi"
"GALK1",0.0626311821593236,1.20320939094238,0.419205650164905,"male_hypothalamus","hi"
"LOC107056412",0.0633690692825455,1.19812267142018,0.417710431120572,"male_hypothalamus","hi"
"LCAT",0.0728389789424447,1.13763615077896,0.417173751493971,"male_hypothalamus","hi"
"NDUFB7",0.0655452315533755,1.18345889795383,0.415392611194343,"male_hypothalamus","hi"
"LOC107051413",0.0640853042137088,1.19324154974201,0.414758723305587,"male_hypothalamus","hi"
"FZD9",0.0547319381994169,1.26175917209489,0.414090834823926,"male_hypothalamus","hi"
"BANF1",0.0933104313687136,1.03006980284904,0.41350577524959,"male_hypothalamus","hi"
"SCO2",0.0868197555243292,1.06138144142503,0.41007844037032,"male_hypothalamus","hi"
"LOC107050945",0.0843843599788423,1.07373803920734,0.406696917919711,"male_hypothalamus","hi"
"SERTM1",0.068810858485417,1.16234302385462,0.406583664730495,"male_hypothalamus","hi"
"SEPP1L",0.0899617525282913,1.04594209274338,0.404555867753474,"male_hypothalamus","hi"
"TMEM167B",0.0894644173158365,1.04834966229425,0.403877478531984,"male_hypothalamus","hi"
"IGFBP1",0.0705269462809508,1.1516449200976,0.400707184033646,"male_hypothalamus","hi"
"LOC107053190",0.0305789157668271,1.51457791738125,0.399332527483203,"male_hypothalamus","hi"
"LOC107051272",0.0991737569645262,1.00360323422997,0.398099897495708,"male_hypothalamus","hi"
"PARM1",0.0904964451693746,1.04336848017211,0.396989220562498,"male_hypothalamus","hi"
"KAZALD1",0.0655452315533755,1.18345889795383,0.396274527396553,"male_hypothalamus","hi"
