"gene","padj","logpadj","lfc","sextissue","direction"
"MYH11",0.0682607745772819,1.16582878794823,2.05221272638153,"male_pituitary","chicks"
"HAND2",0.0921438750043265,1.03553352794605,1.81406539043301,"male_pituitary","chicks"
"TULP1",0.00202405139373489,2.69377846429662,1.7062576024943,"male_pituitary","chicks"
"MYBPC3",0.00891619178817984,2.04982059837345,1.58798766329112,"male_pituitary","chicks"
"PDE6H",0.0126244495195509,1.89878754990899,1.5355776986507,"male_pituitary","chicks"
"CASQ2",0.0203079327546758,1.69233428333724,1.03951988373599,"male_pituitary","chicks"
"MYOT",0.0942517215721005,1.02571070836424,0.950284826356657,"male_pituitary","chicks"
"ZBTB16",0.00380185310623324,2.42000466716146,0.928133467446334,"male_pituitary","chicks"
"ADAMTS1",0.059731711839623,1.22379503871268,0.904519209876461,"male_pituitary","chicks"
"SYNDIG1L",0.0410444252779169,1.38674582113768,0.799677766959428,"male_pituitary","chicks"
"PPP1R17",0.0754430747219015,1.12238062001167,0.726102079986981,"male_pituitary","chicks"
"CEBPD",0.0410444252779169,1.38674582113768,0.717789498219006,"male_pituitary","chicks"
"PCDHA12",0.0345311248863737,1.46178927383741,0.713482380198049,"male_pituitary","chicks"
"MAP3K15",0.0748805421665812,1.12563101978408,0.698844022659685,"male_pituitary","chicks"
"FKBP5",0.000358884754229594,3.44504499052325,0.675627906108683,"male_pituitary","chicks"
"DHX32",0.0603011401625499,1.21967447622432,0.666367691521806,"male_pituitary","chicks"
"LOC107050884",0.059731711839623,1.22379503871268,0.648363010746595,"male_pituitary","chicks"
"DTNB",0.0654436564890455,1.18413244361772,0.64641986959378,"male_pituitary","chicks"
"CRYBA2",0.0269028315127763,1.57020200826307,0.604356308866053,"male_pituitary","chicks"
"RNF213",0.059731711839623,1.22379503871268,0.593282966439653,"male_pituitary","chicks"
"VWA5B2",0.0682607745772819,1.16582878794823,0.585527812630988,"male_pituitary","chicks"
"FEV",0.0733463035529896,1.13462176848724,0.558566642291893,"male_pituitary","chicks"
"INSM1",0.00314673098136899,2.50214038396983,0.551156648513698,"male_pituitary","chicks"
"SRRM4",0.0230420021140373,1.63747978786593,0.523654397986997,"male_pituitary","chicks"
"CNNM1",0.0226566366260281,1.64480456063198,0.520495410519957,"male_pituitary","chicks"
"SLCO4A1",0.0682607745772819,1.16582878794823,0.498098656099405,"male_pituitary","chicks"
"SIX3",0.0410444252779169,1.38674582113768,0.480235977862042,"male_pituitary","chicks"
"LOC414835",0.0653212448595222,1.18494554729009,0.463327598963187,"male_pituitary","chicks"
"SFRP5",0.0702800466920878,1.1531679586436,0.462865808557502,"male_pituitary","chicks"
"PLXNB1",0.0308284567403452,1.51104821532953,0.458361748678102,"male_pituitary","chicks"
"CNR1",0.0410734018055137,1.38643932626295,0.428951121009807,"male_pituitary","chicks"
"PEX11A",0.0226566366260281,1.64480456063198,0.425600224137308,"male_pituitary","chicks"
"IL6RA",0.0883009722990036,1.05403451429596,0.41666814304378,"male_pituitary","chicks"
"ZNFX1",0.0921438750043265,1.03553352794605,0.41218228237461,"male_pituitary","chicks"
"GPD1L2",0.056349600315442,1.24910916003338,0.411857460930135,"male_pituitary","chicks"
"DFNB31",0.0953438002245905,1.0207075419026,0.411127449323663,"male_pituitary","chicks"
"SRRM3",0.054347113769188,1.26482351519128,0.405312432120523,"male_pituitary","chicks"
"KCNG1",0.0483542325463359,1.31556550521973,0.402255977394605,"male_pituitary","chicks"
"LOC771811",0.0595913520865255,1.22481676062228,0.400531707453013,"male_pituitary","chicks"
"RNF19A",0.0268326989759218,1.57133564147651,0.400374751568179,"male_pituitary","chicks"
"KCNQ5",0.0866714502853631,1.06212393626572,0.393458391514803,"male_pituitary","chicks"
"GPR75",0.00971375662790833,2.01261278170306,0.377333459202737,"male_pituitary","chicks"
"KLF9",0.0733463035529896,1.13462176848724,0.376123765700433,"male_pituitary","chicks"
"GPSM1",0.0321160117885432,1.49327839134381,0.367210293674004,"male_pituitary","chicks"
"WIPF3",0.086832475846959,1.06131781579935,0.360867717599662,"male_pituitary","chicks"
"VANGL1",0.0877160692735572,1.05692083813282,0.34938469646751,"male_pituitary","chicks"
"NEUROD1",0.0483542325463359,1.31556550521973,0.346398936122398,"male_pituitary","chicks"
"ZNF638",0.0632358847507608,1.19903640072891,0.345197538415628,"male_pituitary","chicks"
"RP11-106M3.5",0.0736401194774178,1.13288551554633,0.340945069253435,"male_pituitary","chicks"
"CREG2",0.0510923315765439,1.2916442780239,0.336312703106692,"male_pituitary","chicks"
"TNFRSF9",0.0485887772818497,1.31346402965539,0.333534953135072,"male_pituitary","chicks"
"RNF157",0.0516115092471077,1.2872534409086,0.329412716357945,"male_pituitary","chicks"
"RIMS4",0.078459797754369,1.10535281568488,0.326455907119731,"male_pituitary","chicks"
"ADCY3",0.0716195338214494,1.14496851018018,0.324399376054329,"male_pituitary","chicks"
"KCNA2",0.0546466480128849,1.26243647221664,0.317600140703604,"male_pituitary","chicks"
"RUNX1T1",0.0179203985412811,1.74665233606036,0.31495447594108,"male_pituitary","chicks"
"MARCH4",0.0693726552387676,1.15881168255862,0.312698706232984,"male_pituitary","chicks"
"IGDCC4",0.0595913520865255,1.22481676062228,0.310340224640579,"male_pituitary","chicks"
"ZC2HC1C",0.0500370250269537,1.30070851937801,0.307726157063228,"male_pituitary","chicks"
"TOB1",0.0754430747219015,1.12238062001167,0.3063032754821,"male_pituitary","chicks"
"HECTD4",0.0706117986064899,1.15112272612135,0.294186228186498,"male_pituitary","chicks"
"MAGI3",0.0644277930366958,1.1909267450839,0.289443356179567,"male_pituitary","chicks"
"LOC101748037",0.0702800466920878,1.1531679586436,0.281804385869484,"male_pituitary","chicks"
"TRIM8",0.0268326989759218,1.57133564147651,0.281372364279562,"male_pituitary","chicks"
"ZNF618",0.0625518298552333,1.20375998118389,0.269122217522889,"male_pituitary","chicks"
"ABCA5",0.0407622553267444,1.38974179500754,0.26220200210423,"male_pituitary","chicks"
"KANSL1",0.0778766378622801,1.1085928063736,0.26180399396163,"male_pituitary","chicks"
"PDDC1",0.0217846701358266,1.6618490117794,0.258640691912649,"male_pituitary","chicks"
"TIRAP",0.0985275928719885,1.00644212733087,0.25479397702032,"male_pituitary","chicks"
"NIN",0.0934910663606127,1.02922988662111,0.254261697043787,"male_pituitary","chicks"
"LHFPL5",0.0866714502853631,1.06212393626572,0.250167298521292,"male_pituitary","chicks"
"RBM15",0.0666838111345484,1.17597958719728,0.247686514755032,"male_pituitary","chicks"
"RP11-2C24.9",0.0716195338214494,1.14496851018018,0.247206346617025,"male_pituitary","chicks"
"SH3RF1",0.0410444252779169,1.38674582113768,0.247188220467135,"male_pituitary","chicks"
"IFIH1",0.059731711839623,1.22379503871268,0.247132261008432,"male_pituitary","chicks"
"KDM1A",0.0443317188220735,1.35328542998037,0.24298067257134,"male_pituitary","chicks"
"ST8SIA3",0.0284085583976334,1.54655080414535,0.241711078953927,"male_pituitary","chicks"
"TPR",0.0471776416033626,1.32626377316314,0.241347898900175,"male_pituitary","chicks"
"DACH2",0.0485887772818497,1.31346402965539,0.24084281199362,"male_pituitary","chicks"
"NEMF",0.000358884754229594,3.44504499052325,0.240658236506045,"male_pituitary","chicks"
"PTPN1",0.0860776905031742,1.06510939380574,0.239908611313479,"male_pituitary","chicks"
"GOLGB1",0.046226716309494,1.33510695534662,0.237249554472815,"male_pituitary","chicks"
"FAM199X",0.0801069441306683,1.09632983514031,0.237237635004667,"male_pituitary","chicks"
"ALDH18A1",0.0546466480128849,1.26243647221664,0.236894854840999,"male_pituitary","chicks"
"DHX57",0.0938207310053072,1.02770118756522,0.232778769447733,"male_pituitary","chicks"
"RASSF3",0.0733463035529896,1.13462176848724,0.231709502383287,"male_pituitary","chicks"
"LOC101750338",0.0883009722990036,1.05403451429596,0.230027700900001,"male_pituitary","chicks"
"DSCAM",0.0864144397577846,1.06341368132725,0.227381426046332,"male_pituitary","chicks"
"ZC3H3",0.0625303692867898,1.20390900649059,0.226421904934259,"male_pituitary","chicks"
"MAP3K14",0.0620960293205707,1.20693616953837,0.225163500336091,"male_pituitary","chicks"
"TTBK1",0.0877623767737036,1.05669162374548,0.224064593544402,"male_pituitary","chicks"
"IFT140",0.0483542325463359,1.31556550521973,0.221718960811231,"male_pituitary","chicks"
"OGFOD3",0.0495673575339171,1.30480423298163,0.217893980320254,"male_pituitary","chicks"
"NLN",0.0578129264496727,1.23797504638726,0.21426445478753,"male_pituitary","chicks"
"EDEM3",0.0410444252779169,1.38674582113768,0.21166321879741,"male_pituitary","chicks"
"SYNRG",0.0682607745772819,1.16582878794823,0.210892982701341,"male_pituitary","chicks"
"PHKA2",0.0203079327546758,1.69233428333724,0.209847160939547,"male_pituitary","chicks"
"RNF123",0.0877983994694195,1.05651340104076,0.205614210078305,"male_pituitary","chicks"
"ANKRD11",0.0653212448595222,1.18494554729009,0.205502274523758,"male_pituitary","chicks"
