"gene","padj","logpadj","lfc","sextissue","direction"
"POSTN",0.000983161702385956,3.00737504709311,1.44463233813248,"male_pituitary","eggs"
"LOC769726",0.014127077009846,1.84994768739513,1.14548012584836,"male_pituitary","eggs"
"FOXM1",0.0663244111558581,1.17832659709982,1.05136075282641,"male_pituitary","eggs"
"C1H12ORF40",0.0988099185798109,1.00519945856749,1.02083617797578,"male_pituitary","eggs"
"LOC101749834",0.0494593819049261,1.3057513153293,0.96800200651746,"male_pituitary","eggs"
"LOC107050953",0.0509052534555719,1.29323739587477,0.943876087979966,"male_pituitary","eggs"
"DLK1",0.00323421281997241,2.49023140573493,0.907060831158812,"male_pituitary","eggs"
"NHP2",0.0273378773037734,1.5632352099967,0.905399400513856,"male_pituitary","eggs"
"HNRPK",0.00224336636533689,2.64909979576556,0.890074356560271,"male_pituitary","eggs"
"PLLP",0.0316091590666962,1.50018705802159,0.878410791517824,"male_pituitary","eggs"
"LOC395381",0.00775493101997939,2.11042206087753,0.872654993693101,"male_pituitary","eggs"
"PROCR",0.0127809558887806,1.8934366640416,0.862470566535581,"male_pituitary","eggs"
"GSTA3",0.0286115199753107,1.54345906986494,0.848911567187575,"male_pituitary","eggs"
"DIO3",0.0371205046623351,1.43038612807339,0.826420860719179,"male_pituitary","eggs"
"IL12RB2",0.0043885234698348,2.35768157469317,0.80904961167889,"male_pituitary","eggs"
"FAM132A",0.0144477242888663,1.84020055474973,0.803806594946888,"male_pituitary","eggs"
"FGF6",0.086866501545067,1.06114766887803,0.787073094627913,"male_pituitary","eggs"
"F13A1",0.0068457319547193,2.16458010970666,0.764383015897593,"male_pituitary","eggs"
"MLN",0.0731684553776505,1.13567611304155,0.760846701955632,"male_pituitary","eggs"
"EGFL6",0.0333420700231404,1.47700744074917,0.758813168822315,"male_pituitary","eggs"
"SLC10A4",0.0143056676707413,1.84449186809626,0.750276374494955,"male_pituitary","eggs"
"SLC15A1",0.0529587003660638,1.27606268124911,0.748162802419382,"male_pituitary","eggs"
"PLA2G4E",0.0190893503671442,1.71920885090257,0.735274791580203,"male_pituitary","eggs"
"A2ML2",0.0807764366974007,1.09271530883858,0.731724461045892,"male_pituitary","eggs"
"CYR61",0.0108448732919853,1.96477551777732,0.726388957243804,"male_pituitary","eggs"
"MSTN",9.89632208558415e-05,4.00452617860573,0.714911785625813,"male_pituitary","eggs"
"DTX1",0.0345828303582569,1.46113946569858,0.707583023009542,"male_pituitary","eggs"
"BIRC5",0.00384265970142986,2.41536807411879,0.690304254205755,"male_pituitary","eggs"
"BRINP2",0.00878406422902612,2.05630449732367,0.685570564167354,"male_pituitary","eggs"
"NR4A3",0.00427848836484593,2.36870964471713,0.659276351051957,"male_pituitary","eggs"
"AGR2",0.00386596393788986,2.41274220143227,0.658421961553731,"male_pituitary","eggs"
"TGM3",0.0972118557845285,1.01228076606332,0.644936957362055,"male_pituitary","eggs"
"CASR",0.000973697592601201,3.01157590375492,0.64376274390464,"male_pituitary","eggs"
"LRRTM3",0.0354817027276533,1.44999554702858,0.629556549027516,"male_pituitary","eggs"
"LOC422224",0.00217548839838039,2.66244322840565,0.62822879854697,"male_pituitary","eggs"
"CYP39A1",0.0400414904447928,1.397489765361,0.616432701876268,"male_pituitary","eggs"
"CD44",0.0321511884230455,1.49280296936397,0.612468232272034,"male_pituitary","eggs"
"USP35",0.000654270953513327,3.18424235986195,0.61196363867286,"male_pituitary","eggs"
"LOC426385",0.0737878136914057,1.13201535746674,0.600856537115071,"male_pituitary","eggs"
"PAX7",0.060358852231451,1.2192590272511,0.58864572449817,"male_pituitary","eggs"
"LOC107054798",0.0805543840777986,1.09391081863416,0.570700185058335,"male_pituitary","eggs"
"STEAP1",0.0130266954787682,1.88516573911078,0.561771144241966,"male_pituitary","eggs"
"MYC",0.0223561463681889,1.65060305567231,0.556931415124443,"male_pituitary","eggs"
"SLC12A4",0.0633546092016206,1.19822178365328,0.551843358114067,"male_pituitary","eggs"
"MCPH1",0.0763425644664756,1.1172332555091,0.54685883741124,"male_pituitary","eggs"
"CFD",0.00542351334133075,2.26571928718244,0.511375920219248,"male_pituitary","eggs"
"CPEB2",0.0453109958089404,1.34379639313806,0.51095556970774,"male_pituitary","eggs"
"STC1",0.0195531221086513,1.70878388756214,0.509822134854121,"male_pituitary","eggs"
"KNTC1",0.0138491283825265,1.85857755877071,0.506517275263068,"male_pituitary","eggs"
"SIK1",0.0067228773268979,2.17244481329345,0.506066190663514,"male_pituitary","eggs"
"WDR16",0.0494593819049261,1.3057513153293,0.500120470694735,"male_pituitary","eggs"
"AEN",0.0161596857977173,1.79156708772258,0.492249893634711,"male_pituitary","eggs"
"TMEM52B",0.0209203894904456,1.67943023414622,0.491805345983895,"male_pituitary","eggs"
"LOC422654",0.0216928496172382,1.6636833944241,0.491715954305451,"male_pituitary","eggs"
"ETFB",0.0473032678841758,1.32510885556153,0.484206943261847,"male_pituitary","eggs"
"GFRA1",0.0152692761844993,1.81618154948768,0.478463958632895,"male_pituitary","eggs"
"LIPI",0.0996346398702772,1.00158964461784,0.472249067027755,"male_pituitary","eggs"
"LOC101751749",0.0956853952934215,1.01915434464225,0.46712250868174,"male_pituitary","eggs"
"TMEM107",0.00433746941304117,2.3627635747473,0.467104164766906,"male_pituitary","eggs"
"LOC100858882",0.0336526915432548,1.4729801951655,0.462614222922645,"male_pituitary","eggs"
"PDLIM3",0.010082380912561,1.99643689893334,0.46054443923155,"male_pituitary","eggs"
"UMODL1",0.0110994857877598,1.9546971405567,0.458415080106424,"male_pituitary","eggs"
"FAM19A1",0.00303424527464379,2.5179493157316,0.454177318496917,"male_pituitary","eggs"
"NGF",0.0955574607334786,1.01973539935844,0.453542821382111,"male_pituitary","eggs"
"CREM",0.00173892283204768,2.7597196901994,0.451347220228801,"male_pituitary","eggs"
"LBH",0.0190777274401241,1.71947336018724,0.451324156394715,"male_pituitary","eggs"
"TFPI2",0.0081228784025822,2.09029004799461,0.449305257112162,"male_pituitary","eggs"
"IL18",0.00317075933629621,2.49883672009369,0.447364231200774,"male_pituitary","eggs"
"LOC771758",0.014127077009846,1.84994768739513,0.440042924356656,"male_pituitary","eggs"
"OSGIN1",0.0118066450818149,1.92787349183996,0.436838040535695,"male_pituitary","eggs"
