"gene","padj","logpadj","lfc","sextissue","direction"
"ANXA5",0.0555678072190168,1.25517674072534,1.90527706888802,"male_gonad","inc.d3"
"ATP2B4",0.0859047935058886,1.06598260176744,1.69730522363147,"male_gonad","inc.d3"
"LOC107055658",0.098573560969844,1.00623955427419,1.56022054729278,"male_gonad","inc.d3"
"HIST2H4B",0.0988902716469391,1.00484643012033,1.00708395417406,"male_gonad","inc.d3"
"LOC101748962",0.098573560969844,1.00623955427419,0.995842276284651,"male_gonad","inc.d3"
"SGCZ",0.0634173556564906,1.19779187091406,0.94292176086119,"male_gonad","inc.d3"
"RPL35A",0.0438555010966183,1.3579759223422,0.901007105529218,"male_gonad","inc.d3"
"RPRD1A",0.0912004030791689,1.04000324221246,0.837837587355826,"male_gonad","inc.d3"
"RPL36A",0.0273025447027256,1.56379687314796,0.831754739796808,"male_gonad","inc.d3"
"SIKE1",0.0912004030791689,1.04000324221246,0.773573290133022,"male_gonad","inc.d3"
"RPL34",0.0438555010966183,1.3579759223422,0.621339830030745,"male_gonad","inc.d3"
"RPS14",0.0912004030791689,1.04000324221246,0.61951612446788,"male_gonad","inc.d3"
"PFN3",0.0912004030791689,1.04000324221246,0.613229110675265,"male_gonad","inc.d3"
"C8H1ORF173",0.098573560969844,1.00623955427419,0.587262132251945,"male_gonad","inc.d3"
"RPL30",0.018660058221616,1.72908700553662,0.584686817603508,"male_gonad","inc.d3"
"RPL38",0.0884836158724118,1.05313713828453,0.563697645960824,"male_gonad","inc.d3"
"RPS17",0.0739701395303207,1.13094356208502,0.5446409035807,"male_gonad","inc.d3"
"RPL7",0.056201136028965,1.25025490567428,0.502848563185654,"male_gonad","inc.d3"
"RPL11",0.0438555010966183,1.3579759223422,0.500829912260753,"male_gonad","inc.d3"
"DYNLT1",0.042825302519611,1.36829956047842,0.49998103504228,"male_gonad","inc.d3"
"RPL22",0.065164378082088,1.1859897452196,0.489689601143956,"male_gonad","inc.d3"
"PTTG1",0.0593987155478272,1.22622294620605,0.482417786763999,"male_gonad","inc.d3"
"MRPS22",0.018660058221616,1.72908700553662,0.480881664731752,"male_gonad","inc.d3"
"RPS16",0.0555678072190168,1.25517674072534,0.476232970974413,"male_gonad","inc.d3"
"LSM8",0.0912004030791689,1.04000324221246,0.47436523149794,"male_gonad","inc.d3"
"RBM46",0.064427130343525,1.19093121218504,0.473599389221644,"male_gonad","inc.d3"
"RPL31",0.0884836158724118,1.05313713828453,0.467565185006099,"male_gonad","inc.d3"
"MED10",0.056201136028965,1.25025490567428,0.461978082210413,"male_gonad","inc.d3"
"MRPL27",0.060838036213188,1.21582481295468,0.452014752930567,"male_gonad","inc.d3"
"RPL12",0.0555287689174934,1.25548195480523,0.443967490984575,"male_gonad","inc.d3"
"RPS20",0.098573560969844,1.00623955427419,0.440366685120849,"male_gonad","inc.d3"
"ALDH7A1",0.0540040661082717,1.2675735397714,0.440083392722286,"male_gonad","inc.d3"
"CDC37",0.0555678072190168,1.25517674072534,0.43224062813382,"male_gonad","inc.d3"
"PSMD4",0.0912004030791689,1.04000324221246,0.429913547661096,"male_gonad","inc.d3"
"KATNAL2",0.0555287689174934,1.25548195480523,0.428937445537318,"male_gonad","inc.d3"
"RPS3A",0.056201136028965,1.25025490567428,0.408551537529411,"male_gonad","inc.d3"
"RPL7A",0.098573560969844,1.00623955427419,0.395458976792482,"male_gonad","inc.d3"
"SEC61B",0.098573560969844,1.00623955427419,0.385933252621621,"male_gonad","inc.d3"
"PDAP1",0.0193320718815633,1.71372159871274,0.385854324741112,"male_gonad","inc.d3"
"RPS12",0.0985640176401258,1.00628160222333,0.384005972164461,"male_gonad","inc.d3"
"MRP63",0.098573560969844,1.00623955427419,0.382520621980401,"male_gonad","inc.d3"
"TIMM17A",0.0432218283309575,1.36429686592914,0.382495768590528,"male_gonad","inc.d3"
"EIF3I",0.0634173556564906,1.19779187091406,0.382353772964943,"male_gonad","inc.d3"
"SLC25A26",0.0438555010966183,1.3579759223422,0.381494666056977,"male_gonad","inc.d3"
"TRAPPC2L",0.0992325636522162,1.00334578859385,0.380200389476319,"male_gonad","inc.d3"
"LSM5",0.0555678072190168,1.25517674072534,0.38014719939846,"male_gonad","inc.d3"
"RPL14",0.0844318531132145,1.07349367871196,0.380023661941197,"male_gonad","inc.d3"
"RPL39",0.098573560969844,1.00623955427419,0.379162102886021,"male_gonad","inc.d3"
"C28H19ORF10",0.0273025447027256,1.56379687314796,0.377877229335039,"male_gonad","inc.d3"
"ESD",0.0514334893550064,1.28875401123755,0.374551898946841,"male_gonad","inc.d3"
"FBXO22",0.0912004030791689,1.04000324221246,0.373214662266638,"male_gonad","inc.d3"
"CWC15",0.098573560969844,1.00623955427419,0.368657620671095,"male_gonad","inc.d3"
"ATP6V1G1",0.0438555010966183,1.3579759223422,0.368341021923659,"male_gonad","inc.d3"
"SDF2L1",0.0482605551035946,1.31640768704718,0.356207827199546,"male_gonad","inc.d3"
"PSMA2",0.0739701395303207,1.13094356208502,0.349578811506394,"male_gonad","inc.d3"
"TAF7",0.0634173556564906,1.19779187091406,0.343587747674107,"male_gonad","inc.d3"
"NCBP2",0.0660077970705585,1.18040476105337,0.342613833735955,"male_gonad","inc.d3"
"SNRPB2",0.0593880900294675,1.22630064177132,0.339114273722554,"male_gonad","inc.d3"
"TOMM20",0.098573560969844,1.00623955427419,0.328654167223625,"male_gonad","inc.d3"
"TMA16",0.0992325636522162,1.00334578859385,0.328192271153908,"male_gonad","inc.d3"
"RPL21",0.0884836158724118,1.05313713828453,0.32817919233661,"male_gonad","inc.d3"
"SEC13",0.0884836158724118,1.05313713828453,0.312567630560793,"male_gonad","inc.d3"
"NOP14",0.0617064499402255,1.20966943844576,0.30898879018127,"male_gonad","inc.d3"
"ZMAT2",0.0884836158724118,1.05313713828453,0.305762335166251,"male_gonad","inc.d3"
"PRPF4",0.098573560969844,1.00623955427419,0.296228054638866,"male_gonad","inc.d3"
"ARFRP1",0.0555678072190168,1.25517674072534,0.295053652958029,"male_gonad","inc.d3"
"PSMA3",0.0884836158724118,1.05313713828453,0.292664749201446,"male_gonad","inc.d3"
"SH3GLB1",0.0952773665401049,1.02101025522917,0.288313208082176,"male_gonad","inc.d3"
"HNRNPA2B1",0.0884836158724118,1.05313713828453,0.287440907028951,"male_gonad","inc.d3"
"FGGY",0.0912004030791689,1.04000324221246,0.278521322433871,"male_gonad","inc.d3"
"SBDS",0.098573560969844,1.00623955427419,0.27742226747289,"male_gonad","inc.d3"
"DCK",0.0912004030791689,1.04000324221246,0.271393034616952,"male_gonad","inc.d3"
"PDIA6",0.0978573555588168,1.00940652454309,0.26959896845903,"male_gonad","inc.d3"
"PGD",0.0555287689174934,1.25548195480523,0.265463670802814,"male_gonad","inc.d3"
"VAPA",0.065164378082088,1.1859897452196,0.255387986314184,"male_gonad","inc.d3"
"LOC107051991",0.0912004030791689,1.04000324221246,0.255338790285257,"male_gonad","inc.d3"
"EIF2S3L",0.0555678072190168,1.25517674072534,0.246833646323287,"male_gonad","inc.d3"
"EIF3H",0.0884836158724118,1.05313713828453,0.232916967410853,"male_gonad","inc.d3"
"GLYR1",0.0555287689174934,1.25548195480523,0.214060443694534,"male_gonad","inc.d3"
"CSE1L",0.0555287689174934,1.25548195480523,-0.202404560127801,"male_gonad","lay"
"ZNF711",0.0992325636522162,1.00334578859385,-0.229513076899213,"male_gonad","lay"
"RBBP6",0.0844318531132145,1.07349367871196,-0.284865975047482,"male_gonad","lay"
"NPAT",0.0912004030791689,1.04000324221246,-0.285231243749198,"male_gonad","lay"
"ACOX1",0.0634173556564906,1.19779187091406,-0.287117531320455,"male_gonad","lay"
"NCAPG2",0.098573560969844,1.00623955427419,-0.288872472810385,"male_gonad","lay"
"CHD9",0.0555678072190168,1.25517674072534,-0.289010356833323,"male_gonad","lay"
"LOC100858655",0.0987370235943281,1.00551996862998,-0.293380271834026,"male_gonad","lay"
"B4GALT6",0.0987370235943281,1.00551996862998,-0.294660527034201,"male_gonad","lay"
"C12H3ORF67",0.0912004030791689,1.04000324221246,-0.302796880637335,"male_gonad","lay"
"TEAD1",0.0343573548618638,1.46398027944838,-0.305722938187598,"male_gonad","lay"
"VPS37B",0.0884836158724118,1.05313713828453,-0.321687656467801,"male_gonad","lay"
"LOC107050579",0.0912004030791689,1.04000324221246,-0.330216937193157,"male_gonad","lay"
"LMTK2",0.098573560969844,1.00623955427419,-0.334140281130204,"male_gonad","lay"
"TBC1D8",0.0634173556564906,1.19779187091406,-0.336100263231075,"male_gonad","lay"
"ARHGEF7",0.0658922112515648,1.18116591788517,-0.348560186314315,"male_gonad","lay"
