"gene","padj","logpadj","lfc","sextissue","direction"
"MYH11",0.0645723880576345,1.18995315193898,3.05226907821844,"male_pituitary","hatch"
"TNFRSF1B",0.0360472414546556,1.44312796442194,0.851894037230013,"male_pituitary","hatch"
"FTL",0.00440617104223701,2.35593864807088,0.744784351100473,"male_pituitary","hatch"
"LOC101750767",0.0889703492530782,1.05075470460554,0.56698737600287,"male_pituitary","hatch"
"OLFM1",0.0893289116541212,1.04900795724022,0.496349718785225,"male_pituitary","hatch"
"DNAJB11",0.0888229232697966,1.05147493777065,0.455701134696212,"male_pituitary","hatch"
"FICD",0.0599908770473945,1.22191478877,0.453319612948023,"male_pituitary","hatch"
"SMNDC1",0.0422583021059892,1.37408795642742,0.45150283997728,"male_pituitary","hatch"
"WIPI1",0.0422583021059892,1.37408795642742,0.42008781703962,"male_pituitary","hatch"
"NUCB2",0.0211400862944692,1.67489324422181,0.394330598787884,"male_pituitary","hatch"
"SEPP1",0.00932764674664333,2.03022790972148,0.383943352832583,"male_pituitary","hatch"
"NABP1",0.0893289116541212,1.04900795724022,0.361836071371173,"male_pituitary","hatch"
"CETN1",0.0414942427672707,1.38201215648924,0.338064576069489,"male_pituitary","hatch"
"KIAA1324L",0.0736486476571536,1.13283522330102,0.282623607700357,"male_pituitary","hatch"
"MEGF11",0.0930023179239394,1.03150622726293,-0.489703799577902,"male_pituitary","inc.d17"
"TUBE1",0.0930023179239394,1.03150622726293,-0.511341120771604,"male_pituitary","inc.d17"
"FLRT2",0.031735906852112,1.49844908722741,-0.529759357457436,"male_pituitary","inc.d17"
"TSPAN2",0.0471922586217729,1.3261292368232,-0.637707600757869,"male_pituitary","inc.d17"
"QKI",0.00823594943107601,2.08428632862419,-0.76450284993295,"male_pituitary","inc.d17"
"MBP",0.00478090879909252,2.32048954085318,-0.789850875216075,"male_pituitary","inc.d17"
"PCDH15",0.0302884117884232,1.51872349885624,-0.7987779345909,"male_pituitary","inc.d17"
"GJC2",0.0471922586217729,1.3261292368232,-0.841950613418246,"male_pituitary","inc.d17"
"DAAM2",0.0189306703850818,1.72283400624822,-0.931813345712888,"male_pituitary","inc.d17"
"OLFML1",0.0930023179239394,1.03150622726293,-1.05771165510316,"male_pituitary","inc.d17"
"KBP",0.00501665507118207,2.29958575861587,-1.08947644295976,"male_pituitary","inc.d17"
"COL6A6",0.0115145687882251,1.93875232139067,-1.14550130731904,"male_pituitary","inc.d17"
"MPP2",0.0945066310823275,1.02453771803646,-1.18304900543871,"male_pituitary","inc.d17"
"LOC100859848",0.00754067385590915,2.12258984261478,-1.29312492519712,"male_pituitary","inc.d17"
