"gene","padj","logpadj","lfc","sextissue","direction"
"DDX25",8.59165265358421e-05,4.06592328910273,5.80356250473722,"female_gonad","prolong"
"CCDC178",0.000551390434059342,3.2585407726359,5.29829642468441,"female_gonad","prolong"
"LOC107054772",0.0124656477533904,1.90428514929708,5.26440363451401,"female_gonad","prolong"
"RAB6A",0.0796380846477295,1.09887919360853,5.11560959835545,"female_gonad","prolong"
"MEIG1",0.000346792578812688,3.45993020478055,4.78884324192176,"female_gonad","prolong"
"LRRC71",9.71868319900325e-05,4.0123925743893,4.71033624068968,"female_gonad","prolong"
"CCDC67",1.48875720203369e-06,5.82717612455472,4.6680577483661,"female_gonad","prolong"
"SH3BGR",0.0321612274480555,1.49266738455839,4.52279198782486,"female_gonad","prolong"
"TTLL3",6.09652923126257e-06,5.21491733952926,4.45843273713382,"female_gonad","prolong"
"TEKT5",5.32667768209021e-07,6.27354358163167,4.41527287524386,"female_gonad","prolong"
"TEKT2",5.13172197459477e-08,7.2897368807792,4.40928613599187,"female_gonad","prolong"
"MUC6",0.0119601890218965,1.92226195659193,4.39548816797296,"female_gonad","prolong"
"LRRC48",6.80116789269916e-08,7.16741650408739,4.36566527809014,"female_gonad","prolong"
"LOC107053409",0.018852013898364,1.7246422487352,4.32871676481586,"female_gonad","prolong"
"WDR27",1.11754254284118e-07,6.95173593506897,4.25556795779871,"female_gonad","prolong"
"FBXO16",2.99289899951091e-07,6.52390793892166,4.17136183867478,"female_gonad","prolong"
"LRRC46",5.74304470999734e-08,7.24085780269332,4.09536561259408,"female_gonad","prolong"
"MORN5",0.000865389545502433,3.06278835567997,4.0365670553944,"female_gonad","prolong"
"FLRT1",0.00486936684708329,2.31252750545771,4.00657751968257,"female_gonad","prolong"
"C10H15ORF60",0.00108210487094403,2.96573064804158,3.9702774666881,"female_gonad","prolong"
"CHCHD6",0.00184409327817156,2.73421711518552,3.96730162450081,"female_gonad","prolong"
"LOC428593",0.026623475399869,1.57473525282577,3.93510092425154,"female_gonad","prolong"
"CCDC36",1.48875720203369e-06,5.82717612455472,3.93126295821922,"female_gonad","prolong"
"GLRA1",0.00378630079610079,2.42178488722969,3.91469970464338,"female_gonad","prolong"
"WFDC2",0.00312400471632865,2.50528831913726,3.89272216820005,"female_gonad","prolong"
"ZIC4",5.48141284361748e-07,6.26110748693477,3.88849920722551,"female_gonad","prolong"
"LOC107049480",0.0492108436934414,1.30793918915684,3.85688627420765,"female_gonad","prolong"
"ANKEF1",4.79980826665732e-06,5.31877611062354,3.85156290493319,"female_gonad","prolong"
"PKD2L2",0.000541827470592039,3.2661389800631,3.84584772207703,"female_gonad","prolong"
"VPS29L",7.1363349214801e-06,5.14652477590528,3.77286620935235,"female_gonad","prolong"
"GDPD4",0.00222210748361001,2.65323493801002,3.74294566471439,"female_gonad","prolong"
"LOC101750842",0.00273515828636782,2.56301753554373,3.72842867860568,"female_gonad","prolong"
"LOC107051647",1.55572140631162e-07,6.80806817247121,3.70888937314912,"female_gonad","prolong"
"LOC107053040",0.0016150312387801,2.7918190729003,3.70409820284336,"female_gonad","prolong"
"SLC25A48",1.48875720203369e-06,5.82717612455472,3.68085445717307,"female_gonad","prolong"
"LOC425001",0.000594353690755126,3.22595503611323,3.67554201136298,"female_gonad","prolong"
"GPR174",5.48141284361748e-07,6.26110748693477,3.651392195697,"female_gonad","prolong"
"C20ORF96",0.00287155648914057,2.54188263587568,3.63900013478306,"female_gonad","prolong"
"CCDC122",0.00842545749284522,2.07440650811551,3.6138479165313,"female_gonad","prolong"
"ANKRD31",0.0758034914611507,1.12031079057651,3.60090756295848,"female_gonad","prolong"
"ISL2",0.00767596097561649,2.11486724187267,3.60072919516789,"female_gonad","prolong"
"DNAH1",0.0920111113775694,1.03615972353945,3.59211973508915,"female_gonad","prolong"
"ERICH6B",0.00587925021757462,2.23067805608929,3.57977492593385,"female_gonad","prolong"
"LOC101748951",0.00302097381796993,2.51985303863286,3.5418223633861,"female_gonad","prolong"
"LOC107052432",0.0112152459658254,1.95019119729908,3.5334219818822,"female_gonad","prolong"
"NKX3-1",2.36545102293023e-06,5.62608603966418,3.48014687877608,"female_gonad","prolong"
"CDC20B",5.1475828842899e-05,4.28839665182019,3.46467982658628,"female_gonad","prolong"
"TEKT3",9.31374656425893e-09,8.0308755838009,3.46145698906436,"female_gonad","prolong"
"TNKS",6.48709282759869e-05,4.18794988745201,3.41701673184889,"female_gonad","prolong"
"OMP",0.0297750832807756,1.52614701512375,3.40535929678846,"female_gonad","prolong"
"LOC107051069",0.00544952032913372,2.26364172296707,3.40138650219034,"female_gonad","prolong"
"CCDC147",2.70928445409538e-06,5.56714539498214,3.3013015733157,"female_gonad","prolong"
"TSGA10",5.13172197459477e-08,7.2897368807792,3.27189402267137,"female_gonad","prolong"
