"gene","padj","logpadj","lfc","sextissue","direction"
"BPIFB2",0.00379008249879425,2.4213513366332,6.51026688040423,"female_gonad","m.inc.d17"
"OVALX",0.021407282968448,1.66943845025296,6.12901710549291,"female_gonad","m.inc.d17"
"OVALY",0.0133749172191348,1.8737088972607,6.09843546756056,"female_gonad","m.inc.d17"
"LOC101748705",0.0175932363534106,1.75465426280843,5.6116746869784,"female_gonad","m.inc.d17"
"WFIKKN2",0.0888472287264508,1.05135611392036,4.90538286737648,"female_gonad","m.inc.d17"
"OVST",0.0494403197759896,1.30591872892857,3.38642956548626,"female_gonad","m.inc.d17"
"CDC20B",0.00102770849443639,2.98813005383366,3.13397019504519,"female_gonad","m.inc.d17"
"LOC107056065",0.0498722791723291,1.30214078399043,2.2534201900835,"female_gonad","m.inc.d17"
"OASL",0.0122477979013175,1.91194198846482,2.15874234982723,"female_gonad","m.inc.d17"
"GMNC",0.0051052992840319,2.29197879351954,2.13324738051541,"female_gonad","m.inc.d17"
"IFI6",0.097265194468023,1.01204254056099,1.89372800834706,"female_gonad","m.inc.d17"
"MX1",0.0444410609677067,1.35221558143863,1.83928973763823,"female_gonad","m.inc.d17"
"VWA5A",0.03111430714089,1.50703986552118,1.77476586562712,"female_gonad","m.inc.d17"
"LOC421125",0.0620491264442387,1.20726432831702,1.6912292150247,"female_gonad","m.inc.d17"
"ZNF804B",0.0107397992297118,1.96900383728109,1.6801996306944,"female_gonad","m.inc.d17"
"LSS",1.06771244079631e-10,9.9715456969246,1.33538179895452,"female_gonad","m.inc.d17"
"CENPA",0.041168606722418,1.38543383067083,1.27552769159502,"female_gonad","m.inc.d17"
"MARCH3",0.00844770578344921,2.07326122014757,1.27519515671114,"female_gonad","m.inc.d17"
"WFIKKN1",0.0997699055126919,1.00100043908103,1.21582110881252,"female_gonad","m.inc.d17"
"CENPK",0.0283370738190185,1.54764499847338,1.2158209405085,"female_gonad","m.inc.d17"
"AFF3",0.0780491705733238,1.10763170781415,1.2036086085144,"female_gonad","m.inc.d17"
"CYP19A1",0.0820173525931762,1.08609425324813,1.20189124530539,"female_gonad","m.inc.d17"
"NWD2",0.0284110904361404,1.54651209745234,1.18209680309388,"female_gonad","m.inc.d17"
"INCENP",0.00614848059169615,2.21123219352032,1.17356960224664,"female_gonad","m.inc.d17"
"NCAPH",0.000618710486052986,3.20851252339109,1.16998363691573,"female_gonad","m.inc.d17"
"IGF1",0.0259554037077131,1.58577221176034,1.16843745777945,"female_gonad","m.inc.d17"
