"gene","padj","logpadj","lfc","sextissue","direction"
"BPIFB2",0.00508604932515843,2.29361943229632,6.45792571585135,"female_gonad","m.n2"
"OVALY",0.0386462481436216,1.41289266189088,5.53991885564922,"female_gonad","m.n2"
"WFIKKN2",0.0755756149355952,1.12161831041479,5.28773455265561,"female_gonad","m.n2"
"LOC101748705",0.0400579760507259,1.39731099743402,5.24287859650482,"female_gonad","m.n2"
"CDC20B",2.39127328013945e-05,4.62137078888858,3.95155748897704,"female_gonad","m.n2"
"GMNC",0.000956031781333305,3.01952767024664,2.45134496334714,"female_gonad","m.n2"
"GCGR",0.0720593581565023,1.14230961052223,1.73989645998993,"female_gonad","m.n2"
"CPNE7",0.0109142580477163,1.96200578233092,1.60550878421793,"female_gonad","m.n2"
"NMUR2",0.071852579520715,1.14355763599874,1.323915417904,"female_gonad","m.n2"
"LOC101749287",0.00769283607256983,2.11391352188916,1.32364967018075,"female_gonad","m.n2"
"PPAT",0.00132270204833563,2.87853797390531,1.27855914140528,"female_gonad","m.n2"
"PSD2",0.0554479355011599,1.25611461934612,1.25629257385401,"female_gonad","m.n2"
"CENPK",0.0306403389585682,1.51370643463273,1.24804682428079,"female_gonad","m.n2"
"B4GALNT4",0.00616295433977795,2.21021104986724,1.23947062387175,"female_gonad","m.n2"
"LSS",3.44784409988173e-08,7.4624523797649,1.232541313882,"female_gonad","m.n2"
"SQLE",0.00321561143823925,2.49273643517972,1.22113025892803,"female_gonad","m.n2"
"IGF1",0.0312754012668343,1.50479710955288,1.18039128871207,"female_gonad","m.n2"
"E2F7",0.0268343258704216,1.57130931054775,1.15027243716699,"female_gonad","m.n2"
"NSDHL",9.55795871709433e-06,5.01963484962364,1.1459531596491,"female_gonad","m.n2"
"MCM10",0.00180998746949472,2.742324431732,1.06862315683478,"female_gonad","m.n2"
"NPY",0.0831524233149826,1.08012508959552,1.05030654560516,"female_gonad","m.n2"
"UBE2T",0.0820100195919797,1.08613308435193,1.04983922506182,"female_gonad","m.n2"
"FLVCR1",0.0252165632369747,1.59831410368379,1.01737589100175,"female_gonad","m.n2"
"KNTC1",0.000555280247749184,3.25548777483664,1.01531852404853,"female_gonad","m.n2"
"QSOX1",0.0820100195919797,1.08613308435193,1.00591208535282,"female_gonad","m.n2"
"TYMS",0.0109146462811128,1.9619903342242,1.00324772896592,"female_gonad","m.n2"
"CDCA7L",0.000388034654422693,3.4111294868994,1.00322071397439,"female_gonad","m.n2"
"DHCR24",9.91079958656352e-07,6.0038913059563,0.995994840919403,"female_gonad","m.n2"
"PIANP",0.0741592703370748,1.12983455192371,0.995041628965344,"female_gonad","m.n2"
"SLC7A3",0.00994640650871839,2.00233379516558,0.994799334489516,"female_gonad","m.n2"
"MCM6",3.83526205237074e-05,4.4162049566145,0.993515564294592,"female_gonad","m.n2"
"FANCD2",0.000759006232462315,3.11975465794789,0.99259254051416,"female_gonad","m.n2"
"DNMT3B",0.0561896143157996,1.25034394888205,0.975799118103094,"female_gonad","m.n2"
"MCM3",7.2425972674859e-05,4.14010566354585,0.972562111771654,"female_gonad","m.n2"
"ELOVL6",0.0552822630335546,1.2574141870002,0.965974728042575,"female_gonad","m.n2"
"MST1",0.0972876013345982,1.01194250418255,0.961868900783788,"female_gonad","m.n2"
"MSMO1",3.73284370206498e-05,4.42796019404149,0.961080881475811,"female_gonad","m.n2"
"GALNT14",0.00791281400209006,2.1016690426404,0.950680572602707,"female_gonad","m.n2"
"NPM3",0.0675923332431278,1.17010256173633,0.938656734444187,"female_gonad","m.n2"
"RRM2",0.000117374247822273,3.93042717783708,0.925835759836318,"female_gonad","m.n2"
"LMNB2",0.0600882126374167,1.22121071416369,0.925662220422059,"female_gonad","m.n2"
"NCAPH",0.0146781037502558,1.83333004687182,0.922126181863848,"female_gonad","m.n2"
"INCENP",0.0633187973125558,1.19846734279075,0.906331797284163,"female_gonad","m.n2"
"ZNF367",0.000163722310672601,3.78589213462732,0.905469590577853,"female_gonad","m.n2"
"A2ML3",0.0997605850899093,1.00104101241069,0.905231011829263,"female_gonad","m.n2"
"STEAP1",0.0843785688334723,1.07376784507166,0.900195542006868,"female_gonad","m.n2"
"POU3F2",0.0937165330787726,1.0281837859373,0.897502111752353,"female_gonad","m.n2"
"TK1",0.0149457301073336,1.82548286457644,0.89650878300748,"female_gonad","m.n2"
"NUP210",0.0141651023643453,1.84878028269599,0.893536673392594,"female_gonad","m.n2"
