"gene","padj","logpadj","lfc","sextissue","direction"
"LOC107053414",0.0327794342394188,1.48439854645859,6.77720955796179,"female_gonad","prolong"
"OVALX",0.0162581361723066,1.78892924327321,6.31357484177124,"female_gonad","prolong"
"ERICH6B",6.76818634154296e-06,5.16952769281924,5.85280422481533,"female_gonad","prolong"
"PKD2L2",4.27676162099658e-07,6.36888495586218,5.77106075021542,"female_gonad","prolong"
"CCDC122",2.11081558697921e-05,4.67554970750512,5.7685436625829,"female_gonad","prolong"
"MUC6",0.0021065406061939,2.67643016488939,5.4327752966573,"female_gonad","prolong"
"ANKRD31",0.0068685776503149,2.1631331876237,5.36370315340813,"female_gonad","prolong"
"LOC107054772",0.0156716521492435,1.80488521658329,5.10744614308422,"female_gonad","prolong"
"CCDC178",0.00148931113973149,2.82701456205136,4.92985436814883,"female_gonad","prolong"
"LOC107053409",0.00770834096736331,2.11303908320064,4.87770873290037,"female_gonad","prolong"
"LOC107051069",0.00020361423467274,3.69119186374331,4.37972019516037,"female_gonad","prolong"
"SH3BGR",0.0487178176128246,1.31231217480737,4.20040024454617,"female_gonad","prolong"
"RHCG",0.00456505445074091,2.34055403795109,4.18263563023682,"female_gonad","prolong"
"GABRR1",0.00144417738604481,2.84037945977952,4.1712889543259,"female_gonad","prolong"
"DMRT1",8.53596101498379e-07,6.0687475770672,4.12498234580317,"female_gonad","prolong"
"TEKT5",1.00906598569684e-05,4.9960804330822,4.09331751958216,"female_gonad","prolong"
"NPY6R",3.53279593699213e-06,5.45188144776124,4.06109621324178,"female_gonad","prolong"
"MARCH11",5.51893879427136e-07,6.25814442228871,3.97016329326708,"female_gonad","prolong"
"SEPT10",0.0154815058711536,1.81018679819286,3.95130976641727,"female_gonad","prolong"
"DDX25",0.014225101326388,1.84694463141202,3.88853785714046,"female_gonad","prolong"
"LOC101750842",0.00210924650823848,2.67587266117489,3.84815323030689,"female_gonad","prolong"
"LOC428593",0.0291428866758463,1.53546743248025,3.84794281745043,"female_gonad","prolong"
"DMRT3",0.0200227805558337,1.69847561236103,3.82501342963046,"female_gonad","prolong"
"C10H15ORF60",0.000822877008311738,3.08466507196046,3.74443621258244,"female_gonad","prolong"
"NKX3-1",5.51893879427136e-07,6.25814442228871,3.7284410063347,"female_gonad","prolong"
"OPNVA",0.00144417738604481,2.84037945977952,3.70353347427686,"female_gonad","prolong"
"MUC",0.0482754795274871,1.31627340361574,3.68478995147698,"female_gonad","prolong"
"SLC25A48",2.41647436457053e-06,5.61681780776061,3.65387044745968,"female_gonad","prolong"
"FLRT1",0.00674685302374132,2.17089875059369,3.63798944048034,"female_gonad","prolong"
"SGOL2",0.00651986044022766,2.18576170038583,3.57357997975387,"female_gonad","prolong"
"SLC5A7",0.00865808122449865,2.06257834423479,3.55944817238683,"female_gonad","prolong"
"IGFALS",0.0368923853624318,1.433063263552,3.55760245117408,"female_gonad","prolong"
"PDZK1",0.011968592651533,1.92195691388821,3.55612699707891,"female_gonad","prolong"
"TNKS",5.8024393302801e-05,4.23638939178757,3.51691272786413,"female_gonad","prolong"
"CCDC67",0.000930130509394453,3.03145611001249,3.51383144243723,"female_gonad","prolong"
"WDR27",2.27345643886181e-05,4.64331336278862,3.51321180559448,"female_gonad","prolong"
"OTOR",0.00414295412779283,2.38268987533235,3.51078236310827,"female_gonad","prolong"
"DMRTB1",0.000110775729109971,3.95555538282291,3.48104060747333,"female_gonad","prolong"
"GLRA1",0.00567197618091365,2.24626560161192,3.47895275117002,"female_gonad","prolong"
"CDC20B",0.000141703613451821,3.84861907507239,3.44983976891434,"female_gonad","prolong"
"LOC415939",0.00314748748826121,2.50203598760292,3.43755539556895,"female_gonad","prolong"
"IL5RA",0.060403518222246,1.21893776502111,3.42161084065792,"female_gonad","prolong"
"GDPD4",0.00242239097498463,2.61575576021242,3.35842881523198,"female_gonad","prolong"
"HPD",0.000284316425289567,3.546198049889,3.31867372830266,"female_gonad","prolong"
"MEIG1",0.0123926297616811,1.90683652495563,3.27596102171699,"female_gonad","prolong"
"LOC425001",0.000940048057209477,3.02684994379669,3.25785411667149,"female_gonad","prolong"
"TSGA10",3.83682547649622e-07,6.41602795485914,3.23983147515981,"female_gonad","prolong"
"CYP2J2L1",9.27013657124018e-05,4.03291386761396,3.21471155041891,"female_gonad","prolong"
"LOC100858077",2.07106543472519e-06,5.68380617947876,3.20823070466616,"female_gonad","prolong"
"LOC107055022",0.000258489886532072,3.58755644409513,3.18376145713241,"female_gonad","prolong"
"GAREML",0.0927864321299888,1.03251552466339,3.17979719289719,"female_gonad","prolong"
"LOC772075",0.000730611724181214,3.13631336291201,3.17363419492591,"female_gonad","prolong"
"CDX4",0.0619348700923057,1.20806476899646,3.16663248756565,"female_gonad","prolong"
"LOC101748426",2.91390422172572e-06,5.53552472732911,3.1644889392438,"female_gonad","prolong"
"CCDC36",0.000210990202242925,3.67573771157732,3.15958182915152,"female_gonad","prolong"
"ZIC4",9.27013657124018e-05,4.03291386761396,3.15031383320307,"female_gonad","prolong"
"LOC107052987",1.21163438866154e-06,5.9166284089988,3.14458718001359,"female_gonad","prolong"
