"gene","padj","logpadj","lfc","sextissue","direction"
"TDRD1",0.0880010076537,1.05551235494147,1.4461544155309,"female_hypothalamus","m.inc.d8"
"FANCA",0.0387811464495334,1.41137935643971,0.861456567101528,"female_hypothalamus","m.inc.d8"
"BRCA2",0.0302455960194334,1.51933785286929,0.813314978255071,"female_hypothalamus","m.inc.d8"
"CD109",0.0213602324551985,1.67039402535787,0.49386547465448,"female_hypothalamus","m.inc.d8"
"LOC424892",0.0529819634146896,1.27587195158115,0.387394154236279,"female_hypothalamus","m.inc.d8"
"PIK3CG",0.0302455960194334,1.51933785286929,0.264469963905091,"female_hypothalamus","m.inc.d8"
"FIG4",0.0936550167047241,1.02846895433973,0.199487140133633,"female_hypothalamus","m.inc.d8"
"UBAC1",0.0880010076537,1.05551235494147,-0.155694885681963,"female_hypothalamus","m.inc.d9"
"PTEN",0.0783682612656423,1.10585978869353,-0.166876674543693,"female_hypothalamus","m.inc.d9"
"ZFYVE9",0.0498593267461442,1.30225359010037,-0.198476139355978,"female_hypothalamus","m.inc.d9"
"HSPH1",0.0302455960194334,1.51933785286929,-0.221909567577996,"female_hypothalamus","m.inc.d9"
"NKRF",0.0912843041007407,1.03960389090434,-0.222605935293938,"female_hypothalamus","m.inc.d9"
"ST13",0.033497199041675,1.47499150614528,-0.232762400000861,"female_hypothalamus","m.inc.d9"
"LOC768374",0.0148533136361117,1.82817664847861,-0.241702654247345,"female_hypothalamus","m.inc.d9"
"FKBP4",0.00155380996078228,2.80860209881085,-0.260832783661259,"female_hypothalamus","m.inc.d9"
"NEBL",0.0758940659387122,1.11979217971481,-0.268417992261831,"female_hypothalamus","m.inc.d9"
"HSPD1",0.0222072923071089,1.6535043909233,-0.269965273535114,"female_hypothalamus","m.inc.d9"
"FAM69B",0.0805497404515502,1.09393585463199,-0.28786937396558,"female_hypothalamus","m.inc.d9"
"ADARB1",0.00524354980359539,2.2803746026813,-0.288467883534398,"female_hypothalamus","m.inc.d9"
"AHSA1",0.00618508752347214,2.20865415040963,-0.29099997348677,"female_hypothalamus","m.inc.d9"
"JMJD6",0.0291000385561734,1.53610643559408,-0.297081847687499,"female_hypothalamus","m.inc.d9"
"NUDCD2",0.0879278907038878,1.05587334497735,-0.308226694071708,"female_hypothalamus","m.inc.d9"
"HSP90AA1",0.0302455960194334,1.51933785286929,-0.310579105868263,"female_hypothalamus","m.inc.d9"
"RGS9BP",0.0768123057530536,1.11456919803451,-0.334426711302224,"female_hypothalamus","m.inc.d9"
"HSPA2",6.38305953534131e-05,4.19497110484959,-0.355827151860655,"female_hypothalamus","m.inc.d9"
"HSP90B1",0.00192196013765092,2.71625562404404,-0.386108455445477,"female_hypothalamus","m.inc.d9"
