"gene","padj","logpadj","lfc","sextissue","direction"
"FANCL",0.0723520268491287,1.14054929817227,0.605386708003112,"female_hypothalamus","m.n2"
"TMEM164",0.0961060184811796,1.01724941450292,0.359833447319395,"female_hypothalamus","m.n2"
"NTRK2",0.0517635897823957,1.28597561316189,0.307206840290575,"female_hypothalamus","m.n2"
"SLC1A3",0.0614603718650033,1.21140481637983,0.236144994613684,"female_hypothalamus","m.n2"
"FCHSD2",0.0517635897823957,1.28597561316189,-0.235021795150757,"female_hypothalamus","m.inc.d9"
"LUZP1",0.0954555303456165,1.02019890510156,-0.289057831009397,"female_hypothalamus","m.inc.d9"
"ZNF521",0.0558501093155218,1.25297597250215,-0.360482513784266,"female_hypothalamus","m.inc.d9"
"GRIK1",0.0723520268491287,1.14054929817227,-0.366070730622559,"female_hypothalamus","m.inc.d9"
"SYT13",0.0599328848683716,1.22233481704303,-0.38158649438289,"female_hypothalamus","m.inc.d9"
"CCDC126",0.00368639815636028,2.433397759792,-0.488249619358546,"female_hypothalamus","m.inc.d9"
"SPTSSB",0.0287302709009992,1.54166027897657,-0.535234318399082,"female_hypothalamus","m.inc.d9"
"AC025263.3",0.00668480457321631,2.17491128458964,-0.5356174273491,"female_hypothalamus","m.inc.d9"
"CHGB",0.0187140570551364,1.72783205078669,-0.558866092971686,"female_hypothalamus","m.inc.d9"
"PLEKHF1",0.0997225359539335,1.00120668587629,-0.573776388323327,"female_hypothalamus","m.inc.d9"
"RELN",0.0454193092174306,1.34275947525366,-0.592694499504979,"female_hypothalamus","m.inc.d9"
"INADL",0.0542492206790166,1.26560649632245,-0.622030502420182,"female_hypothalamus","m.inc.d9"
"GJD2",0.0258334362037281,1.58781782282151,-0.680652693584726,"female_hypothalamus","m.inc.d9"
"PAK1",0.00225503418133334,2.64684687079181,-0.734013566621513,"female_hypothalamus","m.inc.d9"
"CPXM2",0.037001364897504,1.43178225548648,-0.751255240734425,"female_hypothalamus","m.inc.d9"
"FZD10",0.0628109557505127,1.20196459818937,-0.914729681209209,"female_hypothalamus","m.inc.d9"
"LOC101751638",0.0954555303456165,1.02019890510156,-0.922835568616898,"female_hypothalamus","m.inc.d9"
"CALB2",0.066518324092216,1.17705870122449,-1.02447504123402,"female_hypothalamus","m.inc.d9"
"KCNK9",0.0165925554214387,1.78008672307963,-1.077562051685,"female_hypothalamus","m.inc.d9"
"SLITRK6",0.00605785888872024,2.21768084730622,-1.09478192845849,"female_hypothalamus","m.inc.d9"
"GABRR1",0.0470271947747045,1.32765092663776,-1.10242617667446,"female_hypothalamus","m.inc.d9"
"TCF7L2",0.066794280956018,1.1752607209911,-1.21944541187084,"female_hypothalamus","m.inc.d9"
"IRX2",0.0628109557505127,1.20196459818937,-1.42238355421052,"female_hypothalamus","m.inc.d9"
"CMTM8",0.0266031906484528,1.57506627322165,-1.42533156756725,"female_hypothalamus","m.inc.d9"
"ALDH1A1",0.0158560869807023,1.79980398047135,-1.5133427842697,"female_hypothalamus","m.inc.d9"
"CBLN2",0.000698323758513603,3.15594318205202,-1.54491366229189,"female_hypothalamus","m.inc.d9"
"NPY6R",0.0517635897823957,1.28597561316189,-1.55035104279005,"female_hypothalamus","m.inc.d9"
"ZNF385B",4.63889693342275e-06,5.33358527648814,-1.64380421965938,"female_hypothalamus","m.inc.d9"
"SHOX2",0.0961060184811796,1.01724941450292,-1.76366399988804,"female_hypothalamus","m.inc.d9"
"TPH1",0.00668480457321631,2.17491128458964,-2.14083006333824,"female_hypothalamus","m.inc.d9"
"DMBX1",0.0744308052047479,1.12824728271326,-2.39016042362474,"female_hypothalamus","m.inc.d9"
"KBP",9.41067612120146e-06,5.02637917304901,-2.43252547911636,"female_hypothalamus","m.inc.d9"
"C7ORF72",0.00368639815636028,2.433397759792,-2.56004643904335,"female_hypothalamus","m.inc.d9"
"LHX3",0.0409687362924053,1.38754743193896,-4.05899403617416,"female_hypothalamus","m.inc.d9"
"RGR",8.3699351036524e-07,6.07727790929885,-4.22182007998379,"female_hypothalamus","m.inc.d9"
"PDE6H",9.31744186037827e-05,4.03070330850658,-4.38083943411735,"female_hypothalamus","m.inc.d9"
"BAIAP2L2",4.63889693342275e-06,5.33358527648814,-5.42033292429708,"female_hypothalamus","m.inc.d9"
"BARHL1",0.0954555303456165,1.02019890510156,-6.07895242027829,"female_hypothalamus","m.inc.d9"
