"gene","padj","logpadj","lfc","sextissue","direction"
"SHOX",0.000694596969387914,3.15826711590141,4.62628197661734,"female_hypothalamus","hatch"
"LOC107057165",0.00151902349665104,2.81843550830511,4.54667200842111,"female_hypothalamus","hatch"
"RBP4B",0.00949349825222898,2.0225737252242,4.4519417922473,"female_hypothalamus","hatch"
"OVALY",0.0306934053744474,1.51295492475535,4.43099035476114,"female_hypothalamus","hatch"
"PDC",0.0095523941112618,2.01988776778764,4.09273791850549,"female_hypothalamus","hatch"
"LHX3",0.000571673574100575,3.24285188280331,3.99013071401531,"female_hypothalamus","hatch"
"IRX5",0.000575855525880489,3.23968646133904,3.70620660432454,"female_hypothalamus","hatch"
"ZNRF4",0.0474891127484168,1.32340594438021,3.19825195111667,"female_hypothalamus","hatch"
"LOC107054855",7.28960173987199e-08,7.1372961982802,3.10102621215353,"female_hypothalamus","hatch"
"PITX2",0.00012829561490482,3.89178818739113,3.0874031412851,"female_hypothalamus","hatch"
"SPIRE1L",0.0247138737681224,1.60705917591469,2.94176976164125,"female_hypothalamus","hatch"
"FSCN2",0.0668217367501277,1.17508224089192,2.86525718577793,"female_hypothalamus","hatch"
"SHOX2",3.18702113982474e-07,6.49661505579869,2.84944037095639,"female_hypothalamus","hatch"
"NPVF",0.00198166667519889,2.70296939389506,2.83524617470369,"female_hypothalamus","hatch"
"ABCB5",0.0470242614235409,1.32767801687699,2.82317813843031,"female_hypothalamus","hatch"
"LOC100858447",0.0899542874357269,1.04597813231506,2.81727108093133,"female_hypothalamus","hatch"
"LOC107056859",0.0540547357446259,1.26716625143016,2.8086194830203,"female_hypothalamus","hatch"
"LOC101748683",0.0658807881953086,1.18124121358811,2.75758209228952,"female_hypothalamus","hatch"
"LOC101747522",0.0306934053744474,1.51295492475535,2.71010597288749,"female_hypothalamus","hatch"
"PDE6H",0.00330040215479069,2.48143313801143,2.706627957172,"female_hypothalamus","hatch"
"CLCNKB",0.0039892407721889,2.3991097508856,2.70178983024486,"female_hypothalamus","hatch"
"LOC101747500",0.011552432563361,1.9373265579701,2.66293734322195,"female_hypothalamus","hatch"
"FSHB",0.0162208875382641,1.7899253867201,2.65523486895117,"female_hypothalamus","hatch"
"MATN1",2.91508903179499e-05,4.53534817660761,2.63759583299548,"female_hypothalamus","hatch"
"STX3",0.0570035629559665,1.2440979982967,2.63576384917964,"female_hypothalamus","hatch"
"NIPAL4",0.000841422218489573,3.07498602424199,2.54048987268475,"female_hypothalamus","hatch"
"PMCH",0.000206229768715154,3.68564864528145,2.44920509004382,"female_hypothalamus","hatch"
"CAPN2",1.08440052299271e-08,7.96481028163674,2.44623682940199,"female_hypothalamus","hatch"
"DRD3",1.31793044258282e-05,4.8801075102273,2.4450332277872,"female_hypothalamus","hatch"
"LOC100859777",0.00813538103995183,2.08962210103407,2.32503255993653,"female_hypothalamus","hatch"
"CALCA",7.28789889902333e-05,4.13739766071959,2.32143592637021,"female_hypothalamus","hatch"
"QRFP",0.0203578767500685,1.69126751925345,2.30854977720591,"female_hypothalamus","hatch"
"LOC107052725",0.092723383320094,1.03281073008113,2.28597641866426,"female_hypothalamus","hatch"
"PAX7",0.0275658202398519,1.55962908026283,2.27023294908924,"female_hypothalamus","hatch"
"IRX3",0.00288600263023871,2.539703277436,2.26540590940379,"female_hypothalamus","hatch"
"IRX2",2.61756480099723e-07,6.58210255802843,2.2103411252538,"female_hypothalamus","hatch"
"RASL10A",0.00372405197426022,2.42898426647241,2.19844707393956,"female_hypothalamus","hatch"
"LOC100858260",0.0262461470618141,1.58093444207167,2.18000279799954,"female_hypothalamus","hatch"
"DIO3",0.00931626860693813,2.03075799836521,2.17628489748053,"female_hypothalamus","hatch"
"HAPLN4",1.08440052299271e-08,7.96481028163674,2.10247431185903,"female_hypothalamus","hatch"
"WNT8B",0.0117863248834953,1.92862159198984,2.09562367000647,"female_hypothalamus","hatch"
"ALDH1A1",2.61756480099723e-07,6.58210255802843,2.06791993997431,"female_hypothalamus","hatch"
"PRDM13",0.0332007450359603,1.47885217047139,2.04800871560657,"female_hypothalamus","hatch"
"BAIAP2L2",0.0588140212107636,1.23051912615923,2.04000585940294,"female_hypothalamus","hatch"
"IGLL1",0.0946289845930388,1.02397582003786,2.00264390304003,"female_hypothalamus","hatch"
"IRX4",0.0482026552074347,1.3169290383135,1.9882729219779,"female_hypothalamus","hatch"
"RGR",0.00979958290479688,2.00879240859322,1.98240375647012,"female_hypothalamus","hatch"
"WNT2",7.39844917559191e-06,5.13085930527811,1.96519943554271,"female_hypothalamus","hatch"
"NR5A1",0.0812598336547986,1.09012407104329,1.96423562154247,"female_hypothalamus","hatch"
"GUCA1B",0.064020338136895,1.19368203636808,1.95429053157622,"female_hypothalamus","hatch"
"LOC107050953",0.0546690113275565,1.26225878012105,1.9512750454379,"female_hypothalamus","hatch"
"TPPP2",0.00227204267133539,2.64358351638027,1.93174871039707,"female_hypothalamus","hatch"
"TCF7L2",3.18702113982474e-07,6.49661505579869,1.91148517389931,"female_hypothalamus","hatch"
"PSTPIP2",0.000845978166055748,3.07264084557075,1.90362298803509,"female_hypothalamus","hatch"
"DMBX1",0.0118561219016067,1.92605734403724,1.89304002620475,"female_hypothalamus","hatch"
"FOXA1",0.00966267995801605,2.01490240468598,1.88753472429605,"female_hypothalamus","hatch"
"FXYD2",2.72846748964176e-05,4.5640812165751,1.86967705105835,"female_hypothalamus","hatch"
"POMC",0.056195735042121,1.25029664382522,1.8646930386172,"female_hypothalamus","hatch"
"TECTB",0.0835926663140725,1.077831822071,1.86318786907879,"female_hypothalamus","hatch"
"LOC101748559",0.038689226750485,1.41240995007595,1.83424367932261,"female_hypothalamus","hatch"
"SCTR",0.00258850983450686,2.58695018066708,1.83299176994567,"female_hypothalamus","hatch"
"MTBP",0.00939887100388957,2.02692431089266,1.81045350231556,"female_hypothalamus","hatch"
"SYTL1",0.00839298450016515,2.07608357892418,1.80001018917668,"female_hypothalamus","hatch"
