"gene","padj","logpadj","lfc","sextissue","direction"
"PNOC",0.00357670332247012,2.44651708186883,6.44122360311076,"female_pituitary","prolong"
"BCAN",0.00161655331059524,2.79140996867966,5.34227992401827,"female_pituitary","prolong"
"OLIG2",0.00540076189561171,2.26754496911788,4.93112187606768,"female_pituitary","prolong"
"LMOD2",0.0219558016247952,1.65845070181309,4.52471500658273,"female_pituitary","prolong"
"SLC32A1",0.00419130873086847,2.37765034795301,4.47906035895058,"female_pituitary","prolong"
"LOC101749834",2.46734132425912e-08,7.60777076741801,4.4552798540827,"female_pituitary","prolong"
"FGF6",1.01870782207079e-11,10.9919503591316,4.3858878516275,"female_pituitary","prolong"
"NCAN",0.0474834309965013,1.32345790789324,4.32450195527954,"female_pituitary","prolong"
"CARTPT",0.000942548078955927,3.02569648738987,4.15103305136377,"female_pituitary","prolong"
"NKX2-1",0.0859212440558673,1.0658994434382,3.87443820597889,"female_pituitary","prolong"
"TSHR",0.0122409149362234,1.91218612002519,3.8160198943779,"female_pituitary","prolong"
"IBSP",0.0765728081374032,1.11592542582997,3.78509215757796,"female_pituitary","prolong"
"MYLK2",0.0122501451276164,1.91185876617703,3.78205450929871,"female_pituitary","prolong"
"TNNC1",0.00861676175389237,2.06465591476016,3.64177956887432,"female_pituitary","prolong"
"CAMKV",6.25544945374992e-08,7.20374148081134,3.58613234413343,"female_pituitary","prolong"
"TMEM182",0.00452010277698506,2.34485169019525,3.45134280782998,"female_pituitary","prolong"
"NPY",0.0602028630755079,1.22038285445103,3.30442918922465,"female_pituitary","prolong"
"MYH7B",5.06079111222236e-05,4.29578158813705,3.30296165236617,"female_pituitary","prolong"
"APOH",0.0331931816796881,1.47895111698865,3.24881433207172,"female_pituitary","prolong"
"CKM",0.00303045186589334,2.51849260970477,3.1578469342986,"female_pituitary","prolong"
"CSPG5",0.0048464784529774,2.31457371375796,2.99287708855232,"female_pituitary","prolong"
"SPP1",0.034340340208344,1.46419540661614,2.97982020763691,"female_pituitary","prolong"
"GAREML",0.0963772390421088,1.01602551926693,2.95284091731684,"female_pituitary","prolong"
"SLC6A11",0.00161655331059524,2.79140996867966,2.92803350845233,"female_pituitary","prolong"
"LOC427654",0.0545214353709248,1.26343271913475,2.91012445657723,"female_pituitary","prolong"
"LGI3",0.0310928699722798,1.50733918932385,2.86358091295109,"female_pituitary","prolong"
"ISLR2",0.0652949666567817,1.18512029556163,2.84925707066111,"female_pituitary","prolong"
"ADAMTSL2",4.55694326971868e-07,6.34132637800116,2.76719849658415,"female_pituitary","prolong"
"GPR37L1",0.0470537454845421,1.32740580096092,2.73397193074438,"female_pituitary","prolong"
"LOC769726",0.00060872121912403,3.21558155911793,2.73103025410927,"female_pituitary","prolong"
"GPR37",0.0811070131039682,1.09094159189647,2.62456456845828,"female_pituitary","prolong"
"HSPB1",0.000502944147561927,3.29848024109209,2.59947042511363,"female_pituitary","prolong"
"AQP4",0.00176718860988432,2.75271709629932,2.59803003913765,"female_pituitary","prolong"
"TNNI1",0.000557837329612998,3.25349242678119,2.59356236875607,"female_pituitary","prolong"
"CRABP1",0.00698503078362156,2.15583167557306,2.56180107147137,"female_pituitary","prolong"
