"gene","padj","logpadj","lfc","sextissue","direction"
"C8H1ORF112",0.0287212186161026,1.54179713730504,1.04462733213458,"male_gonad","m.inc.d9"
"CYP46A1",0.0643557503630921,1.19141264162076,0.919469751972578,"male_gonad","m.inc.d9"
"SLC23A2",0.0110406933843689,1.95700365092303,0.753986368811096,"male_gonad","m.inc.d9"
"PLCH1",0.00919205834322409,2.03658722778584,0.74262134944784,"male_gonad","m.inc.d9"
"PNPLA2",0.00919205834322409,2.03658722778584,0.698928759262367,"male_gonad","m.inc.d9"
"CEP250",0.0146091118649323,1.83537618542663,0.684278358944876,"male_gonad","m.inc.d9"
"ZNF839",0.0138406602537759,1.85884319183504,0.65994590816259,"male_gonad","m.inc.d9"
"CRYZ",0.0961586224623581,1.01701176686049,0.655187892073458,"male_gonad","m.inc.d9"
"TTC14",0.0643557503630921,1.19141264162076,0.652036902032321,"male_gonad","m.inc.d9"
"FAM132A",0.0694024040470129,1.15862548565078,0.641174836152353,"male_gonad","m.inc.d9"
"XDH",0.0460252789730837,1.33700357042626,0.635845109430709,"male_gonad","m.inc.d9"
"ALPK1",0.0966787811409357,1.01466883351369,0.627861242359638,"male_gonad","m.inc.d9"
"POLQ",0.0456087529264289,1.34095180244827,0.619225139717152,"male_gonad","m.inc.d9"
"MLL2",0.0730822027392915,1.13618837123873,0.612973256453298,"male_gonad","m.inc.d9"
"DCX",0.0437948887645852,1.35857657239236,0.611000630430559,"male_gonad","m.inc.d9"
"REEP2",0.002033435062646,2.69176969214792,0.610666765544984,"male_gonad","m.inc.d9"
"INO80",0.00288972867516844,2.53914293247145,0.605563162786595,"male_gonad","m.inc.d9"
"KLF9",0.0178632827296039,1.74803872795884,0.597717240465931,"male_gonad","m.inc.d9"
"C2CD2L",0.0161960491246835,1.79059091463105,0.597330337536771,"male_gonad","m.inc.d9"
"FAT3",0.0966332157600584,1.01487356776883,0.593773402687599,"male_gonad","m.inc.d9"
"RIMS4",0.002033435062646,2.69176969214792,0.572684031249985,"male_gonad","m.inc.d9"
"LRFN3",0.0742535539517166,1.12928275514635,0.571172289679203,"male_gonad","m.inc.d9"
"LOC101748867",0.0631206121822571,1.19982879772502,0.568831596973761,"male_gonad","m.inc.d9"
"LOC424473",0.0604030209219687,1.21894134056872,0.568362364467121,"male_gonad","m.inc.d9"
"PDZD2",0.0688159172877938,1.16231109678307,0.561343229745573,"male_gonad","m.inc.d9"
"SMCR8",0.0296321272363782,1.52823717019193,0.553280116891073,"male_gonad","m.inc.d9"
"CASZ1",0.0287212186161026,1.54179713730504,0.549713853193798,"male_gonad","m.inc.d9"
"LOC769000",0.0886223093482454,1.0524569371736,0.546948159403996,"male_gonad","m.inc.d9"
"LAMA5",0.0522420836920661,1.28197950941447,0.546303269078651,"male_gonad","m.inc.d9"
"ARL11",0.0857105815649916,1.06696555810481,0.539952031766642,"male_gonad","m.inc.d9"
"LYSMD4",0.00288972867516844,2.53914293247145,0.539440429390438,"male_gonad","m.inc.d9"
"MYO1H",0.0857105815649916,1.06696555810481,0.538794544212304,"male_gonad","m.inc.d9"
"SLC7A5",0.0668967596993992,1.174594917789,0.536487845280436,"male_gonad","m.inc.d9"
"SSH1",0.0990854981613977,1.00398990282393,0.533131284487029,"male_gonad","m.inc.d9"
"PCNT",0.0195148821779583,1.70963406644868,0.531728009584862,"male_gonad","m.inc.d9"
"ABCA5",0.0138406602537759,1.85884319183504,0.520402463291379,"male_gonad","m.inc.d9"
"MYO9A",0.0358486975485915,1.44552661845462,0.517462802763555,"male_gonad","m.inc.d9"
"TTC28",0.0132621636606146,1.87738561701644,0.515815440671484,"male_gonad","m.inc.d9"
"ALPK2",0.0460252789730837,1.33700357042626,0.511727024050571,"male_gonad","m.inc.d9"
"FAM199X",0.022985177207203,1.63855214365116,0.509309117763135,"male_gonad","m.inc.d9"
"NF2L",0.0564533516145442,1.2483102690713,0.509050926310575,"male_gonad","m.inc.d9"
"PHKA2",0.0456087529264289,1.34095180244827,0.508843914671232,"male_gonad","m.inc.d9"
"KMT2A",0.0456087529264289,1.34095180244827,0.504636599833511,"male_gonad","m.inc.d9"
"SSH2",0.0281661046395798,1.55027321160539,0.504077080651239,"male_gonad","m.inc.d9"
"TMEM116",0.0631206121822571,1.19982879772502,0.501486252207963,"male_gonad","m.inc.d9"
"CFLAR",0.097190821589123,1.01237474661086,0.499874356708022,"male_gonad","m.inc.d9"
"CEP350",0.0110406933843689,1.95700365092303,0.498716274354636,"male_gonad","m.inc.d9"
"LOC100859478",0.0843025325064074,1.07415937867256,0.496836717895508,"male_gonad","m.inc.d9"
"LOC100858131",0.0682259554090493,1.16605037392889,0.491623440797833,"male_gonad","m.inc.d9"
"HIVEP3",0.0927122503320993,1.03286287750462,0.49002294285515,"male_gonad","m.inc.d9"
"C4H20ORF194",0.0456087529264289,1.34095180244827,0.489219981781977,"male_gonad","m.inc.d9"
"USP31",0.0507520840178392,1.29454611974253,0.486200233200785,"male_gonad","m.inc.d9"
"RNF151",0.00435188562042913,2.36132252761807,0.46969925705892,"male_gonad","m.inc.d9"
"PASK",0.0132621636606146,1.87738561701644,0.466626651345468,"male_gonad","m.inc.d9"
"ANKS3",0.0138406602537759,1.85884319183504,0.465854674149541,"male_gonad","m.inc.d9"
"DAB2IP",0.0291663681970326,1.53511764596175,0.464008095793778,"male_gonad","m.inc.d9"
"MAML1",0.0631206121822571,1.19982879772502,0.463620211804922,"male_gonad","m.inc.d9"
"ENTPD2L",0.0477447256595358,1.3210745977656,0.460203724434545,"male_gonad","m.inc.d9"
"CARF",0.0223044199122532,1.65160906729721,0.459035689314083,"male_gonad","m.inc.d9"
"SLC6A13",0.081753844802666,1.08749181374636,0.455854931478924,"male_gonad","m.inc.d9"
"MAP3K13",0.002033435062646,2.69176969214792,0.452645417727489,"male_gonad","m.inc.d9"
"MGEA5",0.00905004866731465,2.04334908533741,0.449983477514667,"male_gonad","m.inc.d9"
"ZNF281",0.0291663681970326,1.53511764596175,0.447916914761128,"male_gonad","m.inc.d9"
"CACNA1B",0.0456960197149998,1.34012162686875,0.445603223913535,"male_gonad","m.inc.d9"
"FRS2",0.0173745505127057,1.76008642198255,0.445109900220276,"male_gonad","m.inc.d9"
"SETD1B",0.0065301564340713,2.1850764147984,0.445083565121703,"male_gonad","m.inc.d9"
"SET domain containing 5",0.0205545883448599,1.68709121658959,0.444089797228933,"male_gonad","m.inc.d9"
"KIAA1109",0.0505794414155684,1.29602597118528,0.441982780734439,"male_gonad","m.inc.d9"
"CMTR1",0.00919205834322409,2.03658722778584,0.441956847394586,"male_gonad","m.inc.d9"
"SUPT6H",0.002033435062646,2.69176969214792,0.438132349394239,"male_gonad","m.inc.d9"
"LRP4",0.0988464475398335,1.00503893425694,0.435944143323425,"male_gonad","m.inc.d9"
"CNP",0.0294289055283507,1.53122588916904,0.435765386026463,"male_gonad","m.inc.d9"
"HIPK2",0.0843025325064074,1.07415937867256,0.43414342870781,"male_gonad","m.inc.d9"
"TAOK3",0.0515596047376585,1.28769042066138,0.43382965475372,"male_gonad","m.inc.d9"
"ATP10A",0.0406402168558008,1.39104398332683,0.428726069597683,"male_gonad","m.inc.d9"
"HERC2",0.0194288104189627,1.71155378943089,0.4276496217513,"male_gonad","m.inc.d9"
"SH3RF1",0.0161960491246835,1.79059091463105,0.427084911412548,"male_gonad","m.inc.d9"
"QRSL1",0.0456087529264289,1.34095180244827,0.427079878380677,"male_gonad","m.inc.d9"
"ATM",0.0563245424089185,1.24930232787912,0.425349112705596,"male_gonad","m.inc.d9"
"STC2",0.0961586224623581,1.01701176686049,0.424858131777538,"male_gonad","m.inc.d9"
"LOC107049011",0.0861737630030114,1.06462494203457,0.41970468735642,"male_gonad","m.inc.d9"
"LYPD6",0.0730822027392915,1.13618837123873,0.417829808491205,"male_gonad","m.inc.d9"
"ZFHX3",0.0966787811409357,1.01466883351369,0.417291347846802,"male_gonad","m.inc.d9"
"NHSL1",0.0285332195065617,1.54464922255784,0.416736625879926,"male_gonad","m.inc.d9"
"HMCN1",0.0515596047376585,1.28769042066138,0.414206451082378,"male_gonad","m.inc.d9"
"TANC2",0.0323687030788121,1.48987470118436,0.413978955161489,"male_gonad","m.inc.d9"
"EPB41L1",0.0840832527743516,1.07529049590195,0.41355520432778,"male_gonad","m.inc.d9"
"MPDZ",0.081702444379095,1.08776495002239,0.412500989310291,"male_gonad","m.inc.d9"
"FNIP1",0.0515596047376585,1.28769042066138,0.41245354645172,"male_gonad","m.inc.d9"
"MAP3K2",0.0175893073947404,1.75475126119998,0.412431046637808,"male_gonad","m.inc.d9"
"AP4E1",0.0207587465227304,1.68279887407486,0.411753111887301,"male_gonad","m.inc.d9"
"HERC1",0.0456087529264289,1.34095180244827,0.410155756140558,"male_gonad","m.inc.d9"
"RREB1",0.0296321272363782,1.52823717019193,0.409136849983945,"male_gonad","m.inc.d9"
"ORC2",0.0132621636606146,1.87738561701644,0.40814609581837,"male_gonad","m.inc.d9"
"GSTCD",0.0466635892960966,1.33102185895126,0.408137912039103,"male_gonad","m.inc.d9"
"PCSK1",0.0854155088602015,1.0684632674738,0.406943496415111,"male_gonad","m.inc.d9"
"PLEKHG4",0.0456960197149998,1.34012162686875,0.404587850708728,"male_gonad","m.inc.d9"
"SECISBP2L",0.0311445375925434,1.50661811277499,0.403895630580568,"male_gonad","m.inc.d9"
"SLC24A3",0.0264072356728075,1.57827705865222,0.40230088585089,"male_gonad","m.inc.d9"
"ZNF142",0.0649392771634217,1.18749254979817,0.401291611790064,"male_gonad","m.inc.d9"
"SMPDL3A",0.0861469309383114,1.06476019007084,0.400917198840048,"male_gonad","m.inc.d9"
"PDPR",0.0189380743437781,1.72266418290339,0.399969144960958,"male_gonad","m.inc.d9"
"STIL",0.0138406602537759,1.85884319183504,0.399185618011973,"male_gonad","m.inc.d9"
"POLR1A",0.0263614765736403,1.57903026745344,0.398544430929375,"male_gonad","m.inc.d9"
"TBC1D13",0.0442151605997203,1.35442879318768,0.396891696825779,"male_gonad","m.inc.d9"
"PTPN1",0.081753844802666,1.08749181374636,0.395791331681557,"male_gonad","m.inc.d9"
"ABCC13",0.0343832783155529,1.46365271733839,0.393790945205472,"male_gonad","m.inc.d9"
"WASF3",0.0866818755215991,1.06207170049171,0.392861236307165,"male_gonad","m.inc.d9"
"PPP1R26",0.0545442405529842,1.26325110076972,0.391915981428353,"male_gonad","m.inc.d9"
"MCM9",0.0811318773361091,1.09080847462883,0.389269401067876,"male_gonad","m.inc.d9"
"SETX",0.0856362243414635,1.0673424887832,0.388331265427919,"male_gonad","m.inc.d9"
"MDN1",0.0906633754997351,1.04256811570289,0.387600201350298,"male_gonad","m.inc.d9"
"ESRP2",0.0396340775308592,1.40193124540346,0.387410155676168,"male_gonad","m.inc.d9"
"HELB",0.0625133892872699,1.20402695432299,0.387070479867582,"male_gonad","m.inc.d9"
"RP11-345J4.5",0.0507520840178392,1.29454611974253,0.385877882375484,"male_gonad","m.inc.d9"
"CRYBG3",0.0840832527743516,1.07529049590195,0.384161684129209,"male_gonad","m.inc.d9"
"STAM",0.0966787811409357,1.01466883351369,0.383923140936995,"male_gonad","m.inc.d9"
"LA16c-431H6.6",0.0113925633953306,1.94337854605333,0.38300741073384,"male_gonad","m.inc.d9"
"KIAA2018",0.097190821589123,1.01237474661086,0.380911524425447,"male_gonad","m.inc.d9"
"PRRC2B",0.0631206121822571,1.19982879772502,0.379699800651542,"male_gonad","m.inc.d9"
"INSR",0.0898025135344364,1.0467115074434,0.378864950914986,"male_gonad","m.inc.d9"
"CRB2",0.07577223477998,1.12048990374568,0.378766035672517,"male_gonad","m.inc.d9"
"ARHGEF18",0.0804127174023701,1.09467526143927,0.37760146031066,"male_gonad","m.inc.d9"
"SYNJ1",0.0660184559867747,1.18033463699245,0.376695002977069,"male_gonad","m.inc.d9"
"ATP7B",0.096018003098361,1.01764733036415,0.376154280117994,"male_gonad","m.inc.d9"
"EXTL3",0.057966966370451,1.23681942729953,0.374954187191772,"male_gonad","m.inc.d9"
"DELE",0.0809434469148889,1.09181830545172,0.37433534150665,"male_gonad","m.inc.d9"
"SLX4",0.0660184559867747,1.18033463699245,0.373757150256616,"male_gonad","m.inc.d9"
"TMEM168",0.0926704709995881,1.03305862966258,0.372604124720056,"male_gonad","m.inc.d9"
"PPM1F",0.0366415924001251,1.43602566067123,0.370859230796008,"male_gonad","m.inc.d9"
