"gene","padj","logpadj","lfc","sextissue","direction"
"LBFABP",0.00214075797175286,2.66943243007772,4.14263559466179,"male_gonad","extend"
"TTR",1.1005169828237e-08,7.95840325116632,2.88032830254348,"male_gonad","extend"
"LOC428693",0.0467401142787196,1.33031023010047,2.59441611318082,"male_gonad","extend"
"FGB",2.67489141164412e-05,4.57269384365433,2.38759456510114,"male_gonad","extend"
"LOC420992",0.0165923022091389,1.78009335072323,2.31299690170929,"male_gonad","extend"
"ADPRHL1",0.0655180499264467,1.18363903735855,2.09926656469542,"male_gonad","extend"
"IRG1",0.0449433994277739,1.34733408151884,2.08102132734903,"male_gonad","extend"
"PLG",0.00467973936633902,2.32977833387305,2.00537221012116,"male_gonad","extend"
"GC",0.00108237628438976,2.96562173199755,1.98030383727866,"male_gonad","extend"
"AMBP",0.0201703784930188,1.69528595226382,1.9013807716902,"male_gonad","extend"
"LOC107051429",0.0780425715836995,1.107668428588,1.84404420557266,"male_gonad","extend"
"C8ORF22",0.00107335149949706,2.96925803265312,1.70791369953095,"male_gonad","extend"
"PAH",0.0479196212911441,1.31948662283528,1.68008423230568,"male_gonad","extend"
"POMC",0.0573118170388486,1.24175582226227,1.50088900176567,"male_gonad","extend"
"SSTR1",0.0971073243314665,1.01274801214374,1.46136726740072,"male_gonad","extend"
"KRT19",0.0496259284870051,1.3042913546266,1.43706997733192,"male_gonad","extend"
"AGT",0.00109892204026503,2.95903311620584,1.42608900949612,"male_gonad","extend"
"ISX",0.0956062891076813,1.01951353832092,1.34846887553484,"male_gonad","extend"
"HMGCS2",0.0796365672761885,1.09888746844799,1.30356458367334,"male_gonad","extend"
"MSANTD1",0.0794606216589984,1.09984804157091,1.24677853874721,"male_gonad","extend"
"LOC421740",0.034515539750519,1.4619853307694,1.19369551472838,"male_gonad","extend"
"GP5",0.052128795777039,1.28292230755769,1.15884979945948,"male_gonad","extend"
"MYOT",0.0659251130130689,1.18094911703836,1.15275920779857,"male_gonad","extend"
"CIB2",0.00690760002414065,2.16067281765027,1.15098896050844,"male_gonad","extend"
"CNTNAP4",0.0836655614916214,1.07745326998676,1.13939084120461,"male_gonad","extend"
"LOC107056462",0.0366891735016107,1.43546207150196,1.13123878599526,"male_gonad","extend"
"SLC7A13",0.0398749935569607,1.39929937410847,1.06977314240042,"male_gonad","extend"
"DLEU7",0.0952921457705121,1.02094289358094,1.06723911013374,"male_gonad","extend"
"APOH",0.0182894292546482,1.73779984703449,1.05988688755156,"male_gonad","extend"
"SNAP25",0.0105431147908472,1.9770310649645,1.04464596033952,"male_gonad","extend"
"F10",0.0923620480767551,1.03450644541087,1.02740951364285,"male_gonad","extend"
"LOC107049127",0.0615434765531254,1.21081797436753,1.0258916848092,"male_gonad","extend"
"GPRC6A",0.0291897374414643,1.53476981142638,1.00020622431754,"male_gonad","extend"
"F2",0.0606315103907508,1.2173016129262,0.973219755924711,"male_gonad","extend"
