"gene","padj","logpadj","lfc","sextissue","direction"
"SHOX",0.00325841765020643,2.48699325042804,4.02636749493752,"male_hypothalamus","hatch"
"SLC16A8",0.0130536062474566,1.88426949161981,3.69696868574891,"male_hypothalamus","hatch"
"DMBX1",0.000397073491128927,3.4011291057357,3.66935714652154,"male_hypothalamus","hatch"
"PITX2",0.000119977838096597,3.92089896796264,3.66547912526055,"male_hypothalamus","hatch"
"PAX7",0.00360770769518076,2.44276865724779,3.58707809975319,"male_hypothalamus","hatch"
"NR5A1",0.000759339972591349,3.11956373772393,3.37146221036081,"male_hypothalamus","hatch"
"MYL10",9.85611170695532e-05,4.00629438295569,3.26107772701617,"male_hypothalamus","hatch"
"FSHB",0.0227342679365816,1.64331902589792,3.00176246685756,"male_hypothalamus","hatch"
"NPVF",0.00385711678096841,2.41373721190855,2.63439770744387,"male_hypothalamus","hatch"
"SHOX2",3.11736681136805e-05,4.50621209256427,2.59738442890206,"male_hypothalamus","hatch"
"BAIAP2L2",0.0327741824136651,1.48446813343384,2.52183938194181,"male_hypothalamus","hatch"
"LHX3",0.0530429264946994,1.2753725229623,2.38818246771044,"male_hypothalamus","hatch"
"SLC13A4",0.0166450169077506,1.77871575935748,2.37766765381404,"male_hypothalamus","hatch"
"DSN1",0.0563391582402086,1.24918964606809,2.36045174678782,"male_hypothalamus","hatch"
"WNT8B",0.0188897928509173,1.72377280460844,2.34229075415082,"male_hypothalamus","hatch"
"IRX3",0.00649539614568958,2.18739435673252,2.29744821123817,"male_hypothalamus","hatch"
"TTR",0.0577247616990472,1.23863785127354,2.27374270284161,"male_hypothalamus","hatch"
"LMX1A",0.0265250267972783,1.57634416867434,2.24930191895226,"male_hypothalamus","hatch"
"POMC",0.0367223241214992,1.43506984050998,2.22946666668221,"male_hypothalamus","hatch"
"IRX2",1.72857175045116e-05,4.76231258882722,2.21169030311498,"male_hypothalamus","hatch"
"LOC107054855",0.000119977838096597,3.92089896796264,2.20242277844224,"male_hypothalamus","hatch"
"LOC101750514",0.000901224871478663,3.04516683137687,2.17723773782648,"male_hypothalamus","hatch"
"CALCA",0.000568392225454278,3.24535187104259,2.12400594278876,"male_hypothalamus","hatch"
"DIO3",0.0361134686941494,1.44233079563909,2.08831370456833,"male_hypothalamus","hatch"
"ADPRHL1",0.0099266774908984,2.00319608774056,2.08804604657426,"male_hypothalamus","hatch"
"MATN1",0.00242588151793443,2.61513041425421,2.08017341501683,"male_hypothalamus","hatch"
"SLCO1C1",0.00600366782850345,2.22158334444988,2.05688662855429,"male_hypothalamus","hatch"
"RLBP1",0.0410750910777352,1.38642146491021,2.02503349309537,"male_hypothalamus","hatch"
"TCF7L2",1.72857175045116e-05,4.76231258882722,1.99365507077032,"male_hypothalamus","hatch"
"IGLL1",0.0931215284907204,1.03094990415426,1.94923842663244,"male_hypothalamus","hatch"
"C7ORF72",0.004330715178524,2.36344037791017,1.94691995868557,"male_hypothalamus","hatch"
"RBPMS2",0.000847994473578385,3.07160697805252,1.93609503916832,"male_hypothalamus","hatch"
"LOC770026",0.00800900706132427,2.09642132343111,1.93405013368187,"male_hypothalamus","hatch"
"SOD3",0.0158953528271968,1.79872982766088,1.91379142748009,"male_hypothalamus","hatch"
"STEAP1",0.0161724874788239,1.79122317642985,1.9042219972727,"male_hypothalamus","hatch"
"MYOT",0.00633524095127538,2.19823686273487,1.88559780416674,"male_hypothalamus","hatch"
"CRYBB2",0.00247307895916883,2.60676201749075,1.88547371825198,"male_hypothalamus","hatch"
"GBX2",4.43701563791702e-05,4.35290904064358,1.82616379671962,"male_hypothalamus","hatch"
"PITX3",0.00876406671633591,2.05729432503805,1.81892894139382,"male_hypothalamus","hatch"
"TFCP2L1",0.0159218459396356,1.79800658264588,1.81333974033847,"male_hypothalamus","hatch"
"GHRH",0.000126500552987873,3.8979075759976,1.80268407148596,"male_hypothalamus","hatch"
"LOC101749269",0.0751929721210179,1.12382274865958,1.77919522584031,"male_hypothalamus","hatch"
"TMEM27",0.0447715431138052,1.34899793679231,1.77616660720594,"male_hypothalamus","hatch"
"LOC420716",0.0507007172929097,1.29498589640337,1.77190453955431,"male_hypothalamus","hatch"
"CNKSR1",0.0727878192180116,1.13794129223934,1.76327761887113,"male_hypothalamus","hatch"
"GSTA3",0.0108619113815823,1.96409374478099,1.74176381734383,"male_hypothalamus","hatch"
"LHCGR",0.000221542270659855,3.65454339737388,1.73743096430244,"male_hypothalamus","hatch"
"SLC30A8",0.0726216474888649,1.13893390294162,1.72521158858747,"male_hypothalamus","hatch"
