"gene","padj","logpadj","lfc","sextissue","direction"
"IGLL1",0.0209013965299851,1.6798246954677,2.81220424393194,"male_pituitary","extend"
"IGJ",0.00241986256633812,2.6162092986377,2.58847698555082,"male_pituitary","extend"
"MAEL",0.0466212131644698,1.33141642957606,2.10164635034915,"male_pituitary","extend"
"LOC107049666",0.0655474438414991,1.18344423985761,2.0696588217304,"male_pituitary","extend"
"LOC107054425",0.0728089352166016,1.13781532017675,1.93223251378804,"male_pituitary","extend"
"METTL11B",0.0632193056415842,1.1991502784693,1.72967631643701,"male_pituitary","extend"
"TMEM156",0.0131230671800824,1.88196464790965,1.72348320412404,"male_pituitary","extend"
"FAM83A",0.0279748305499735,1.55323253541389,1.59962442502034,"male_pituitary","extend"
"LOC107049579",0.0613351529041246,1.21229054772373,1.58336008671635,"male_pituitary","extend"
"SUMO2",0.0593045716437054,1.22691182665081,1.57040535126882,"male_pituitary","extend"
"ASB10",0.0251606126335463,1.59927878849985,1.57019615856186,"male_pituitary","extend"
"TBX1",0.0410889882240425,1.38627455268131,1.49598194113809,"male_pituitary","extend"
"MUC2",0.000231618050751311,3.635227597638,1.49481081087624,"male_pituitary","extend"
"LAMC3",0.00407710802989475,2.38964778102624,1.44136451531245,"male_pituitary","extend"
"DCST1",0.0731282359843867,1.13591490259772,1.43696717673925,"male_pituitary","extend"
"LOC107053246",0.0462958737459052,1.33445771501317,1.39832964109267,"male_pituitary","extend"
"SPTSSB",0.0649096227143631,1.18769091518788,1.3750144393502,"male_pituitary","extend"
"MYBPC3",0.059162031737492,1.22795691991466,1.34592352986406,"male_pituitary","extend"
"MEGF10",0.0715808807044833,1.14520296251567,1.32581053483639,"male_pituitary","extend"
"C7",0.0443835387643052,1.35277807379079,1.32298732107002,"male_pituitary","extend"
"VTN",0.0314633022024762,1.50219569833536,1.26673035927765,"male_pituitary","extend"
"NXNL1",0.0946868187933635,1.02371047425691,1.24892484298907,"male_pituitary","extend"
"PDGFRB",0.000271163084446493,3.56676943468857,1.21622153413917,"male_pituitary","extend"
"MTUS2",0.0402314483743563,1.39543433209024,1.1714783462843,"male_pituitary","extend"
"IL31RA",0.0715723335953099,1.14525482250879,1.1022598646035,"male_pituitary","extend"
"VSTM4",0.0861174198401896,1.06490899052939,1.09486250754307,"male_pituitary","extend"
"FAM154B",0.0998772544993163,1.0005334043682,1.07886678528195,"male_pituitary","extend"
"PLXNA2",0.0379215570987308,1.42111383838295,1.06682172007659,"male_pituitary","extend"
"LRAT",0.0664263125169221,1.17765985561207,1.06201740954607,"male_pituitary","extend"
"TMEM179",0.0766303951917429,1.11559893473105,1.0570733030171,"male_pituitary","extend"
"CAPN3",0.0581713260619619,1.23529103599829,1.03278292823869,"male_pituitary","extend"
"LOC107050679",0.0477012715858532,1.3214700436987,1.00162439606206,"male_pituitary","extend"
"PANX3",0.0854139380147617,1.06847125449851,0.993127621209659,"male_pituitary","extend"
"PLAU",0.0253884451060056,1.59536389631257,0.974539411826964,"male_pituitary","extend"
"SVEP1",0.08778418428711,1.0565837220842,0.953999370584015,"male_pituitary","extend"
"FAM101A",0.0796687879923056,1.09871178974114,0.945346345624891,"male_pituitary","extend"
"ZBTB37",0.00895841459986462,2.04776884206249,0.91142239422105,"male_pituitary","extend"
"RPS6KA1",0.0137877356375034,1.86050705223495,0.90350983763448,"male_pituitary","extend"
"OLFML1",0.052864133063127,1.27683888554143,0.887979349781417,"male_pituitary","extend"
"WNT9A",0.0577383967137529,1.23853527982553,0.884361312920332,"male_pituitary","extend"
"PIWIL1",0.041724723654378,1.37960653100045,0.880655400536416,"male_pituitary","extend"
